,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
0,1,1,J.B. Holmes,86,65.96,292707.9,443741
1,2,2,Dustin Johnson,92,65.25,334376.9,512436
2,3,3,Robert Garrigus,90,64.74,354040.1,546883
3,4,4,Bubba Watson,97,64.69,330411.3,510754
4,5,5,Vijay Singh,82,64.32,260031.3,404247
5,6,6,Nick Watney,96,64.22,345858.9,538520
6,7,7,Steve Allan,58,64.05,195597.8,305388
7,8,8,Harrison Frazar,73,63.89,251214.5,393223
8,T9,T9,Ángel Cabrera,55,63.88,161354.9,252572
9,T9,T9,Anthony Kim,81,63.88,265812.1,416096
10,11,11,Tommy Gainey,60,63.85,186506.6,292123
11,12,12,Charley Hoffman,94,63.77,351175.5,550690
12,13,13,Andres Romero,69,63.64,200590.2,315207
13,14,14,Adam Scott,51,63.57,143220.3,225308
14,15,15,Tag Ridings,88,63.52,328138.3,516606
15,16,16,Daniel Chopra,84,63.48,279680.9,440557
16,17,17,Jason Allred,63,63.44,200363.3,315812
17,18,18,Fred Couples,60,63.39,207971.9,328058
18,19,19,Richard Johnson,77,63.37,273650.7,431863
19,20,20,Charles Warren,79,63.32,300032.4,473835
20,21,21,Phil Mickelson,80,63.23,240158.5,379800
21,22,22,Travis Perkins,53,63.21,162158.1,256532
22,23,23,Davis Love III,78,63.18,261626.9,414087
23,24,24,Jeff Overton,103,63.15,368418.1,583419
24,25,25,Bill Haas,99,63.11,360338.8,570979
25,26,26,Jason Day,81,63.1,310222.1,491630
26,27,27,Martin Laird,98,63.08,341875.9,541989
27,28,28,Kevin Streelman,114,63.02,388540.4,616549
