,Missed_Fairway_Percent_-_Other_RANK THIS WEEK,Missed_Fairway_Percent_-_Other_RANK LAST WEEK,Missed_Fairway_Percent_-_Other_PLAYER NAME,Missed_Fairway_Percent_-_Other_ROUNDS,Missed_Fairway_Percent_-_Other_%,Missed_Fairway_Percent_-_Other_TOTAL MISSED,Missed_Fairway_Percent_-_Other_TOTAL FWYS,Missed_Fairway_Percent_-_Other_RELATIVE TO PAR
0,1,1,Zach Johnson,85,0.6,6,994,+0.17
1,2,2,Gavin Coles,54,0.66,4,610,+1.50
2,3,3,Heath Slocum,104,0.75,9,1199,+1.00
3,4,4,Omar Uresti,74,0.8,7,874,+0.86
4,5,5,Michael Allen,91,0.83,9,1079,+0.67
5,6,6,Bart Bryant,81,0.86,8,932,+0.75
6,7,7,Ron Whittaker,54,0.89,5,563,+0.80
7,8,8,Jim Furyk,95,0.95,10,1053,+0.10
8,9,9,Billy Mayfair,103,1.06,14,1317,+0.64
9,10,10,Cameron Beckman,87,1.08,11,1020,+1.18
10,11,11,Steve Elkington,84,1.09,11,1013,+0.36
11,12,12,Olin Browne,77,1.14,11,969,+1.18
12,13,13,Jeff Gove,50,1.15,7,609,+1.00
13,T14,T14,Glen Day,64,1.16,9,776,+0.78
14,T14,T14,Corey Pavin,69,1.16,9,774,+0.33
15,16,16,Justin Leonard,101,1.17,12,1023,+0.83
16,17,17,Scott Verplank,82,1.22,11,904,+0.55
17,18,18,Ryan Moore,72,1.27,11,868,+0.55
18,19,19,Greg Kraft,63,1.3,9,694,+1.22
19,T20,T20,Woody Austin,109,1.31,16,1226,+0.25
20,T20,T20,Paul Claxton,63,1.31,9,689,+0.89
21,T20,T20,Craig Kanada,65,1.31,10,762,+1.40
22,T23,T23,Brian Davis,108,1.34,19,1417,+0.37
23,T23,T23,Brian Gay,102,1.34,16,1198,+0.75
24,25,25,John Rollins,94,1.37,15,1097,+0.33
25,26,26,Ian Poulter,51,1.4,7,501,+1.14
26,27,27,Kenneth Ferrie,72,1.45,12,825,+0.58
27,28,28,Joe Durant,92,1.46,16,1095,+0.81
28,29,29,Steve Marino,119,1.47,21,1432,+0.57
29,30,30,Geoff Ogilvy,65,1.49,10,671,+0.80
30,31,31,Brad Elder,67,1.5,11,732,E
31,T32,T32,Robert Allenby,108,1.52,18,1187,+0.39
32,T32,T32,Tom Lehman,51,1.52,8,527,+0.88
