,Driving_Pct._300_Measured_RANK THIS WEEK,Driving_Pct._300_Measured_RANK LAST WEEK,Driving_Pct._300_Measured_PLAYER NAME,Driving_Pct._300_Measured_ROUNDS,Driving_Pct._300_Measured_%,Driving_Pct._300_Measured_TOTAL DRIVES FOR 300+,Driving_Pct._300_Measured_TOTAL DRVS - OVERALL,Driving_Pct._300_Measured_RELATIVE TO PAR
0,1,1,Bubba Watson,97,78.24,133,170,-0.26
1,2,2,J.B. Holmes,86,67.12,98,146,-0.29
2,3,3,Robert Garrigus,90,66.48,117,176,-0.21
3,4,4,Dustin Johnson,92,63.64,112,176,-0.21
4,5,5,Steve Allan,58,57.0,57,100,-0.05
5,6,6,Paul Casey,55,56.94,41,72,-0.17
6,7,7,Nick Watney,96,56.82,100,176,-0.25
7,8,8,Tag Ridings,88,55.68,98,176,-0.22
8,9,9,Anthony Kim,81,55.07,76,138,-0.26
9,10,10,Charley Hoffman,94,54.89,101,184,-0.18
10,11,11,Davis Love III,78,52.21,71,136,-0.14
11,12,12,Adam Scott,51,51.43,36,70,-0.31
12,13,13,Charles Warren,79,50.63,80,158,-0.31
13,14,14,Ángel Cabrera,55,50.0,39,78,-0.18
14,15,15,Brandt Jobe,52,48.96,47,96,-0.13
15,16,16,Travis Perkins,53,48.94,46,94,E
16,17,17,John Merrick,98,48.78,80,164,-0.26
17,18,18,Padraig Harrington,52,48.53,33,68,-0.36
18,19,19,Andres Romero,69,48.04,49,102,-0.18
19,20,20,Jason Gore,94,47.28,87,184,-0.31
20,21,21,Tommy Gainey,60,47.12,49,104,-0.06
21,22,22,Jeff Overton,103,46.32,88,190,-0.22
22,23,23,Lucas Glover,91,45.98,80,174,-0.30
23,24,24,Jason Day,81,45.68,74,162,-0.20
24,25,25,Jason Allred,63,45.61,52,114,-0.08
25,26,26,James Driscoll,85,44.94,71,158,-0.31
26,27,27,Daniel Chopra,84,44.67,67,150,-0.27
27,28,28,Fred Couples,60,44.64,50,112,-0.24
28,29,29,Bill Haas,99,44.21,84,190,-0.35
29,30,30,Martin Laird,98,44.02,81,184,-0.22
30,31,31,Vijay Singh,82,43.94,58,132,-0.34
31,32,32,Stewart Cink,87,42.75,59,138,-0.22
32,33,33,Richard Johnson,77,42.67,64,150,-0.25
33,34,34,Charles Howell III,101,42.13,75,178,-0.27
34,35,35,Harrison Frazar,73,41.54,54,130,-0.15
35,36,36,Phil Mickelson,80,41.13,51,124,-0.39
36,37,37,Jimmy Walker,73,40.77,53,130,-0.25
37,38,38,Matt Jones,95,40.66,74,182,-0.28
38,39,39,Camilo Villegas,79,40.63,52,128,-0.33
39,T40,T40,Mathias Grönberg,87,40.36,67,166,E
40,T40,T40,Jon Mills,95,40.36,67,166,-0.28
41,42,42,Pat Perez,93,40.24,66,164,-0.23
42,43,43,Troy Matteson,94,39.36,74,188,-0.08
43,44,44,George McNeill,97,38.95,74,190,-0.36
44,45,45,Ryan Palmer,69,38.89,49,126,-0.16
45,46,46,Nicholas Thompson,113,38.35,79,206,-0.16
46,47,47,Steve Marino,119,38.07,83,218,-0.13
47,48,48,Kenny Perry,97,38.02,73,192,-0.34
48,49,49,Trevor Immelman,70,37.96,41,108,-0.27
49,T50,T50,Rory Sabbatini,77,37.5,48,128,-0.38
50,T50,T50,Kevin Streelman,114,37.5,78,208,-0.19
51,52,52,Ted Purdy,68,37.1,46,124,-0.13
52,53,53,Mathew Goggin,91,36.78,64,174,-0.31
53,54,54,Sergio Garcia,72,35.71,40,112,-0.23
54,55,55,Todd Demsey,80,35.26,55,156,-0.16
55,56,56,Tim Herron,97,34.95,65,186,-0.12
56,57,57,Boo Weekley,86,34.78,48,138,-0.33
57,58,58,Mark Hensby,71,34.51,49,142,-0.18
58,59,59,John Riegger,73,34.33,46,134,-0.20
59,60,60,Hunter Mahan,87,34.0,51,150,-0.37
60,61,61,John Huston,56,33.65,35,104,-0.14
61,62,62,Steve Lowery,74,33.57,47,140,-0.30
62,63,63,Bo Van Pelt,101,33.51,65,194,-0.05
63,T64,T64,Sean O'Hair,81,33.33,46,138,+0.02
64,T64,T64,Brenden Pappas,66,33.33,40,120,-0.20
65,66,66,Michael Letzig,88,32.5,52,160,-0.27
66,67,67,Kevin Sutherland,98,32.45,61,188,-0.23
67,68,68,Stuart Appleby,87,32.35,44,136,-0.20
68,69,69,Kevin Stadler,90,32.05,50,156,-0.18
69,70,70,Brad Adamonis,87,31.93,53,166,-0.25
70,71,71,Ryan Moore,72,31.43,44,140,-0.32
71,72,72,Nick Flanagan,89,31.18,53,170,-0.23
72,73,73,J.J. Henry,108,31.13,66,212,-0.23
73,74,74,K.J. Choi,74,31.03,36,116,-0.36
74,75,75,Ernie Els,51,30.56,22,72,-0.18
75,76,76,D.J. Trahan,94,30.36,51,168,-0.27
76,77,77,David Duval,51,29.79,28,94,-0.14
77,78,78,John Rollins,94,29.76,50,168,-0.20
78,79,79,Robert Allenby,108,29.67,54,182,+0.06
79,T80,T80,Chad Campbell,94,29.55,52,176,-0.25
80,T80,T80,Alejandro Cañizares,52,29.55,26,88,-0.08
81,82,82,Aaron Baddeley,76,29.51,36,122,-0.17
82,83,83,Joe Ogilvie,100,29.35,54,184,-0.28
83,84,84,Bob Sowards,61,29.09,32,110,-0.19
