,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL DISTANCE
0,1,1,J.B. Holmes,86,55.79,67145.4,120363
1,2,2,Bubba Watson,97,55.63,75195.1,135181
2,3,3,Robert Garrigus,90,55.11,84871.6,154013
3,4,4,Dustin Johnson,92,55.03,77836.4,141447
4,5,5,Nick Watney,96,54.06,83862.7,155141
5,6,6,Ángel Cabrera,55,53.98,36598.5,67797
6,7,7,Davis Love III,78,53.81,60618.8,112657
7,8,8,Steve Allan,58,53.76,45360.3,84369
8,9,9,Travis Perkins,53,53.65,38753.8,72231
9,10,10,Harrison Frazar,73,53.64,59047.9,110076
10,11,11,Tommy Gainey,60,53.63,42066.0,78435
11,12,12,Tag Ridings,88,53.57,76849.0,143467
12,13,13,Charles Warren,79,53.49,73480.0,137381
13,14,14,Anthony Kim,81,53.42,54570.9,102148
14,T15,T15,Charley Hoffman,94,53.39,78679.0,147364
15,T15,T15,Adam Scott,51,53.39,32047.4,60024
16,17,17,Daniel Chopra,84,53.38,67284.7,126060
17,18,18,Fred Couples,60,53.36,51855.3,97172
18,19,19,Vijay Singh,82,53.34,52992.7,99353
19,20,20,Jason Allred,63,53.32,44650.1,83741
20,T21,T21,Jason Gore,94,53.3,81799.8,153458
21,T21,T21,Bill Haas,99,53.3,81991.6,153836
22,23,23,Martin Laird,98,53.27,78115.3,146631
23,24,24,Brandt Jobe,52,53.25,42947.1,80647
24,25,25,Jeff Overton,103,53.09,88056.0,165870
25,T26,T26,George McNeill,97,53.04,82729.9,155971
26,T26,T26,Andres Romero,69,53.04,43172.2,81395
27,28,28,Paul Casey,55,53.03,33808.5,63759
28,29,29,James Driscoll,85,52.97,73926.9,139570
29,30,30,Pat Perez,93,52.94,71982.5,135975
30,31,31,Brenden Pappas,66,52.92,50995.6,96367
31,32,32,Mathew Goggin,91,52.9,76114.3,143888
32,33,33,Lucas Glover,91,52.89,72128.6,136373
33,34,34,Richard Johnson,77,52.83,61599.4,116605
34,35,35,Troy Matteson,94,52.81,85334.6,161600
35,36,36,Matt Jones,95,52.8,79756.2,151064
36,T37,T37,Padraig Harrington,52,52.75,28536.0,54100
37,T37,T37,Phil Mickelson,80,52.75,53631.2,101676
38,T39,T39,Kenny Perry,97,52.73,79644.2,151053
39,T39,T39,Jimmy Walker,73,52.73,55308.1,104898
40,41,41,Jason Day,81,52.68,72874.8,138335
41,42,42,Stewart Cink,87,52.63,62078.1,117948
42,43,43,Camilo Villegas,79,52.62,53969.4,102568
43,44,44,Michael Letzig,88,52.59,65965.9,125433
44,45,45,Nicholas Thompson,113,52.57,87922.3,167254
45,T46,T46,Mathias Grönberg,87,52.48,74235.0,141443
46,T46,T46,Sean O'Hair,81,52.48,56445.2,107551
47,48,48,Ted Purdy,68,52.45,54692.7,104275
48,49,49,John Merrick,98,52.42,69854.7,133269
49,50,50,Kevin Streelman,114,52.4,85611.3,163392
50,51,51,Charles Howell III,101,52.37,86946.5,166032
51,T52,T52,Nick Flanagan,89,52.28,74952.1,143376
52,T52,T52,Boo Weekley,86,52.28,57773.3,110511
53,54,54,Sergio Garcia,72,52.2,45432.1,87041
54,T55,T55,D.J. Trahan,94,52.18,68300.8,130904
55,T55,T55,Bo Van Pelt,101,52.18,82707.4,158512
56,57,57,Tim Herron,97,52.17,72907.7,139753
57,58,58,Ryan Palmer,69,52.11,53801.8,103238
58,59,59,Todd Demsey,80,52.08,64387.8,123641
59,T60,T60,John Huston,56,52.04,47885.7,92021
60,T60,T60,Steve Marino,119,52.04,90489.5,173878
61,62,62,Jon Mills,95,52.02,71158.3,136785
62,63,63,Rory Sabbatini,77,52.0,55424.9,106586
63,64,64,Ryan Moore,72,51.99,58977.7,113443
64,65,65,Brad Adamonis,87,51.94,68125.5,131162
65,66,66,John Senden,93,51.77,71603.8,138314
66,67,67,Kevin Sutherland,98,51.73,75762.8,146444
67,68,68,Geoff Ogilvy,65,51.69,44921.4,86902
68,T69,T69,Carlos Franco,73,51.67,60445.0,116992
69,T69,T69,J.J. Henry,108,51.67,87462.1,169267
70,T71,T71,Aaron Baddeley,76,51.64,55663.4,107796
71,T71,T71,Kevin Stadler,90,51.64,69809.4,135188
72,T73,T73,Robert Allenby,108,51.62,79144.6,153315
73,T73,T73,Steve Lowery,74,51.62,59359.4,115003
74,75,75,John Riegger,73,51.59,57730.8,111912
75,76,76,David Duval,51,51.58,41261.2,79998
76,77,77,Hunter Mahan,87,51.55,62162.0,120585
77,78,78,Parker McLachlin,88,51.51,73352.0,142414
78,T79,T79,Brad Elder,67,51.5,47326.0,91897
79,T79,T79,Bob Sowards,61,51.5,46253.3,89816
80,81,81,Mark Hensby,71,51.43,60143.8,116951
81,82,82,John Rollins,94,51.42,74691.8,145263
82,T83,T83,Joe Ogilvie,100,51.34,78383.9,152685
83,T83,T83,Y.E. Yang,89,51.34,72765.5,141727
84,T85,T85,Stuart Appleby,87,51.32,57748.0,112536
85,T85,T85,Eric Axley,113,51.32,85799.1,167186
86,87,87,Chad Campbell,94,51.3,70745.7,137915
87,88,88,Cody Freeman,66,51.28,49677.4,96871
88,89,89,Michael Allen,91,51.24,76941.0,150152
89,T90,T90,Rod Pampling,83,51.2,61842.9,120791
90,T90,T90,Tom Scherrer,56,51.2,42772.2,83536
91,92,92,Chris Stroud,81,51.19,61948.6,121009
92,93,93,Ben Crane,86,51.14,65182.6,127468
93,T94,T94,Trevor Immelman,70,51.12,43772.8,85632
94,T94,T94,Jesper Parnevik,88,51.12,66677.5,130441
95,96,96,Will MacKenzie,62,51.11,51717.0,101196
96,97,97,Rich Beem,90,51.1,73235.1,143317
97,T98,T98,Ryan Armour,87,51.09,69350.7,135738
98,T98,T98,Alejandro Cañizares,52,51.09,35191.3,68884
99,100,100,Ernie Els,51,51.07,29846.6,58437
100,T101,T101,Jonathan Byrd,88,51.05,70539.8,138178
101,T101,T101,Jeff Gove,50,51.05,38147.3,74724
102,T101,T101,Carl Pettersson,110,51.05,84194.9,164929
103,104,104,Woody Austin,109,51.04,80357.8,157427
104,105,105,Ben Curtis,80,51.03,52390.1,102674
105,T106,T106,David Lutterus,59,51.01,43671.3,85606
106,T106,T106,Kyle Thompson,70,51.01,51692.7,101340
107,108,108,Ken Duke,116,50.96,92215.1,180949
108,109,109,Mike Weir,88,50.91,58501.7,114923
109,T110,T110,Joe Durant,92,50.9,70371.6,138266
110,T110,T110,David Toms,70,50.9,45477.8,89355
111,112,112,Frank Lickliter II,107,50.89,87140.5,171238
112,113,113,Jeff Maggert,86,50.88,70228.2,138035
113,114,114,Mark Wilson,107,50.83,89544.4,176158
114,115,115,Mark Calcavecchia,67,50.82,47533.0,93538
115,116,116,Marco Dawson,64,50.75,51051.2,100589
116,T117,T117,K.J. Choi,74,50.72,47979.6,94605
117,T117,T117,Kent Jones,68,50.72,49504.1,97595
118,T119,T119,Todd Hamilton,92,50.71,67731.8,133557
119,T119,T119,Patrick Sheehan,124,50.71,90296.0,178064
120,121,121,Brett Quigley,80,50.7,67686.0,133498
121,122,122,Retief Goosen,59,50.66,36808.0,72658
122,123,123,Nathan Green,95,50.65,82298.3,162496
123,124,124,Charlie Wi,97,50.64,73503.7,145149
124,125,125,Stephen Ames,83,50.63,55525.9,109663
125,126,126,Tim Petrovic,97,50.62,73649.9,145484
126,127,127,Tommy Armour III,77,50.61,54073.0,106834
127,128,128,Tom Lehman,51,50.6,33635.2,66475
128,129,129,Billy Mayfair,103,50.59,77263.5,152732
129,T130,T130,Brandt Snedeker,85,50.57,57058.3,112821
130,T130,T130,Marc Turnesa,87,50.57,68418.3,135292
131,T132,T132,Steve Stricker,75,50.54,49767.5,98473
132,T132,T132,Vaughn Taylor,103,50.54,79001.0,156313
133,T134,T134,Steve Flesch,95,50.51,74051.2,146593
134,T134,T134,Kevin Na,97,50.51,82009.2,162370
135,136,136,Scott McCarron,63,50.49,45606.7,90320
136,137,137,Billy Andrade,71,50.48,52684.6,104374
137,138,138,Scott Sterling,89,50.45,66707.0,132231
138,139,139,Brett Rumford,72,50.44,54575.5,108195
139,140,140,Lee Janzen,89,50.43,70302.4,139394
140,141,141,Briny Baird,113,50.39,82613.2,163962
141,T142,T142,Doug LaBelle II,65,50.38,41916.7,83195
142,T142,T142,Ian Poulter,51,50.38,30248.0,60040
143,T142,T142,Jay Williamson,96,50.38,71102.7,141142
144,145,145,Jim Furyk,95,50.37,64614.6,128291
145,T146,T146,Justin Bolli,87,50.36,67871.1,134761
146,T146,T146,Kenneth Ferrie,72,50.36,57741.3,114651
147,T146,T146,Peter Lonard,92,50.36,68469.4,135973
148,149,149,Johnson Wagner,83,50.34,59080.2,117365
149,T150,T150,Freddie Jacobson,78,50.29,53496.1,106366
150,T150,T150,Tom Pernice Jr.,104,50.29,80545.4,160176
151,152,152,Bob Tway,70,50.21,49468.6,98526
152,153,153,Alex Cejka,75,50.17,52553.0,104744
153,154,154,Justin Leonard,101,50.16,59918.9,119454
154,155,155,Cliff Kresge,84,50.15,62011.9,123661
155,T156,T156,Cameron Beckman,87,50.13,67383.3,134430
156,T156,T156,Bob Estes,90,50.13,75557.9,150726
157,158,158,Rocco Mediate,87,50.11,58820.2,117374
158,159,159,Robert Gamez,79,50.05,61583.5,123045
159,160,160,J.P. Hayes,67,50.01,53719.3,107410
160,T161,T161,Richard Johnson,60,49.9,38520.9,77195
161,T161,T161,Tim Wilkinson,95,49.9,72326.7,144944
162,163,163,Steve Elkington,84,49.84,65821.1,132063
163,164,164,Tim Clark,90,49.81,56571.9,113582
164,165,165,Jim McGovern,75,49.78,50887.7,102222
165,166,166,John Mallinger,95,49.76,68961.1,138582
166,167,167,Chez Reavie,102,49.71,76063.0,153003
167,168,168,Chris Riley,51,49.59,36167.7,72931
168,T169,T169,Dudley Hart,74,49.58,54828.7,110596
169,T169,T169,Ryuji Imada,80,49.58,61862.5,124763
170,171,171,Brian Davis,108,49.55,86888.6,175359
171,T172,T172,Heath Slocum,104,49.54,74002.8,149367
172,T172,T172,Dean Wilson,109,49.54,79574.4,160628
173,174,174,Bart Bryant,81,49.48,54226.4,109601
174,175,175,Jerry Kelly,89,49.46,60964.7,123254
175,176,176,Chad Collins,72,49.45,53230.7,107655
176,177,177,Scott Verplank,82,49.43,52307.4,105818
177,178,178,Chris DiMarco,87,49.41,66391.6,134361
178,179,179,Matt Kuchar,88,49.29,59495.2,120707
179,180,180,Glen Day,64,49.27,45063.6,91455
180,181,181,Omar Uresti,74,49.25,55907.2,113515
181,182,182,Ron Whittaker,54,49.21,35057.5,71240
182,183,183,Zach Johnson,85,49.07,61529.4,125387
183,T184,T184,Paul Claxton,63,48.94,43169.2,88217
184,T184,T184,Jeff Quinney,87,48.94,63614.9,129987
185,186,186,Greg Kraft,63,48.84,45096.7,92336
186,187,187,Craig Kanada,65,48.83,45590.6,93365
187,188,188,Jin Park,85,48.8,62922.6,128931
188,189,189,Shigeki Maruyama,50,48.79,36284.2,74365
189,190,190,Paul Goydos,78,48.72,56620.7,116220
190,191,191,Nick O'Hern,82,48.58,62830.0,129324
191,192,192,Shane Bertsch,96,48.57,74476.7,153331
192,193,193,Olin Browne,77,48.55,56645.7,116683
193,194,194,Stephen Leaney,53,48.12,38428.7,79860
194,195,195,Brian Gay,102,47.9,67003.0,139871
195,196,196,Gavin Coles,54,47.64,37585.0,78891
196,197,197,Corey Pavin,69,46.53,41777.8,89784
