,Good_Drive_Percentage_RANK THIS WEEK,Good_Drive_Percentage_RANK LAST WEEK,Good_Drive_Percentage_PLAYER NAME,Good_Drive_Percentage_ROUNDS,Good_Drive_Percentage_%,Good_Drive_Percentage_# HIT,Good_Drive_Percentage_TOTAL ATTEMPTS
119,T119,T119,Mathias Grönberg,87,77.95,944,1211
120,121,121,Scott Sterling,89,77.9,966,1240
121,122,122,Ian Poulter,51,77.84,534,686
122,123,123,Daniel Chopra,84,77.76,902,1160
123,124,124,Brian Gay,102,77.75,1108,1425
124,125,125,Adam Scott,51,77.7,533,686
125,126,126,Kevin Streelman,114,77.69,1233,1587
126,127,127,Steve Stricker,75,77.68,783,1008
127,128,128,Chris Stroud,81,77.66,876,1128
128,129,129,Tommy Armour III,77,77.59,831,1071
129,130,130,Dudley Hart,74,77.49,802,1035
130,131,131,Brad Adamonis,87,77.46,938,1211
131,132,132,Dean Wilson,109,77.4,1175,1518
132,133,133,Cliff Kresge,84,77.33,904,1169
133,134,134,Tim Herron,97,77.32,1043,1349
134,135,135,John Merrick,98,77.16,1054,1366
135,T136,T136,Tom Lehman,51,77.0,549,713
136,T136,T136,Tim Wilkinson,95,77.0,1021,1326
137,138,138,Bob Tway,70,76.92,750,975
138,139,139,Justin Bolli,87,76.73,933,1216
139,140,140,Martin Laird,98,76.57,1046,1366
140,T141,T141,Ernie Els,51,76.5,534,698
141,T141,T141,J.B. Holmes,86,76.5,908,1187
142,143,143,Parker McLachlin,88,76.28,936,1227
143,144,144,Jesper Parnevik,88,76.26,935,1226
144,145,145,Cameron Beckman,87,76.24,924,1212
145,146,146,Matt Kuchar,88,76.18,937,1230
146,147,147,Johnson Wagner,83,76.17,882,1158
147,148,148,Tim Petrovic,97,76.04,1028,1352
148,149,149,Ryan Palmer,69,75.96,730,961
149,150,150,Ángel Cabrera,55,75.91,545,718
150,151,151,Kevin Stadler,90,75.89,954,1257
151,152,152,Glen Day,64,75.87,676,891
152,153,153,Corey Pavin,69,75.84,725,956
153,T154,T154,Kenneth Ferrie,72,75.77,760,1003
154,T154,T154,Lee Janzen,89,75.77,938,1238
155,156,156,Carlos Franco,73,75.71,770,1017
156,T157,T157,Paul Claxton,63,75.68,663,876
157,T157,T157,Retief Goosen,59,75.68,613,810
158,159,159,Andres Romero,69,75.67,709,937
159,160,160,Stephen Leaney,53,75.64,559,739
160,161,161,Alex Cejka,75,75.57,789,1044
161,162,162,Jeff Overton,103,75.5,1085,1437
162,163,163,Harrison Frazar,73,75.42,767,1017
163,164,164,Craig Kanada,65,75.3,683,907
164,165,165,Billy Andrade,71,75.15,741,986
165,166,166,Ted Purdy,68,75.05,710,946
166,167,167,Jin Park,85,75.04,887,1182
167,168,168,Jim McGovern,75,74.62,779,1044
168,169,169,Richard Johnson,77,74.44,798,1072
169,170,170,Ron Whittaker,54,74.27,557,750
170,171,171,Matt Jones,95,74.17,982,1324
171,172,172,Gavin Coles,54,74.03,556,751
172,173,173,Cody Freeman,66,73.91,680,920
173,174,174,Doug LaBelle II,65,73.82,671,909
174,175,175,Brett Rumford,72,73.7,737,1000
175,176,176,Eric Axley,113,73.51,1157,1574
176,177,177,Kyle Thompson,70,73.46,717,976
177,178,178,Brenden Pappas,66,73.01,671,919
178,179,179,Richard Johnson,60,72.93,609,835
179,180,180,Jon Mills,95,72.64,961,1323
180,181,181,Tom Scherrer,56,72.44,565,780
181,182,182,Brad Elder,67,72.42,675,932
182,183,183,James Driscoll,85,72.14,852,1181
183,184,184,Jason Allred,63,72.03,631,876
184,185,185,David Duval,51,71.69,509,710
185,186,186,Steve Allan,58,71.57,579,809
186,187,187,Greg Kraft,63,70.99,624,879
187,188,188,Bob Sowards,61,70.86,603,851
188,189,189,Chad Collins,72,70.79,710,1003
189,190,190,David Lutterus,59,70.77,581,821
190,191,191,Tommy Gainey,60,69.74,583,836
191,192,192,Shigeki Maruyama,50,69.41,481,693
192,193,193,Travis Perkins,53,69.28,512,739
193,194,194,Jimmy Walker,73,68.34,695,1017
194,195,195,Alejandro Cañizares,52,68.05,492,723
195,196,196,Marco Dawson,64,67.94,604,889
196,197,197,Chris Riley,51,67.7,480,709
