,Distance_from_Center_of_Fairway_RANK THIS WEEK,Distance_from_Center_of_Fairway_RANK LAST WEEK,Distance_from_Center_of_Fairway_PLAYER NAME,Distance_from_Center_of_Fairway_EVENTS,Distance_from_Center_of_Fairway_AVG,Distance_from_Center_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Center_of_Fairway_TOTAL STROKES
0,1,1,Ian Poulter,15,"19' 8""",4625.083,235
1,2,2,Rocco Mediate,27,"23' 1""",11182.0,485
2,3,3,Phil Mickelson,21,"23' 2""",9097.583,392
3,4,4,Anthony Kim,22,"23' 5""",9869.667,422
4,5,5,Carl Pettersson,29,"23' 11""",15472.833,646
5,6,6,Mark Hensby,26,"24' 0""",10216.583,426
6,7,7,Ted Purdy,25,"24' 2""",7722.0830000000005,320
7,8,8,Frank Lickliter II,32,"24' 3""",16719.583,689
8,9,9,Fred Couples,18,"24' 4""",7127.9169999999995,293
9,T10,T10,Stuart Appleby,23,"24' 5""",9657.0,396
10,T10,T10,Alejandro Cañizares,16,"24' 5""",6958.6669999999995,285
11,T12,T12,Sergio Garcia,19,"24' 6""",9646.0,394
12,T12,T12,Jeff Maggert,28,"24' 6""",13417.417,548
13,14,14,John Senden,28,"24' 7""",15113.667,614
14,T15,T15,Tim Herron,28,"24' 8""",13905.0,564
15,T15,T15,Y.E. Yang,29,"24' 8""",13966.917,566
16,T17,T17,Justin Bolli,28,"24' 9""",12433.5,502
17,T17,T17,Steve Lowery,25,"24' 9""",9894.25,400
18,T19,T19,Parker McLachlin,27,"24' 10""",10749.583,433
19,T19,T19,Brenden Pappas,24,"24' 10""",7224.8330000000005,291
20,T19,T19,Johnson Wagner,26,"24' 10""",9920.083,399
21,T22,T22,Brandt Jobe,19,"24' 11""",5474.25,220
22,T22,T22,Kenny Perry,26,"24' 11""",12671.0,508
23,T24,T24,Kenneth Ferrie,25,"25' 0""",10597.167,424
24,T24,T24,Mathias Grönberg,30,"25' 0""",12984.333,519
25,T24,T24,Cliff Kresge,28,"25' 0""",10644.917,426
26,T24,T24,Kevin Stadler,30,"25' 0""",12536.833,502
27,28,28,John Merrick,28,"25' 1""",14182.0,565
28,T29,T29,David Lutterus,23,"25' 2""",6584.6669999999995,262
29,T29,T29,Omar Uresti,24,"25' 2""",11519.75,457
30,31,31,Kevin Sutherland,26,"25' 3""",14053.167,556
31,T32,T32,Chris DiMarco,29,"25' 4""",12068.417,476
32,T32,T32,Ernie Els,16,"25' 4""",7065.25,279
33,T32,T32,Richard Johnson,29,"25' 4""",10319.583,407
34,T32,T32,John Mallinger,29,"25' 4""",16154.5,638
35,T32,T32,Ryan Palmer,22,"25' 4""",7878.6669999999995,311
36,T37,T37,Tommy Armour III,25,"25' 5""",10759.5,423
37,T37,T37,Stewart Cink,23,"25' 5""",9864.5,388
38,T37,T37,Nicholas Thompson,36,"25' 5""",16334.583,642
39,T40,T40,Tim Clark,27,"25' 6""",13485.917,529
40,T40,T40,Trevor Immelman,22,"25' 6""",9161.833,359
41,T40,T40,Justin Leonard,25,"25' 6""",15726.0,617
42,T40,T40,Steve Marino,32,"25' 6""",17811.083,698
43,T40,T40,Kevin Streelman,32,"25' 6""",15268.917,598
44,T40,T40,Vaughn Taylor,32,"25' 6""",15217.667,596
45,T46,T46,Jason Day,28,"25' 7""",12128.083,474
46,T46,T46,Carlos Franco,25,"25' 7""",9850.417,385
47,T46,T46,Freddie Jacobson,24,"25' 7""",11186.75,437
48,T46,T46,Tom Lehman,17,"25' 7""",6160.25,241
49,T46,T46,Jeff Overton,32,"25' 7""",13596.75,531
50,T46,T46,Rod Pampling,28,"25' 7""",11470.833,448
51,52,52,Pat Perez,27,"25' 8""",14076.667,548
52,T53,T53,Paul Casey,16,"25' 9""",7257.1669999999995,282
53,T53,T53,Mathew Goggin,27,"25' 9""",16021.167,623
54,T53,T53,Dudley Hart,22,"25' 9""",10438.25,406
55,T53,T53,Davis Love III,23,"25' 9""",10969.25,426
56,T53,T53,Travis Perkins,23,"25' 9""",5078.167,197
57,T53,T53,John Riegger,24,"25' 9""",12847.75,499
58,T59,T59,Richard Johnson,21,"25' 10""",7810.0830000000005,302
59,T59,T59,Jerry Kelly,31,"25' 10""",13673.917,530
60,T59,T59,Brett Rumford,26,"25' 10""",8040.6669999999995,311
61,T59,T59,Brandt Snedeker,26,"25' 10""",12443.333,482
62,T63,T63,Robert Gamez,26,"25' 11""",15896.25,614
63,T63,T63,J.J. Henry,34,"25' 11""",18657.917,719
64,T63,T63,Heath Slocum,29,"25' 11""",17545.583,676
65,T63,T63,David Toms,20,"25' 11""",10148.667,392
66,T63,T63,Camilo Villegas,22,"25' 11""",10619.75,410
67,T63,T63,Jimmy Walker,24,"25' 11""",8173.5,315
68,T69,T69,Robert Allenby,28,"26' 0""",17151.583,659
69,T69,T69,Paul Claxton,23,"26' 0""",8135.6669999999995,313
70,T69,T69,James Driscoll,28,"26' 0""",9935.25,382
71,T69,T69,Ken Duke,33,"26' 0""",16318.833,627
72,T69,T69,Joe Durant,28,"26' 0""",16390.75,631
73,T69,T69,Charley Hoffman,29,"26' 0""",14296.833,550
74,T69,T69,Billy Mayfair,29,"26' 0""",18202.25,701
75,T69,T69,Jon Mills,32,"26' 0""",10282.417,395
76,T69,T69,Chez Reavie,30,"26' 0""",15895.25,611
77,T69,T69,Bob Sowards,22,"26' 0""",7175.0830000000005,276
78,T79,T79,Ben Crane,25,"26' 1""",15399.25,591
79,T79,T79,Troy Matteson,30,"26' 1""",14264.833,547
80,T79,T79,Sean O'Hair,25,"26' 1""",11206.667,430
81,T79,T79,Geoff Ogilvy,20,"26' 1""",9142.917,351
82,T83,T83,Brian Davis,34,"26' 2""",19623.5,750
83,T83,T83,Jim Furyk,26,"26' 2""",14530.417,556
84,T83,T83,Retief Goosen,18,"26' 2""",7188.4169999999995,275
85,T83,T83,John Rollins,28,"26' 2""",14767.833,565
86,T83,T83,Chris Stroud,29,"26' 2""",12411.667,474
87,T88,T88,Harrison Frazar,23,"26' 3""",8763.0,334
88,T88,T88,Tag Ridings,29,"26' 3""",12661.5,482
89,T88,T88,Andres Romero,20,"26' 3""",7969.75,304
90,T88,T88,Jay Williamson,33,"26' 3""",16977.417,647
91,T92,T92,Michael Letzig,29,"26' 4""",12936.583,492
92,T92,T92,Ryan Moore,24,"26' 4""",11446.167,434
93,T92,T92,Charles Warren,29,"26' 4""",13277.833,504
94,T95,T95,Ben Curtis,22,"26' 5""",12083.75,458
95,T95,T95,Steve Elkington,25,"26' 5""",16046.083,608
96,T95,T95,Scott McCarron,22,"26' 5""",9848.25,373
97,T95,T95,Vijay Singh,23,"26' 5""",12057.417,457
98,T99,T99,Nathan Green,30,"26' 6""",14940.583,564
99,T99,T99,Kyle Thompson,26,"26' 6""",9455.667,357
100,T101,T101,Nick Flanagan,29,"26' 7""",13524.917,508
101,T101,T101,Patrick Sheehan,35,"26' 7""",19146.167,720
102,T103,T103,Stephen Ames,24,"26' 8""",13423.083,504
103,T103,T103,Briny Baird,30,"26' 8""",17520.5,658
104,T103,T103,K.J. Choi,21,"26' 8""",11104.417,416
105,T103,T103,Robert Garrigus,29,"26' 8""",13299.167,498
106,T103,T103,Will MacKenzie,21,"26' 8""",10286.167,386
107,T103,T103,Brett Quigley,25,"26' 8""",13634.417,511
108,T103,T103,Boo Weekley,24,"26' 8""",13857.0,519
109,T110,T110,Shane Bertsch,29,"26' 9""",16911.583,632
110,T110,T110,Dustin Johnson,30,"26' 9""",10973.0,410
111,T110,T110,Tom Pernice Jr.,30,"26' 9""",16870.583,630
112,T110,T110,Charlie Wi,27,"26' 9""",15452.417,578
113,T110,T110,Tim Wilkinson,29,"26' 9""",15136.417,566
114,T115,T115,Brad Adamonis,29,"26' 10""",11005.0,410
115,T115,T115,Michael Allen,28,"26' 10""",17033.583,635
116,T115,T115,Bart Bryant,23,"26' 10""",13667.917,509
117,T115,T115,Chad Campbell,28,"26' 10""",16013.083,596
118,T115,T115,Ryuji Imada,25,"26' 10""",13215.833,493
119,T115,T115,Peter Lonard,30,"26' 10""",15544.25,579
120,T121,T121,Aaron Baddeley,22,"26' 11""",11403.083,424
121,T121,T121,Tommy Gainey,24,"26' 11""",7955.5830000000005,296
122,T121,T121,Doug LaBelle II,22,"26' 11""",10616.583,395
123,T121,T121,D.J. Trahan,27,"26' 11""",13417.333,499
124,125,125,Bo Van Pelt,32,"27' 0""",15368.0,569
125,T126,T126,Cameron Beckman,29,"27' 1""",13044.333,481
126,T126,T126,Lucas Glover,26,"27' 1""",14172.75,523
127,T126,T126,Hunter Mahan,27,"27' 1""",14914.083,550
128,T129,T129,George McNeill,29,"27' 2""",15653.083,576
129,T129,T129,Mark Wilson,29,"27' 2""",20850.667,767
130,T131,T131,Rich Beem,29,"27' 3""",15756.333,578
131,T131,T131,J.B. Holmes,26,"27' 3""",10719.333,393
132,T131,T131,Greg Kraft,21,"27' 3""",10109.833,371
133,T131,T131,Kevin Na,29,"27' 3""",17068.167,626
134,T131,T131,Jesper Parnevik,29,"27' 3""",13968.083,512
135,T131,T131,Rory Sabbatini,23,"27' 3""",14838.583,544
136,137,137,Jonathan Byrd,27,"27' 4""",15371.583,562
137,T138,T138,Glen Day,19,"27' 5""",9018.5,329
138,T138,T138,Nick O'Hern,26,"27' 5""",13819.417,504
139,T138,T138,Scott Sterling,28,"27' 5""",14137.0,515
140,T141,T141,Alex Cejka,25,"27' 6""",10315.75,375
141,T141,T141,Todd Hamilton,28,"27' 6""",13878.0,505
142,T141,T141,Shigeki Maruyama,18,"27' 6""",6679.25,243
143,T141,T141,Dean Wilson,32,"27' 6""",14829.417,540
144,T145,T145,Brad Elder,23,"27' 7""",8837.083,320
145,T145,T145,Marc Turnesa,29,"27' 7""",14454.833,524
146,T147,T147,Steve Allan,21,"27' 8""",7397.1669999999995,267
147,T147,T147,J.P. Hayes,26,"27' 8""",10001.75,361
148,T147,T147,Martin Laird,29,"27' 8""",15846.167,572
149,T150,T150,Jason Allred,23,"27' 9""",6576.5830000000005,237
150,T150,T150,Jason Gore,33,"27' 9""",16770.917,605
151,T152,T152,Ryan Armour,32,"27' 10""",14949.5,537
152,T152,T152,Marco Dawson,21,"27' 10""",8215.083,295
153,T152,T152,Charles Howell III,31,"27' 10""",15758.083,567
154,T152,T152,Zach Johnson,25,"27' 10""",17219.667,619
155,T152,T152,Tim Petrovic,32,"27' 10""",15520.583,557
156,T157,T157,Matt Jones,31,"27' 11""",14324.833,513
157,T157,T157,Craig Kanada,23,"27' 11""",9432.25,338
158,T159,T159,Woody Austin,30,"28' 0""",18561.75,662
159,T159,T159,Bill Haas,31,"28' 0""",13571.5,485
160,T159,T159,Matt Kuchar,27,"28' 0""",12586.833,449
161,T159,T159,Scott Verplank,24,"28' 0""",16506.167,590
162,T163,T163,Olin Browne,27,"28' 1""",15516.667,553
163,T163,T163,Mark Calcavecchia,25,"28' 1""",11075.25,394
164,T163,T163,Padraig Harrington,15,"28' 1""",6144.4169999999995,219
165,T163,T163,Bob Tway,20,"28' 1""",8897.0,317
166,167,167,Nick Watney,27,"28' 2""",15729.75,559
167,T168,T168,Cody Freeman,26,"28' 3""",9435.583,334
168,T168,T168,Adam Scott,15,"28' 3""",7198.5,255
169,T168,T168,Mike Weir,26,"28' 3""",13051.167,462
170,T171,T171,Brian Gay,31,"28' 7""",18608.0,651
171,T171,T171,Bubba Watson,29,"28' 7""",12984.083,454
172,T173,T173,Stephen Leaney,17,"28' 9""",7440.0830000000005,259
173,T173,T173,Joe Ogilvie,29,"28' 9""",16137.833,562
174,T173,T173,Jin Park,30,"28' 9""",12224.333,425
175,T173,T173,Jeff Quinney,28,"28' 9""",14806.833,515
176,T177,T177,Paul Goydos,25,"28' 10""",16394.333,569
177,T177,T177,Lee Janzen,28,"28' 10""",13131.25,455
178,T177,T177,Kent Jones,23,"28' 10""",10199.833,354
179,180,180,Ron Whittaker,22,"28' 11""",7574.0,262
180,181,181,Steve Stricker,22,"29' 1""",12528.083,431
181,T182,T182,Todd Demsey,25,"29' 2""",11808.417,405
182,T182,T182,Jim McGovern,26,"29' 2""",9886.5,339
183,T184,T184,Ángel Cabrera,17,"29' 4""",7943.1669999999995,271
184,T184,T184,Daniel Chopra,27,"29' 4""",12289.083,419
185,T184,T184,Steve Flesch,29,"29' 4""",15945.25,543
186,187,187,John Huston,18,"29' 5""",6742.5,229
187,188,188,Jeff Gove,18,"29' 7""",7878.0830000000005,266
188,T189,T189,Eric Axley,35,"29' 10""",16486.833,553
189,T189,T189,Chris Riley,17,"29' 10""",5813.1669999999995,195
190,191,191,Bob Estes,28,"30' 2""",18335.917,608
191,192,192,Chad Collins,24,"30' 3""",11163.917,369
192,193,193,Tom Scherrer,20,"30' 4""",9006.25,297
193,194,194,Billy Andrade,24,"30' 6""",9766.917,320
194,195,195,David Duval,20,"32' 1""",7723.3330000000005,241
195,196,196,Corey Pavin,20,"32' 2""",9143.167,284
196,197,197,Gavin Coles,16,"37' 0""",7404.6669999999995,200
