,Launch_Angle_RANK THIS WEEK,Launch_Angle_RANK LAST WEEK,Launch_Angle_PLAYER NAME,Launch_Angle_ROUNDS,Launch_Angle_AVG.,Launch_Angle_TOTAL VERT. LAUNCH ANGLE,Launch_Angle_TOTAL ATTEMPTS,Launch_Angle_LOWEST LAUNCH ANGLE,Launch_Angle_STEEPEST LAUNCH ANGLE
0,1,1,Mark Wilson,107,14.02,1500.23,107,9.09,17.68
1,2,2,Nicholas Thompson,113,13.56,1193.36,88,8.87,19.9
2,3,3,Justin Bolli,87,13.53,933.56,69,10.54,16.78
3,4,4,Greg Kraft,63,13.48,606.75,45,9.58,17.07
4,5,5,Jeff Maggert,86,13.4,1045.16,78,8.93,16.27
5,6,6,Glen Day,64,13.38,642.26,48,10.22,18.58
6,7,7,Alex Cejka,75,13.28,690.64,52,9.57,16.83
7,8,8,Vaughn Taylor,103,13.25,1153.08,87,10.59,16.52
8,9,9,Chez Reavie,102,13.22,1229.54,93,10.77,16.31
9,10,10,Brandt Snedeker,85,13.15,933.45,71,8.94,16.25
10,11,11,Jeff Gove,50,13.01,507.43,39,8.08,15.85
11,12,12,Harrison Frazar,73,12.99,675.62,52,9.91,19.96
12,13,13,Heath Slocum,104,12.97,1167.45,90,9.84,15.96
13,14,14,Tim Herron,97,12.94,1009.71,78,9.8,17.02
14,15,15,Vijay Singh,82,12.92,801.24,62,9.3,15.66
15,16,16,Tommy Armour III,77,12.88,837.08,65,9.62,16.25
16,17,17,Steve Marino,119,12.83,1129.39,88,8.63,16.77
17,T18,T18,J.P. Hayes,67,12.8,780.61,61,8.0,16.42
18,T18,T18,Ryan Palmer,69,12.8,575.78,45,8.91,16.27
19,T18,T18,Brenden Pappas,66,12.8,550.47,43,7.5,15.79
20,21,21,Ryan Armour,87,12.74,853.34,67,10.24,15.33
21,T22,T22,Tim Clark,90,12.7,888.71,70,8.7,17.05
22,T22,T22,Ben Crane,86,12.7,952.68,75,9.48,16.44
23,T22,T22,Brian Davis,108,12.7,1270.17,100,8.44,16.89
24,25,25,Kyle Thompson,70,12.63,707.37,56,8.09,15.69
25,26,26,Kevin Stadler,90,12.61,744.02,59,5.91,17.22
26,27,27,Tommy Gainey,60,12.6,504.2,40,9.22,17.71
27,T28,T28,Stewart Cink,87,12.59,717.59,57,8.74,16.97
28,T28,T28,Billy Mayfair,103,12.59,1133.17,90,7.92,17.1
29,30,30,Joe Ogilvie,100,12.57,1018.23,81,8.22,16.56
30,31,31,Andres Romero,69,12.55,564.87,45,6.71,15.68
31,32,32,Paul Goydos,78,12.52,813.54,65,4.84,18.86
32,T33,T33,Tom Pernice Jr.,104,12.51,1213.73,97,8.15,16.32
33,T33,T33,Kenny Perry,97,12.51,1075.59,86,6.9,16.36
34,T35,T35,Padraig Harrington,52,12.48,324.55,26,8.06,18.33
35,T35,T35,Carl Pettersson,110,12.48,1185.37,95,9.1,15.09
36,37,37,Jerry Kelly,89,12.47,947.76,76,8.59,17.43
37,38,38,Brian Gay,102,12.41,1079.9,87,8.86,17.37
38,39,39,Stephen Leaney,53,12.39,495.7,40,9.27,14.54
39,40,40,Scott Verplank,82,12.37,890.72,72,6.85,18.25
40,T41,T41,Cliff Kresge,84,12.36,864.93,70,9.69,15.21
41,T41,T41,David Toms,70,12.36,667.61,54,9.17,15.21
42,43,43,Kevin Sutherland,98,12.33,1060.11,86,8.85,16.12
43,T44,T44,Robert Garrigus,90,12.32,788.24,64,8.04,15.46
44,T44,T44,David Lutterus,59,12.32,554.2,45,7.61,15.92
45,T44,T44,Jin Park,85,12.32,800.83,65,8.76,16.24
46,47,47,Craig Kanada,65,12.31,603.07,49,9.08,15.15
47,48,48,Nick O'Hern,82,12.3,762.44,62,5.69,16.58
48,49,49,Jimmy Walker,73,12.28,601.96,49,7.9,16.94
49,T50,T50,Doug LaBelle II,65,12.26,551.85,45,9.43,15.76
50,T50,T50,Geoff Ogilvy,65,12.26,576.42,47,9.21,16.58
51,52,52,Gavin Coles,54,12.24,452.93,37,8.84,18.1
52,53,53,Mark Hensby,71,12.23,709.06,58,9.14,17.84
53,T54,T54,Cameron Beckman,87,12.21,744.81,61,6.82,14.95
54,T54,T54,Ernie Els,51,12.21,463.97,38,8.75,14.75
55,56,56,Peter Lonard,92,12.2,976.14,80,8.75,17.02
56,57,57,Hunter Mahan,87,12.18,877.04,72,9.77,15.68
57,58,58,Shigeki Maruyama,50,12.16,522.85,43,9.94,16.26
58,59,59,Kent Jones,68,12.04,589.9,49,8.46,14.73
59,60,60,Frank Lickliter II,107,12.0,1103.82,92,9.64,15.35
60,T61,T61,Olin Browne,77,11.98,790.86,66,8.81,15.86
61,T61,T61,Jim McGovern,75,11.98,718.58,60,8.78,16.04
62,T61,T61,Brett Quigley,80,11.98,743.06,62,5.88,15.13
63,64,64,John Mallinger,95,11.94,931.59,78,9.28,14.88
64,65,65,Matt Kuchar,88,11.93,763.31,64,6.65,16.07
65,66,66,John Huston,56,11.82,531.75,45,6.67,16.21
66,67,67,Brad Elder,67,11.81,590.35,50,9.11,15.01
67,T68,T68,Robert Gamez,79,11.79,754.49,64,8.1,15.52
68,T68,T68,Jesper Parnevik,88,11.79,848.97,72,7.79,16.56
69,70,70,K.J. Choi,74,11.78,741.84,63,8.33,14.63
70,71,71,Bo Van Pelt,101,11.77,953.29,81,9.13,16.32
71,72,72,Jason Day,81,11.74,868.58,74,7.62,14.67
72,T73,T73,Anthony Kim,81,11.73,762.35,65,8.86,17.67
73,T73,T73,Steve Stricker,75,11.73,633.18,54,9.16,15.89
74,75,75,Fred Couples,60,11.7,397.67,34,8.3,14.15
75,76,76,Eric Axley,113,11.63,1012.01,87,7.41,15.32
76,77,77,Robert Allenby,108,11.61,940.19,81,8.39,16.46
77,78,78,Patrick Sheehan,124,11.6,1102.07,95,6.2,14.86
78,79,79,Mathias Grönberg,87,11.59,764.79,66,8.19,14.19
79,80,80,Paul Claxton,63,11.58,532.5,46,7.12,15.11
80,T81,T81,Rocco Mediate,87,11.55,797.06,69,8.35,15.87
81,T81,T81,Jay Williamson,96,11.55,785.07,68,8.58,14.65
82,83,83,John Rollins,94,11.54,854.0,74,8.35,14.29
83,84,84,Alejandro Cañizares,52,11.52,472.2,41,8.94,14.37
84,85,85,J.B. Holmes,86,11.51,506.43,44,3.48,16.94
85,86,86,Ted Purdy,68,11.5,517.32,45,8.4,15.4
86,87,87,Ben Curtis,80,11.49,781.19,68,8.23,14.94
87,88,88,Steve Allan,58,11.46,481.42,42,8.1,15.69
88,89,89,Tom Scherrer,56,11.45,435.17,38,3.18,15.56
89,T90,T90,Charley Hoffman,94,11.43,994.04,87,6.74,15.06
90,T90,T90,Omar Uresti,74,11.43,628.41,55,7.56,15.76
91,92,92,Jeff Overton,103,11.41,867.49,76,2.06,16.93
92,93,93,Michael Letzig,88,11.38,773.57,68,8.22,18.25
93,94,94,Steve Elkington,84,11.36,704.53,62,7.09,15.93
94,95,95,Briny Baird,113,11.34,963.63,85,7.58,15.96
95,96,96,Kenneth Ferrie,72,11.33,623.41,55,7.52,16.15
96,T97,T97,Nick Flanagan,89,11.31,848.37,75,6.61,16.71
97,T97,T97,Dean Wilson,109,11.31,972.88,86,7.41,15.6
98,99,99,Mathew Goggin,91,11.27,800.37,71,6.41,14.5
99,100,100,Cody Freeman,66,11.25,562.27,50,7.13,14.72
100,101,101,Zach Johnson,85,11.24,854.16,76,7.55,15.82
101,102,102,Rich Beem,90,11.21,818.6,73,6.98,15.73
102,103,103,Jason Gore,94,11.17,659.25,59,1.73,16.59
103,104,104,Richard Johnson,60,11.16,535.88,48,3.0,14.87
104,105,105,Chris Stroud,81,11.15,702.14,63,7.15,15.16
105,106,106,Retief Goosen,59,11.1,410.62,37,6.39,14.04
106,107,107,Tim Wilkinson,95,11.09,832.12,75,7.66,15.52
107,108,108,Mark Calcavecchia,67,11.08,520.67,47,2.13,16.54
108,T109,T109,Dudley Hart,74,11.07,708.66,64,1.57,16.55
109,T109,T109,Davis Love III,78,11.07,597.77,54,8.14,14.35
110,T109,T109,John Merrick,98,11.07,775.06,70,8.76,15.32
111,T112,T112,Billy Andrade,71,11.06,552.86,50,7.63,13.9
112,T112,T112,Charles Warren,79,11.06,730.28,66,7.53,16.34
113,114,114,Dustin Johnson,92,11.05,751.28,68,6.71,14.53
114,115,115,Ryan Moore,72,10.99,615.54,56,5.53,14.04
115,116,116,D.J. Trahan,94,10.98,790.4,72,7.39,15.85
116,T117,T117,Shane Bertsch,96,10.91,970.66,89,3.2,16.89
117,T117,T117,Adam Scott,51,10.91,370.91,34,8.48,13.76
118,119,119,Ryuji Imada,80,10.88,729.19,67,5.0,15.5
119,120,120,Paul Casey,55,10.86,336.77,31,8.47,15.02
120,121,121,Ron Whittaker,54,10.85,423.2,39,8.47,12.97
121,122,122,Jon Mills,95,10.84,606.96,56,7.04,13.81
122,123,123,Rod Pampling,83,10.83,671.45,62,5.55,18.2
123,124,124,Camilo Villegas,79,10.78,635.94,59,1.47,14.71
124,125,125,Chris DiMarco,87,10.77,775.78,72,7.16,13.84
125,126,126,Freddie Jacobson,78,10.76,677.89,63,6.22,13.91
126,T127,T127,Ángel Cabrera,55,10.75,397.73,37,2.03,18.66
127,T127,T127,Jim Furyk,95,10.75,902.86,84,7.45,13.22
128,T127,T127,Sean O'Hair,81,10.75,687.72,64,5.25,14.0
129,130,130,Ian Poulter,51,10.72,396.68,37,7.25,14.72
130,131,131,George McNeill,97,10.71,920.73,86,5.51,13.49
131,T132,T132,Justin Leonard,101,10.7,834.44,78,6.37,14.05
132,T132,T132,Steve Lowery,74,10.7,674.07,63,1.97,13.85
133,T134,T134,Troy Matteson,94,10.68,918.51,86,7.73,15.03
134,T134,T134,Jeff Quinney,87,10.68,661.96,62,5.4,15.81
135,136,136,Marco Dawson,64,10.64,489.51,46,6.73,14.24
136,137,137,Matt Jones,95,10.63,786.31,74,6.98,17.13
137,T138,T138,Stuart Appleby,87,10.6,656.91,62,4.12,13.73
138,T138,T138,Tom Lehman,51,10.6,402.75,38,7.66,15.67
139,T140,T140,Martin Laird,98,10.59,793.94,75,6.4,13.13
140,T140,T140,Brett Rumford,72,10.59,592.79,56,5.51,16.42
141,T142,T142,Jonathan Byrd,88,10.58,825.62,78,6.31,15.03
142,T142,T142,Scott Sterling,89,10.58,698.34,66,3.05,14.22
143,144,144,Daniel Chopra,84,10.56,696.68,66,7.26,13.23
144,T145,T145,Lucas Glover,91,10.52,841.89,80,5.09,14.94
145,T145,T145,Richard Johnson,77,10.52,641.85,61,1.08,13.44
146,T147,T147,Todd Hamilton,92,10.51,483.46,46,5.23,13.19
147,T147,T147,Pat Perez,93,10.51,756.56,72,6.93,17.99
148,149,149,Jason Allred,63,10.47,470.99,45,6.11,14.53
149,150,150,Charlie Wi,97,10.44,918.42,88,6.08,17.25
150,151,151,Lee Janzen,89,10.42,708.5,68,3.98,17.11
151,152,152,Johnson Wagner,83,10.38,674.55,65,6.82,15.42
152,153,153,Woody Austin,109,10.36,953.38,92,2.51,13.61
153,154,154,Brad Adamonis,87,10.35,734.93,71,2.11,15.85
154,155,155,J.J. Henry,108,10.24,962.23,94,3.64,14.41
155,156,156,Travis Perkins,53,10.22,255.56,25,7.48,12.81
156,157,157,Rory Sabbatini,77,10.21,683.87,67,3.01,14.16
157,158,158,Chad Campbell,94,10.17,925.57,91,1.65,19.49
158,T159,T159,Todd Demsey,80,10.16,670.82,66,3.21,14.17
159,T159,T159,Bob Tway,70,10.16,498.04,49,5.21,14.54
160,T161,T161,Will MacKenzie,62,10.06,573.65,57,4.57,13.22
161,T161,T161,Bob Sowards,61,10.06,432.65,43,7.04,13.6
162,163,163,John Riegger,73,10.05,562.81,56,5.85,13.81
163,164,164,Marc Turnesa,87,10.02,701.66,70,2.47,16.69
164,T165,T165,Phil Mickelson,80,10.01,530.64,53,4.41,16.54
165,T165,T165,Kevin Na,97,10.01,800.72,80,3.53,14.19
166,167,167,Scott McCarron,63,9.98,498.97,50,6.47,15.05
167,T168,T168,Corey Pavin,69,9.97,488.38,49,1.9,15.29
168,T168,T168,Chris Riley,51,9.97,319.05,32,4.55,12.6
169,170,170,Bubba Watson,97,9.9,643.42,65,0.4,15.54
170,171,171,Nathan Green,95,9.86,710.23,72,3.82,14.5
171,172,172,Boo Weekley,86,9.83,678.08,69,5.82,14.34
172,173,173,Tim Petrovic,97,9.81,735.77,75,6.46,12.75
173,174,174,Brandt Jobe,52,9.77,390.99,40,5.83,14.33
174,175,175,Bill Haas,99,9.71,844.68,87,4.97,12.59
175,176,176,Kevin Streelman,114,9.69,842.83,87,0.66,13.44
176,177,177,Parker McLachlin,88,9.65,655.95,68,2.11,14.93
177,178,178,Joe Durant,92,9.62,740.76,77,5.14,14.35
178,179,179,Steve Flesch,95,9.57,774.86,81,1.53,12.72
179,180,180,David Duval,51,9.56,296.4,31,1.79,18.95
180,181,181,Stephen Ames,83,9.54,696.21,73,3.88,13.63
181,182,182,John Senden,93,9.52,676.06,71,1.46,13.74
182,183,183,Y.E. Yang,89,9.41,686.79,73,0.16,13.6
183,184,184,Mike Weir,88,9.37,637.37,68,2.67,13.75
184,185,185,Nick Watney,96,9.27,677.0,73,6.13,11.75
185,186,186,Chad Collins,72,9.21,561.7,61,3.15,14.35
186,187,187,Bart Bryant,81,9.16,640.95,70,2.88,13.35
187,188,188,Bob Estes,90,8.99,629.18,70,1.75,14.65
188,T189,T189,Ken Duke,116,8.98,871.3,97,1.15,13.24
189,T189,T189,Tag Ridings,88,8.98,628.62,70,0.11,12.83
190,191,191,Sergio Garcia,72,8.76,429.18,49,1.2,14.07
191,192,192,Aaron Baddeley,76,8.66,484.93,56,4.62,12.48
192,193,193,Trevor Immelman,70,8.55,427.6,50,5.57,12.01
193,194,194,James Driscoll,85,8.51,544.54,64,3.19,11.84
194,195,195,Michael Allen,91,8.28,579.59,70,1.4,12.96
195,196,196,Carlos Franco,73,8.12,365.42,45,1.22,13.26
196,197,197,Charles Howell III,101,7.89,647.26,82,2.3,10.31
