,Carry_Distance_RANK THIS WEEK,Carry_Distance_RANK LAST WEEK,Carry_Distance_PLAYER NAME,Carry_Distance_ROUNDS,Carry_Distance_AVG.,Carry_Distance_TOTAL DIST. TO IMPACT,Carry_Distance_TOTAL ATTEMPTS,Carry_Distance_LONGEST CARRY DISTANCE,Carry_Distance_SHORTEST CARRY DISTANCE
0,1,1,J.B. Holmes,86,307.9,12622.0,41,356.9,260.9
1,2,2,Ángel Cabrera,55,301.6,8446.1,28,342.4,235.5
2,3,3,Robert Garrigus,90,301.5,18694.5,62,342.2,272.1
3,4,4,Dustin Johnson,92,297.7,15184.8,51,327.5,260.0
4,5,5,Bubba Watson,97,294.0,15580.8,53,341.5,222.4
5,6,6,Nick Watney,96,291.6,20414.0,70,329.2,246.7
6,7,7,Charley Hoffman,94,290.6,24122.8,83,334.1,259.1
7,8,8,Travis Perkins,53,289.9,5797.7,20,312.9,265.1
8,9,9,Paul Casey,55,289.1,8384.9,29,318.1,251.2
9,T10,T10,Anthony Kim,81,288.6,17893.9,62,322.5,257.7
10,T10,T10,George McNeill,97,288.6,23091.2,80,320.5,253.8
11,12,12,Tag Ridings,88,288.0,17569.8,61,321.9,255.5
12,13,13,Vijay Singh,82,287.9,16123.5,56,329.7,254.5
13,14,14,Jason Allred,63,287.1,9760.3,34,328.2,252.9
14,15,15,Charles Warren,79,286.7,17773.6,62,319.2,250.1
15,16,16,Harrison Frazar,73,286.2,12878.8,45,312.4,255.5
16,17,17,Davis Love III,78,286.0,15156.1,53,312.9,258.5
17,T18,T18,Daniel Chopra,84,285.4,15411.9,54,324.0,249.5
18,T18,T18,Jason Gore,94,285.4,14842.4,52,316.3,254.7
19,20,20,Adam Scott,51,285.2,9126.9,32,318.6,249.6
20,21,21,Andres Romero,69,285.0,11113.6,39,320.1,247.0
21,22,22,Fred Couples,60,284.7,9679.6,34,312.8,246.6
22,23,23,Lucas Glover,91,283.7,20708.0,73,321.3,245.5
23,T24,T24,Stewart Cink,87,283.5,13610.1,48,321.3,251.2
24,T24,T24,Martin Laird,98,283.5,19846.1,70,321.3,251.3
25,26,26,Richard Johnson,77,283.3,14730.7,52,325.3,199.4
26,27,27,Pat Perez,93,282.6,20064.1,71,310.0,257.3
27,28,28,Steve Allan,58,282.5,10733.7,38,312.1,236.9
28,29,29,Troy Matteson,94,281.9,21990.0,78,311.1,237.8
29,30,30,Ryan Palmer,69,281.8,10144.3,36,317.8,233.5
30,31,31,Bill Haas,99,281.3,21941.2,78,311.8,238.0
31,32,32,Geoff Ogilvy,65,281.0,12365.7,44,308.5,249.5
32,33,33,Brenden Pappas,66,280.9,10675.0,38,314.4,256.2
33,34,34,James Driscoll,85,280.4,16826.3,60,313.0,212.7
34,35,35,Padraig Harrington,52,280.1,6162.2,22,303.6,243.8
35,36,36,Nicholas Thompson,113,280.0,22116.6,79,314.3,255.5
36,T37,T37,Jason Day,81,279.3,17593.9,63,314.3,241.8
37,T37,T37,Sergio Garcia,72,279.3,12567.7,45,333.1,247.3
38,39,39,Bo Van Pelt,101,278.5,20884.9,75,301.2,251.9
39,40,40,Phil Mickelson,80,278.1,12237.0,44,308.8,245.6
40,41,41,Tommy Gainey,60,277.7,9719.5,35,318.0,237.0
41,42,42,Sean O'Hair,81,277.6,15825.4,57,315.1,212.0
42,43,43,Jimmy Walker,73,277.5,12764.5,46,310.3,240.6
43,44,44,Woody Austin,109,277.4,23856.5,86,320.6,241.1
44,45,45,Brandt Jobe,52,277.3,8875.0,32,297.0,255.6
45,46,46,Kenny Perry,97,277.2,21065.5,76,306.0,251.0
46,47,47,Matt Jones,95,277.1,18290.4,66,305.1,246.0
47,48,48,David Duval,51,277.0,6647.1,24,307.9,244.2
48,49,49,Steve Stricker,75,276.8,13840.1,50,314.0,247.9
49,T50,T50,Mathew Goggin,91,276.6,17976.4,65,325.3,248.3
50,T50,T50,John Senden,93,276.6,18255.9,66,308.3,219.7
51,52,52,Kevin Sutherland,98,276.5,21839.8,79,319.1,243.5
52,T53,T53,Steve Lowery,74,276.3,15470.4,56,307.1,248.4
