,Driving_Distance_RANK THIS WEEK,Driving_Distance_RANK LAST WEEK,Driving_Distance_PLAYER NAME,Driving_Distance_ROUNDS,Driving_Distance_AVG.,Driving_Distance_TOTAL DISTANCE,Driving_Distance_TOTAL DRIVES
0,1,1,Bubba Watson,97,315.1,59870,190
1,2,2,Robert Garrigus,90,311.0,55988,180
2,3,3,J.B. Holmes,86,310.3,52749,170
3,4,4,Dustin Johnson,92,309.7,56978,184
4,5,5,Steve Allan,58,303.2,30316,100
5,6,6,Tag Ridings,88,303.0,53320,176
6,7,7,Nick Watney,96,302.9,58150,192
7,8,8,Adam Scott,51,302.1,29607,98
8,9,9,Davis Love III,78,301.3,47005,156
9,10,10,Charles Warren,79,301.1,47573,158
10,11,11,Anthony Kim,81,300.9,48741,162
11,12,12,Charley Hoffman,94,300.8,55346,184
12,13,13,Ángel Cabrera,55,300.2,30620,102
13,14,14,Harrison Frazar,73,299.9,38986,130
14,15,15,Jason Gore,94,299.7,56344,188
15,T16,T16,Fred Couples,60,299.6,35952,120
16,T16,T16,Travis Perkins,53,299.6,28164,94
17,18,18,Paul Casey,55,299.2,31119,104
18,19,19,Andres Romero,69,299.1,40076,134
19,20,20,John Merrick,98,299.0,53824,180
20,21,21,Brandt Jobe,52,298.8,31077,104
21,22,22,Jason Allred,63,298.6,34041,114
22,23,23,Lucas Glover,91,298.4,54317,182
23,24,24,Tommy Gainey,60,298.3,31027,104
24,25,25,Vijay Singh,82,297.8,46464,156
25,26,26,Jeff Overton,103,297.6,58915,198
26,27,27,Jason Day,81,297.4,48186,162
27,28,28,Stewart Cink,87,296.9,48103,162
28,T29,T29,Bill Haas,99,296.7,56377,190
29,T29,T29,Richard Johnson,77,296.7,44508,150
30,31,31,Martin Laird,98,296.6,54572,184
31,32,32,Padraig Harrington,52,296.3,29625,100
32,33,33,Kenny Perry,97,296.0,57427,194
33,34,34,Mathew Goggin,91,295.9,53852,182
34,35,35,Phil Mickelson,80,295.7,46128,156
35,T36,T36,Nicholas Thompson,113,295.4,63222,214
36,T36,T36,Jimmy Walker,73,295.4,38397,130
37,T38,T38,Mathias Grönberg,87,295.2,49010,166
38,T38,T38,Troy Matteson,94,295.2,55502,188
39,T40,T40,James Driscoll,85,295.0,46613,158
