,Driving_Pct._240-260_All_Drives_RANK THIS WEEK,Driving_Pct._240-260_All_Drives_RANK LAST WEEK,Driving_Pct._240-260_All_Drives_PLAYER NAME,Driving_Pct._240-260_All_Drives_ROUNDS,Driving_Pct._240-260_All_Drives_%,Driving_Pct._240-260_All_Drives_TOTAL DRIVES FOR 240-260,Driving_Pct._240-260_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct._240-260_All_Drives_RELATIVE TO PAR
0,1,1,Corey Pavin,69,41.49,322,776,+0.006
1,2,2,Brian Gay,102,29.7,357,1202,+0.017
2,3,3,Gavin Coles,54,25.82,158,612,+0.076
3,4,4,Shane Bertsch,96,24.36,305,1252,+0.030
4,5,5,Craig Kanada,65,24.35,187,768,+0.075
5,6,6,Paul Claxton,63,23.99,167,696,+0.150
6,7,7,Jin Park,85,23.82,232,974,+0.103
7,8,8,Olin Browne,77,23.72,231,974,+0.156
8,9,9,Chad Collins,72,23.69,208,878,+0.120
9,T10,T10,Shigeki Maruyama,50,23.41,136,581,+0.096
10,T10,T10,Jeff Quinney,87,23.41,239,1021,+0.033
11,12,12,Stephen Leaney,53,23.25,146,628,+0.151
12,13,13,Greg Kraft,63,23.07,161,698,+0.174
13,14,14,Matt Kuchar,88,22.65,222,980,+0.014
14,15,15,Nick O'Hern,82,21.98,218,992,+0.069
15,16,16,Omar Uresti,74,21.64,190,878,+0.116
16,17,17,Paul Goydos,78,21.41,201,939,+0.050
17,18,18,Ron Whittaker,54,20.7,118,570,+0.110
18,19,19,Glen Day,64,20.67,161,779,+0.056
19,20,20,Jerry Kelly,89,20.16,208,1032,+0.101
20,21,21,Jim McGovern,75,19.59,172,878,+0.169
21,22,22,Zach Johnson,85,19.34,193,998,+0.005
22,23,23,Robert Gamez,79,19.33,191,988,+0.131
23,24,24,Tim Wilkinson,95,19.05,213,1118,+0.089
24,25,25,Chris Riley,51,18.88,105,556,+0.086
25,26,26,John Mallinger,95,18.82,220,1169,+0.045
26,27,27,Dudley Hart,74,18.66,175,938,+0.097
27,28,28,Dean Wilson,109,18.6,241,1296,+0.075
28,29,29,Brian Davis,108,18.5,263,1422,+0.129
29,30,30,Richard Johnson,60,18.48,126,682,+0.127
30,31,31,Doug LaBelle II,65,18.35,131,714,+0.015
31,32,32,Heath Slocum,104,18.25,219,1200,+0.114
32,33,33,Lee Janzen,89,17.93,187,1043,+0.134
33,34,34,Bart Bryant,81,17.88,167,934,+0.054
34,35,35,David Lutterus,59,17.55,122,695,+0.148
35,36,36,Ryuji Imada,80,17.51,166,948,-0.030
36,37,37,Bob Tway,70,17.38,138,794,+0.029
37,38,38,Tom Pernice Jr.,104,17.3,236,1364,+0.110
38,39,39,Alex Cejka,75,17.11,143,836,+0.147
39,40,40,Kent Jones,68,17.1,131,766,+0.023
40,41,41,Chris DiMarco,87,16.98,180,1060,+0.089
41,42,42,Alejandro Cañizares,52,16.84,96,570,+0.115
42,43,43,Billy Andrade,71,16.82,145,862,+0.207
43,44,44,Scott Verplank,82,16.78,153,912,-0.026
44,45,45,Marc Turnesa,87,16.7,177,1060,+0.079
45,46,46,Will MacKenzie,62,16.29,129,792,+0.163
46,47,47,Bob Estes,90,16.19,194,1198,+0.052
47,48,48,Carlos Franco,73,16.17,142,878,+0.162
48,49,49,Cliff Kresge,84,16.14,164,1016,+0.189
49,50,50,Nathan Green,95,16.11,204,1266,+0.196
50,51,51,Cameron Beckman,87,16.0,165,1031,+0.145
51,52,52,Scott Sterling,89,15.99,165,1032,+0.085
52,53,53,David Duval,51,15.91,91,572,+0.176
53,54,54,Rocco Mediate,87,15.87,153,964,+0.163
54,55,55,Briny Baird,113,15.77,211,1338,+0.028
55,56,56,Kevin Na,97,15.68,199,1269,+0.101
56,57,57,Chez Reavie,102,15.65,196,1252,+0.066
57,58,58,Justin Bolli,87,15.36,157,1022,+0.108
58,59,59,Tom Scherrer,56,15.31,94,614,+0.138
59,60,60,Stephen Ames,83,15.28,141,923,+0.043
60,61,61,Tim Clark,90,15.26,156,1022,+0.109
61,62,62,Steve Elkington,84,15.23,155,1018,+0.019
62,63,63,Cody Freeman,66,14.97,115,768,+0.165
63,64,64,Jimmy Walker,73,14.93,129,864,+0.116
64,65,65,Jay Williamson,96,14.85,166,1118,+0.054
65,66,66,J.P. Hayes,67,14.81,130,878,+0.185
66,67,67,Steve Flesch,95,14.6,165,1130,+0.067
67,68,68,Jonathan Byrd,88,14.59,157,1076,+0.013
68,69,69,Peter Lonard,92,14.54,162,1114,+0.068
69,70,70,Justin Leonard,101,14.52,149,1026,+0.027
70,71,71,Eric Axley,113,14.42,197,1366,+0.152
71,72,72,Vaughn Taylor,103,14.31,188,1314,+0.064
72,73,73,Billy Mayfair,103,14.25,189,1326,+0.048
73,74,74,Jim Furyk,95,14.23,150,1054,-0.027
74,75,75,Charlie Wi,97,14.19,174,1226,+0.069
75,76,76,Brett Quigley,80,14.15,144,1018,+0.132
