,Right_Rough_Tendency_RTP_Score_RANK THIS WEEK,Right_Rough_Tendency_RTP_Score_RANK LAST WEEK,Right_Rough_Tendency_RTP_Score_PLAYER NAME,Right_Rough_Tendency_RTP_Score_ROUNDS,Right_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,K.J. Choi,74,-.075
1,2,2,Padraig Harrington,52,-.059
2,3,3,Anthony Kim,81,-.026
3,4,4,Mike Weir,88,-.020
4,5,5,Camilo Villegas,79,-.007
5,T6,T6,Steve Allan,58,E
6,T6,T6,Doug LaBelle II,65,E
7,8,8,Brenden Pappas,66,+.008
8,T9,T9,Daniel Chopra,84,+.011
9,T9,T9,Nathan Green,95,+.011
10,11,11,Vijay Singh,82,+.019
11,T12,T12,Ben Crane,86,+.022
12,T12,T12,Davis Love III,78,+.022
13,T14,T14,Bob Estes,90,+.023
14,T14,T14,Nick Watney,96,+.023
15,16,16,Mathew Goggin,91,+.026
16,T17,T17,Ben Curtis,80,+.027
17,T17,T17,Scott Verplank,82,+.027
18,19,19,Peter Lonard,92,+.030
19,T20,T20,Mark Calcavecchia,67,+.039
20,T20,T20,J.B. Holmes,86,+.039
21,22,22,Stewart Cink,87,+.040
22,23,23,Charles Howell III,101,+.041
23,24,24,David Toms,70,+.043
24,25,25,Parker McLachlin,88,+.044
25,T26,T26,Richard Johnson,77,+.045
26,T26,T26,Bob Tway,70,+.045
27,28,28,Bubba Watson,97,+.049
28,T29,T29,Brett Quigley,80,+.052
29,T29,T29,Brett Rumford,72,+.052
30,T29,T29,Charles Warren,79,+.052
31,32,32,Patrick Sheehan,124,+.054
32,33,33,Woody Austin,109,+.056
33,T34,T34,Bill Haas,99,+.057
34,T34,T34,Pat Perez,93,+.057
35,36,36,Jerry Kelly,89,+.060
36,37,37,John Huston,56,+.061
37,38,38,Stuart Appleby,87,+.065
38,T39,T39,Sergio Garcia,72,+.069
39,T39,T39,Robert Garrigus,90,+.069
40,T41,T41,Chad Collins,72,+.071
41,T41,T41,Charley Hoffman,94,+.071
42,T43,T43,Harrison Frazar,73,+.075
43,T43,T43,J.J. Henry,108,+.075
44,45,45,Brandt Snedeker,85,+.076
45,T46,T46,Stephen Ames,83,+.078
46,T46,T46,Kevin Stadler,90,+.078
47,T48,T48,Scott McCarron,63,+.080
48,T48,T48,Bo Van Pelt,101,+.080
49,T48,T48,Charlie Wi,97,+.080
50,51,51,Briny Baird,113,+.082
51,T52,T52,Fred Couples,60,+.083
52,T52,T52,Tim Herron,97,+.083
53,T52,T52,Boo Weekley,86,+.083
54,55,55,Kevin Na,97,+.084
55,T56,T56,Troy Matteson,94,+.086
56,T56,T56,Kevin Sutherland,98,+.086
57,58,58,Geoff Ogilvy,65,+.087
58,T59,T59,Gavin Coles,54,+.090
59,T59,T59,Scott Sterling,89,+.090
60,T61,T61,Jeff Overton,103,+.091
61,T61,T61,Ryan Palmer,69,+.091
62,63,63,Brad Elder,67,+.092
63,64,64,Joe Durant,92,+.094
64,T65,T65,Martin Laird,98,+.095
65,T65,T65,Chris Riley,51,+.095
66,67,67,Travis Perkins,53,+.096
67,68,68,Aaron Baddeley,76,+.097
68,T69,T69,Shane Bertsch,96,+.099
69,T69,T69,Nicholas Thompson,113,+.099
70,71,71,Brandt Jobe,52,+.100
71,T72,T72,Billy Andrade,71,+.101
72,T72,T72,Jim Furyk,95,+.101
73,T72,T72,Kenny Perry,97,+.101
74,T72,T72,Vaughn Taylor,103,+.101
75,76,76,Tom Pernice Jr.,104,+.102
76,T77,T77,Tommy Gainey,60,+.105
77,T77,T77,Matt Kuchar,88,+.105
78,T77,T77,Marc Turnesa,87,+.105
79,T80,T80,Chris DiMarco,87,+.106
80,T80,T80,Ian Poulter,51,+.106
81,82,82,George McNeill,97,+.107
82,T83,T83,Billy Mayfair,103,+.108
83,T83,T83,Jimmy Walker,73,+.108
84,T85,T85,Chad Campbell,94,+.110
85,T85,T85,Steve Elkington,84,+.110
86,T85,T85,Brian Gay,102,+.110
87,T85,T85,John Mallinger,95,+.110
88,89,89,Alejandro Cañizares,52,+.111
89,90,90,Jay Williamson,96,+.112
90,91,91,Andres Romero,69,+.113
91,92,92,Carl Pettersson,110,+.115
92,93,93,Steve Flesch,95,+.116
93,T94,T94,Nick Flanagan,89,+.117
94,T94,T94,Kyle Thompson,70,+.117
95,96,96,Tim Clark,90,+.119
96,97,97,Phil Mickelson,80,+.120
97,T98,T98,Ryuji Imada,80,+.121
98,T98,T98,Lee Janzen,89,+.121
99,T98,T98,Sean O'Hair,81,+.121
100,T101,T101,Michael Letzig,88,+.122
101,T101,T101,Steve Marino,119,+.122
102,T103,T103,Carlos Franco,73,+.124
103,T103,T103,Dustin Johnson,92,+.124
104,T103,T103,John Merrick,98,+.124
105,106,106,Tommy Armour III,77,+.125
106,107,107,Ken Duke,116,+.126
107,108,108,Cameron Beckman,87,+.127
108,109,109,Adam Scott,51,+.128
109,T110,T110,Retief Goosen,59,+.129
110,T110,T110,John Riegger,73,+.129
111,T112,T112,Jonathan Byrd,88,+.130
112,T112,T112,Tag Ridings,88,+.130
113,T114,T114,Joe Ogilvie,100,+.131
114,T114,T114,Chris Stroud,81,+.131
115,116,116,Jason Day,81,+.132
116,117,117,Cody Freeman,66,+.133
117,118,118,Mark Hensby,71,+.137
118,119,119,Lucas Glover,91,+.140
119,120,120,John Rollins,94,+.141
120,121,121,Justin Leonard,101,+.143
121,T122,T122,Jin Park,85,+.144
122,T122,T122,Rory Sabbatini,77,+.144
123,124,124,Bob Sowards,61,+.147
124,T125,T125,Kevin Streelman,114,+.149
125,T125,T125,Johnson Wagner,83,+.149
126,T127,T127,Alex Cejka,75,+.152
127,T127,T127,Glen Day,64,+.152
128,129,129,Ted Purdy,68,+.153
129,130,130,Freddie Jacobson,78,+.154
130,T131,T131,Kenneth Ferrie,72,+.156
131,T131,T131,Jason Gore,94,+.156
132,133,133,Dudley Hart,74,+.160
133,134,134,Brian Davis,108,+.162
134,T135,T135,Paul Claxton,63,+.163
135,T135,T135,Jeff Gove,50,+.163
136,T135,T135,Rocco Mediate,87,+.163
137,T138,T138,Robert Allenby,108,+.164
138,T138,T138,Tim Wilkinson,95,+.164
139,140,140,Paul Goydos,78,+.165
140,141,141,Steve Lowery,74,+.166
141,142,142,Mark Wilson,107,+.168
142,T143,T143,Brad Adamonis,87,+.169
143,T143,T143,Trevor Immelman,70,+.169
144,T143,T143,Greg Kraft,63,+.169
145,T146,T146,Jason Allred,63,+.170
146,T146,T146,James Driscoll,85,+.170
147,148,148,Hunter Mahan,87,+.171
148,T149,T149,Cliff Kresge,84,+.172
149,T149,T149,Dean Wilson,109,+.172
150,T151,T151,Todd Demsey,80,+.177
151,T151,T151,Heath Slocum,104,+.177
152,153,153,Matt Jones,95,+.178
153,T154,T154,Michael Allen,91,+.179
154,T154,T154,Mathias Grönberg,87,+.179
155,T154,T154,Jim McGovern,75,+.179
156,T154,T154,Jon Mills,95,+.179
157,T154,T154,Chez Reavie,102,+.179
158,159,159,Robert Gamez,79,+.180
159,T160,T160,Tim Petrovic,97,+.181
160,T160,T160,Omar Uresti,74,+.181
161,162,162,Justin Bolli,87,+.182
162,163,163,Steve Stricker,75,+.184
163,T164,T164,Eric Axley,113,+.186
164,T164,T164,Paul Casey,55,+.186
165,T166,T166,Todd Hamilton,92,+.188
166,T166,T166,Frank Lickliter II,107,+.188
167,T166,T166,Shigeki Maruyama,50,+.188
168,T166,T166,Nick O'Hern,82,+.188
169,170,170,Will MacKenzie,62,+.190
170,171,171,Tom Lehman,51,+.191
171,T172,T172,Stephen Leaney,53,+.192
172,T172,T172,Y.E. Yang,89,+.192
173,174,174,Bart Bryant,81,+.193
174,175,175,David Duval,51,+.196
175,176,176,Ángel Cabrera,55,+.197
176,177,177,Rod Pampling,83,+.198
177,178,178,Craig Kanada,65,+.202
178,179,179,Richard Johnson,60,+.204
179,T180,T180,Rich Beem,90,+.205
180,T180,T180,John Senden,93,+.205
181,182,182,Zach Johnson,85,+.208
182,183,183,Jesper Parnevik,88,+.211
183,184,184,Jeff Quinney,87,+.212
184,185,185,J.P. Hayes,67,+.219
185,186,186,Corey Pavin,69,+.236
186,187,187,D.J. Trahan,94,+.240
187,T188,T188,David Lutterus,59,+.241
188,T188,T188,Jeff Maggert,86,+.241
189,190,190,Ryan Armour,87,+.250
190,191,191,Ernie Els,51,+.253
191,192,192,Tom Scherrer,56,+.262
192,193,193,Ryan Moore,72,+.275
193,T194,T194,Olin Browne,77,+.283
194,T194,T194,Marco Dawson,64,+.283
195,196,196,Kent Jones,68,+.286
196,197,197,Ron Whittaker,54,+.397
