,Left_Rough_Tendency_RTP_Score_RANK THIS WEEK,Left_Rough_Tendency_RTP_Score_RANK LAST WEEK,Left_Rough_Tendency_RTP_Score_PLAYER NAME,Left_Rough_Tendency_RTP_Score_ROUNDS,Left_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Vijay Singh,82,-.080
1,2,2,Harrison Frazar,73,-.055
2,3,3,Brenden Pappas,66,-.046
3,4,4,Adam Scott,51,-.023
4,5,5,Steve Elkington,84,-.016
5,6,6,Padraig Harrington,52,-.015
6,7,7,Bubba Watson,97,-.012
7,8,8,Anthony Kim,81,E
8,9,9,Phil Mickelson,80,+.006
9,10,10,Steve Stricker,75,+.007
10,11,11,Bill Haas,99,+.017
11,12,12,Parker McLachlin,88,+.020
12,13,13,Woody Austin,109,+.022
13,14,14,Omar Uresti,74,+.025
14,15,15,Sergio Garcia,72,+.033
15,16,16,Aaron Baddeley,76,+.034
16,17,17,Robert Garrigus,90,+.035
17,T18,T18,Steve Flesch,95,+.036
18,T18,T18,Charles Howell III,101,+.036
19,T20,T20,Stuart Appleby,87,+.039
20,T20,T20,Carlos Franco,73,+.039
21,22,22,Mark Calcavecchia,67,+.042
22,T23,T23,Fred Couples,60,+.044
23,T23,T23,Bob Estes,90,+.044
24,T23,T23,Dustin Johnson,92,+.044
25,26,26,Kevin Streelman,114,+.045
26,27,27,Joe Ogilvie,100,+.047
27,28,28,Mark Hensby,71,+.048
28,29,29,Brandt Jobe,52,+.049
29,30,30,Matt Kuchar,88,+.050
30,31,31,Tim Clark,90,+.051
31,32,32,Robert Allenby,108,+.056
32,33,33,Rich Beem,90,+.058
33,T34,T34,Stewart Cink,87,+.060
34,T34,T34,Ken Duke,116,+.060
35,T34,T34,John Rollins,94,+.060
36,T37,T37,Brad Adamonis,87,+.063
37,T37,T37,Gavin Coles,54,+.063
38,T37,T37,Kent Jones,68,+.063
39,T37,T37,Steve Lowery,74,+.063
40,41,41,Carl Pettersson,110,+.064
41,T42,T42,Tom Lehman,51,+.067
42,T42,T42,Ryan Palmer,69,+.067
43,T44,T44,Todd Demsey,80,+.068
