,Right_Rough_Tendency_RANK THIS WEEK,Right_Rough_Tendency_RANK LAST WEEK,Right_Rough_Tendency_PLAYER NAME,Right_Rough_Tendency_ROUNDS,Right_Rough_Tendency_%,Right_Rough_Tendency_TOTAL RIGHT ROUGH,Right_Rough_Tendency_POSSIBLE FWYS,Right_Rough_Tendency_RELATIVE TO PAR
0,1,1,Olin Browne,77,5.47,53,969,+0.28
1,2,2,Nick O'Hern,82,8.11,80,986,+0.19
2,3,3,Doug LaBelle II,65,9.08,64,705,E
3,4,4,Brian Gay,102,9.85,118,1198,+0.11
4,5,5,Robert Gamez,79,10.24,100,977,+0.18
5,6,6,Justin Leonard,101,10.26,105,1023,+0.14
6,7,7,Ron Whittaker,54,10.3,58,563,+0.40
7,8,8,Heath Slocum,104,10.34,124,1199,+0.18
8,9,9,Lee Janzen,89,10.42,107,1027,+0.12
9,10,10,David Duval,51,10.47,56,535,+0.20
10,11,11,Joe Durant,92,10.68,117,1095,+0.09
11,12,12,J.J. Henry,108,10.7,146,1365,+0.08
12,T13,T13,Steve Elkington,84,10.76,109,1013,+0.11
13,T13,T13,Omar Uresti,74,10.76,94,874,+0.18
14,15,15,Chez Reavie,102,10.79,134,1242,+0.18
15,16,16,John Mallinger,95,10.93,127,1162,+0.11
16,17,17,Gavin Coles,54,10.98,67,610,+0.09
17,18,18,Kent Jones,68,11.02,84,762,+0.29
18,19,19,Bob Tway,70,11.15,88,789,+0.05
19,20,20,Charles Warren,79,11.25,115,1022,+0.05
20,21,21,John Senden,93,11.29,127,1125,+0.20
21,22,22,Jerry Kelly,89,11.36,117,1030,+0.06
22,23,23,Shane Bertsch,96,11.38,142,1248,+0.10
23,24,24,Jin Park,85,11.56,111,960,+0.14
24,25,25,Todd Demsey,80,11.58,113,976,+0.18
25,26,26,Scott McCarron,63,11.6,87,750,+0.08
26,27,27,Kenneth Ferrie,72,11.64,96,825,+0.16
27,28,28,Paul Goydos,78,11.67,109,934,+0.17
28,29,29,Craig Kanada,65,11.68,89,762,+0.20
29,T30,T30,Bart Bryant,81,11.7,109,932,+0.19
30,T30,T30,Matt Kuchar,88,11.7,114,974,+0.11
31,32,32,Stephen Leaney,53,11.72,73,623,+0.19
32,33,33,Brian Davis,108,11.79,167,1417,+0.16
33,34,34,Rod Pampling,83,11.83,111,938,+0.20
34,35,35,Greg Kraft,63,11.96,83,694,+0.17
35,36,36,Ryan Palmer,69,11.97,99,827,+0.09
36,37,37,Jay Williamson,96,12.06,134,1111,+0.11
37,38,38,Zach Johnson,85,12.07,120,994,+0.21
38,39,39,Cliff Kresge,84,12.12,122,1007,+0.17
39,40,40,Peter Lonard,92,12.13,134,1105,+0.03
40,41,41,Kevin Na,97,12.27,155,1263,+0.08
41,42,42,Cameron Beckman,87,12.35,126,1020,+0.13
42,43,43,Carl Pettersson,110,12.38,165,1333,+0.12
43,44,44,Steve Flesch,95,12.4,138,1113,+0.12
44,T45,T45,Jason Gore,94,12.5,147,1176,+0.16
45,T45,T45,Scott Verplank,82,12.5,113,904,+0.03
46,47,47,Todd Hamilton,92,12.52,128,1022,+0.19
47,48,48,Jeff Maggert,86,12.57,137,1090,+0.24
48,49,49,Tim Wilkinson,95,12.6,140,1111,+0.16
49,50,50,Glen Day,64,12.76,99,776,+0.15
50,T51,T51,Dudley Hart,74,12.85,119,926,+0.16
51,T51,T51,Patrick Sheehan,124,12.85,185,1440,+0.05
52,53,53,Ben Curtis,80,12.87,113,878,+0.03
53,54,54,Jonathan Byrd,88,12.96,138,1065,+0.13
54,55,55,Michael Allen,91,12.97,140,1079,+0.18
55,56,56,Woody Austin,109,13.05,160,1226,+0.06
56,57,57,Jim Furyk,95,13.11,138,1053,+0.10
57,58,58,Jeff Gove,50,13.14,80,609,+0.16
58,59,59,Steve Marino,119,13.2,189,1432,+0.12
59,60,60,Ben Crane,86,13.22,137,1036,+0.02
60,61,61,Carlos Franco,73,13.23,113,854,+0.12
61,62,62,Kenny Perry,97,13.25,168,1268,+0.10
62,63,63,Joe Ogilvie,100,13.28,160,1205,+0.13
63,64,64,Tim Petrovic,97,13.3,149,1120,+0.18
64,65,65,Tim Clark,90,13.31,135,1014,+0.12
65,66,66,Rich Beem,90,13.32,146,1096,+0.21
66,67,67,K.J. Choi,74,13.33,106,795,-0.08
67,T68,T68,Paul Claxton,63,13.35,92,689,+0.16
68,T68,T68,Mathias Grönberg,87,13.35,145,1086,+0.18
69,70,70,Mathew Goggin,91,13.43,152,1132,+0.03
