,Longest_Drives_RANK THIS WEEK,Longest_Drives_RANK LAST WEEK,Longest_Drives_PLAYER NAME,Longest_Drives_ROUNDS,Longest_Drives_DISTANCE,Longest_Drives_TOURNAMENT,Longest_Drives_ROUND,Longest_Drives_HOLE,Longest_Drives_COURSE
0,1,1,Bob Heintz,48,435,Legends Reno-Tahoe Open,1,10,660
1,2,2,J.L. Lewis,40,429,Valero Texas Open,4,11,625
2,3,3,Steve Marino,119,424,Valero Texas Open,4,11,625
3,4,4,Ryuji Imada,80,414,Buick Invitational,4,14,4
4,5,5,Pat Perez,93,412,Valero Texas Open,4,11,625
5,6,6,Jason Day,81,407,Valero Texas Open,1,11,625
6,7,7,Dustin Johnson,92,405,Valero Texas Open,1,11,625
7,T8,5,Pat Perez,93,403,Valero Texas Open,3,11,625
8,T8,7,Dustin Johnson,92,403,Valero Texas Open,2,11,625
9,10,10,Charles Warren,79,402,Legends Reno-Tahoe Open,3,9,660
10,T11,10,Charles Warren,79,400,Legends Reno-Tahoe Open,2,9,660
11,T11,T11,Robert Garrigus,90,400,Valero Texas Open,1,11,625
12,T13,T13,Davis Love III,78,399,Valero Texas Open,1,11,625
13,T13,T13,Tag Ridings,88,399,Valero Texas Open,3,1,625
14,T13,T13,Kevin Stadler,90,399,Valero Texas Open,1,11,625
15,T13,T13,Michael Thompson,14,399,Valero Texas Open,3,11,625
16,T17,T17,Rory Sabbatini,77,398,Mercedes-Benz Championship,4,17,656
17,T17,T11,Robert Garrigus,90,398,PODS Championship,3,10,665
18,T19,T19,Steve Allan,58,397,Valero Texas Open,4,11,625
19,T19,T13,Tag Ridings,88,397,Valero Texas Open,2,11,625
20,T19,T19,Sean O'Hair,81,397,Valero Texas Open,4,11,625
21,T19,T19,Nick Watney,96,397,Valero Texas Open,3,11,625
22,T19,T19,Martin Laird,98,397,Valero Texas Open,4,11,625
23,T24,T24,Eric Axley,113,396,Valero Texas Open,2,11,625
24,T24,T13,Michael Thompson,14,396,Valero Texas Open,4,11,625
25,T26,1,Bob Heintz,48,395,Valero Texas Open,1,1,625
26,T26,T26,Daniel Chopra,84,395,Mercedes-Benz Championship,3,17,656
27,T26,T13,Tag Ridings,88,395,Valero Texas Open,3,11,625
28,T26,T17,Rory Sabbatini,77,395,Valero Texas Open,3,11,625
29,T26,T26,Jhonattan Vegas,4,395,Valero Texas Open,4,11,625
30,T26,T26,Nicholas Thompson,113,395,Valero Texas Open,4,11,625
31,T32,T32,Ted Purdy,68,394,Valero Texas Open,1,11,625
32,T32,T32,Bubba Watson,97,394,Crowne Plaza Invitational at Colonial,2,7,21
33,T34,T34,Kirk Triplett,25,393,Legends Reno-Tahoe Open,1,10,660
34,T34,T34,Harrison Frazar,73,393,Valero Texas Open,4,1,625
35,T34,T13,Kevin Stadler,90,393,Valero Texas Open,4,11,625
36,T37,T37,Alex Cejka,75,392,Legends Reno-Tahoe Open,1,10,660
37,T37,T37,Ángel Cabrera,55,392,Mercedes-Benz Championship,3,18,656
38,T37,T37,Charles Howell III,101,392,Valero Texas Open,4,11,625
39,T37,T37,Kevin Streelman,114,392,Valero Texas Open,4,11,625
40,T37,6,Jason Day,81,392,Valero Texas Open,2,11,625
41,T37,T37,Tommy Gainey,60,392,Valero Texas Open,2,11,625
42,T43,T43,Justin Bolli,87,391,Wyndham Championship,1,5,752
43,T43,5,Pat Perez,93,391,Valero Texas Open,1,11,625
44,T43,T32,Bubba Watson,97,391,Buick Invitational,2,4,4
45,T43,T43,Jon Mills,95,391,Valero Texas Open,2,11,625
46,T43,T19,Nick Watney,96,391,Frys.com Open,3,3,713
47,T43,T43,J.B. Holmes,86,391,World Golf Championships-Bridgestone Invitational,3,14,36
48,T43,T43,Kevin Chappell,4,391,Valero Texas Open,1,11,625
49,T50,T50,John Rollins,94,390,World Golf Championships-CA Championship,3,7,8
50,T50,T32,Bubba Watson,97,390,Sony Open in Hawaii,4,8,6
51,T50,T50,Boo Weekley,86,390,Mercedes-Benz Championship,4,12,656
52,T50,7,Dustin Johnson,92,390,Valero Texas Open,4,1,625
53,T54,T54,Steve Elkington,84,389,Valero Texas Open,4,11,625
54,T54,2,J.L. Lewis,40,389,Valero Texas Open,3,11,625
55,T54,T54,Charley Hoffman,94,389,Valero Texas Open,2,11,625
56,T54,10,Charles Warren,79,389,Legends Reno-Tahoe Open,4,9,660
57,T54,T43,J.B. Holmes,86,389,Northern Trust Open,1,3,500
58,T59,T59,Scott Verplank,82,388,Valero Texas Open,3,11,625
59,T59,T17,Rory Sabbatini,77,388,Valero Texas Open,4,11,625
60,T59,T32,Bubba Watson,97,388,Sony Open in Hawaii,4,16,6
61,T59,T26,Jhonattan Vegas,4,388,Valero Texas Open,4,1,625
62,T59,T43,J.B. Holmes,86,388,the Memorial Tournament presented by Morgan Stanley,2,1,23
63,T64,T54,Charley Hoffman,94,387,Valero Texas Open,4,11,625
64,T64,T64,Patrick Sheehan,124,387,Legends Reno-Tahoe Open,1,10,660
65,T64,T17,Rory Sabbatini,77,387,World Golf Championships-CA Championship,1,17,8
66,T64,T19,Nick Watney,96,387,Mercedes-Benz Championship,4,12,656
67,T68,T13,Davis Love III,78,386,The Open Championship,4,2,541
68,T68,T37,Charles Howell III,101,386,Mercedes-Benz Championship,4,17,656
69,T68,T26,Nicholas Thompson,113,386,Valero Texas Open,2,11,625
70,T71,T71,Stephen Ames,83,385,Mercedes-Benz Championship,4,17,656
71,T71,T71,Chad Campbell,94,385,Mercedes-Benz Championship,4,17,656
72,T71,T26,Daniel Chopra,84,385,Mercedes-Benz Championship,4,12,656
73,T71,T71,Vaughn Taylor,103,385,Valero Texas Open,4,1,625
74,T71,T32,Bubba Watson,97,385,Crowne Plaza Invitational at Colonial,3,11,21
75,T71,T43,J.B. Holmes,86,385,FBR Open,4,13,510
76,T71,T71,Chris Stroud,81,385,Valero Texas Open,1,11,625
77,T71,T71,Jeff Overton,103,385,Legends Reno-Tahoe Open,3,9,660
78,T71,7,Dustin Johnson,92,385,Valero Texas Open,4,11,625
79,T80,T80,Kenny Perry,97,384,EDS Byron Nelson Championship,3,6,19
80,T80,T80,Brian Bateman,48,384,Mercedes-Benz Championship,3,12,656
81,T80,T80,Lee Westwood,32,384,Northern Trust Open,1,3,500
82,T80,T71,Vaughn Taylor,103,384,Valero Texas Open,1,11,625
83,T80,T80,Jason Allred,63,384,Legends Reno-Tahoe Open,2,5,660
84,T80,T43,J.B. Holmes,86,384,World Golf Championships-Bridgestone Invitational,4,14,36
85,T80,T43,J.B. Holmes,86,384,PGA Championship,1,2,743
86,T80,7,Dustin Johnson,92,384,Valero Texas Open,3,1,625
87,T88,T88,Mike Heinen,15,383,Legends Reno-Tahoe Open,2,14,660
88,T88,T88,Richard Johnson,77,383,Valero Texas Open,2,11,625
89,T88,T88,Parker McLachlin,88,383,Valero Texas Open,2,1,625
90,T88,T19,Nick Watney,96,383,Legends Reno-Tahoe Open,2,9,660
91,T88,T43,J.B. Holmes,86,383,Sony Open in Hawaii,4,18,6
92,T88,T88,Martin Kaymer,23,383,The Open Championship,3,2,541
93,T88,T37,Tommy Gainey,60,383,Legends Reno-Tahoe Open,2,9,660
94,T88,7,Dustin Johnson,92,383,Northern Trust Open,2,3,500
95,T96,T96,Rick Fehr,4,382,Legends Reno-Tahoe Open,1,10,660
96,T96,T96,Phil Mickelson,80,382,Crowne Plaza Invitational at Colonial,2,7,21
97,T96,T96,Mathias Grönberg,87,382,Legends Reno-Tahoe Open,3,9,660
98,T96,T37,Ángel Cabrera,55,382,Sony Open in Hawaii,2,14,6
99,T96,T96,Brendan Jones,15,382,The Open Championship,3,2,541
100,T96,T96,George McNeill,97,382,Mercedes-Benz Championship,3,12,656
101,T96,T43,J.B. Holmes,86,382,World Golf Championships-CA Championship,1,8,8
102,T96,T37,Kevin Streelman,114,382,Valero Texas Open,3,11,625
103,T104,T59,Scott Verplank,82,381,Valero Texas Open,4,1,625
104,T104,T104,Steve Stricker,75,381,Mercedes-Benz Championship,4,12,656
105,T104,T54,Charley Hoffman,94,381,Mercedes-Benz Championship,4,18,656
