,Fairway_Bunker_Tendency_RANK THIS WEEK,Fairway_Bunker_Tendency_RANK LAST WEEK,Fairway_Bunker_Tendency_PLAYER NAME,Fairway_Bunker_Tendency_ROUNDS,Fairway_Bunker_Tendency_%,Fairway_Bunker_Tendency_TOTAL FAIRWAY BUNKERS,Fairway_Bunker_Tendency_POSSIBLE FWYS,Fairway_Bunker_Tendency_RELATIVE TO PAR
0,1,1,Olin Browne,77,2.5,24,969,+0.125
1,2,2,Zach Johnson,85,2.8,28,994,+0.357
2,3,3,Michael Letzig,88,3.0,31,1023,+0.290
3,4,4,John Riegger,73,3.1,28,889,+0.286
4,5,5,Paul Claxton,63,3.3,23,689,+0.261
5,6,6,Bart Bryant,81,3.4,32,932,+0.313
6,T7,T7,Omar Uresti,74,3.5,31,874,+0.355
7,T7,T7,Scott Verplank,82,3.5,32,904,+0.438
8,T7,T7,Mark Wilson,107,3.5,50,1446,+0.180
9,T10,T10,Gavin Coles,54,3.6,22,610,+0.182
10,T10,T10,Jeff Gove,50,3.6,22,609,+0.273
11,T10,T10,Corey Pavin,69,3.6,28,774,+0.143
12,13,13,Glen Day,64,3.7,29,776,+0.241
13,14,14,Dean Wilson,109,3.8,49,1275,+0.265
14,T15,T15,Paul Casey,55,3.9,19,492,+0.263
15,T15,T15,Brian Gay,102,3.9,47,1198,+0.277
16,T15,T15,Charley Hoffman,94,3.9,47,1190,+0.213
17,18,18,John Rollins,94,4.0,44,1097,+0.159
18,T19,T19,Shane Bertsch,96,4.1,51,1248,+0.373
19,T19,T19,Richard Johnson,60,4.1,28,679,+0.321
20,T19,T19,Chez Reavie,102,4.1,51,1242,+0.275
21,T19,T19,Tag Ridings,88,4.1,45,1103,+0.289
22,T23,T23,Michael Allen,91,4.2,45,1079,+0.267
23,T23,T23,Joe Durant,92,4.2,46,1095,+0.261
24,T23,T23,Steve Elkington,84,4.2,43,1013,+0.233
25,T23,T23,Paul Goydos,78,4.2,39,934,+0.231
26,T23,T23,Hunter Mahan,87,4.2,42,996,+0.167
27,T23,T23,Vijay Singh,82,4.2,37,877,+0.189
28,T29,T29,Kent Jones,68,4.3,33,762,+0.333
29,T29,T29,Peter Lonard,92,4.3,48,1105,+0.271
30,T29,T29,Billy Mayfair,103,4.3,57,1317,+0.123
31,T29,T29,John Senden,93,4.3,48,1125,+0.146
32,T29,T29,Heath Slocum,104,4.3,51,1199,+0.294
33,T34,T34,Sergio Garcia,72,4.4,34,774,-0.118
34,T34,T34,Jeff Maggert,86,4.4,48,1090,+0.271
35,T34,T34,Nick O'Hern,82,4.4,43,986,+0.302
36,T34,T34,Adam Scott,51,4.4,21,481,+0.333
37,T34,T34,Tim Wilkinson,95,4.4,49,1111,+0.204
38,T39,T39,Ryan Armour,87,4.5,47,1046,+0.553
39,T39,T39,Ken Duke,116,4.5,66,1452,+0.303
40,T39,T39,Bob Estes,90,4.5,54,1187,+0.148
41,T39,T39,Mathew Goggin,91,4.5,51,1132,+0.294
42,T39,T39,Jim McGovern,75,4.5,39,865,+0.359
43,T39,T39,Scott Sterling,89,4.5,46,1019,+0.283
44,T39,T39,Charlie Wi,97,4.5,55,1219,+0.218
45,T39,T39,Jay Williamson,96,4.5,50,1111,+0.220
46,T47,T47,John Huston,56,4.6,31,675,+0.226
47,T47,T47,D.J. Trahan,94,4.6,49,1072,+0.327
48,T47,T47,Boo Weekley,86,4.6,41,888,+0.195
49,T47,T47,Ron Whittaker,54,4.6,26,563,+0.346
50,T51,T51,Tommy Armour III,77,4.7,43,907,+0.326
51,T51,T51,Ángel Cabrera,55,4.7,25,535,+0.320
52,T51,T51,Trevor Immelman,70,4.7,35,744,+0.200
53,T51,T51,Lee Janzen,89,4.7,48,1027,+0.354
54,T51,T51,Craig Kanada,65,4.7,36,762,+0.361
55,T51,T51,John Mallinger,95,4.7,55,1162,+0.382
56,T51,T51,Ryan Moore,72,4.7,41,868,+0.268
57,T51,T51,Chris Riley,51,4.7,26,550,+0.462
58,T51,T51,Charles Warren,79,4.7,48,1022,+0.458
59,T60,T60,Jonathan Byrd,88,4.8,51,1065,+0.235
60,T60,T60,J.P. Hayes,67,4.8,42,869,+0.262
61,T60,T60,Justin Leonard,101,4.8,49,1023,+0.306
62,T60,T60,Scott McCarron,63,4.8,36,750,+0.333
63,T60,T60,Jin Park,85,4.8,46,960,+0.500
64,T60,T60,Kevin Streelman,114,4.8,64,1339,+0.281
65,T60,T60,Bob Tway,70,4.8,38,789,+0.132
66,T60,T60,Bo Van Pelt,101,4.8,62,1294,+0.339
67,T68,T68,Chad Campbell,94,4.9,57,1171,+0.474
68,T68,T68,Robert Garrigus,90,4.9,57,1166,+0.281
69,T68,T68,Joe Ogilvie,100,4.9,59,1205,+0.220
70,T68,T68,Tom Pernice Jr.,104,4.9,66,1353,+0.288
71,T68,T68,Kenny Perry,97,4.9,62,1268,+0.242
72,T68,T68,David Toms,70,4.9,38,776,+0.421
73,T68,T68,Jimmy Walker,73,4.9,41,830,+0.244
74,T68,T68,Nick Watney,96,4.9,57,1162,+0.211
75,T68,T68,Bubba Watson,97,4.9,54,1099,+0.019
76,T77,T77,Briny Baird,113,5.0,66,1322,+0.212
77,T77,T77,K.J. Choi,74,5.0,40,795,+0.025
78,T77,T77,Tim Clark,90,5.0,51,1014,+0.373
79,T77,T77,Ben Crane,86,5.0,52,1036,+0.212
80,T77,T77,Robert Gamez,79,5.0,49,977,+0.184
81,T77,T77,J.B. Holmes,86,5.0,47,933,+0.468
82,T77,T77,Doug LaBelle II,65,5.0,35,705,+0.286
83,T77,T77,Rory Sabbatini,77,5.0,44,876,+0.250
84,T85,T85,Justin Bolli,87,5.1,52,1012,+0.269
85,T85,T85,Ben Curtis,80,5.1,45,878,+0.222
86,T85,T85,Jerry Kelly,89,5.1,53,1030,+0.075
87,T85,T85,Brett Quigley,80,5.1,51,1002,+0.176
88,T85,T85,Brandt Snedeker,85,5.1,47,930,+0.298
89,T85,T85,Nicholas Thompson,113,5.1,68,1330,+0.324
90,T91,T91,Brian Davis,108,5.2,73,1417,+0.219
91,T91,T91,Todd Demsey,80,5.2,51,976,+0.294
92,T91,T91,Chris DiMarco,87,5.2,55,1051,+0.382
93,T91,T91,Martin Laird,98,5.2,61,1164,+0.197
94,T91,T91,John Merrick,98,5.2,55,1061,+0.236
95,T91,T91,Jesper Parnevik,88,5.2,53,1016,+0.170
96,T97,T97,Cameron Beckman,87,5.3,54,1020,+0.407
97,T97,T97,Rich Beem,90,5.3,58,1096,+0.345
98,T97,T97,Mark Calcavecchia,67,5.3,40,752,+0.250
99,T97,T97,Alex Cejka,75,5.3,44,826,+0.273
100,T97,T97,Fred Couples,60,5.3,37,696,+0.405
101,T97,T97,Lucas Glover,91,5.3,61,1149,+0.115
102,T97,T97,Cliff Kresge,84,5.3,53,1007,+0.321
103,T97,T97,Matt Kuchar,88,5.3,52,974,+0.269
104,T97,T97,Stephen Leaney,53,5.3,33,623,+0.273
105,T97,T97,Marc Turnesa,87,5.3,56,1047,+0.036
106,T107,T107,Steve Flesch,95,5.4,60,1113,+0.483
107,T107,T107,Jim Furyk,95,5.4,57,1053,+0.228
108,T107,T107,Jason Gore,94,5.4,63,1176,+0.333
109,T107,T107,Will MacKenzie,62,5.4,42,780,+0.333
110,T107,T107,Tim Petrovic,97,5.4,60,1120,+0.217
111,T112,T112,Alejandro Cañizares,52,5.5,31,567,+0.355
112,T112,T112,Mathias Grönberg,87,5.5,60,1086,+0.250
113,T112,T112,Todd Hamilton,92,5.5,56,1022,+0.446
114,T112,T112,Ryuji Imada,80,5.5,52,938,+0.077
115,T112,T112,Greg Kraft,63,5.5,38,694,+0.316
116,T112,T112,Pat Perez,93,5.5,60,1095,+0.167
117,T112,T112,Patrick Sheehan,124,5.5,79,1440,+0.215
118,T119,T119,Stewart Cink,87,5.6,48,861,+0.333
119,T119,T119,Tommy Gainey,60,5.6,35,628,+0.600
120,T119,T119,Jeff Quinney,87,5.6,56,1007,+0.321
121,T119,T119,Kyle Thompson,70,5.6,44,784,+0.409
122,T123,T123,Kevin Na,97,5.7,72,1263,+0.250
123,T123,T123,Sean O'Hair,81,5.7,53,938,+0.208
124,T123,T123,Vaughn Taylor,103,5.7,74,1295,+0.270
125,T126,T126,Steve Allan,58,5.8,38,654,+0.263
126,T126,T126,Robert Allenby,108,5.8,69,1187,+0.130
127,T126,T126,Nick Flanagan,89,5.8,64,1101,+0.313
128,T126,T126,Harrison Frazar,73,5.8,49,846,+0.163
129,T126,T126,Davis Love III,78,5.8,52,896,+0.385
130,T126,T126,Steve Marino,119,5.8,83,1432,+0.229
131,T126,T126,Rocco Mediate,87,5.8,56,958,+0.286
132,T126,T126,Phil Mickelson,80,5.8,47,815,+0.213
133,T134,T134,Stephen Ames,83,5.9,54,917,+0.148
134,T134,T134,Billy Andrade,71,5.9,50,846,+0.280
135,T134,T134,Travis Perkins,53,5.9,32,546,+0.375
136,T134,T134,Johnson Wagner,83,5.9,55,937,+0.273
137,T138,T138,Woody Austin,109,6.0,73,1226,+0.192
138,T138,T138,Eric Axley,113,6.0,79,1320,+0.215
139,T138,T138,Bill Haas,99,6.0,74,1239,+0.243
140,T138,T138,J.J. Henry,108,6.0,82,1365,+0.268
141,T138,T138,Brandt Jobe,52,6.0,39,647,+0.231
142,T138,T138,Chris Stroud,81,6.0,55,912,+0.309
143,T144,T144,George McNeill,97,6.1,76,1237,+0.355
144,T144,T144,Camilo Villegas,79,6.1,53,875,+0.245
145,T146,T146,Marco Dawson,64,6.2,45,730,+0.422
146,T146,T146,Freddie Jacobson,78,6.2,55,884,+0.345
147,T146,T146,Brenden Pappas,66,6.2,47,753,+0.404
148,T146,T146,Brett Rumford,72,6.2,51,820,+0.137
149,T150,T150,Daniel Chopra,84,6.3,59,939,+0.169
150,T150,T150,Kenneth Ferrie,72,6.3,52,825,+0.269
151,T150,T150,Charles Howell III,101,6.3,75,1194,+0.187
152,T150,T150,Dustin Johnson,92,6.3,69,1095,+0.377
153,T150,T150,Frank Lickliter II,107,6.3,87,1382,+0.080
154,T150,T150,Shigeki Maruyama,50,6.3,36,572,+0.056
155,T150,T150,Jeff Overton,103,6.3,79,1249,+0.291
156,T150,T150,Rod Pampling,83,6.3,59,938,+0.356
157,T158,T158,Brad Elder,67,6.4,47,732,+0.383
158,T158,T158,Tim Herron,97,6.4,76,1192,+0.053
159,T158,T158,Ryan Palmer,69,6.4,53,827,+0.245
160,T158,T158,Ian Poulter,51,6.4,32,501,+0.156
161,T162,T162,Brad Adamonis,87,6.5,68,1040,+0.206
162,T162,T162,Ernie Els,51,6.5,32,493,+0.094
163,T162,T162,Anthony Kim,81,6.5,59,902,+0.356
164,T165,T165,Mark Hensby,71,6.6,58,879,+0.138
165,T165,T165,Tom Lehman,51,6.6,35,527,+0.400
166,T165,T165,Steve Stricker,75,6.6,52,793,-0.058
167,T168,T168,Stuart Appleby,87,6.7,62,923,+0.032
168,T168,T168,Chad Collins,72,6.7,58,864,+0.241
169,T168,T168,Padraig Harrington,52,6.7,29,433,+0.172
170,T168,T168,Geoff Ogilvy,65,6.7,45,671,-0.022
171,T168,T168,Andres Romero,69,6.7,45,675,+0.356
172,T173,T173,Aaron Baddeley,76,6.8,57,835,E
173,T173,T173,Richard Johnson,77,6.8,63,925,+0.190
174,T173,T173,Carl Pettersson,110,6.8,90,1333,+0.156
175,T173,T173,Kevin Sutherland,98,6.8,83,1216,+0.036
176,T177,T177,Dudley Hart,74,6.9,64,926,+0.234
177,T177,T177,Matt Jones,95,6.9,78,1137,+0.179
178,T177,T177,Ted Purdy,68,6.9,56,815,+0.339
179,T180,T180,Nathan Green,95,7.0,87,1250,+0.103
180,T180,T180,Tom Scherrer,56,7.0,42,602,+0.262
181,T180,T180,Bob Sowards,61,7.0,50,713,+0.320
182,T180,T180,Kevin Stadler,90,7.0,70,1001,+0.200
183,T184,T184,Cody Freeman,66,7.1,53,746,+0.208
184,T184,T184,Steve Lowery,74,7.1,65,921,+0.231
185,T184,T184,Jon Mills,95,7.1,76,1066,+0.355
186,T187,T187,James Driscoll,85,7.2,75,1038,+0.147
187,T187,T187,Retief Goosen,59,7.2,42,580,+0.262
188,T187,T187,David Lutterus,59,7.2,50,691,+0.440
189,T187,T187,Troy Matteson,94,7.2,88,1218,+0.239
190,T187,T187,Mike Weir,88,7.2,67,925,+0.149
191,T192,T192,Jason Day,81,7.3,77,1048,+0.143
192,T192,T192,Carlos Franco,73,7.3,62,854,+0.097
193,T192,T192,Parker McLachlin,88,7.3,79,1084,+0.101
194,195,195,Y.E. Yang,89,7.6,83,1098,+0.289
195,196,196,Jason Allred,63,7.9,53,674,+0.208
196,197,197,David Duval,51,8.4,45,535,+0.311
