,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
0,1,1,Jason Gore,33,56,15,41
1,2,2,Charles Warren,29,85,10,75
2,3,3,Nicholas Thompson,36,88,36,52
3,4,4,John Merrick,28,100,20,80
4,5,5,John Riegger,24,105,74,31
5,6,6,Charley Hoffman,29,107,12,95
6,7,7,Joe Durant,28,110,102,8
7,8,8,Jeff Gove,18,114,103,11
8,9,9,John Senden,28,116,81,35
9,T10,T10,Mathew Goggin,27,118,34,84
10,T10,T10,John Rollins,28,118,80,38
11,12,12,Ryan Moore,24,122,56,66
12,T13,T13,Michael Allen,28,126,101,25
13,T13,T13,Ryan Armour,32,126,103,23
14,15,15,Paul Casey,16,127,18,109
15,16,16,Ben Crane,25,128,86,42
16,T17,T17,Todd Demsey,25,130,53,77
17,T17,T17,John Huston,18,130,65,65
18,19,19,Robert Allenby,28,131,61,70
19,20,20,J.J. Henry,34,132,61,71
20,21,21,Nick Watney,27,135,7,128
21,22,22,Rich Beem,29,136,88,48
22,23,23,Hunter Mahan,27,137,75,62
23,T24,T24,Mathias Grönberg,30,140,38,102
24,T24,T24,Steve Marino,32,140,49,91
25,T24,T24,Charlie Wi,27,140,95,45
26,27,27,Pat Perez,27,141,44,97
27,T28,T28,Billy Mayfair,29,142,129,13
28,T28,T28,Mark Wilson,29,142,122,20
29,30,30,Chad Campbell,28,143,75,68
30,T31,T31,Ryan Palmer,22,144,44,100
31,T31,T31,D.J. Trahan,27,144,66,78
32,33,33,Martin Laird,29,145,31,114
33,34,34,Boo Weekley,24,146,61,85
34,35,35,Jay Williamson,33,147,123,24
35,36,36,Lucas Glover,26,148,23,125
36,37,37,Rod Pampling,28,151,82,69
37,T38,T38,Kenny Perry,26,153,33,120
38,T38,T38,Chris Stroud,29,153,95,58
39,40,40,Harrison Frazar,23,154,14,140
40,41,41,Kenneth Ferrie,25,155,119,36
41,T42,T42,Kent Jones,23,157,141,16
42,T42,T42,Michael Letzig,29,157,69,88
43,T44,T44,Jonathan Byrd,27,160,114,46
44,T44,T44,Robert Gamez,26,160,153,7
45,T44,T44,Jeff Maggert,28,160,110,50
46,47,47,Chez Reavie,30,161,152,9
47,48,48,Nick Flanagan,29,164,60,104
48,49,49,Troy Matteson,30,165,38,127
49,T50,T50,Steve Allan,21,166,5,161
50,T50,T50,Jason Day,28,166,27,139
51,52,52,Heath Slocum,29,167,164,3
52,53,53,Ben Curtis,22,168,121,47
53,T54,T54,Scott McCarron,22,169,139,30
54,T54,T54,Joe Ogilvie,29,169,88,81
55,T54,T54,Kevin Streelman,32,169,54,115
56,T57,T57,Bart Bryant,23,170,166,4
57,T57,T57,Steve Elkington,25,170,148,22
58,T57,T57,Anthony Kim,22,170,11,159
59,T60,T60,Bill Haas,31,171,29,142
60,T60,T60,Davis Love III,23,171,9,162
61,62,62,Tommy Gainey,24,172,24,148
62,63,63,Trevor Immelman,22,173,66,107
63,T64,T64,Woody Austin,30,174,114,60
64,T64,T64,Tag Ridings,29,174,6,168
65,T64,T64,Bo Van Pelt,32,174,58,116
66,67,67,Vijay Singh,23,175,25,150
67,T68,T68,Rory Sabbatini,23,176,58,118
68,T68,T68,Scott Verplank,24,176,170,6
69,70,70,Briny Baird,30,177,116,61
70,71,71,Todd Hamilton,28,180,129,51
71,T72,T72,Robert Garrigus,29,181,2,179
72,T72,T72,Patrick Sheehan,35,181,125,56
73,74,74,Tom Scherrer,20,182,88,94
74,T75,T75,Tommy Armour III,25,183,88,95
75,T75,T75,Brian Davis,34,183,173,10
76,T75,T75,Tim Herron,28,183,52,131
