,Apex_Height_RANK THIS WEEK,Apex_Height_RANK LAST WEEK,Apex_Height_PLAYER NAME,Apex_Height_ROUNDS,Apex_Height_AVG.,Apex_Height_TOTAL APEX HEIGHT,Apex_Height_TOTAL ATTEMPTS,Apex_Height_HIGHEST APEX POINT,Apex_Height_LOWEST APEX POINT
0,1,1,Robert Garrigus,90,"123' 6""","7904' 5""",64,"160' 10""","89' 7"""
1,2,2,J.B. Holmes,86,"115' 9""","4628' 9""",40,"153' 0""","76' 7"""
2,3,3,Nicholas Thompson,113,"114' 1""","9924' 4""",87,"155' 4""","64' 5"""
3,4,4,Padraig Harrington,52,"113' 11""","2733' 8""",24,"152' 5""","88' 7"""
4,5,5,Stewart Cink,87,"112' 4""","6180' 5""",55,"147' 11""","86' 6"""
5,6,6,Vijay Singh,82,"110' 11""","6545' 3""",59,"147' 10""","76' 6"""
6,7,7,Geoff Ogilvy,65,"110' 8""","5089' 0""",46,"135' 4""","87' 2"""
7,8,8,Charley Hoffman,94,"110' 5""","9494' 4""",86,"145' 1""","72' 8"""
8,9,9,Jason Allred,63,"110' 4""","4744' 0""",43,"161' 1""","68' 2"""
9,10,10,Anthony Kim,81,"109' 7""","7123' 3""",65,"132' 4""","75' 6"""
10,11,11,Ryan Palmer,69,"109' 3""","4478' 5""",41,"145' 6""","61' 6"""
11,12,12,Harrison Frazar,73,"109' 1""","5128' 9""",47,"145' 6""","74' 2"""
12,13,13,Paul Casey,55,"108' 11""","3268' 4""",30,"136' 5""","85' 11"""
13,14,14,Mark Wilson,107,"106' 8""","1090' 9""",104,"143' 10""","73' 6"""
14,15,15,Brenden Pappas,66,"105' 2""",4205',40,"136' 4""","75' 5"""
15,16,16,Jimmy Walker,73,"104' 7""","5018' 6""",48,"147' 8""","51' 2"""
16,T17,T17,Dustin Johnson,92,"104' 5""","6580' 6""",63,"138' 4""","73' 6"""
17,T17,T17,Kevin Sutherland,98,"104' 5""","8455' 2""",81,"134' 11""","78' 5"""
18,19,19,Fred Couples,60,"104' 0""","3535' 0""",34,"127' 4""","78' 1"""
19,20,20,Charles Warren,79,"103' 8""","6841' 3""",66,"133' 7""","65' 8"""
20,21,21,Alex Cejka,75,"103' 6""","5382' 2""",52,"131' 0""","75' 2"""
21,T22,T22,Justin Bolli,87,"103' 5""","7030' 0""",68,"135' 1""","37' 5"""
22,T22,T22,Pat Perez,93,"103' 5""","7448' 6""",72,"144' 7""","70' 0"""
23,24,24,Ángel Cabrera,55,"102' 4""","3172' 3""",31,"141' 10""","41' 5"""
24,25,25,Andres Romero,69,"102' 1""",4183',41,"138' 7""","75' 7"""
25,26,26,John Rollins,94,"101' 6""","7408' 0""",73,"126' 4""","75' 4"""
26,27,27,Jason Gore,94,"101' 4""","5573' 0""",55,"127' 10""","66' 8"""
27,T28,T28,John Huston,56,"101' 2""","4451' 5""",44,"137' 2""","60' 7"""
28,T28,T28,Davis Love III,78,"101' 2""","5463' 0""",54,"135' 11""","71' 10"""
29,30,30,Travis Perkins,53,"101' 1""","2527' 0""",25,"124' 2""","69' 11"""
30,31,31,Kevin Stadler,90,"101' 0""","5654' 2""",56,"131' 0""","55' 11"""
31,32,32,Troy Matteson,94,"100' 11""","8478' 1""",84,"141' 11""","59' 10"""
