,Driving_Pct._300_All_Drives_RANK THIS WEEK,Driving_Pct._300_All_Drives_RANK LAST WEEK,Driving_Pct._300_All_Drives_PLAYER NAME,Driving_Pct._300_All_Drives_ROUNDS,Driving_Pct._300_All_Drives_%,Driving_Pct._300_All_Drives_TOTAL DRIVES FOR 300+,Driving_Pct._300_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct._300_All_Drives_RELATIVE TO PAR
0,1,1,J.B. Holmes,86,56.12,541,964,-0.181
1,2,2,Bubba Watson,97,50.81,568,1118,-0.199
2,3,3,Robert Garrigus,90,45.9,549,1196,-0.144
3,4,4,Dustin Johnson,92,45.52,513,1127,-0.135
4,5,5,Nick Watney,96,44.22,520,1176,-0.169
5,6,6,Ángel Cabrera,55,43.45,239,550,-0.084
6,7,7,Adam Scott,51,41.63,204,490,-0.172
7,8,8,Vijay Singh,82,41.08,364,886,-0.209
8,9,9,Steve Allan,58,40.6,272,670,-0.162
9,10,10,Andres Romero,69,39.8,273,686,-0.070
10,11,11,Anthony Kim,81,39.56,360,910,-0.253
11,12,12,Charley Hoffman,94,39.3,474,1206,-0.139
12,13,13,Fred Couples,60,37.46,266,710,-0.244
13,T14,T14,Jeff Overton,103,37.17,472,1270,-0.199
14,T14,T14,Tag Ridings,88,37.17,420,1130,-0.124
15,16,16,Travis Perkins,53,36.67,205,559,-0.005
16,17,17,Charles Warren,79,36.01,372,1033,-0.105
17,18,18,Tommy Gainey,60,35.51,228,642,-0.057
18,19,19,Daniel Chopra,84,35.2,340,966,-0.185
19,20,20,Martin Laird,98,34.32,407,1186,-0.197
20,21,21,Davis Love III,78,33.92,308,908,-0.195
21,22,22,Jason Allred,63,33.91,236,696,-0.144
22,23,23,Phil Mickelson,80,33.78,279,826,-0.211
23,24,24,Harrison Frazar,73,33.72,291,863,-0.196
24,25,25,Bill Haas,99,33.63,421,1252,-0.188
25,26,26,Paul Casey,55,33.2,166,500,-0.169
26,27,27,Kevin Streelman,114,32.35,437,1351,-0.188
27,28,28,Richard Johnson,77,31.96,303,948,-0.139
28,29,29,Jason Day,81,31.6,340,1076,-0.050
29,30,30,Jason Gore,94,31.19,369,1183,-0.233
30,31,31,John Merrick,98,31.01,333,1074,-0.213
31,32,32,Sean O'Hair,81,30.91,293,948,-0.137
32,33,33,Padraig Harrington,52,30.8,138,448,-0.239
33,34,34,Charles Howell III,101,30.71,374,1218,-0.166
34,35,35,Kenny Perry,97,30.63,392,1280,-0.171
35,36,36,Lucas Glover,91,30.4,352,1158,-0.156
36,37,37,Pat Perez,93,30.37,335,1103,-0.260
37,38,38,Stewart Cink,87,30.27,270,892,-0.181
38,39,39,George McNeill,97,30.02,377,1256,-0.233
39,40,40,Kevin Stadler,90,29.8,304,1020,-0.178
40,41,41,Rory Sabbatini,77,29.35,260,886,-0.285
41,42,42,Matt Jones,95,29.27,343,1172,-0.227
42,43,43,Troy Matteson,94,28.92,358,1238,-0.078
43,44,44,James Driscoll,85,28.88,305,1056,-0.207
44,45,45,Brandt Jobe,52,28.75,188,654,-0.149
45,46,46,Brenden Pappas,66,28.59,223,780,-0.274
46,47,47,Steve Marino,119,28.47,412,1447,-0.170
47,48,48,Mathias Grönberg,87,28.27,311,1100,-0.151
48,49,49,John Huston,56,27.94,190,680,-0.195
49,T50,T50,Tim Herron,97,27.83,337,1211,-0.226
50,T50,T50,Jon Mills,95,27.83,302,1085,-0.175
51,52,52,Brad Adamonis,87,27.76,294,1059,-0.153
52,53,53,Camilo Villegas,79,27.66,244,882,-0.250
