,Distance_from_Edge_of_Fairway_RANK THIS WEEK,Distance_from_Edge_of_Fairway_RANK LAST WEEK,Distance_from_Edge_of_Fairway_PLAYER NAME,Distance_from_Edge_of_Fairway_EVENTS,Distance_from_Edge_of_Fairway_AVG,Distance_from_Edge_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Edge_of_Fairway_TOTAL STROKES
0,1,1,Bart Bryant,23,"16' 11""",3055.5,181
1,2,2,Zach Johnson,25,"17' 3""",3957.75,229
2,3,3,Heath Slocum,29,"17' 4""",3687.0,213
3,T4,T4,Glen Day,19,"18' 1""",2311.167,128
4,T4,T4,Scott Verplank,24,"18' 1""",3255.083,180
5,6,6,Brian Gay,31,"18' 3""",4284.0,235
6,7,7,Shane Bertsch,29,"18' 6""",4984.583,270
7,8,8,Jim Furyk,26,"19' 0""",4721.417,249
8,9,9,Justin Leonard,25,"19' 2""",4608.25,240
9,10,10,Omar Uresti,24,"19' 4""",2633.833,136
10,T11,T11,Bob Tway,20,"19' 6""",2611.083,134
11,T11,T11,Boo Weekley,24,"19' 6""",5356.5830000000005,275
12,13,13,Jerry Kelly,31,"19' 9""",4899.0,248
13,14,14,Kevin Na,29,"19' 11""",5942.9169999999995,299
14,15,15,Corey Pavin,20,"20' 1""",2270.833,113
15,16,16,Joe Durant,28,"20' 2""",3993.5,198
16,17,17,Tim Clark,27,"20' 3""",5362.4169999999995,265
17,18,18,Tim Wilkinson,29,"20' 4""",5355.25,263
18,T19,T19,Nick O'Hern,26,"20' 5""",3784.583,185
19,T19,T19,Jay Williamson,33,"20' 5""",5283.75,259
20,21,21,Ben Curtis,22,"20' 8""",3988.25,193
21,T22,T22,Michael Allen,28,"20' 9""",5560.5830000000005,268
22,T22,T22,John Riegger,24,"20' 9""",4531.0,218
23,24,24,Jeff Gove,18,"20' 11""",2240.25,107
24,25,25,Cameron Beckman,29,"21' 0""",4492.833,214
25,26,26,Robert Gamez,26,"21' 3""",4351.083,205
26,T27,T27,Bob Estes,28,"21' 4""",5728.8330000000005,269
27,T27,T27,Billy Mayfair,29,"21' 4""",5589.5830000000005,262
28,T29,T29,Matt Kuchar,27,"21' 5""",5242.417,245
29,T29,T29,Peter Lonard,30,"21' 5""",6179.3330000000005,289
30,T29,T29,David Toms,20,"21' 5""",4126.25,193
31,T32,T32,Stephen Ames,24,"21' 7""",6085.6669999999995,282
32,T32,T32,Ben Crane,25,"21' 7""",5454.0,253
33,T32,T32,Steve Elkington,25,"21' 7""",5133.583,238
34,T32,T32,Kenneth Ferrie,25,"21' 7""",4166.667,193
35,36,36,Rich Beem,29,"21' 8""",5794.5,267
36,37,37,Gavin Coles,16,"21' 9""",1412.3329999999999,65
37,38,38,Tom Pernice Jr.,30,"21' 11""",7260.1669999999995,331
38,T39,T39,Paul Goydos,25,"22' 1""",4729.75,214
39,T39,T39,Rod Pampling,28,"22' 1""",5262.5,238
40,41,41,Bo Van Pelt,32,"22' 2""",7583.25,342
41,42,42,Brian Davis,34,"22' 3""",5862.5,263
42,43,43,Cliff Kresge,28,"22' 4""",5656.0830000000005,253
43,T44,T44,Mark Calcavecchia,25,"22' 5""",4435.25,198
44,T44,T44,K.J. Choi,21,"22' 5""",5364.8330000000005,239
45,T44,T44,Richard Johnson,21,"22' 5""",3723.25,166
46,T47,T47,Craig Kanada,23,"22' 6""",2924.667,130
47,T47,T47,Rocco Mediate,27,"22' 6""",5463.0,243
