,SG_Tee-to-Green_RANK THIS WEEK,SG_Tee-to-Green_RANK LAST WEEK,SG_Tee-to-Green_PLAYER NAME,SG_Tee-to-Green_ROUNDS,SG_Tee-to-Green_AVERAGE,SG_Tee-to-Green_SG:OTT,SG_Tee-to-Green_SG:APR,SG_Tee-to-Green_SG:ARG,SG_Tee-to-Green_MEASURED ROUNDS
0,1,1,Vijay Singh,82,1.875,0.8190000000000001,0.607,0.45,63
1,2,2,Sergio Garcia,72,1.625,0.503,0.8909999999999999,0.23,56
2,3,3,Phil Mickelson,80,1.604,0.402,0.8420000000000001,0.36,59
3,4,4,Robert Allenby,108,1.546,0.534,1.217,-0.205,86
4,5,5,Adam Scott,51,1.2990000000000002,0.475,0.384,0.44,35
5,6,6,Camilo Villegas,79,1.166,0.29600000000000004,0.777,0.09300000000000001,63
6,7,7,Ernie Els,51,1.12,0.10099999999999999,0.79,0.228,36
7,8,8,Anthony Kim,81,1.117,0.5489999999999999,0.474,0.09300000000000001,65
8,9,9,Boo Weekley,86,1.048,0.715,0.44299999999999995,-0.109,64
9,10,10,Kenny Perry,97,0.995,0.514,0.599,-0.11800000000000001,92
10,11,11,Padraig Harrington,52,0.9590000000000001,0.27899999999999997,0.221,0.46,32
11,12,12,D.J. Trahan,94,0.934,0.374,0.496,0.064,78
12,13,13,Briny Baird,113,0.9309999999999999,0.20800000000000002,0.65,0.073,96
13,14,14,Bubba Watson,97,0.904,0.5379999999999999,0.41600000000000004,-0.051,80
14,15,15,Scott Verplank,82,0.9009999999999999,0.266,0.508,0.127,65
15,16,16,John Senden,93,0.899,0.385,0.63,-0.11599999999999999,82
16,17,17,Jim Furyk,95,0.8809999999999999,0.26,0.59,0.031,75
17,18,18,Pat Perez,93,0.856,0.318,0.423,0.115,79
18,19,19,Davis Love III,78,0.764,0.44799999999999995,0.289,0.026000000000000002,65
19,20,20,Mike Weir,88,0.758,-0.052000000000000005,0.268,0.541,66
20,21,21,Kevin Sutherland,98,0.75,0.13699999999999998,0.35200000000000004,0.261,88
21,22,22,David Toms,70,0.741,0.113,0.61,0.018000000000000002,56
22,23,23,Stephen Ames,83,0.736,-0.085,0.623,0.198,66
23,24,24,Chad Campbell,94,0.732,0.068,0.83,-0.166,85
24,25,25,Heath Slocum,104,0.7190000000000001,0.306,0.545,-0.132,86
25,26,26,Fred Couples,60,0.718,0.34700000000000003,0.218,0.154,51
26,27,27,Mathew Goggin,91,0.7040000000000001,0.509,-0.027000000000000003,0.222,82
27,28,28,Bart Bryant,81,0.693,0.316,0.34700000000000003,0.03,67
28,29,29,Geoff Ogilvy,65,0.684,0.32799999999999996,0.263,0.094,49
29,30,30,Justin Leonard,101,0.675,0.265,0.244,0.165,73
30,31,31,Trevor Immelman,70,0.67,-0.061,0.303,0.42700000000000005,54
31,T32,T32,Joe Durant,92,0.665,0.5820000000000001,0.447,-0.364,79
32,T32,T32,Hunter Mahan,87,0.665,0.36,0.742,-0.43700000000000006,72
33,T34,T34,Stuart Appleby,87,0.648,-0.024,0.31,0.36200000000000004,67
34,T34,T34,Charles Howell III,101,0.648,0.13,0.28300000000000003,0.23600000000000002,87
35,36,36,Tom Lehman,51,0.643,-0.065,0.546,0.162,38
36,37,37,Woody Austin,109,0.628,0.299,0.41,-0.081,88
37,38,38,Sean O'Hair,81,0.624,0.44799999999999995,0.179,-0.003,68
38,39,39,Steve Marino,119,0.611,0.461,0.19399999999999998,-0.044000000000000004,104
39,40,40,Billy Mayfair,103,0.605,0.308,0.003,0.294,95
40,41,41,Stewart Cink,87,0.604,0.045,0.501,0.057999999999999996,64
41,42,42,Mark Calcavecchia,67,0.597,0.247,0.513,-0.163,54
42,43,43,Paul Casey,55,0.595,0.37200000000000005,0.616,-0.39399999999999996,36
