,Driving_Distance_-_All_Drives_RANK THIS WEEK,Driving_Distance_-_All_Drives_RANK LAST WEEK,Driving_Distance_-_All_Drives_PLAYER NAME,Driving_Distance_-_All_Drives_ROUNDS,Driving_Distance_-_All_Drives_ALL DRIVES,Driving_Distance_-_All_Drives_TOTAL DISTANCE,Driving_Distance_-_All_Drives_# OF DRIVES
0,1,1,J.B. Holmes,86,303.7,292747,964
1,2,2,Dustin Johnson,92,296.8,334484,1127
2,3,3,Robert Garrigus,90,296.1,354081,1196
3,4,4,Bubba Watson,97,295.6,330478,1118
4,5,5,Nick Watney,96,294.1,345888,1176
5,6,6,Vijay Singh,82,293.5,260061,886
6,7,7,Ángel Cabrera,55,293.4,161385,550
7,8,8,Fred Couples,60,293.0,208008,710
8,T9,T9,Andres Romero,69,292.4,200619,686
9,T9,T9,Adam Scott,51,292.4,143252,490
10,11,11,Anthony Kim,81,292.2,265869,910
11,12,12,Steve Allan,58,292.0,195615,670
12,13,13,Charley Hoffman,94,291.2,351191,1206
13,14,14,Harrison Frazar,73,291.1,251219,863
14,15,15,Phil Mickelson,80,290.8,240170,826
15,T16,T16,Tommy Gainey,60,290.5,186509,642
16,T16,T16,Charles Warren,79,290.5,300049,1033
17,18,18,Tag Ridings,88,290.4,328175,1130
18,T19,T19,Jeff Overton,103,290.1,368449,1270
19,T19,T19,Travis Perkins,53,290.1,162162,559
20,21,21,Daniel Chopra,84,289.5,279705,966
21,22,22,Richard Johnson,77,288.7,273701,948
22,T23,T23,Jason Day,81,288.3,310247,1076
23,T23,T23,Martin Laird,98,288.3,341889,1186
24,25,25,Davis Love III,78,288.2,261659,908
25,T26,T26,Jason Allred,63,287.9,200392,696
26,T26,T26,Bill Haas,99,287.9,360403,1252
27,T28,T28,Charles Howell III,101,287.6,350241,1218
28,T28,T28,Kevin Streelman,114,287.6,388594,1351
29,T30,T30,Sean O'Hair,81,287.3,272380,948
30,T30,T30,Kenny Perry,97,287.3,367686,1280
31,T30,T30,Boo Weekley,86,287.3,257962,898
32,T33,T33,Stewart Cink,87,287.2,256172,892
33,T33,T33,John Huston,56,287.2,195282,680
34,35,35,Lucas Glover,91,287.1,332424,1158
35,T36,T36,Padraig Harrington,52,287.0,128571,448
36,T36,T36,Nicholas Thompson,113,287.0,383978,1338
37,38,38,Kevin Stadler,90,286.8,292571,1020
38,T39,T39,Troy Matteson,94,286.6,354758,1238
39,T39,T39,Rory Sabbatini,77,286.6,253935,886
40,41,41,Steve Marino,119,286.2,414114,1447
41,T42,T42,Mathias Grönberg,87,285.8,314394,1100
42,T42,T42,Pat Perez,93,285.8,315195,1103
43,44,44,Brenden Pappas,66,285.7,222848,780
44,T45,T45,George McNeill,97,285.5,358559,1256
45,T45,T45,D.J. Trahan,94,285.5,309493,1084
46,T47,T47,John Merrick,98,285.4,306480,1074
47,T47,T47,Ted Purdy,68,285.4,234310,821
48,T49,T49,Sergio Garcia,72,285.3,223677,784
49,T49,T49,Matt Jones,95,285.3,334381,1172
50,51,51,Brandt Jobe,52,284.9,186325,654
51,T52,T52,Paul Casey,55,284.7,142326,500
52,T52,T52,Ryan Palmer,69,284.7,237970,836
53,T54,T54,Jason Gore,94,284.6,336717,1183
54,T54,T54,Camilo Villegas,79,284.6,251031,882
55,56,56,Geoff Ogilvy,65,284.4,193979,682
56,57,57,James Driscoll,85,284.3,300217,1056
57,T58,T58,Mathew Goggin,91,284.2,325156,1144
58,T58,T58,Mark Hensby,71,284.2,254387,895
59,T58,T58,Steve Lowery,74,284.2,265732,935
60,61,61,Tim Herron,97,284.1,344026,1211
61,62,62,Michael Letzig,88,284.0,293061,1032
62,T63,T63,Brad Adamonis,87,283.8,300552,1059
63,T63,T63,Stuart Appleby,87,283.8,265056,934
64,65,65,Joe Ogilvie,100,283.7,345283,1217
65,66,66,Nick Flanagan,89,283.5,315005,1111
66,67,67,John Riegger,73,283.4,253055,893
67,68,68,Jon Mills,95,283.3,307385,1085
68,69,69,Bo Van Pelt,101,283.2,367291,1297
69,T70,T70,Todd Demsey,80,283.0,280141,990
70,T70,T70,Hunter Mahan,87,283.0,285313,1008
71,72,72,Bob Sowards,61,282.8,205281,726
72,T73,T73,Aaron Baddeley,76,282.7,238572,844
73,T73,T73,Kevin Sutherland,98,282.7,347197,1228
74,T75,T75,Robert Allenby,108,282.6,339132,1200
75,T75,T75,Ernie Els,51,282.6,141879,502
76,T77,T77,J.J. Henry,108,281.9,389596,1382
77,T77,T77,John Rollins,94,281.9,311248,1104
78,T77,T77,Jimmy Walker,73,281.9,243563,864
79,80,80,Jeff Maggert,86,281.8,310003,1100
80,81,81,Rod Pampling,83,281.7,267080,948
81,82,82,Rich Beem,90,281.6,310339,1102
82,83,83,Cody Freeman,66,281.1,215861,768
83,T84,T84,Parker McLachlin,88,280.9,309528,1102
84,T84,T84,John Senden,93,280.9,321333,1144
85,T84,T84,Kyle Thompson,70,280.9,223616,796
86,T87,T87,Woody Austin,109,280.8,347045,1236
87,T87,T87,K.J. Choi,74,280.8,225186,802
88,89,89,Chris Stroud,81,280.6,258193,920
89,T90,T90,Ryan Armour,87,280.5,296205,1056
90,T90,T90,Kenneth Ferrie,72,280.5,234500,836
