,Smash_Factor_RANK THIS WEEK,Smash_Factor_RANK LAST WEEK,Smash_Factor_PLAYER NAME,Smash_Factor_ROUNDS,Smash_Factor_AVG.,Smash_Factor_TOTAL SMASH FACTOR,Smash_Factor_TOTAL ATTEMPTS,Smash_Factor_HIGHEST VALUE,Smash_Factor_LOWEST VALUE
0,1,1,David Toms,70,1.4780000000000002,79.795,54,1.516,1.463
1,T2,T2,Shane Bertsch,96,1.4769999999999999,131.465,89,1.493,1.4469999999999998
2,T2,T2,Scott Sterling,89,1.4769999999999999,97.49799999999999,66,1.5,1.4469999999999998
3,T4,T4,Rich Beem,90,1.476,107.734,73,1.504,1.4509999999999998
4,T4,T4,Todd Demsey,80,1.476,97.43299999999999,66,1.51,1.4569999999999999
5,T4,T4,Steve Flesch,95,1.476,119.525,81,1.518,1.4469999999999998
6,T4,T4,Mathew Goggin,91,1.476,104.803,71,1.504,1.4569999999999999
7,T4,T4,J.P. Hayes,67,1.476,90.051,61,1.493,1.4609999999999999
8,T4,T4,John Huston,56,1.476,66.442,45,1.5,1.445
9,T4,T4,Richard Johnson,77,1.476,90.036,61,1.514,1.433
10,T4,T4,Craig Kanada,65,1.476,72.307,49,1.495,1.465
11,T4,T4,Brenden Pappas,66,1.476,63.457,43,1.4969999999999999,1.453
12,T4,T4,Chris Riley,51,1.476,47.225,32,1.5019999999999998,1.463
13,T4,T4,Bubba Watson,97,1.476,98.895,67,1.504,1.459
14,T4,T4,Tim Wilkinson,95,1.476,110.713,75,1.516,1.4609999999999999
15,T4,T4,Jay Williamson,96,1.476,100.348,68,1.4869999999999999,1.463
16,T17,T17,Robert Allenby,108,1.475,119.492,81,1.5,1.4569999999999999
17,T17,T17,Briny Baird,113,1.475,125.344,85,1.5019999999999998,1.4469999999999998
18,T17,T17,Ben Crane,86,1.475,110.59899999999999,75,1.489,1.4609999999999999
19,T17,T17,David Duval,51,1.475,45.733000000000004,31,1.4909999999999999,1.4609999999999999
20,T17,T17,Steve Elkington,84,1.475,91.449,62,1.5,1.4609999999999999
21,T17,T17,Ernie Els,51,1.475,56.036,38,1.485,1.4609999999999999
22,T17,T17,Harrison Frazar,73,1.475,76.682,52,1.5,1.463
23,T17,T17,Cody Freeman,66,1.475,73.747,50,1.4909999999999999,1.4469999999999998
24,T17,T17,Martin Laird,98,1.475,110.613,75,1.5,1.433
25,T17,T17,Peter Lonard,92,1.475,117.98100000000001,80,1.493,1.4509999999999998
26,T17,T17,Davis Love III,78,1.475,79.63600000000001,54,1.499,1.443
27,T17,T17,David Lutterus,59,1.475,66.361,45,1.493,1.4609999999999999
28,T17,T17,Jeff Maggert,86,1.475,115.085,78,1.5,1.459
29,T17,T17,Billy Mayfair,103,1.475,132.754,90,1.495,1.449
30,T17,T17,Jim McGovern,75,1.475,88.516,60,1.4909999999999999,1.4569999999999999
31,T17,T17,Rocco Mediate,87,1.475,101.76799999999999,69,1.516,1.4609999999999999
32,T17,T17,Nick O'Hern,82,1.475,91.48,62,1.4909999999999999,1.459
33,T17,T17,Joe Ogilvie,100,1.475,119.46,81,1.49,1.453
34,T17,T17,Ryan Palmer,69,1.475,66.375,45,1.493,1.429
35,T17,T17,Tag Ridings,88,1.475,103.23700000000001,70,1.508,1.449
36,T17,T17,John Rollins,94,1.475,109.166,74,1.499,1.449
37,T17,T17,Scott Verplank,82,1.475,106.169,72,1.5,1.445
38,T17,T17,Nick Watney,96,1.475,106.185,72,1.5019999999999998,1.449
39,T40,T40,Ángel Cabrera,55,1.474,54.528,37,1.493,1.459
40,T40,T40,K.J. Choi,74,1.474,92.885,63,1.4909999999999999,1.423
41,T40,T40,Stewart Cink,87,1.474,84.02799999999999,57,1.5,1.433
42,T40,T40,Ken Duke,116,1.474,142.955,97,1.504,1.429
43,T40,T40,Mathias Grönberg,87,1.474,97.315,66,1.5019999999999998,1.4569999999999999
44,T40,T40,Todd Hamilton,92,1.474,67.796,46,1.495,1.455
45,T40,T40,Mark Hensby,71,1.474,85.51,58,1.4909999999999999,1.459
46,T40,T40,Trevor Immelman,70,1.474,73.682,50,1.4909999999999999,1.443
47,T40,T40,Matt Jones,95,1.474,109.11,74,1.508,1.449
48,T40,T40,Greg Kraft,63,1.474,66.32300000000001,45,1.489,1.4609999999999999
49,T40,T40,Cliff Kresge,84,1.474,103.15799999999999,70,1.4909999999999999,1.435
50,T40,T40,Stephen Leaney,53,1.474,58.961999999999996,40,1.4909999999999999,1.439
51,T40,T40,Tom Lehman,51,1.474,56.019,38,1.52,1.433
52,T40,T40,Michael Letzig,88,1.474,100.215,68,1.506,1.433
53,T40,T40,Parker McLachlin,88,1.474,100.23,68,1.499,1.393
54,T40,T40,George McNeill,97,1.474,126.786,86,1.495,1.4509999999999998
55,T40,T40,Phil Mickelson,80,1.474,76.663,52,1.504,1.425
56,T40,T40,Ryan Moore,72,1.474,82.536,56,1.489,1.453
57,T40,T40,Geoff Ogilvy,65,1.474,69.285,47,1.4969999999999999,1.4469999999999998
58,T40,T40,Jeff Overton,103,1.474,112.039,76,1.51,1.403
59,T40,T40,Travis Perkins,53,1.474,36.853,25,1.4909999999999999,1.4609999999999999
60,T40,T40,Carl Pettersson,110,1.474,140.007,95,1.4909999999999999,1.453
61,T40,T40,Ian Poulter,51,1.474,54.545,37,1.489,1.4569999999999999
62,T40,T40,Tom Scherrer,56,1.474,56.02,38,1.495,1.435
63,T40,T40,Heath Slocum,104,1.474,132.69899999999998,90,1.4969999999999999,1.453
64,T40,T40,Steve Stricker,75,1.474,79.58800000000001,54,1.485,1.459
65,T40,T40,Vaughn Taylor,103,1.474,128.22899999999998,87,1.493,1.4469999999999998
66,T40,T40,Kyle Thompson,70,1.474,82.554,56,1.493,1.455
67,T40,T40,Bo Van Pelt,101,1.474,119.425,81,1.4969999999999999,1.4369999999999998
68,T40,T40,Jimmy Walker,73,1.474,72.227,49,1.4969999999999999,1.453
69,T40,T40,Ron Whittaker,54,1.474,57.497,39,1.485,1.4569999999999999
70,T71,T71,Steve Allan,58,1.473,63.347,43,1.489,1.4469999999999998
71,T71,T71,Stuart Appleby,87,1.473,91.34,62,1.495,1.405
72,T71,T71,Ryan Armour,87,1.473,98.715,67,1.485,1.4569999999999999
73,T71,T71,Justin Bolli,87,1.473,101.661,69,1.4909999999999999,1.439
74,T71,T71,Olin Browne,77,1.473,97.185,66,1.506,1.445
75,T71,T71,Alejandro Cañizares,52,1.473,60.383,41,1.493,1.415
76,T71,T71,Alex Cejka,75,1.473,76.613,52,1.5,1.433
77,T71,T71,Fred Couples,60,1.473,50.074,34,1.483,1.4609999999999999
78,T71,T71,Glen Day,64,1.473,70.706,48,1.495,1.4569999999999999
79,T71,T71,Kenneth Ferrie,72,1.473,80.993,55,1.493,1.4369999999999998
80,T71,T71,Robert Garrigus,90,1.473,94.258,64,1.495,1.445
81,T71,T71,Paul Goydos,78,1.473,95.71799999999999,65,1.5,1.4269999999999998
82,T71,T71,Padraig Harrington,52,1.473,38.292,26,1.4909999999999999,1.439
83,T71,T71,Dudley Hart,74,1.473,94.26700000000001,64,1.504,1.403
84,T71,T71,J.B. Holmes,86,1.473,64.79,44,1.4869999999999999,1.449
85,T71,T71,Kent Jones,68,1.473,72.182,49,1.5,1.445
86,T71,T71,Anthony Kim,81,1.473,95.725,65,1.4969999999999999,1.453
87,T71,T71,Matt Kuchar,88,1.473,94.25200000000001,64,1.4909999999999999,1.4569999999999999
88,T71,T71,Doug LaBelle II,65,1.473,66.289,45,1.4869999999999999,1.4469999999999998
89,T71,T71,Justin Leonard,101,1.473,114.92399999999999,78,1.4869999999999999,1.459
90,T71,T71,Hunter Mahan,87,1.473,106.04799999999999,72,1.4909999999999999,1.413
91,T71,T71,John Mallinger,95,1.473,114.919,78,1.489,1.453
92,T71,T71,Steve Marino,119,1.473,129.621,88,1.493,1.431
93,T71,T71,Jon Mills,95,1.473,82.46,56,1.495,1.443
94,T71,T71,Corey Pavin,69,1.473,73.668,50,1.489,1.445
95,T71,T71,Rory Sabbatini,77,1.473,98.68299999999999,67,1.489,1.439
96,T71,T71,Patrick Sheehan,124,1.473,139.952,95,1.5019999999999998,1.4409999999999998
97,T71,T71,Vijay Singh,82,1.473,91.31299999999999,62,1.4869999999999999,1.463
98,T71,T71,Bob Sowards,61,1.473,63.336999999999996,43,1.4909999999999999,1.445
99,T71,T71,Chris Stroud,81,1.473,92.82700000000001,63,1.4969999999999999,1.459
100,T71,T71,Kevin Sutherland,98,1.473,126.679,86,1.4869999999999999,1.449
101,T71,T71,D.J. Trahan,94,1.473,106.084,72,1.4909999999999999,1.431
102,T71,T71,Omar Uresti,74,1.473,80.999,55,1.4969999999999999,1.449
103,T71,T71,Camilo Villegas,79,1.473,86.89299999999999,59,1.52,1.4469999999999998
104,T105,T105,Brad Adamonis,87,1.472,104.486,71,1.504,1.393
105,T105,T105,Eric Axley,113,1.472,128.05100000000002,87,1.4969999999999999,1.4369999999999998
106,T105,T105,Cameron Beckman,87,1.472,89.78399999999999,61,1.4909999999999999,1.443
107,T105,T105,Gavin Coles,54,1.472,54.473,37,1.485,1.453
