,Distance_to_Apex_RANK THIS WEEK,Distance_to_Apex_RANK LAST WEEK,Distance_to_Apex_PLAYER NAME,Distance_to_Apex_ROUNDS,Distance_to_Apex_AVG.,Distance_to_Apex_TOTAL APEX RANGE,Distance_to_Apex_TOTAL ATTEMPTS,Distance_to_Apex_LONGEST DIST. TO APEX,Distance_to_Apex_SHORTEST DIST. TO APEX
0,1,1,J.B. Holmes,86,206.1,8244.5,40,223.3,191.1
1,2,2,Robert Garrigus,90,201.6,12903.6,64,219.6,184.5
2,3,3,Dustin Johnson,92,201.4,12689.9,63,221.1,173.3
3,4,4,Travis Perkins,53,199.2,4980.7,25,215.0,182.7
4,5,5,Nick Watney,96,198.3,14280.2,72,214.6,178.3
5,T6,T6,Charley Hoffman,94,197.2,16957.8,86,211.8,174.0
6,T6,T6,Tag Ridings,88,197.2,13209.7,67,215.0,170.6
7,8,8,Ángel Cabrera,55,197.0,6106.8,31,211.8,159.4
8,T9,T9,Jason Allred,63,196.8,8464.4,43,214.6,180.1
9,T9,T9,Paul Casey,55,196.8,5902.6,30,207.3,172.5
10,11,11,Bubba Watson,97,196.4,12177.9,62,215.9,152.1
11,12,12,James Driscoll,85,194.8,12469.1,64,207.4,142.2
12,13,13,Anthony Kim,81,194.3,12631.5,65,206.9,175.8
13,14,14,Bill Haas,99,194.1,16695.2,86,210.5,168.1
14,15,15,Sergio Garcia,72,194.0,9312.6,48,207.4,159.0
15,16,16,Martin Laird,98,193.1,14095.7,73,210.9,172.6
16,17,17,George McNeill,97,193.0,16405.0,85,209.6,169.2
17,18,18,Pat Perez,93,192.6,13866.1,72,203.7,179.6
18,19,19,Charles Warren,79,192.4,12697.2,66,209.9,145.8
19,20,20,Lucas Glover,91,192.1,14792.8,77,213.9,155.3
20,T21,T21,Davis Love III,78,192.0,10366.6,54,204.9,174.9
21,T21,T21,Adam Scott,51,192.0,6527.8,34,210.5,174.1
22,T21,T21,John Senden,93,192.0,13250.8,69,201.7,167.4
23,T24,T24,Jason Gore,94,191.5,10530.4,55,208.9,172.6
24,T24,T24,Troy Matteson,94,191.5,16082.9,84,207.4,165.2
25,26,26,Fred Couples,60,190.9,6491.1,34,201.8,177.5
26,27,27,Daniel Chopra,84,190.8,12021.7,63,208.2,167.0
27,28,28,Richard Johnson,77,190.7,11251.5,59,212.4,140.4
28,29,29,Charles Howell III,101,189.7,15177.0,80,203.1,142.5
29,30,30,Harrison Frazar,73,188.8,8873.5,47,199.4,170.1
30,T31,T31,Stewart Cink,87,188.6,10372.2,55,201.8,170.0
31,T31,T31,Brandt Jobe,52,188.6,7166.9,38,201.6,175.6
