,Carry_Efficiency_RANK THIS WEEK,Carry_Efficiency_RANK LAST WEEK,Carry_Efficiency_PLAYER NAME,Carry_Efficiency_ROUNDS,Carry_Efficiency_AVG.,Carry_Efficiency_AVERAGE CARRY DIST. YARDS,Carry_Efficiency_AVERAGE CLUB HEAD SPEED,Carry_Efficiency_TOTAL ATTEMPTS,Carry_Efficiency_HIGHEST CARRY EFFICIENCY
0,1,1,Ángel Cabrera,55,2.494,301.6,120.926,28,2.7569999999999997
1,2,2,Robert Garrigus,90,2.485,301.5,121.333,62,2.782
2,3,3,Vijay Singh,82,2.4819999999999998,287.9,115.99799999999999,56,2.7939999999999996
3,4,4,Mark Wilson,107,2.479,270.0,108.90299999999999,102,2.74
4,5,5,Brenden Pappas,66,2.467,280.9,113.89399999999999,38,2.728
5,6,6,J.B. Holmes,86,2.463,307.9,124.99799999999999,41,2.7430000000000003
6,7,7,Ryan Palmer,69,2.4619999999999997,281.8,114.46700000000001,36,2.745
7,8,8,Justin Bolli,87,2.456,269.6,109.786,67,2.701
8,T9,T9,Charley Hoffman,94,2.455,290.6,118.363,83,2.826
9,T9,T9,Brandt Snedeker,85,2.455,267.2,108.84299999999999,65,2.7039999999999997
10,T11,T11,Steve Marino,119,2.452,275.2,112.25200000000001,82,2.694
11,T11,T11,Geoff Ogilvy,65,2.452,281.0,114.602,44,2.717
12,T11,T11,Steve Stricker,75,2.452,276.8,112.869,50,2.783
13,14,14,Nicholas Thompson,113,2.451,280.0,114.23700000000001,79,2.7539999999999996
14,15,15,Anthony Kim,81,2.45,288.6,117.786,62,2.745
15,16,16,Hunter Mahan,87,2.449,275.0,112.311,66,2.733
16,T17,T17,Harrison Frazar,73,2.447,286.2,116.976,45,2.6489999999999996
17,T17,T17,George McNeill,97,2.447,288.6,117.959,80,2.721
18,T17,T17,Andres Romero,69,2.447,285.0,116.447,39,2.699
19,T17,T17,Kevin Sutherland,98,2.447,276.5,112.961,79,2.79
20,21,21,Joe Ogilvie,100,2.444,270.4,110.637,78,2.7310000000000003
21,T22,T22,Stewart Cink,87,2.443,283.5,116.046,48,2.733
22,T22,T22,Jeff Gove,50,2.443,266.9,109.255,36,2.697
23,T22,T22,Chez Reavie,102,2.443,261.6,107.06299999999999,88,2.872
24,25,25,Jason Gore,94,2.44,285.4,116.984,52,2.762
25,T26,T26,Billy Mayfair,103,2.438,264.8,108.64,87,2.7
26,T26,T26,Charles Warren,79,2.438,286.7,117.56200000000001,62,2.715
27,28,28,Jeff Maggert,86,2.436,264.9,108.73100000000001,75,2.6919999999999997
28,T29,T29,Alex Cejka,75,2.435,268.7,110.32,48,2.694
29,T29,T29,Bo Van Pelt,101,2.435,278.5,114.368,75,2.648
30,T31,T31,K.J. Choi,74,2.4330000000000003,270.2,111.04299999999999,60,2.721
31,T31,T31,Doug LaBelle II,65,2.4330000000000003,261.5,107.477,41,2.761
32,T31,T31,Kenny Perry,97,2.4330000000000003,277.2,113.931,76,2.721
33,T31,T31,David Toms,70,2.4330000000000003,263.9,108.44200000000001,49,2.725
34,35,35,Vaughn Taylor,103,2.432,265.6,109.198,79,2.803
35,T36,T36,Ben Crane,86,2.431,265.6,109.26700000000001,70,2.61
36,T36,T36,Todd Hamilton,92,2.431,275.2,113.20299999999999,42,2.6719999999999997
37,T38,T38,Steve Allan,58,2.43,282.5,116.23200000000001,38,2.6860000000000004
38,T38,T38,Mathias Grönberg,87,2.43,275.3,113.296,57,2.7
39,T38,T38,Richard Johnson,77,2.43,283.3,116.58,52,2.7289999999999996
40,T38,T38,Steve Lowery,74,2.43,276.3,113.686,56,2.7239999999999998
41,42,42,Cliff Kresge,84,2.4290000000000003,264.6,108.91,66,2.6039999999999996
42,43,43,Davis Love III,78,2.428,286.0,117.771,53,2.6239999999999997
