,Total_Distance_Efficiency_RANK THIS WEEK,Total_Distance_Efficiency_RANK LAST WEEK,Total_Distance_Efficiency_PLAYER NAME,Total_Distance_Efficiency_ROUNDS,Total_Distance_Efficiency_AVG.,Total_Distance_Efficiency_AVERAGE DISTANCE (YARDS),Total_Distance_Efficiency_AVERAGE CLUB HEAD SPEED,Total_Distance_Efficiency_TOTAL ATTEMPTS,Total_Distance_Efficiency_HIGHEST DIST. EFFICIENCY
0,1,1,Scott Verplank,82,2.65,282.591,106.631,72,3.406
1,2,2,Ian Poulter,51,2.641,292.246,110.666,37,3.025
2,3,3,K.J. Choi,74,2.639,293.259,111.10700000000001,63,3.235
3,4,4,Paul Goydos,78,2.638,277.334,105.12200000000001,65,3.2439999999999998
4,T5,T5,Craig Kanada,65,2.637,274.85900000000004,104.215,49,2.935
5,T5,T5,Joe Ogilvie,100,2.637,291.763,110.65700000000001,81,3.21
6,T7,T7,Jim McGovern,75,2.636,285.423,108.29700000000001,60,2.99
7,T7,T7,Rory Sabbatini,77,2.636,302.47,114.74,67,3.182
8,T7,T7,Mark Wilson,107,2.636,286.971,108.875,107,3.17
9,10,10,Vijay Singh,82,2.635,305.603,115.96700000000001,62,3.197
10,11,11,Jeff Gove,50,2.634,287.703,109.245,39,2.8760000000000003
11,T12,T12,Steve Stricker,75,2.633,297.224,112.87100000000001,54,3.3930000000000002
12,T12,T12,Mike Weir,88,2.633,294.518,111.84200000000001,68,3.292
13,14,14,Nick O'Hern,82,2.6319999999999997,278.017,105.62799999999999,62,3.042
14,15,15,Hunter Mahan,87,2.6310000000000002,295.777,112.416,72,3.135
15,16,16,Mathew Goggin,91,2.628,299.399,113.92299999999999,71,3.082
16,17,17,Zach Johnson,85,2.627,281.819,107.26,76,3.562
17,T18,T18,Justin Bolli,87,2.6239999999999997,288.098,109.801,69,3.0
18,T18,T18,Doug LaBelle II,65,2.6239999999999997,281.715,107.376,45,2.9360000000000004
19,20,20,Steve Marino,119,2.623,294.44599999999997,112.274,88,2.949
20,21,21,Chez Reavie,102,2.6210000000000004,280.545,107.05,93,3.217
21,22,22,Brandt Snedeker,85,2.62,285.29400000000004,108.905,71,3.38
22,T23,T23,Ryan Armour,87,2.6189999999999998,290.339,110.845,67,3.082
23,T23,T23,Daniel Chopra,84,2.6189999999999998,309.029,117.98299999999999,66,3.245
24,25,25,Jim Furyk,95,2.617,291.23900000000003,111.28,84,3.384
25,26,26,Adam Scott,51,2.616,309.763,118.405,34,3.0189999999999997
26,27,27,Tom Pernice Jr.,104,2.615,281.906,107.78399999999999,97,3.012
27,T28,T28,Cameron Beckman,87,2.614,284.42900000000003,108.802,61,3.013
28,T28,T28,Steve Flesch,95,2.614,290.557,111.175,81,3.5860000000000003
