,Driving_Pct.__240_Measured_RANK THIS WEEK,Driving_Pct.__240_Measured_RANK LAST WEEK,Driving_Pct.__240_Measured_PLAYER NAME,Driving_Pct.__240_Measured_ROUNDS,Driving_Pct.__240_Measured_%,Driving_Pct.__240_Measured_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_Measured_TOTAL DRVS - OVERALL,Driving_Pct.__240_Measured_RELATIVE TO PAR
0,1,1,Corey Pavin,69,13.93,17.0,122,+0.06
1,2,2,Stephen Leaney,53,9.18,9.0,98,-0.22
2,3,3,Jeff Quinney,87,7.59,12.0,158,+0.42
3,4,4,Shane Bertsch,96,6.77,13.0,192,+0.23
4,5,5,Richard Johnson,60,6.73,7.0,104,+0.43
5,6,6,Olin Browne,77,6.67,10.0,150,-0.10
6,7,7,Jin Park,85,6.49,10.0,154,+0.50
7,T8,T8,Paul Goydos,78,6.25,9.0,144,+0.56
8,T8,T8,Zach Johnson,85,6.25,9.0,144,+0.33
9,10,10,Steve Flesch,95,5.29,9.0,170,-0.22
10,11,11,Matt Kuchar,88,5.26,8.0,152,+0.50
11,12,12,Mark Calcavecchia,67,5.17,6.0,116,E
12,13,13,Omar Uresti,74,5.0,7.0,140,+0.43
13,T14,T14,Ryuji Imada,80,4.86,7.0,144,+0.29
14,T14,T14,Nick O'Hern,82,4.86,7.0,144,+0.14
15,16,16,Greg Kraft,63,4.72,5.0,106,+0.80
16,17,17,Robert Gamez,79,4.55,7.0,154,+0.43
17,T18,T18,Brian Gay,102,4.44,8.0,180,E
18,T18,T18,Shigeki Maruyama,50,4.44,4.0,90,+0.50
19,20,20,Steve Stricker,75,4.31,5.0,116,+0.60
20,21,21,Steve Lowery,74,4.29,6.0,140,+0.17
21,22,22,David Duval,51,4.26,4.0,94,+0.25
22,23,23,Craig Kanada,65,4.24,5.0,118,-0.20
23,24,24,Ron Whittaker,54,4.17,4.0,96,+0.50
24,25,25,Kyle Thompson,70,3.91,5.0,128,+0.40
25,26,26,Ángel Cabrera,55,3.85,3.0,78,+0.33
26,27,27,Carlos Franco,73,3.73,5.0,134,E
27,28,28,Scott Sterling,89,3.7,6.0,162,E
28,29,29,Stephen Ames,83,3.68,5.0,136,+0.40
29,30,30,Scott Verplank,82,3.62,5.0,138,+0.40
30,31,31,Dean Wilson,109,3.54,7.0,198,+0.29
31,32,32,Mike Weir,88,3.52,5.0,142,-0.20
32,T33,T33,K.J. Choi,74,3.45,4.0,116,E
33,T33,T33,John Mallinger,95,3.45,6.0,174,+0.50
34,35,35,Johnson Wagner,83,3.38,5.0,148,+0.20
35,36,36,Hunter Mahan,87,3.33,5.0,150,+0.20
36,37,37,Jerry Kelly,89,3.29,5.0,152,+0.40
37,38,38,Gavin Coles,54,3.26,3.0,92,-0.33
38,39,39,Tim Clark,90,3.25,5.0,154,+0.60
39,T40,T40,Kent Jones,68,3.23,4.0,124,E
40,T40,T40,Bob Tway,70,3.23,4.0,124,E
41,42,42,Jeff Overton,103,3.16,6.0,190,+0.67
42,43,43,Rory Sabbatini,77,3.13,4.0,128,+0.50
43,T44,T44,Peter Lonard,92,3.05,5.0,164,+0.60
44,T44,T44,Parker McLachlin,88,3.05,5.0,164,+0.40
45,46,46,J.P. Hayes,67,2.99,4.0,134,+0.50
46,47,47,John Rollins,94,2.98,5.0,168,+0.80
47,T48,T48,Freddie Jacobson,78,2.94,4.0,136,-0.50
48,T48,T48,Andres Romero,69,2.94,3.0,102,+1.00
49,T48,T48,Brett Rumford,72,2.94,4.0,136,+0.75
50,51,51,Y.E. Yang,89,2.87,5.0,174,+0.80
51,T52,T52,Eric Axley,113,2.86,6.0,210,+0.33
52,T52,T52,Brandt Snedeker,85,2.86,4.0,140,E
53,54,54,Tommy Armour III,77,2.82,4.0,142,+0.25
54,55,55,Frank Lickliter II,107,2.8,6.0,214,+0.33
55,56,56,Ian Poulter,51,2.78,2.0,72,+0.50
56,T57,T57,Ken Duke,116,2.68,6.0,224,-0.17
