,Ball_Striking_RANK THIS WEEK,Ball_Striking_RANK LAST WEEK,Ball_Striking_PLAYER NAME,Ball_Striking_ROUNDS,Ball_Striking_VALUE,Ball_Striking_TOTAL DRV RANK,Ball_Striking_GIR RANK
0,1,1,Joe Durant,92,8,7,1
1,2,2,John Riegger,73,13,5,8
2,3,3,John Senden,93,19,9,10
3,T4,T4,Robert Allenby,108,21,19,2
4,T4,T4,John Huston,56,21,17,4
5,T6,T6,J.J. Henry,108,29,20,9
6,T6,T6,John Merrick,98,29,4,25
7,T8,T8,Jeff Gove,50,30,8,22
8,T8,T8,Hunter Mahan,87,30,23,7
9,10,10,Nick Watney,96,37,21,16
10,T11,T11,Mathew Goggin,91,39,10,29
11,T11,T11,Steve Marino,119,39,24,15
12,13,13,Jason Gore,94,40,1,39
13,T14,T14,Chad Campbell,94,43,30,13
14,T14,T14,Harrison Frazar,73,43,40,3
15,16,16,Charles Warren,79,46,2,44
16,17,17,Billy Mayfair,103,47,28,19
17,18,18,Kent Jones,68,48,42,6
18,19,19,Boo Weekley,86,56,34,22
19,20,20,Chris Stroud,81,64,38,26
20,21,21,Michael Allen,91,66,13,53
21,22,22,Kenny Perry,97,68,38,30
22,23,23,Charley Hoffman,94,69,6,63
23,T24,T24,Pat Perez,93,70,27,43
24,T24,T24,Mark Wilson,107,70,28,42
25,26,26,Martin Laird,98,71,33,38
26,27,27,Briny Baird,113,75,70,5
27,T28,T28,Rich Beem,90,79,22,57
28,T28,T28,Vijay Singh,82,79,67,12
29,30,30,Bill Haas,99,80,60,20
30,31,31,Troy Matteson,94,81,49,32
31,T32,T32,Woody Austin,109,82,64,18
32,T32,T32,Ryan Palmer,69,82,31,51
33,34,34,Charlie Wi,97,83,24,59
34,35,35,Kevin Streelman,114,85,54,31
35,36,36,Jay Williamson,96,87,35,52
36,T37,T37,Paul Casey,55,89,15,74
37,T37,T37,Ben Crane,86,89,16,73
38,39,39,Ryan Armour,87,91,13,78
39,T40,T40,Robert Garrigus,90,93,72,21
40,T40,T40,D.J. Trahan,94,93,31,62
41,42,42,Steve Elkington,84,97,57,40
42,T43,T43,Tommy Gainey,60,98,62,36
43,T43,T43,Bo Van Pelt,101,98,64,34
44,45,45,Chez Reavie,102,101,47,54
45,46,46,Heath Slocum,104,102,52,50
46,T47,T47,Todd Demsey,80,104,17,87
47,T47,T47,George McNeill,97,104,91,13
48,49,49,Jeff Maggert,86,105,44,61
49,50,50,Bubba Watson,97,106,79,27
50,T51,T51,Scott Sterling,89,108,86,22
51,T51,T51,Kevin Sutherland,98,108,91,17
52,53,53,Steve Allan,58,109,50,59
53,54,54,Robert Gamez,79,110,44,66
54,55,55,Zach Johnson,85,112,84,28
55,56,56,Bob Estes,90,119,108,11
56,57,57,Lucas Glover,91,122,36,86
57,58,58,Ted Purdy,68,125,79,46
58,59,59,Anthony Kim,81,128,57,71
59,60,60,Jason Day,81,130,50,80
60,61,61,Tommy Armour III,77,131,75,56
61,T62,T62,Justin Bolli,87,133,89,44
62,T62,T62,Rory Sabbatini,77,133,68,65
63,64,64,Jim Furyk,95,135,87,48
64,65,65,Sergio Garcia,72,139,102,37
65,66,66,Kenneth Ferrie,72,143,41,102
66,67,67,Tom Scherrer,56,145,74,71
67,68,68,John Rollins,94,146,10,136
68,69,69,Nicholas Thompson,113,148,3,145
69,70,70,Bob Tway,70,154,121,33
70,71,71,Gavin Coles,54,155,120,35
71,72,72,Justin Leonard,101,156,102,54
72,T73,T73,Stewart Cink,87,157,116,41
73,T73,T73,Scott McCarron,63,157,54,103
74,75,75,Bart Bryant,81,158,57,101
75,76,76,Cameron Beckman,87,160,91,69
76,T77,T77,Scott Verplank,82,162,68,94
77,T77,T77,Y.E. Yang,89,162,95,67
78,79,79,Brandt Jobe,52,163,105,58
79,T80,T80,Fred Couples,60,164,81,83
80,T80,T80,Brian Davis,108,164,75,89
81,82,82,Davis Love III,78,166,60,106
82,T83,T83,Rod Pampling,83,168,37,131
83,T83,T83,Ron Whittaker,54,168,89,79
84,85,85,Nick Flanagan,89,171,48,123
85,T86,T86,Vaughn Taylor,103,172,91,81
86,T86,T86,Omar Uresti,74,172,81,91
87,T88,T88,Olin Browne,77,173,97,76
88,T88,T88,Joe Ogilvie,100,173,54,119
89,90,90,Kevin Stadler,90,174,81,93
90,91,91,Patrick Sheehan,124,176,72,104
91,92,92,Mathias Grönberg,87,178,24,154
92,T93,T93,Michael Letzig,88,185,42,143
93,T93,T93,Ryan Moore,72,185,12,173
94,95,95,Tag Ridings,88,189,64,125
95,T96,T96,Ben Curtis,80,190,53,137
96,T96,T96,Jon Mills,95,190,116,74
97,98,98,Charles Howell III,101,192,144,48
98,99,99,Jonathan Byrd,88,193,44,149
99,100,100,Doug LaBelle II,65,195,87,108
100,101,101,Phil Mickelson,80,199,129,70
101,102,102,Paul Claxton,63,202,105,97
102,103,103,Brad Elder,67,208,109,99
103,104,104,Brenden Pappas,66,209,121,88
104,105,105,Trevor Immelman,70,211,63,148
105,106,106,Nick O'Hern,82,213,97,116
106,107,107,Tim Petrovic,97,219,75,144
107,108,108,Tim Wilkinson,95,220,135,85
108,109,109,Todd Hamilton,92,221,71,150
109,110,110,Adam Scott,51,223,95,128
110,T111,T111,Sean O'Hair,81,225,112,113
111,T111,T111,David Toms,70,225,135,90
112,113,113,Dustin Johnson,92,226,97,129
113,114,114,Carlos Franco,73,229,182,47
114,115,115,Will MacKenzie,62,231,124,107
115,116,116,Peter Lonard,92,233,133,100
116,117,117,Marc Turnesa,87,234,97,137
117,T118,T118,Brad Adamonis,87,235,167,68
118,T118,T118,K.J. Choi,74,235,154,81
119,T120,T120,Shane Bertsch,96,236,114,122
120,T120,T120,Frank Lickliter II,107,236,112,124
121,122,122,Kevin Na,97,237,104,133
122,T123,T123,Mark Calcavecchia,67,238,124,114
123,T123,T123,Tim Herron,97,238,75,163
124,125,125,Camilo Villegas,79,240,129,111
125,126,126,Brett Quigley,80,241,129,112
126,127,127,Jeff Overton,103,242,124,118
127,T128,T128,Glen Day,64,245,128,117
128,T128,T128,James Driscoll,85,245,150,95
129,130,130,Richard Johnson,60,249,157,92
130,131,131,Brian Gay,102,253,124,129
131,132,132,Dudley Hart,74,254,190,64
132,133,133,Jim McGovern,75,255,172,83
133,134,134,Stephen Ames,83,256,160,96
