,Consecutive_BirdiesEagles_streak_RANK THIS WEEK,Consecutive_BirdiesEagles_streak_RANK LAST WEEK,Consecutive_BirdiesEagles_streak_PLAYER NAME,Consecutive_BirdiesEagles_streak_EVENTS,Consecutive_BirdiesEagles_streak_NUMBER OF HOLES
0,T1,T1,Michael Allen,28,5
1,T1,T1,Woody Austin,30,5
2,T1,T1,Davis Love III,23,5
3,T1,T1,Steve Marino,32,5
4,T5,T5,Jason Allred,23,4
5,T5,T5,Tim Clark,27,4
6,T5,T5,Chris DiMarco,29,4
7,T5,T5,Lucas Glover,26,4
8,T5,T5,Richard Johnson,21,4
9,T5,T5,Søren Kjeldsen,3,4
10,T5,T5,Phil Mickelson,21,4
11,T5,T5,Carl Pettersson,29,4
12,T5,T5,Chez Reavie,30,4
13,T5,T5,Kevin Streelman,32,4
14,T5,T5,Vaughn Taylor,32,4
15,T5,T5,Nicholas Thompson,36,4
16,T5,T5,Scott Verplank,24,4
17,T5,T5,Charles Warren,29,4
18,T5,T5,Bubba Watson,29,4
19,T20,T20,Eric Axley,35,3
20,T20,T20,Brian Bateman,18,3
21,T20,T20,Rich Beem,29,3
22,T20,T20,Justin Bolli,28,3
23,T20,T20,Guy Boros,6,3
24,T20,T20,Mark Calcavecchia,25,3
25,T20,T20,Chad Campbell,28,3
26,T20,T20,Alejandro Cañizares,16,3
27,T20,T20,Stewart Cink,23,3
28,T20,T20,Todd Demsey,25,3
29,T20,T20,Ken Duke,33,3
30,T20,T20,Ernie Els,16,3
31,T20,T20,Niclas Fasth,10,3
32,T20,T20,Fred Funk,14,3
33,T20,T20,Tommy Gainey,24,3
34,T20,T20,Mathias Grönberg,30,3
35,T20,T20,Padraig Harrington,15,3
36,T20,T20,Tim Herron,28,3
37,T20,T20,Charley Hoffman,29,3
38,T20,T20,David Horsey,1,3
39,T20,T20,Richard Johnson,29,3
40,T20,T20,Anthony Kim,22,3
41,T20,T20,Martin Laird,29,3
42,T20,T20,WC Liang,6,3
43,T20,T20,Frank Lickliter II,32,3
44,T20,T20,Peter Lonard,30,3
45,T20,T20,Jeff Maggert,28,3
46,T20,T20,John Mallinger,29,3
47,T20,T20,Troy Matteson,30,3
48,T20,T20,Billy Mayfair,29,3
49,T20,T20,Parker McLachlin,27,3
50,T20,T20,Rocco Mediate,27,3
51,T20,T20,John Merrick,28,3
52,T20,T20,Ryan Moore,24,3
53,T20,T20,Sean O'Hair,25,3
54,T20,T20,Rod Pampling,28,3
55,T20,T20,Jin Park,30,3
56,T20,T20,Pat Perez,27,3
57,T20,T20,Tom Pernice Jr.,30,3
58,T20,T20,Kenny Perry,26,3
59,T20,T20,Dicky Pride,14,3
60,T20,T20,Brett Quigley,25,3
61,T20,T20,Tag Ridings,29,3
62,T20,T20,Brett Rumford,26,3
63,T20,T20,John Senden,28,3
64,T20,T20,Vijay Singh,23,3
65,T20,T20,Bob Sowards,22,3
66,T20,T20,Kevin Stadler,30,3
67,T20,T20,Scott Sterling,28,3
68,T20,T20,Graeme Storm,3,3
69,T20,T20,Omar Uresti,24,3
70,T20,T20,Johnson Wagner,26,3
71,T20,T20,Mike Weir,26,3
72,T20,T20,Charlie Wi,27,3
73,T20,T20,Jay Williamson,33,3
74,T20,T20,Dean Wilson,32,3
75,T76,T76,Brad Adamonis,29,2
76,T76,T76,Steve Allan,21,2
77,T76,T76,Robert Allenby,28,2
78,T76,T76,Stephen Ames,24,2
79,T76,T76,Tommy Armour III,25,2
80,T76,T76,Briny Baird,30,2
81,T76,T76,Cameron Beckman,29,2
82,T76,T76,Jason Bohn,15,2
83,T76,T76,Mark Brooks,17,2
84,T76,T76,Bart Bryant,23,2
85,T76,T76,Andrew Buckle,15,2
86,T76,T76,Jonathan Byrd,27,2
87,T76,T76,Ángel Cabrera,17,2
88,T76,T76,Daniel Chopra,27,2
89,T76,T76,Chad Collins,24,2
90,T76,T76,Erik Compton,1,2
91,T76,T76,Fred Couples,18,2
92,T76,T76,Ben Crane,25,2
93,T76,T76,Ben Curtis,22,2
94,T76,T76,John Daly,17,2
95,T76,T76,Brian Davis,34,2
96,T76,T76,Jason Day,28,2
97,T76,T76,Nick Dougherty,8,2
