,Consecutive_Par_5_Birdies_RANK THIS WEEK,Consecutive_Par_5_Birdies_RANK LAST WEEK,Consecutive_Par_5_Birdies_PLAYER NAME,Consecutive_Par_5_Birdies_EVENTS,Consecutive_Par_5_Birdies_NUMBER OF HOLES
0,1,1,Tag Ridings,29,12
1,T2,T2,Joe Durant,28,11
2,T2,T2,Tommy Gainey,24,11
3,T2,T2,Bill Haas,31,11
4,T2,T2,Chris Stroud,29,11
5,T6,T6,Robert Garrigus,29,10
6,T6,T6,Nathan Green,30,10
7,T6,T6,Dustin Johnson,30,10
8,T6,T6,Parker McLachlin,27,10
9,T10,T10,Chad Campbell,28,9
10,T10,T10,Brian Davis,34,9
11,T10,T10,Chris DiMarco,29,9
12,T10,T10,Robert Gamez,26,9
13,T10,T10,Mathew Goggin,27,9
14,T10,T10,Padraig Harrington,15,9
15,T10,T10,Charles Howell III,31,9
16,T10,T10,Jeff Overton,32,9
17,T10,T10,Vaughn Taylor,32,9
18,T10,T10,Charles Warren,29,9
19,T10,T10,Mike Weir,26,9
20,T10,T10,Lee Westwood,10,9
21,T22,T22,Eric Axley,35,8
22,T22,T22,Fred Couples,18,8
23,T22,T22,John Daly,17,8
24,T22,T22,Jason Day,28,8
25,T22,T22,James Driscoll,28,8
26,T22,T22,Nick Flanagan,29,8
27,T22,T22,Jim Furyk,26,8
28,T22,T22,Ryuji Imada,25,8
29,T22,T22,Neal Lancaster,9,8
30,T22,T22,Davis Love III,23,8
31,T22,T22,Sean O'Hair,25,8
32,T22,T22,Joe Ogilvie,29,8
33,T22,T22,Pat Perez,27,8
34,T22,T22,Kenny Perry,26,8
35,T22,T22,Vijay Singh,23,8
36,T22,T22,Tim Wilkinson,29,8
37,T22,T22,Y.E. Yang,29,8
38,T39,T39,Woody Austin,30,7
39,T39,T39,Brian Bateman,18,7
40,T39,T39,Jonathan Byrd,27,7
41,T39,T39,Stewart Cink,23,7
42,T39,T39,Ken Duke,33,7
43,T39,T39,David Duval,20,7
44,T39,T39,Steve Flesch,29,7
