,Consecutive_Birdies_Streak_RANK THIS WEEK,Consecutive_Birdies_Streak_RANK LAST WEEK,Consecutive_Birdies_Streak_PLAYER NAME,Consecutive_Birdies_Streak_EVENTS,Consecutive_Birdies_Streak_NUMBER OF HOLES
0,T1,T1,Stuart Appleby,23,6
1,T1,T1,Aaron Baddeley,22,6
2,T1,T1,Jim Furyk,26,6
3,T1,T1,Lucas Glover,26,6
4,T1,T1,Dudley Hart,22,6
5,T1,T1,Shigeki Maruyama,18,6
6,T1,T1,Kenny Perry,26,6
7,T1,T1,Kevin Stadler,30,6
8,T1,T1,Kevin Streelman,32,6
9,T1,T1,Steve Stricker,22,6
10,T1,T1,D.J. Trahan,27,6
11,T1,T1,Charles Warren,29,6
12,T1,T1,Tim Wilkinson,29,6
13,T1,T1,Garrett Willis,11,6
14,T15,T15,Brad Adamonis,29,5
15,T15,T15,Robert Allenby,28,5
16,T15,T15,Tommy Armour III,25,5
17,T15,T15,Briny Baird,30,5
18,T15,T15,Cameron Beckman,29,5
19,T15,T15,K.J. Choi,21,5
20,T15,T15,Tim Clark,27,5
21,T15,T15,Ben Crane,25,5
22,T15,T15,Jason Dufner,16,5
23,T15,T15,Ken Duke,33,5
24,T15,T15,Joe Durant,28,5
25,T15,T15,Robert Garrigus,29,5
26,T15,T15,Brian Gay,31,5
27,T15,T15,Mathew Goggin,27,5
28,T15,T15,Nathan Green,30,5
29,T15,T15,Tim Herron,28,5
30,T15,T15,J.B. Holmes,26,5
31,T15,T15,John Huston,18,5
32,T15,T15,Zach Johnson,25,5
33,T15,T15,Anthony Kim,22,5
34,T15,T15,Matt Kuchar,27,5
35,T15,T15,Martin Laird,29,5
36,T15,T15,Michael Letzig,29,5
37,T15,T15,Peter Lonard,30,5
38,T15,T15,Hunter Mahan,27,5
39,T15,T15,John Mallinger,29,5
40,T15,T15,Steve Marino,32,5
41,T15,T15,George McNeill,29,5
42,T15,T15,Spike McRoy,4,5
43,T15,T15,Rocco Mediate,27,5
44,T15,T15,Geoff Ogilvy,20,5
45,T15,T15,Ryan Palmer,22,5
46,T15,T15,Carl Pettersson,29,5
47,T15,T15,Brett Quigley,25,5
48,T15,T15,Jeff Quinney,28,5
49,T15,T15,Adam Scott,15,5
50,T15,T15,Heath Slocum,29,5
51,T15,T15,Nicholas Thompson,36,5
52,T15,T15,Bob Tway,20,5
53,T15,T15,Omar Uresti,24,5
54,T15,T15,Camilo Villegas,22,5
55,T15,T15,Nick Watney,27,5
56,T15,T15,Boo Weekley,24,5
57,T15,T15,Jay Williamson,33,5
58,T59,T59,Steve Allan,21,4
59,T59,T59,Billy Andrade,24,4
60,T59,T59,Woody Austin,30,4
61,T59,T59,Eric Axley,35,4
62,T59,T59,Paul Azinger,9,4
63,T59,T59,Rich Beem,29,4
64,T59,T59,Shane Bertsch,29,4
65,T59,T59,Michael Bradley,14,4
66,T59,T59,Mark Brooks,17,4
67,T59,T59,Olin Browne,27,4
68,T59,T59,Jonathan Byrd,27,4
69,T59,T59,Ángel Cabrera,17,4
70,T59,T59,Mark Calcavecchia,25,4
71,T59,T59,Chad Campbell,28,4
72,T59,T59,José Coceres,13,4
73,T59,T59,Chad Collins,24,4
74,T59,T59,Kris Cox,8,4
75,T59,T59,Ben Curtis,22,4
76,T59,T59,Brian Davis,34,4
77,T59,T59,Glen Day,19,4
78,T59,T59,Jason Day,28,4
79,T59,T59,Todd Demsey,25,4
80,T59,T59,James Driscoll,28,4
81,T59,T59,Steve Elkington,25,4
82,T59,T59,Ernie Els,16,4
83,T59,T59,Bob Estes,28,4
84,T59,T59,Niclas Fasth,10,4
85,T59,T59,Steve Flesch,29,4
86,T59,T59,Dan Forsman,11,4
87,T59,T59,Cody Freeman,26,4
88,T59,T59,Tommy Gainey,24,4
89,T59,T59,Robert Gamez,26,4
90,T59,T59,Retief Goosen,18,4
91,T59,T59,Jason Gore,33,4
92,T59,T59,Paul Goydos,25,4
93,T59,T59,Bill Haas,31,4
94,T59,T59,Todd Hamilton,28,4
95,T59,T59,Anders Hansen,6,4
96,T59,T59,Padraig Harrington,15,4
97,T59,T59,J.J. Henry,34,4
98,T59,T59,Mark Hensby,26,4
99,T59,T59,Charley Hoffman,29,4
100,T59,T59,Charles Howell III,31,4
101,T59,T59,Ryuji Imada,25,4
102,T59,T59,Trevor Immelman,22,4
103,T59,T59,Freddie Jacobson,24,4
104,T59,T59,Lee Janzen,28,4
105,T59,T59,Dustin Johnson,30,4
106,T59,T59,Kent Jones,23,4
107,T59,T59,Craig Kanada,23,4
108,T59,T59,Jerry Kelly,31,4
109,T59,T59,J.T. Kohut,3,4
110,T59,T59,Greg Kraft,21,4
111,T59,T59,Cliff Kresge,28,4
112,T59,T59,Doug LaBelle II,22,4
113,T59,T59,Justin Leonard,25,4
114,T59,T59,Frank Lickliter II,32,4
115,T59,T59,Davis Love III,23,4
116,T59,T59,Steve Lowery,25,4
117,T59,T59,Jeff Maggert,28,4
118,T59,T59,Len Mattiace,11,4
119,T59,T59,Billy Mayfair,29,4
120,T59,T59,Scott McCarron,22,4
121,T59,T59,Jim McGovern,26,4
122,T59,T59,Phil Mickelson,21,4
123,T59,T59,Alan Morin,2,4
124,T59,T59,Kevin Na,29,4
125,T59,T59,Nick O'Hern,26,4
126,T59,T59,Joe Ogilvie,29,4
127,T59,T59,Jeff Overton,32,4
128,T59,T59,Rod Pampling,28,4
129,T59,T59,Brenden Pappas,24,4
130,T59,T59,Jin Park,30,4
131,T59,T59,Jesper Parnevik,29,4
132,T59,T59,Corey Pavin,20,4
133,T59,T59,Pat Perez,27,4
134,T59,T59,Tom Pernice Jr.,30,4
135,T59,T59,Chez Reavie,30,4
136,T59,T59,Tag Ridings,29,4
137,T59,T59,John Rollins,28,4
138,T59,T59,Justin Rose,15,4
139,T59,T59,Brett Rumford,26,4
140,T59,T59,Rory Sabbatini,23,4
141,T59,T59,Tom Scherrer,20,4
142,T59,T59,Charl Schwartzel,1,4
143,T59,T59,Jeev Milkha Singh,5,4
144,T59,T59,Chris Smith,5,4
145,T59,T59,Brandt Snedeker,26,4
146,T59,T59,Paul Stankowski,13,4
147,T59,T59,Scott Sterling,28,4
148,T59,T59,Kevin Sutherland,26,4
149,T59,T59,Vaughn Taylor,32,4
150,T59,T59,David Toms,20,4
151,T59,T59,Marc Turnesa,29,4
152,T59,T59,Bo Van Pelt,32,4
153,T59,T59,Scott Verplank,24,4
154,T59,T59,Johnson Wagner,26,4
155,T59,T59,Jimmy Walker,24,4
156,T59,T59,Bubba Watson,29,4
157,T59,T59,Mike Weir,26,4
158,T59,T59,Charlie Wi,27,4
159,T59,T59,Dean Wilson,32,4
160,T59,T59,Mark Wilson,29,4
161,T59,T59,Casey Wittenberg,4,4
162,T59,T59,Y.E. Yang,29,4
163,T164,T164,Thomas Aiken,1,3
164,T164,T164,Michael Allen,28,3
165,T164,T164,Jason Allred,23,3
166,T164,T164,Stephen Ames,24,3
167,T164,T164,Ryan Armour,32,3
168,T164,T164,Clint Avret,1,3
169,T164,T164,Craig Barlow,15,3
170,T164,T164,Brian Bateman,18,3
171,T164,T164,Notah Begay III,9,3
172,T164,T164,Henrik Bjornstad,1,3
