,YTD_Consecutive_Cuts_RANK THIS WEEK,YTD_Consecutive_Cuts_RANK LAST WEEK,YTD_Consecutive_Cuts_PLAYER NAME,YTD_Consecutive_Cuts_NUMBER OF CUTS
0,1,1,Robert Allenby,27
1,2,2,Phil Mickelson,18
2,3,3,Anthony Kim,15
3,T4,T4,Stuart Appleby,13
4,T4,T4,Ken Duke,13
5,T4,T4,Sergio Garcia,13
6,T4,T4,Mark Wilson,13
7,T8,T8,Jim Furyk,12
8,T8,T8,Justin Leonard,12
9,10,10,Carl Pettersson,10
10,T11,T11,Charley Hoffman,9
11,T11,T11,Andres Romero,9
12,T11,T11,Steve Stricker,9
13,T11,T11,Mike Weir,9
14,T15,T15,Ben Curtis,8
15,T15,T15,Todd Demsey,8
16,T15,T15,Robert Karlsson,8
17,T15,T15,Jeff Overton,8
18,T15,T15,Charlie Wi,8
19,T20,T20,Woody Austin,7
20,T20,T20,Steve Marino,7
21,T22,T22,Chad Campbell,6
22,T22,T22,Bob Estes,6
23,T22,T22,Robert Gamez,6
24,T22,T22,Lucas Glover,6
25,T22,T22,Frank Lickliter II,6
26,T22,T22,Tom Pernice Jr.,6
27,T22,T22,Michael Sim,6
28,T22,T22,Brandt Snedeker,6
29,T22,T22,Kevin Sutherland,6
30,T22,T22,Bob Tway,6
31,T22,T22,Scott Verplank,6
32,T22,T22,Tiger Woods,6
33,T34,T34,Ángel Cabrera,5
34,T34,T34,Stewart Cink,5
35,T34,T34,Joe Durant,5
36,T34,T34,Steve Flesch,5
37,T34,T34,Ryuji Imada,5
38,T34,T34,Martin Laird,5
39,T34,T34,Hunter Mahan,5
40,T34,T34,Pat Perez,5
41,T34,T34,John Riegger,5
42,T34,T34,Chris Stroud,5
43,T34,T34,Nick Watney,5
44,T34,T34,Tim Wilkinson,5
45,T46,T46,Olin Browne,4
46,T46,T46,K.J. Choi,4
47,T46,T46,Chris DiMarco,4
48,T46,T46,Robert Garrigus,4
49,T46,T46,Richard Green,4
50,T46,T46,Mathias Grönberg,4
51,T46,T46,Peter Hanson,4
52,T46,T46,Trevor Immelman,4
53,T46,T46,Graeme McDowell,4
54,T46,T46,Kenny Perry,4
55,T46,T46,Justin Rose,4
56,T46,T46,Vijay Singh,4
57,T46,T46,Kevin Streelman,4
58,T46,T46,Omar Uresti,4
59,T46,T46,Y.E. Yang,4
60,T61,T61,Aaron Baddeley,3
61,T61,T61,Cameron Beckman,3
62,T61,T61,Mark Brown,3
63,T61,T61,Bart Bryant,3
64,T61,T61,Luke Donald,3
65,T61,T61,Ernie Els,3
66,T61,T61,Dudley Hart,3
67,T61,T61,J.J. Henry,3
68,T61,T61,Tim Herron,3
69,T61,T61,J.B. Holmes,3
70,T61,T61,Lee Janzen,3
71,T61,T61,Chris Kirk,3
72,T61,T61,Will MacKenzie,3
73,T61,T61,Bob May,3
74,T61,T61,Sean O'Hair,3
75,T61,T61,Ryan Palmer,3
76,T61,T61,D.A. Points,3
77,T61,T61,Tom Scherrer,3
78,T61,T61,Henrik Stenson,3
79,T61,T61,Michael Thompson,3
80,T61,T61,Esteban Toledo,3
81,T61,T61,D.J. Trahan,3
82,T61,T61,Camilo Villegas,3
83,T61,T61,Johnson Wagner,3
84,T61,T61,Boo Weekley,3
85,T86,T86,Michael Allen,2
86,T86,T86,Tommy Armour III,2
87,T86,T86,Mark Brooks,2
88,T86,T86,Tom Byrum,2
89,T86,T86,Michael Campbell,2
90,T86,T86,Marco Dawson,2
91,T86,T86,David Duval,2
92,T86,T86,Niclas Fasth,2
93,T86,T86,Richard Finch,2
94,T86,T86,Dan Forsman,2
95,T86,T86,Alastair Forsyth,2
96,T86,T86,Mathew Goggin,2
97,T86,T86,Jason Gore,2
98,T86,T86,Anton Haig,2
99,T86,T86,Todd Hamilton,2
100,T86,T86,Grégory Havret,2
101,T86,T86,David Howell,2
102,T86,T86,Matt Jones,2
103,T86,T86,Jerry Kelly,2
104,T86,T86,James Kingston,2
105,T86,T86,Matt Kuchar,2
106,T86,T86,Stephen Leaney,2
107,T86,T86,Michael Letzig,2
108,T86,T86,Jeff Maggert,2
109,T86,T86,Prayad Marksaeng,2
110,T86,T86,Pablo Martin Benavides,2
111,T86,T86,Troy Matteson,2
112,T86,T86,Len Mattiace,2
113,T86,T86,Spike McRoy,2
114,T86,T86,Geoff Ogilvy,2
115,T86,T86,Craig Parry,2
116,T86,T86,Tim Petrovic,2
117,T86,T86,Alvaro Quiros,2
118,T86,T86,John Rollins,2
119,T86,T86,Adam Scott,2
120,T86,T86,Kevin Stadler,2
121,T86,T86,Vaughn Taylor,2
122,T86,T86,David Toms,2
123,T86,T86,Brett Wetterich,2
124,T86,T86,Garrett Willis,2
125,T86,T86,Casey Wittenberg,2
