,Consecutive_Fairways_Hit_RANK THIS WEEK,Consecutive_Fairways_Hit_RANK LAST WEEK,Consecutive_Fairways_Hit_PLAYER NAME,Consecutive_Fairways_Hit_EVENTS,Consecutive_Fairways_Hit_BEST STREAK,Consecutive_Fairways_Hit_CURRENT STREAK
0,1,1,Harrison Frazar,23,35,
1,2,2,Martin Laird,29,34,
2,3,3,Robert Gamez,26,33,1.0
3,4,4,Jeff Maggert,28,32,
4,T5,T5,Heath Slocum,29,31,7.0
5,T5,T5,David Toms,20,31,
6,T7,T7,Zach Johnson,25,29,8.0
7,T7,T7,Larry Mize,16,29,10.0
8,T7,T7,John Riegger,24,29,
9,T7,T7,Scott Verplank,24,29,4.0
10,11,11,Charley Hoffman,29,28,2.0
11,T12,T12,Todd Hamilton,28,27,2.0
12,T12,T12,Jay Williamson,33,27,
13,T14,T14,Joe Durant,28,26,
14,T14,T14,Steve Elkington,25,26,4.0
15,T14,T14,Colt Knost,5,26,2.0
16,T14,T14,Brett Wetterich,11,26,
17,T14,T14,Ron Whittaker,22,26,3.0
18,T19,T19,Michael Bradley,14,25,4.0
19,T19,T19,Gavin Coles,16,25,
20,T19,T19,Arron Oberholser,10,25,
21,T19,T19,Scott Sterling,28,25,
22,T23,T23,Rich Beem,29,24,
23,T23,T23,Shane Bertsch,29,24,
24,T23,T23,Jim Furyk,26,24,1.0
25,T23,T23,Trevor Immelman,22,24,1.0
26,T23,T23,John Morse,7,24,1.0
27,T23,T23,John Rollins,28,24,3.0
28,T23,T23,Charles Warren,29,24,3.0
29,T30,T30,Mark Brooks,17,23,4.0
30,T30,T30,Jay Delsing,8,23,4.0
31,T30,T30,Brad Elder,23,23,
32,T30,T30,Hunter Mahan,27,23,1.0
33,T30,T30,Chez Reavie,30,23,1.0
34,T30,T30,Omar Uresti,24,23,3.0
35,T36,T36,Ryan Armour,32,22,
36,T36,T36,Dan Forsman,11,22,
37,T36,T36,Jason Gore,33,22,
38,T36,T36,Mathias Grönberg,30,22,5.0
39,T36,T36,Bill Haas,31,22,
40,T41,T41,Olin Browne,27,21,3.0
41,T41,T41,Brian Gay,31,21,
42,T41,T41,Bob Heintz,17,21,3.0
43,T41,T41,Billy Mayfair,29,21,7.0
44,T41,T41,Ryan Moore,24,21,1.0
45,T41,T41,Kevin Na,29,21,8.0
46,T41,T41,Pat Perez,27,21,1.0
47,T41,T41,Chris Riley,17,21,2.0
48,T41,T41,Kevin Sutherland,26,21,2.0
49,T41,T41,Mark Wilson,29,21,
50,T51,T51,Aaron Baddeley,22,20,
51,T51,T51,Briny Baird,30,20,3.0
52,T51,T51,Bart Bryant,23,20,2.0
53,T51,T51,Brandel Chamblee,1,20,
54,T51,T51,Brian Davis,34,20,3.0
55,T51,T51,Kenneth Ferrie,25,20,2.0
56,T51,T51,Philip Francis,1,20,3.0
57,T51,T51,Richard Green,9,20,2.0
58,T51,T51,Søren Kjeldsen,3,20,
59,T51,T51,Justin Leonard,25,20,4.0
60,T51,T51,Steve Marino,32,20,8.0
61,T51,T51,Jim McGovern,26,20,3.0
62,T51,T51,Jon Mills,32,20,7.0
63,T51,T51,Rod Pampling,28,20,1.0
64,T51,T51,Kevin Stadler,30,20,3.0
65,T51,T51,D.J. Trahan,27,20,
66,T67,T67,Michael Allen,28,19,1.0
67,T67,T67,Tommy Armour III,25,19,3.0
68,T67,T67,Andrew Buckle,15,19,3.0
69,T67,T67,Chad Campbell,28,19,1.0
70,T67,T67,José Coceres,13,19,6.0
71,T67,T67,Robert Damron,8,19,
72,T67,T67,Fred Funk,14,19,3.0
73,T67,T67,Sergio Garcia,19,19,
74,T67,T67,Paul Goydos,25,19,2.0
75,T67,T67,Rick Leibovich,3,19,
76,T67,T67,Peter Lonard,30,19,4.0
77,T67,T67,John Mallinger,29,19,8.0
78,T67,T67,Rocco Mediate,27,19,11.0
79,T67,T67,John Merrick,28,19,5.0
80,T67,T67,Nick O'Hern,26,19,4.0
81,T67,T67,Kenny Perry,26,19,
82,T67,T67,Justin Rose,15,19,
83,T67,T67,Rory Sabbatini,23,19,
84,T85,T85,Jason Bohn,15,18,
85,T85,T85,James Driscoll,28,18,
86,T85,T85,Nick Flanagan,29,18,2.0
87,T85,T85,Jeff Gove,18,18,2.0
88,T85,T85,J.J. Henry,34,18,8.0
89,T85,T85,Craig Kanada,23,18,
90,T85,T85,Matt Kuchar,27,18,1.0
91,T85,T85,Greg Norman,4,18,1.0
92,T85,T85,Joe Ogilvie,29,18,13.0
93,T85,T85,Ryan Palmer,22,18,1.0
94,T85,T85,Jin Park,30,18,
95,T85,T85,Tim Petrovic,32,18,10.0
96,T85,T85,Kirk Triplett,9,18,2.0
97,T85,T85,Marc Turnesa,29,18,
98,T85,T85,Y.E. Yang,29,18,
99,T100,T100,Robert Allenby,28,17,1.0
100,T100,T100,Woody Austin,30,17,
101,T100,T100,Jonathan Byrd,27,17,2.0
102,T100,T100,Mark Calcavecchia,25,17,6.0
103,T100,T100,Stewart Cink,23,17,
104,T100,T100,Paul Claxton,23,17,2.0
105,T100,T100,Chris DiMarco,29,17,5.0
106,T100,T100,Bob Estes,28,17,
107,T100,T100,Tommy Gainey,24,17,6.0
108,T100,T100,John Huston,18,17,
109,T100,T100,Doug LaBelle II,22,17,3.0
110,T100,T100,Len Mattiace,11,17,3.0
111,T100,T100,Corey Pavin,20,17,10.0
112,T100,T100,Tom Pernice Jr.,30,17,3.0
113,T100,T100,Dustin Risdon,1,17,
114,T100,T100,Andres Romero,20,17,1.0
115,T100,T100,Patrick Sheehan,35,17,7.0
116,T100,T100,Henrik Stenson,9,17,3.0
117,T100,T100,Chris Stroud,29,17,
118,T100,T100,Kyle Thompson,26,17,
119,T100,T100,Bob Tway,20,17,
120,T100,T100,Tim Wilkinson,29,17,
121,T122,T122,Cameron Beckman,29,16,7.0
122,T122,T122,Notah Begay III,9,16,
123,T122,T122,Alejandro Cañizares,16,16,1.0
124,T122,T122,Jason Dufner,16,16,2.0
125,T122,T122,Sean English,1,16,16.0
126,T122,T122,Nathan Green,30,16,2.0
