,Consecutive_Sand_Saves_RANK THIS WEEK,Consecutive_Sand_Saves_RANK LAST WEEK,Consecutive_Sand_Saves_PLAYER NAME,Consecutive_Sand_Saves_EVENTS,Consecutive_Sand_Saves_STREAK,Consecutive_Sand_Saves_CURRENT STREAK,Consecutive_Sand_Saves_ROUND,Consecutive_Sand_Saves_HOLE,Consecutive_Sand_Saves_YEAR/TOURN#
0,1,1,Briny Baird,30,14,6.0,2,8,2008160
1,T2,T2,Phil Mickelson,21,13,5.0,3,1,2008210
2,T2,T2,Joe Ogilvie,29,13,3.0,3,8,2008220
3,T4,T4,Brad Elder,23,12,,1,17,2008310
4,T4,T4,Bo Van Pelt,32,12,5.0,2,2,2008290
5,T6,T6,Rich Beem,29,11,1.0,1,6,2008190
6,T6,T6,Sergio Garcia,19,11,,1,2,2008430
7,T6,T6,Freddie Jacobson,24,11,5.0,3,17,2008350
8,T6,T6,Rod Pampling,28,11,,1,14,2008070
9,T10,T10,Guy Boros,6,10,1.0,2,13,2008060
10,T10,T10,Daniel Chopra,27,10,,2,16,2008260
11,T10,T10,Chris DiMarco,29,10,1.0,3,13,2008240
12,T10,T10,Cody Freeman,26,10,3.0,2,7,2008100
13,T10,T10,Ryuji Imada,25,10,6.0,3,16,2008430
14,T10,T10,Neal Lancaster,9,10,10.0,4,4,2008340
15,T10,T10,Jeff Maggert,28,10,,2,8,2008020
16,T10,T10,Corey Pavin,20,10,,4,16,2008190
17,T10,T10,Pat Perez,27,10,,1,8,2008390
18,T10,T10,Nicholas Thompson,36,10,1.0,2,17,2008330
19,T20,T20,Stuart Appleby,23,9,1.0,1,9,2008380
20,T20,T20,Ben Curtis,22,9,,2,12,2008360
21,T20,T20,Jim Furyk,26,9,2.0,1,17,2008330
22,T20,T20,J.P. Hayes,26,9,2.0,4,4,2008280
23,T20,T20,Charles Howell III,31,9,,4,5,2008180
24,T20,T20,Matt Jones,31,9,,1,10,2008100
25,T20,T20,Tom Lehman,17,9,,2,13,2008240
26,T20,T20,Steve Marino,32,9,,1,16,2008480
27,T20,T20,Parker McLachlin,27,9,,2,16,2008330
28,T20,T20,Kevin Na,29,9,,4,2,2008050
29,T20,T20,Brenden Pappas,24,9,,3,5,2008270
30,T20,T20,Ted Purdy,25,9,,2,6,2008220
31,T20,T20,Mike Weir,26,9,3.0,3,10,2008050
32,T20,T20,Mark Wilson,29,9,,1,3,2008210
33,T34,T34,Jason Allred,23,8,1.0,2,1,2008020
34,T34,T34,Craig Barlow,15,8,,1,15,2008060
35,T34,T34,Shane Bertsch,29,8,2.0,3,3,2008100
36,T34,T34,Mark Brooks,17,8,,1,17,2008360
37,T34,T34,Stewart Cink,23,8,1.0,1,1,2008040
38,T34,T34,Gavin Coles,16,8,8.0,1,16,2008480
39,T34,T34,Ben Crane,25,8,1.0,4,6,2008180
40,T34,T34,John Daly,17,8,1.0,1,7,2008360
41,T34,T34,Glen Day,19,8,,1,17,2008100
42,T34,T34,Ken Duke,33,8,2.0,3,12,2008250
43,T34,T34,Bob Estes,28,8,,2,15,2008370
44,T34,T34,Alastair Forsyth,2,8,8.0,3,9,2008360
45,T34,T34,Fred Funk,14,8,,4,14,2008050
46,T34,T34,Brian Gay,31,8,2.0,3,18,2008220
47,T34,T34,Paul Goydos,25,8,,3,5,2008230
48,T34,T34,Nathan Green,30,8,1.0,2,17,2008300
49,T34,T34,Dudley Hart,22,8,,1,4,2008400
50,T34,T34,Richard Johnson,29,8,6.0,1,15,2008310
51,T34,T34,Richard Johnson,21,8,,2,7,2008250
52,T34,T34,Jerry Kelly,31,8,,4,16,2008480
53,T34,T34,Michael Letzig,29,8,2.0,1,10,2008280
54,T34,T34,Frank Lickliter II,32,8,,3,3,2008330
55,T34,T34,Billy Mayfair,29,8,2.0,1,17,2008430
56,T34,T34,Jim McGovern,26,8,,2,12,2008270
57,T34,T34,Ian Poulter,15,8,,1,12,2008360
58,T34,T34,Webb Simpson,6,8,,1,13,2008250
59,T34,T34,Kevin Streelman,32,8,1.0,3,14,2008400
60,T34,T34,Kevin Sutherland,26,8,5.0,2,17,2008160
61,T34,T34,Omar Uresti,24,8,2.0,2,18,2008330
62,T34,T34,Camilo Villegas,22,8,4.0,2,18,2008100
63,T34,T34,Charlie Wi,27,8,,1,11,2008280
64,T65,T65,Michael Allen,28,7,2.0,1,16,2008270
65,T65,T65,Robert Allenby,28,7,1.0,1,11,2008100
66,T65,T65,Cameron Beckman,29,7,5.0,1,18,2008370
67,T65,T65,Mark Brown,3,7,1.0,1,8,2008360
68,T65,T65,Tim Clark,27,7,,4,12,2008230
69,T65,T65,José Coceres,13,7,7.0,2,2,2008290
70,T65,T65,Jason Day,28,7,4.0,4,3,2008300
71,T65,T65,Todd Demsey,25,7,1.0,2,12,2008300
72,T65,T65,Kenneth Ferrie,25,7,7.0,3,5,2008480
73,T65,T65,Robert Gamez,26,7,5.0,3,18,2008060
74,T65,T65,Mathias Grönberg,30,7,6.0,1,5,2008470
75,T65,T65,Tim Herron,28,7,2.0,4,7,2008060
76,T65,T65,Charley Hoffman,29,7,1.0,1,2,2008290
77,T65,T65,J.B. Holmes,26,7,,4,16,2008120
78,T65,T65,Stephen Leaney,17,7,5.0,1,2,2008030
79,T65,T65,John Mallinger,29,7,2.0,1,3,2008180
80,T65,T65,Scott McCarron,22,7,,1,1,2008330
81,T65,T65,Rocco Mediate,27,7,2.0,1,8,2008290
82,T65,T65,Larry Mize,16,7,,1,11,2008310
83,T65,T65,Ryan Moore,24,7,,2,11,2008180
84,T65,T65,Tim Petrovic,32,7,1.0,4,13,2008110
85,T65,T65,Carl Pettersson,29,7,,3,8,2008120
86,T65,T65,Rory Sabbatini,23,7,,4,10,2008380
87,T65,T65,John Senden,28,7,1.0,2,2,2008030
88,T65,T65,Vijay Singh,23,7,2.0,2,12,2008320
89,T65,T65,Steve Stricker,22,7,,2,1,2008140
90,T65,T65,Nick Taylor,2,7,,2,15,2008260
91,T65,T65,Scott Verplank,24,7,2.0,1,13,2008380
92,T65,T65,Tim Wilkinson,29,7,6.0,1,3,2008200
