,YTD_Par_or_Better_Streak_RANK THIS WEEK,YTD_Par_or_Better_Streak_RANK LAST WEEK,YTD_Par_or_Better_Streak_PLAYER NAME,YTD_Par_or_Better_Streak_NUMBER OF ROUNDS
0,1,1,Scott Verplank,28
1,2,2,Tiger Woods,27
2,3,3,Glen Day,21
3,4,4,Heath Slocum,20
4,5,5,Steve Marino,18
5,T6,T6,Kenny Perry,16
6,T6,T6,Mike Weir,16
7,T8,T8,Woody Austin,15
8,T8,T8,Robert Garrigus,15
9,T10,T10,K.J. Choi,14
10,T10,T10,Daniel Chopra,14
11,T10,T10,Kevin Na,14
12,T13,T13,Stewart Cink,13
13,T13,T13,Padraig Harrington,13
14,T13,T13,J.J. Henry,13
15,T13,T13,Justin Leonard,13
16,T13,T13,John Riegger,13
17,T18,T18,Stephen Ames,12
18,T18,T18,James Driscoll,12
19,T18,T18,Carlos Franco,12
20,T18,T18,Matt Jones,12
21,T18,T18,Nick O'Hern,12
22,T18,T18,Ryan Palmer,12
23,T18,T18,Charlie Wi,12
24,T25,T25,Stuart Appleby,11
25,T25,T25,Tommy Armour III,11
26,T25,T25,Marco Dawson,11
27,T25,T25,Ken Duke,11
28,T25,T25,Brian Gay,11
29,T25,T25,Tim Herron,11
30,T25,T25,Jerry Kelly,11
31,T25,T25,Martin Laird,11
32,T25,T25,Michael Letzig,11
33,T25,T25,Will MacKenzie,11
34,T25,T25,Kevin Stadler,11
35,T25,T25,Kevin Streelman,11
36,T25,T25,Bo Van Pelt,11
37,T25,T25,Camilo Villegas,11
38,T25,T25,Bubba Watson,11
39,T25,T25,Mark Wilson,11
40,T41,T41,Eric Axley,10
41,T41,T41,Ángel Cabrera,10
42,T41,T41,Brad Elder,10
43,T41,T41,Nick Flanagan,10
44,T41,T41,Steve Flesch,10
45,T41,T41,Robert Gamez,10
46,T41,T41,Bill Haas,10
47,T41,T41,Peter Lonard,10
48,T41,T41,Billy Mayfair,10
49,T41,T41,George McNeill,10
50,T41,T41,Jon Mills,10
51,T41,T41,Chris Riley,10
52,T41,T41,Vijay Singh,10
53,T41,T41,Kevin Sutherland,10
54,T55,T55,Michael Allen,9
55,T55,T55,Briny Baird,9
56,T55,T55,Chad Campbell,9
57,T55,T55,Alex Cejka,9
58,T55,T55,Ben Crane,9
59,T55,T55,Sergio Garcia,9
60,T55,T55,Ryuji Imada,9
61,T55,T55,Dustin Johnson,9
62,T55,T55,Anthony Kim,9
63,T55,T55,Bryce Molder,9
64,T55,T55,Rod Pampling,9
65,T55,T55,Jin Park,9
66,T55,T55,Pat Perez,9
67,T55,T55,Tom Pernice Jr.,9
68,T55,T55,Chez Reavie,9
69,T55,T55,Brett Rumford,9
70,T55,T55,John Senden,9
71,T55,T55,Roland Thatcher,9
72,T55,T55,David Toms,9
73,T55,T55,Bob Tway,9
74,T55,T55,Nick Watney,9
75,T55,T55,Tim Wilkinson,9
76,T55,T55,Y.E. Yang,9
77,T78,T78,Brad Adamonis,8
78,T78,T78,Cameron Beckman,8
79,T78,T78,Mark Brooks,8
80,T78,T78,Paul Casey,8
81,T78,T78,Gavin Coles,8
82,T78,T78,Chad Collins,8
83,T78,T78,Ben Curtis,8
84,T78,T78,Brian Davis,8
85,T78,T78,Jason Day,8
86,T78,T78,Luke Donald,8
87,T78,T78,Steve Elkington,8
88,T78,T78,Bob Estes,8
89,T78,T78,Jim Furyk,8
90,T78,T78,Lucas Glover,8
91,T78,T78,Mathew Goggin,8
92,T78,T78,Charley Hoffman,8
93,T78,T78,Charles Howell III,8
94,T78,T78,John Huston,8
95,T78,T78,Zach Johnson,8
96,T78,T78,Kent Jones,8
97,T78,T78,Neal Lancaster,8
98,T78,T78,Tom Lehman,8
99,T78,T78,Frank Lickliter II,8
100,T78,T78,Davis Love III,8
101,T78,T78,Jeff Maggert,8
102,T78,T78,Shigeki Maruyama,8
103,T78,T78,John Merrick,8
104,T78,T78,Shaun Micheel,8
105,T78,T78,Phil Mickelson,8
106,T78,T78,Geoff Ogilvy,8
107,T78,T78,Tim Petrovic,8
108,T78,T78,Brett Quigley,8
109,T78,T78,Tag Ridings,8
110,T78,T78,Adam Scott,8
111,T78,T78,D.J. Trahan,8
112,T78,T78,Marc Turnesa,8
113,T78,T78,Omar Uresti,8
114,T78,T78,Boo Weekley,8
115,T116,T116,Robert Allenby,7
116,T116,T116,Aaron Baddeley,7
117,T116,T116,Fred Couples,7
118,T116,T116,Jay Delsing,7
119,T116,T116,Todd Demsey,7
120,T116,T116,Chris DiMarco,7
121,T116,T116,Jason Dufner,7
122,T116,T116,Jason Gore,7
123,T116,T116,Paul Goydos,7
124,T116,T116,Dudley Hart,7
125,T116,T116,Mark Hensby,7
126,T116,T116,J.B. Holmes,7
127,T116,T116,Trevor Immelman,7
128,T116,T116,Lee Janzen,7
129,T116,T116,Matt Kuchar,7
130,T116,T116,David Lutterus,7
131,T116,T116,Hunter Mahan,7
132,T116,T116,John Mallinger,7
133,T116,T116,Troy Matteson,7
134,T116,T116,Sean O'Hair,7
135,T116,T116,Joe Ogilvie,7
136,T116,T116,Jeff Overton,7
137,T116,T116,Brenden Pappas,7
138,T116,T116,Jesper Parnevik,7
139,T116,T116,Jeff Quinney,7
140,T116,T116,John Rollins,7
141,T116,T116,Justin Rose,7
142,T116,T116,Rory Sabbatini,7
143,T116,T116,Chris Stroud,7
144,T116,T116,Brett Wetterich,7
145,T116,T116,Ron Whittaker,7
146,T116,T116,Dean Wilson,7
147,T148,T148,Steve Allan,6
148,T148,T148,Jason Allred,6
149,T148,T148,Rich Beem,6
150,T148,T148,Shane Bertsch,6
151,T148,T148,Justin Bolli,6
152,T148,T148,Jonathan Byrd,6
153,T148,T148,Tom Byrum,6
154,T148,T148,Mark Calcavecchia,6
155,T148,T148,Alejandro Cañizares,6
156,T148,T148,Tim Clark,6
157,T148,T148,Paul Claxton,6
158,T148,T148,Joe Durant,6
159,T148,T148,Dan Forsman,6
160,T148,T148,Fred Funk,6
161,T148,T148,Retief Goosen,6
162,T148,T148,Jeff Gove,6
163,T148,T148,Nathan Green,6
164,T148,T148,Mathias Grönberg,6
165,T148,T148,Todd Hamilton,6
166,T148,T148,J.P. Hayes,6
167,T148,T148,Freddie Jacobson,6
168,T148,T148,Craig Kanada,6
169,T148,T148,Greg Kraft,6
170,T148,T148,J.L. Lewis,6
171,T148,T148,Scott McCarron,6
172,T148,T148,Jim McGovern,6
173,T148,T148,Parker McLachlin,6
174,T148,T148,Larry Mize,6
175,T148,T148,Ryan Moore,6
176,T148,T148,Carl Pettersson,6
177,T148,T148,Patrick Sheehan,6
178,T148,T148,Brandt Snedeker,6
179,T148,T148,Bob Sowards,6
180,T148,T148,Scott Sterling,6
181,T148,T148,Steve Stricker,6
182,T148,T148,Vaughn Taylor,6
183,T148,T148,Kyle Thompson,6
184,T148,T148,Nicholas Thompson,6
185,T148,T148,Johnson Wagner,6
186,T148,T148,Jimmy Walker,6
187,T148,T148,Charles Warren,6
188,T148,T148,Garrett Willis,6
189,T190,T190,Billy Andrade,5
190,T190,T190,Ryan Armour,5
191,T190,T190,Craig Barlow,5
192,T190,T190,Guy Boros,5
193,T190,T190,Michael Bradley,5
194,T190,T190,Olin Browne,5
195,T190,T190,Bart Bryant,5
196,T190,T190,Ernie Els,5
197,T190,T190,Bob Heintz,5
198,T190,T190,Brandt Jobe,5
199,T190,T190,Richard Johnson,5
200,T190,T190,Richard Johnson,5
201,T190,T190,Jason Knutzon,5
202,T190,T190,Cliff Kresge,5
203,T190,T190,Doug LaBelle II,5
204,T190,T190,Stephen Leaney,5
205,T190,T190,Ian Leggatt,5
206,T190,T190,Steve Lowery,5
207,T190,T190,Len Mattiace,5
208,T190,T190,Rocco Mediate,5
209,T190,T190,Corey Pavin,5
210,T190,T190,D.A. Points,5
211,T190,T190,Dicky Pride,5
212,T190,T190,Tom Scherrer,5
213,T190,T190,Paul Stankowski,5
214,T190,T190,Lee Westwood,5
215,T190,T190,Jay Williamson,5
216,T217,T217,Brian Bateman,4
217,T217,T217,Ronnie Black,4
218,T217,T217,Jason Bohn,4
219,T217,T217,Andrew Buckle,4
220,T217,T217,José Coceres,4
221,T217,T217,Erik Compton,4
222,T217,T217,John Daly,4
223,T217,T217,Robert Damron,4
224,T217,T217,David Duval,4
225,T217,T217,Niclas Fasth,4
226,T217,T217,Kenneth Ferrie,4
227,T217,T217,Harrison Frazar,4
228,T217,T217,Cody Freeman,4
229,T217,T217,Tommy Gainey,4
230,T217,T217,Miguel Angel Jiménez,4
231,T217,T217,Søren Kjeldsen,4
232,T217,T217,Colt Knost,4
233,T217,T217,Danny Lee,4
234,T217,T217,WC Liang,4
235,T217,T217,Pablo Martin Benavides,4
236,T217,T217,Daisuke Maruyama,4
237,T217,T217,Andrew McLardy,4
238,T217,T217,Yusaku Miyazato,4
239,T217,T217,Ian Poulter,4
240,T217,T217,Ted Purdy,4
241,T217,T217,Alvaro Quiros,4
242,T217,T217,Michael Sim,4
243,T217,T217,Webb Simpson,4
244,T217,T217,Jeev Milkha Singh,4
245,T217,T217,Jeff Sluman,4
246,T217,T217,Henrik Stenson,4
247,T217,T217,Graeme Storm,4
248,T217,T217,Chip Sullivan,4
249,T217,T217,Esteban Toledo,4
