,Best_Rounds_in_60s_Streak_RANK THIS WEEK,Best_Rounds_in_60s_Streak_RANK LAST WEEK,Best_Rounds_in_60s_Streak_PLAYER NAME,Best_Rounds_in_60s_Streak_CAREER BEST STREAK,Best_Rounds_in_60s_Streak_BEST YTD STREAK,Best_Rounds_in_60s_Streak_CURRENT STREAK
0,1,1,Bob Estes,17,4.0,
1,2,2,Charles Howell III,16,4.0,
2,T3,T3,Chris DiMarco,14,4.0,
3,T3,T3,Scott Hoch,14,1.0,
4,T3,T3,Tiger Woods,14,5.0,
5,T6,T6,Harrison Frazar,13,4.0,
6,T6,T6,Davis Love III,13,8.0,
7,T8,T8,Joe Durant,12,5.0,
8,T8,T8,Shigeki Maruyama,12,3.0,
9,T8,T8,Mark O'Meara,12,1.0,
10,T8,T8,Tim Petrovic,12,4.0,
11,T12,T12,Brian Bateman,11,1.0,
12,T12,T12,David Edwards,11,,
13,T12,T12,Jim Furyk,11,4.0,
14,T12,T12,J.P. Hayes,11,3.0,
15,T12,T12,Bernhard Langer,11,1.0,
16,T12,T12,Stephen Leaney,11,3.0,
17,T12,T12,Bruce Lietzke,11,,
18,T12,T12,Mark McCumber,11,,
19,T12,T12,Jerry Pate,11,,
20,T12,T12,Kenny Perry,11,11.0,
21,T12,T12,Scott Verplank,11,5.0,
22,T23,T23,Fred Couples,10,3.0,
23,T23,T23,Steve Flesch,10,4.0,
24,T23,T23,Carlos Franco,10,6.0,
25,T23,T23,David Frost,10,,
26,T23,T23,Fred Funk,10,3.0,
27,T23,T23,Robert Gamez,10,5.0,
28,T23,T23,Rocco Mediate,10,4.0,
29,T23,T23,Corey Pavin,10,3.0,
30,T23,T23,David Peoples,10,,
31,T23,T23,Carl Pettersson,10,4.0,
32,T23,T23,Mike Reid,10,,
33,T23,T23,Chris Riley,10,4.0,
34,T23,T23,Loren Roberts,10,,
35,T23,T23,Gene Sauers,10,,
36,T23,T23,Tom Sieckmann,10,,
37,T23,T23,Joey Sindelar,10,1.0,
