,Current_Streak_without_a_3-Putt_RANK THIS WEEK,Current_Streak_without_a_3-Putt_RANK LAST WEEK,Current_Streak_without_a_3-Putt_PLAYER NAME,Current_Streak_without_a_3-Putt_EVENTS,Current_Streak_without_a_3-Putt_VALUE
0,1,1,Ben Curtis,22,146
1,2,2,Jim Furyk,26,130
2,3,3,Dudley Hart,22,129
3,4,4,Omar Uresti,24,112
4,5,5,John Rollins,28,107
5,6,6,Bob Tway,20,103
6,T7,T7,Richard Johnson,21,100
7,T7,T7,Geoff Ogilvy,20,100
8,9,9,Kevin Streelman,32,98
9,10,10,Brett Quigley,25,96
10,11,11,J.P. Hayes,26,93
11,12,12,Brett Rumford,26,91
12,13,13,Davis Love III,23,87
13,14,14,Mike Weir,26,85
14,15,15,Ken Duke,33,84
15,T16,T16,Charley Hoffman,29,75
16,T16,T16,Charlie Wi,27,75
17,18,18,Jimmy Walker,24,74
18,19,19,Mark Wilson,29,72
19,T20,T20,Richard Johnson,29,71
20,T20,T20,Pat Perez,27,71
21,T20,T20,Brandt Snedeker,26,71
22,23,23,Kent Jones,23,69
23,24,24,Kevin Stadler,30,68
24,T25,T25,Brian Gay,31,67
25,T25,T25,Jason Gore,33,67
26,T27,T27,Rocco Mediate,27,66
27,T27,T27,Chris Stroud,29,66
28,29,29,Ted Purdy,25,65
29,30,30,Steve Marino,32,62
30,31,31,Sean O'Hair,25,61
31,T32,T32,Freddie Jacobson,24,60
32,T32,T32,Joe Ogilvie,29,60
33,34,34,Carl Pettersson,29,57
34,35,35,Kevin Sutherland,26,56
35,T36,T36,Mathew Goggin,27,55
36,T36,T36,Ryuji Imada,25,55
37,T38,T38,Robert Gamez,26,54
38,T38,T38,Corey Pavin,20,54
39,T40,T40,Rich Beem,29,52
40,T40,T40,James Driscoll,28,52
41,T42,T42,Cameron Beckman,29,48
42,T42,T42,Rory Sabbatini,23,48
43,44,44,Steve Elkington,25,47
44,45,45,Shane Bertsch,29,46
45,T46,T46,Chris Riley,17,45
46,T46,T46,Nick Watney,27,45
47,T48,T48,Ángel Cabrera,17,43
48,T48,T48,Tim Clark,27,43
49,T48,T48,Brad Elder,23,43
50,T51,T51,Stephen Leaney,17,41
51,T51,T51,Charles Warren,29,41
52,T53,T53,Matt Kuchar,27,40
53,T53,T53,Jin Park,30,40
54,T53,T53,Ian Poulter,15,40
55,T56,T56,Daniel Chopra,27,39
56,T56,T56,Trevor Immelman,22,39
57,T58,T58,Ryan Armour,32,38
58,T58,T58,Briny Baird,30,38
59,T58,T58,Jeff Overton,32,38
60,T61,T61,Steve Allan,21,37
61,T61,T61,Jason Allred,23,37
62,T61,T61,Gavin Coles,16,37
63,T61,T61,Ben Crane,25,37
64,T61,T61,Todd Hamilton,28,37
65,T66,T66,Peter Lonard,30,36
66,T66,T66,Vijay Singh,23,36
67,68,68,D.J. Trahan,27,35
68,T69,T69,Carlos Franco,25,34
69,T69,T69,Frank Lickliter II,32,34
70,T71,T71,Kenneth Ferrie,25,33
71,T71,T71,Steve Stricker,22,33
72,T73,T73,Aaron Baddeley,22,32
73,T73,T73,Bart Bryant,23,32
74,T73,T73,Jay Williamson,33,32
75,76,76,Nick O'Hern,26,31
76,T77,T77,Chad Campbell,28,30
77,T77,T77,Nathan Green,30,30
78,T77,T77,Brandt Jobe,19,30
79,T77,T77,Dustin Johnson,30,30
80,T81,T81,Stuart Appleby,23,29
81,T81,T81,Andres Romero,20,29
82,T83,T83,Tommy Armour III,25,27
83,T83,T83,Nick Flanagan,29,27
84,T85,T85,Chad Collins,24,26
85,T85,T85,Kenny Perry,26,26
86,T85,T85,Marc Turnesa,29,26
87,T88,T88,J.B. Holmes,26,25
88,T88,T88,Tom Scherrer,20,25
89,T90,T90,Harrison Frazar,23,24
90,T90,T90,Michael Letzig,29,24
91,T90,T90,Y.E. Yang,29,24
92,T93,T93,Padraig Harrington,15,23
93,T93,T93,Jerry Kelly,31,23
94,T95,T95,Woody Austin,30,22
95,T95,T95,Anthony Kim,22,22
96,T95,T95,John Senden,28,22
97,98,98,Mathias Grönberg,30,21
