,Current_Par_or_Better_Streak_RANK THIS WEEK,Current_Par_or_Better_Streak_RANK LAST WEEK,Current_Par_or_Better_Streak_PLAYER NAME,Current_Par_or_Better_Streak_EVENTS,Current_Par_or_Better_Streak_NUMBER OF ROUNDS
0,1,1,Steve Marino,65,18
1,T2,T2,Woody Austin,416,15
2,T2,T2,Scott Verplank,519,15
3,4,4,J.J. Henry,242,13
4,5,5,Charlie Wi,78,12
5,T6,T6,Martin Laird,30,11
6,T6,T6,Ryan Palmer,146,11
7,8,8,Bill Haas,108,10
8,T9,T9,Ryuji Imada,119,9
9,T9,T9,David Toms,420,9
10,T9,T9,Nick Watney,120,9
11,T9,T9,Mike Weir,274,9
12,T13,T13,Stephen Ames,257,8
13,T13,T13,Mathew Goggin,194,8
14,T13,T13,Charley Hoffman,98,8
15,T13,T13,Tim Petrovic,227,8
16,T13,T13,Kevin Sutherland,354,8
17,T18,T18,Aaron Baddeley,159,7
18,T18,T18,Chad Campbell,197,7
19,T18,T18,Bob Estes,512,7
20,T18,T18,Paul Goydos,393,7
21,T18,T18,Sean O'Hair,110,7
22,T23,T23,Joe Durant,341,6
23,T23,T23,Steve Elkington,484,6
24,T23,T23,Matt Jones,32,6
25,T23,T23,Hunter Mahan,156,6
26,T23,T23,Troy Matteson,91,6
27,T23,T23,George McNeill,63,6
28,T23,T23,Jeff Overton,79,6
29,T23,T23,Rod Pampling,182,6
30,T23,T23,Vaughn Taylor,146,6
31,T23,T23,Bubba Watson,83,6
32,T33,T33,Robert Allenby,292,5
33,T33,T33,Guy Boros,228,5
34,T33,T33,Stewart Cink,317,5
35,T33,T33,J.B. Holmes,76,5
36,T33,T33,Charles Howell III,234,5
37,T33,T33,Neal Lancaster,536,5
38,T33,T33,Justin Leonard,381,5
39,T33,T33,Davis Love III,545,5
40,T33,T33,Len Mattiace,366,5
41,T33,T33,Billy Mayfair,605,5
42,T33,T33,Rocco Mediate,526,5
43,T33,T33,Phil Mickelson,360,5
44,T33,T33,Jesper Parnevik,335,5
45,T33,T33,John Rollins,226,5
46,T33,T33,Brett Rumford,30,5
47,T33,T33,Chris Stroud,55,5
48,T33,T33,Boo Weekley,76,5
49,T50,T50,Michael Allen,317,4
50,T50,T50,Cameron Beckman,268,4
51,T50,T50,Rich Beem,269,4
52,T50,T50,Michael Bradley,270,4
53,T50,T50,Tim Clark,165,4
54,T50,T50,Erik Compton,12,4
55,T50,T50,Jason Day,34,4
56,T50,T50,Dan Forsman,635,4
57,T50,T50,Harrison Frazar,292,4
58,T50,T50,Tommy Gainey,25,4
59,T50,T50,Lucas Glover,147,4
60,T50,T50,Jason Gore,160,4
61,T50,T50,Lee Janzen,508,4
62,T50,T50,Brandt Jobe,243,4
63,T50,T50,Andrew McLardy,32,4
64,T50,T50,Brenden Pappas,129,4
65,T50,T50,Tom Pernice Jr.,495,4
66,T50,T50,Tag Ridings,133,4
67,T50,T50,Jeff Sluman,686,4
68,T50,T50,Kevin Stadler,105,4
69,T50,T50,Scott Sterling,29,4
70,T50,T50,Kevin Streelman,36,4
71,T50,T50,Esteban Toledo,275,4
72,T50,T50,Marc Turnesa,29,4
73,T50,T50,Omar Uresti,300,4
74,T50,T50,Jhonattan Vegas,2,4
75,T50,T50,Jimmy Walker,59,4
76,T50,T50,Tim Wilkinson,31,4
77,T78,T78,Jason Allred,55,3
78,T78,T78,Briny Baird,266,3
79,T78,T78,Casey Bourque,2,3
80,T78,T78,Mark Brooks,741,3
81,T78,T78,Jonathan Byrd,187,3
82,T78,T78,Ben Curtis,138,3
83,T78,T78,Brian Davis,124,3
84,T78,T78,Fred Funk,595,3
85,T78,T78,Jim Furyk,375,3
86,T78,T78,Mark Hensby,147,3
87,T78,T78,Craig Kanada,113,3
88,T78,T78,Larry Mize,588,3
89,T78,T78,Pat Perez,192,3
90,T78,T78,Travis Perkins,23,3
91,T78,T78,Brett Quigley,324,3
92,T78,T78,Rory Sabbatini,237,3
93,T78,T78,Jon Turcott,6,3
94,T78,T78,Camilo Villegas,85,3
95,T96,T96,Stuart Appleby,311,2
96,T96,T96,Ryan Armour,64,2
97,T96,T96,Paul Azinger,571,2
98,T96,T96,Brian Bateman,173,2
99,T96,T96,Shane Bertsch,125,2
100,T96,T96,Jason Bohn,119,2
101,T96,T96,Justin Bolli,52,2
102,T96,T96,SSP Chawrasia,1,2
103,T96,T96,Daniel Chopra,157,2
104,T96,T96,James Driscoll,95,2
105,T96,T96,Brad Elder,146,2
106,T96,T96,Ernie Els,238,2
107,T96,T96,Brad Faxon,625,2
108,T96,T96,Kenneth Ferrie,35,2
109,T96,T96,Richard Finch,2,2
110,T96,T96,Alastair Forsyth,8,2
111,T96,T96,Rob Grube,1,2
112,T96,T96,Todd Hamilton,149,2
113,T96,T96,Bob Heintz,131,2
114,T96,T96,Hidemasa Hoshino,2,2
115,T96,T96,David Lutterus,23,2
116,T96,T96,Jim McGovern,369,2
117,T96,T96,John Morse,166,2
118,T96,T96,Nick O'Hern,78,2
119,T96,T96,Geoff Ogilvy,184,2
120,T96,T96,Stephen Poole,1,2
121,T96,T96,Fran Quinn,47,2
122,T96,T96,Jeff Quinney,72,2
123,T96,T96,Michael Sim,26,2
124,T96,T96,Brandt Snedeker,65,2
125,T96,T96,Kyle Thompson,29,2
126,T96,T96,Drew Weaver,5,2
127,T96,T96,Casey Wittenberg,26,2
