,Money_per_Event_Leaders_RANK THIS WEEK,Money_per_Event_Leaders_RANK LAST WEEK,Money_per_Event_Leaders_PLAYER NAME,Money_per_Event_Leaders_EVENTS,Money_per_Event_Leaders_MONEY PER EVENT,Money_per_Event_Leaders_TOTAL MONEY
0,1,1,Rory McIlroy,17,"$487,064","$8,280,095"
1,2,2,Sergio Garcia,16,"$308,725","$4,939,606"
2,3,3,Bubba Watson,21,"$301,760","$6,336,978"
3,4,4,Jim Furyk,21,"$285,114","$5,987,395"
4,5,5,Jason Day,15,"$252,638","$3,789,574"
5,6,6,Dustin Johnson,17,"$249,951","$4,249,180"
6,7,7,Adam Scott,17,"$241,093","$4,098,588"
7,8,8,Martin Kaymer,19,"$238,554","$4,532,537"
8,9,9,Bernhard Langer,1,"$234,000","$234,000"
9,10,10,Jimmy Walker,27,"$214,333","$5,787,015"
10,11,11,Justin Rose,19,"$206,671","$3,926,767"
11,12,12,Matt Kuchar,24,"$195,646","$4,695,515"
12,13,13,Rickie Fowler,26,"$184,850","$4,806,116"
13,14,14,Billy Horschel,27,"$178,325","$4,814,786"
14,15,15,Chris Kirk,28,"$173,384","$4,854,777"
15,16,16,Jordan Spieth,27,"$160,842","$4,342,748"
16,17,17,Edoardo Molinari,2,"$144,455","$288,911"
17,18,18,Patrick Reed,28,"$143,788","$4,026,075"
18,19,19,Webb Simpson,25,"$141,584","$3,539,600"
19,20,20,Ryan Moore,24,"$129,094","$3,098,262"
20,21,21,Zach Johnson,26,"$128,977","$3,353,417"
21,22,22,Ryan Palmer,23,"$127,143","$2,924,300"
22,23,23,Henrik Stenson,15,"$126,282","$1,894,235"
23,24,24,Hunter Mahan,25,"$123,919","$3,097,983"
24,25,25,Graeme McDowell,17,"$122,199","$2,077,386"
25,26,26,Hideki Matsuyama,24,"$118,228","$2,837,477"
26,27,27,Brendon Todd,29,"$117,129","$3,396,746"
27,28,28,Kevin Na,27,"$116,781","$3,153,107"
28,29,29,Charl Schwartzel,18,"$110,971","$1,997,481"
29,30,30,Gary Woodland,25,"$109,366","$2,734,152"
30,31,31,Graham DeLaet,24,"$109,021","$2,616,517"
31,32,32,Keegan Bradley,26,"$108,793","$2,828,637"
32,33,33,Marc Leishman,24,"$106,610","$2,558,657"
33,34,34,John Senden,27,"$105,803","$2,856,684"
34,35,35,Harris English,28,"$105,261","$2,947,321"
35,36,36,Steve Stricker,11,"$104,976","$1,154,746"
36,37,37,Phil Mickelson,21,"$102,762","$2,158,018"
37,38,38,Austin Cook,1,"$102,466","$102,466"
38,39,39,Bill Haas,28,"$101,482","$2,841,520"
39,40,40,Cody Gribble,1,"$98,598","$98,598"
40,41,41,J.B. Holmes,24,"$98,550","$2,365,204"
41,42,42,Matt Every,26,"$97,706","$2,540,370"
42,43,43,Jason Dufner,17,"$97,146","$1,651,490"
43,44,44,Shiv Kapur,2,"$95,984","$191,968"
44,45,45,Ian Poulter,17,"$95,099","$1,616,693"
45,46,46,Russell Henley,29,"$89,327","$2,590,493"
46,47,47,Kevin Stadler,26,"$88,473","$2,300,306"
47,48,48,Kevin Streelman,24,"$87,833","$2,107,993"
48,49,49,Luke Donald,17,"$85,378","$1,451,439"
49,50,50,George McNeill,24,"$83,931","$2,014,357"
50,51,51,Marc Warren,2,"$82,070","$164,141"
51,52,52,Ángel Cabrera,23,"$81,241","$1,868,559"
52,53,53,Shawn Stefani,17,"$80,544","$1,369,258"
53,54,54,Tim Clark,26,"$79,474","$2,066,343"
54,55,55,Charley Hoffman,25,"$79,091","$1,977,295"
55,56,56,Seung-Yul Noh,27,"$78,341","$2,115,233"
56,57,57,Bob Estes,2,"$78,000","$156,000"
57,58,58,Robert Karlsson,7,"$77,956","$545,695"
58,59,59,Matt Jones,25,"$77,126","$1,928,154"
59,60,60,Brian Harman,32,"$75,447","$2,414,333"
60,61,61,Ernie Els,24,"$74,982","$1,799,569"
61,62,62,Chris Stroud,25,"$73,055","$1,826,399"
62,63,63,K.J. Choi,23,"$72,949","$1,677,847"
63,64,64,Shane Lowry,3,"$72,622","$217,866"
64,65,65,Francesco Molinari,12,"$70,664","$847,974"
65,66,66,Freddie Jacobson,27,"$70,436","$1,901,789"
66,67,67,Cameron Tringale,31,"$69,991","$2,169,722"
67,68,68,Jason Allred,9,"$69,637","$626,733"
68,69,69,Geoff Ogilvy,26,"$69,601","$1,809,632"
69,70,70,Charles Howell III,29,"$68,863","$1,997,044"
70,71,71,Will MacKenzie,27,"$68,660","$1,853,822"
71,72,72,Lee Westwood,18,"$67,950","$1,223,104"
72,73,73,Victor Dubuisson,10,"$67,098","$670,985"
73,74,74,Brandt Snedeker,25,"$66,095","$1,652,379"
74,75,75,Byeong Hun An,1,"$65,350","$65,350"
75,76,76,Brooks Koepka,16,"$65,194","$1,043,114"
76,77,77,Erik Compton,28,"$64,147","$1,796,143"
77,78,78,Jonas Blixt,21,"$63,914","$1,342,197"
78,79,79,Brian Stuard,29,"$63,880","$1,852,531"
79,80,80,Jason Bohn,25,"$63,407","$1,585,189"
80,81,81,Jason Kokrak,19,"$63,177","$1,200,381"
81,82,82,Jerry Kelly,23,"$63,089","$1,451,058"
82,83,83,Robert Streb,21,"$61,908","$1,300,074"
83,84,84,Ben Crane,25,"$61,385","$1,534,633"
84,85,85,Daniel Berger,1,"$59,588","$59,588"
85,86,86,Louis Oosthuizen,16,"$59,133","$946,134"
86,87,87,Chesson Hadley,29,"$58,735","$1,703,315"
87,88,88,Russell Knox,26,"$58,216","$1,513,630"
88,89,89,Steven Bowditch,30,"$57,823","$1,734,692"
89,90,90,Ryo Ishikawa,24,"$57,524","$1,380,579"
90,91,91,Ben Martin,26,"$57,032","$1,482,835"
91,92,92,Camilo Villegas,29,"$56,624","$1,642,124"
92,93,93,Daniel Summerhays,27,"$55,908","$1,509,542"
93,94,94,Paul Casey,16,"$54,873","$877,968"
94,95,95,Miguel Angel Jiménez,8,"$54,000","$432,000"
95,96,96,Siddikur Rahman,1,"$53,433","$53,433"
96,97,97,Kristoffer Broberg,1,"$52,963","$52,963"
97,98,98,Pat Perez,25,"$52,603","$1,315,080"
98,99,99,Mikko Ilonen,5,"$52,600","$263,000"
