,Percentage_of_potential_money_won_RANK THIS WEEK,Percentage_of_potential_money_won_RANK LAST WEEK,Percentage_of_potential_money_won_PLAYER NAME,Percentage_of_potential_money_won_EVENTS,Percentage_of_potential_money_won_%,Percentage_of_potential_money_won_OFFICIAL MONEY WON,Percentage_of_potential_money_won_POTENTIAL MONEY
0,1,1,Rory McIlroy,17,33.33,"$8,280,095","$24,845,787"
1,2,2,Bubba Watson,21,21.51,"$6,336,978","$29,453,787"
2,3,3,Sergio Garcia,16,21.09,"$4,939,606","$23,423,787"
3,4,4,Jim Furyk,21,20.67,"$5,987,395","$28,971,787"
4,5,5,Dustin Johnson,17,18.85,"$4,249,180","$22,547,787"
5,6,6,Jason Day,15,17.86,"$3,789,574","$21,213,787"
6,7,7,Adam Scott,17,17.12,"$4,098,588","$23,937,787"
7,8,8,Martin Kaymer,19,16.71,"$4,532,537","$27,131,787"
8,9,9,Jimmy Walker,27,15.98,"$5,787,015","$36,209,787"
9,10,10,Matt Kuchar,24,14.96,"$4,695,515","$31,389,787"
10,11,11,Justin Rose,19,14.59,"$3,926,767","$26,915,787"
11,12,12,Bernhard Langer,1,14.44,"$234,000","$1,620,000"
12,13,13,Billy Horschel,27,13.71,"$4,814,786","$35,129,787"
13,14,14,Rickie Fowler,26,13.7,"$4,806,116","$35,087,787"
14,15,15,Chris Kirk,28,13.28,"$4,854,777","$36,555,787"
15,16,16,Jordan Spieth,27,12.14,"$4,342,748","$35,759,787"
16,17,17,Victor Dubuisson,10,11.45,"$1,693,485","$14,787,787"
17,18,18,Patrick Reed,28,11.04,"$4,026,075","$36,483,787"
18,19,19,Webb Simpson,25,10.67,"$3,539,600","$33,171,787"
19,20,20,Zach Johnson,26,9.91,"$3,353,417","$33,855,787"
20,21,21,Ryan Palmer,23,9.88,"$2,924,300","$29,583,787"
21,22,22,Austin Cook,1,9.81,"$102,466","$1,044,000"
22,23,23,Ryan Moore,24,9.57,"$3,098,262","$32,375,787"
23,24,24,Brendon Todd,29,9.55,"$3,396,746","$35,577,787"
24,25,25,Kevin Na,27,9.38,"$3,153,107","$33,597,787"
25,26,26,Hunter Mahan,25,9.22,"$3,097,983","$33,597,787"
26,27,27,Hideki Matsuyama,24,8.75,"$2,837,477","$32,423,787"
27,28,28,Graeme McDowell,17,8.7,"$2,077,386","$23,873,787"
28,29,29,Henrik Stenson,15,8.55,"$1,894,235","$22,163,787"
29,30,30,John Senden,27,8.37,"$2,856,684","$34,119,787"
30,31,31,Edoardo Molinari,2,8.34,"$288,911","$3,465,787"
31,32,32,Marc Leishman,24,8.25,"$2,558,657","$31,005,787"
32,33,33,Harris English,28,8.21,"$2,947,321","$35,907,787"
33,34,34,Gary Woodland,25,8.17,"$2,734,152","$33,477,787"
34,35,35,Keegan Bradley,26,8.1,"$2,828,637","$34,907,787"
35,36,36,Graham DeLaet,24,8.05,"$2,616,517","$32,513,787"
36,37,37,Charl Schwartzel,18,7.9,"$1,997,481","$25,281,787"
37,38,38,J.B. Holmes,24,7.67,"$2,365,204","$30,843,787"
38,T39,T39,Matt Every,26,7.65,"$2,540,370","$33,201,787"
39,T39,T39,Bill Haas,28,7.65,"$2,841,520","$37,127,787"
40,41,41,Phil Mickelson,21,7.52,"$2,158,018","$28,697,787"
41,42,42,Jamie Donaldson,12,7.42,"$1,329,822","$17,933,787"
42,43,43,Steve Stricker,11,7.35,"$1,154,746","$15,714,000"
43,44,44,Bob Estes,2,7.22,"$156,000","$2,160,000"
44,45,45,Jason Dufner,17,7.01,"$1,651,490","$23,555,787"
45,46,46,Russell Henley,29,6.96,"$2,590,493","$37,221,787"
46,47,47,George McNeill,24,6.92,"$2,014,357","$29,115,787"
47,48,48,Jason Allred,9,6.87,"$626,733","$9,126,000"
48,49,49,Tim Clark,26,6.76,"$2,066,343","$30,546,000"
49,50,50,Kevin Stadler,26,6.72,"$2,300,306","$34,209,787"
50,51,51,Ian Poulter,17,6.71,"$1,616,693","$24,107,787"
51,52,52,Shiv Kapur,2,6.67,"$191,968","$2,880,000"
52,53,53,Kevin Streelman,24,6.56,"$2,107,993","$32,123,787"
53,54,54,Robert Karlsson,7,6.53,"$545,695","$8,361,787"
54,55,55,Seung-Yul Noh,27,6.49,"$2,115,233","$32,580,000"
55,56,56,Charley Hoffman,25,6.43,"$1,977,295","$30,771,787"
56,57,57,Shawn Stefani,17,6.38,"$1,369,258","$21,447,787"
57,58,58,Brian Harman,32,6.3,"$2,414,333","$38,295,787"
58,T59,T59,Francesco Molinari,12,6.28,"$1,116,574","$17,771,787"
59,T59,T59,Richard Sterne,7,6.28,"$654,232","$10,409,787"
60,61,61,Ángel Cabrera,23,6.2,"$1,868,559","$30,123,787"
61,62,62,Chris Stroud,25,6.12,"$1,826,399","$29,853,787"
62,T63,T63,Luke Donald,17,6.09,"$1,451,439","$23,819,787"
63,T63,T63,Cody Gribble,1,6.09,"$98,598","$1,620,000"
64,65,65,Matt Jones,25,6.02,"$1,928,154","$32,013,787"
65,66,66,Will MacKenzie,27,5.86,"$1,853,822","$31,644,000"
66,67,67,Charles Howell III,29,5.85,"$1,997,044","$34,110,000"
67,68,68,Freddie Jacobson,27,5.82,"$1,901,789","$32,661,787"
68,69,69,Cameron Tringale,31,5.77,"$2,169,722","$37,629,787"
69,70,70,Geoff Ogilvy,26,5.76,"$1,809,632","$31,410,000"
70,T71,T71,K.J. Choi,23,5.74,"$1,677,847","$29,223,787"
71,T71,T71,Robert Streb,21,5.74,"$1,300,074","$22,662,000"
72,73,73,Brooks Koepka,16,5.58,"$1,043,114","$18,693,787"
73,T74,T74,Ernie Els,24,5.56,"$1,799,569","$32,351,787"
74,T74,T74,Brian Stuard,29,5.56,"$1,852,531","$33,300,000"
75,76,76,Jerry Kelly,23,5.44,"$1,451,058","$26,676,000"
76,77,77,Miguel Angel Jiménez,8,5.43,"$689,000","$12,695,787"
77,78,78,Mikko Ilonen,5,5.42,"$429,475","$7,925,787"
78,79,79,Jason Bohn,25,5.38,"$1,585,189","$29,448,000"
79,80,80,Jaco Van Zyl,1,5.36,"$75,100","$1,400,000"
80,81,81,Jason Kokrak,19,5.27,"$1,200,381","$22,770,000"
81,82,82,Erik Compton,28,5.26,"$1,796,143","$34,137,787"
82,83,83,Ben Crane,25,5.11,"$1,534,633","$30,024,000"
83,84,84,George Coetzee,6,5.06,"$428,239","$8,465,787"
84,85,85,Brandt Snedeker,25,5.04,"$1,652,379","$32,789,787"
85,86,86,Chesson Hadley,29,4.99,"$1,703,315","$34,137,787"
86,87,87,Ben Martin,26,4.98,"$1,482,835","$29,763,787"
87,T88,T88,Ryo Ishikawa,24,4.94,"$1,380,579","$27,923,787"
88,T88,T88,Camilo Villegas,29,4.94,"$1,642,124","$33,264,000"
89,90,90,Russell Knox,26,4.93,"$1,513,630","$30,726,000"
90,91,91,Alvaro Quiros,2,4.92,"$84,171","$1,710,000"
91,92,92,Steven Bowditch,30,4.9,"$1,734,692","$35,424,000"
92,93,93,Lee Westwood,18,4.89,"$1,223,104","$24,989,787"
93,94,94,Jonas Blixt,21,4.76,"$1,342,197","$28,181,787"
94,95,95,Marc Warren,2,4.74,"$164,141","$3,465,787"
95,96,96,Daniel Summerhays,27,4.69,"$1,509,542","$32,184,000"
96,97,97,Kiradech Aphibarnrat,9,4.64,"$584,428","$12,605,787"
97,98,98,Scott Hend,3,4.62,"$193,766","$4,190,000"
98,99,99,Justin Hicks,30,4.61,"$1,544,061","$33,480,000"
99,T100,T100,Mark Brown,1,4.57,"$64,000","$1,400,000"
100,T100,T100,Wenyi Huang,1,4.57,"$64,000","$1,400,000"
101,102,102,David Howell,3,4.55,"$208,942","$4,595,787"
102,103,103,Thomas Bjørn,9,4.51,"$629,950","$13,955,787"
103,T104,T104,Stuart Appleby,29,4.5,"$1,477,970","$32,832,000"
104,T104,T104,Pat Perez,25,4.5,"$1,315,080","$29,196,000"
105,106,106,Marcel Siem,3,4.49,"$156,679","$3,492,000"
106,107,107,Morgan Hoffmann,32,4.45,"$1,595,922","$35,874,000"
107,108,108,Andrew Svoboda,24,4.44,"$1,168,072","$26,298,000"
108,109,109,Paul Casey,16,4.37,"$877,968","$20,075,787"
109,110,110,Brendan Steele,26,4.33,"$1,359,889","$31,383,787"
110,111,111,Shane Lowry,3,4.28,"$217,866","$5,085,787"
111,112,112,Siddikur Rahman,1,4.24,"$53,433","$1,260,000"
112,113,113,Carl Pettersson,28,4.22,"$1,348,393","$31,950,000"
113,114,114,Scott Brown,30,4.21,"$1,441,724","$34,260,000"
114,T115,T115,HaoTong Li,1,4.14,"$58,000","$1,400,000"
115,T115,T115,Louis Oosthuizen,16,4.14,"$946,134","$22,829,787"
116,117,117,Jeff Overton,24,4.12,"$1,115,467","$27,054,000"
117,T118,T118,Kevin Chappell,28,4.1,"$1,343,411","$32,760,000"
118,T118,T118,Troy Merritt,20,4.1,"$882,864","$21,510,000"
119,120,120,Matteo Manassero,10,4.07,"$559,317","$13,757,787"
120,121,121,Scott Stallings,28,3.97,"$1,385,688","$34,893,787"
121,122,122,Byeong Hun An,1,3.92,"$65,350","$1,665,787"
122,123,123,William McGirt,29,3.91,"$1,275,737","$32,616,000"
123,124,124,Robert Garrigus,25,3.86,"$1,095,474","$28,404,000"
124,125,125,Jay McLuen,2,3.83,"$84,171","$2,196,000"
125,126,126,Billy Hurley III,26,3.81,"$1,145,299","$30,069,787"
126,127,127,Andres Gonzales,2,3.79,"$75,000","$1,980,000"
127,128,128,Jason Gore,7,3.74,"$273,857","$7,326,000"
128,129,129,David Toms,20,3.71,"$801,354","$21,618,000"
129,130,130,Michael Thompson,22,3.7,"$932,300","$25,220,000"
130,T131,T131,Daniel Berger,1,3.68,"$59,588","$1,620,000"
131,T131,T131,Darren Fichardt,2,3.68,"$107,750","$2,930,000"
132,133,133,Steven Ihm,1,3.62,"$30,628","$846,000"
133,T134,T134,Scott Langley,29,3.56,"$1,151,496","$32,346,000"
134,T134,T134,Willy Wilcox,16,3.56,"$586,158","$16,470,000"
135,136,136,Martin Flores,26,3.53,"$1,035,446","$29,322,000"
136,T137,T137,Hiroyuki Fujita,1,3.5,"$49,000","$1,400,000"
137,T137,T137,Mike Hendry,1,3.5,"$49,000","$1,400,000"
138,139,139,David Hearn,28,3.48,"$1,138,323","$32,697,787"
139,T140,T140,Aaron Baddeley,24,3.44,"$942,558","$27,414,000"
140,T140,T140,Rory Sabbatini,26,3.44,"$1,024,735","$29,754,000"
141,T142,T142,Rafael Campos,1,3.38,"$21,306","$630,000"
142,T142,T142,Emiliano Grillo,1,3.38,"$21,306","$630,000"
143,T142,T142,David Skinns,1,3.38,"$21,306","$630,000"
144,T145,T145,Grégory Bourdy,2,3.34,"$102,458","$3,065,787"
145,T145,T145,Kevin Kisner,26,3.34,"$954,497","$28,584,000"
146,T145,T145,Vijay Singh,25,3.34,"$989,027","$29,610,000"
147,148,148,Chris Wood,3,3.33,"$162,251","$4,865,787"
148,149,149,Bo Van Pelt,25,3.3,"$982,218","$29,768,000"
149,150,150,Jon Curran,1,3.29,"$37,952","$1,152,000"
150,151,151,Thongchai Jaidee,9,3.28,"$475,211","$14,495,787"
151,152,152,Alexander Levy,2,3.26,"$108,500","$3,330,000"
152,153,153,Bud Cauley,19,3.21,"$647,886","$20,178,000"
153,154,154,Briny Baird,17,3.2,"$616,315","$19,278,000"
154,155,155,Stephen Gallacher,12,3.19,"$561,250","$17,573,787"
155,156,156,Kristoffer Broberg,1,3.18,"$52,963","$1,665,787"
156,157,157,Gaganjeet Bhullar,2,3.16,"$83,925","$2,660,000"
157,158,158,Mike Weir,25,3.12,"$854,413","$27,414,000"
158,T159,T159,Brad Fritsch,18,3.1,"$568,391","$18,360,000"
159,T159,T159,Justin Leonard,22,3.1,"$807,949","$26,037,787"
160,T159,T159,WC Liang,2,3.1,"$93,500","$3,020,000"
161,T162,T162,Jhonattan Vegas,23,3.08,"$751,762","$24,390,000"
162,T162,T162,Tim Wilkinson,25,3.08,"$824,179","$26,784,000"
163,164,164,Daniel Popovic,1,3.06,"$42,875","$1,400,000"
164,165,165,Hideto Tanihara,3,3.05,"$119,000","$3,906,000"
165,166,166,Brendon de Jonge,31,3.03,"$1,171,395","$38,655,787"
166,T167,T167,Stewart Cink,25,3.02,"$929,165","$30,735,787"
167,T167,T167,Fabrizio Zanotti,2,3.02,"$100,575","$3,330,000"
168,169,169,José María Olazábal,1,3.0,"$48,600","$1,620,000"
169,170,170,John Huh,28,2.98,"$974,042","$32,706,000"
170,171,171,Bryce Molder,25,2.97,"$828,605","$27,900,000"
171,172,172,Raphael Jacquelin,1,2.95,"$41,250","$1,400,000"
172,173,173,Jin Jeong,3,2.94,"$135,250","$4,595,787"
173,174,174,Mu Hu,1,2.91,"$40,750","$1,400,000"
174,175,175,Scott Piercy,12,2.9,"$411,634","$14,216,000"
175,176,176,Mingjie Huang,1,2.88,"$40,250","$1,400,000"
176,177,177,Nick Watney,25,2.86,"$913,397","$31,937,787"
177,178,178,Gonzalo Fernandez-Castaño,25,2.85,"$926,492","$32,549,787"
178,179,179,Luke Guthrie,26,2.83,"$840,555","$29,736,000"
179,T180,T180,Retief Goosen,26,2.81,"$826,072","$29,448,000"
180,T180,T180,Daisuke Maruyama,1,2.81,"$43,000","$1,530,000"
