,Top_10_Finishes_RANK THIS WEEK,Top_10_Finishes_RANK LAST WEEK,Top_10_Finishes_PLAYER NAME,Top_10_Finishes_EVENTS,Top_10_Finishes_TOP 10,Top_10_Finishes_1ST,Top_10_Finishes_2ND,Top_10_Finishes_3RD
0,1,1,Rory McIlroy,17,12,3.0,2.0,
1,T2,T2,Jim Furyk,21,11,,4.0,
2,T2,T2,Matt Kuchar,24,11,1.0,1.0,
3,T4,T4,Rickie Fowler,26,10,,2.0,2.0
4,T4,T4,Sergio Garcia,16,10,,3.0,2.0
5,T4,T4,Adam Scott,17,10,1.0,,1.0
6,T4,T4,Jimmy Walker,27,10,3.0,,
7,8,8,Webb Simpson,25,9,1.0,,3.0
8,T9,T9,Graeme McDowell,17,8,,,1.0
9,T9,T9,Ryan Palmer,23,8,,2.0,
10,T9,T9,Justin Rose,19,8,1.0,,
11,T9,T9,Jordan Spieth,27,8,,2.0,
12,T9,T9,Bubba Watson,21,8,2.0,3.0,1.0
13,T14,T14,Graham DeLaet,24,7,,2.0,
14,T14,T14,Harris English,28,7,1.0,,
15,T14,T14,Dustin Johnson,17,7,1.0,2.0,
16,T14,T14,Ryan Moore,24,7,1.0,,
17,T14,T14,Brendon Todd,29,7,1.0,,
18,T19,T19,Keegan Bradley,26,6,,1.0,
19,T19,T19,Jason Day,15,6,1.0,2.0,
20,T19,T19,Matt Every,26,6,1.0,,1.0
21,T19,T19,Brian Harman,32,6,1.0,,1.0
22,T19,T19,Charles Howell III,29,6,,,1.0
23,T19,T19,Marc Leishman,24,6,,1.0,2.0
24,T19,T19,Hunter Mahan,25,6,1.0,,
25,T19,T19,Kevin Na,27,6,,2.0,1.0
26,T27,T27,Bill Haas,28,5,,1.0,
27,T27,T27,Charley Hoffman,25,5,,,1.0
28,T27,T27,Billy Horschel,27,5,2.0,1.0,
29,T27,T27,Zach Johnson,26,5,1.0,1.0,1.0
30,T27,T27,Chris Kirk,28,5,2.0,1.0,
31,T27,T27,Will MacKenzie,27,5,,1.0,
32,T27,T27,Charl Schwartzel,18,5,,,
