,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
0,1,1,Rory McIlroy,17,5.91,"$8,280,095","$140,200,000"
1,2,2,Bubba Watson,21,3.82,"$6,336,975","$165,800,000"
2,3,3,Sergio Garcia,16,3.73,"$4,939,605","$132,300,000"
3,4,4,Jim Furyk,21,3.69,"$5,987,394","$162,400,000"
4,5,5,Dustin Johnson,17,3.36,"$4,249,178","$126,300,000"
5,6,6,Jason Day,15,3.19,"$3,789,572","$118,800,000"
6,7,7,Adam Scott,17,3.07,"$4,098,586","$133,300,000"
7,8,8,Martin Kaymer,19,2.96,"$4,532,535","$152,900,000"
8,9,9,Jimmy Walker,27,2.85,"$5,787,013","$202,700,000"
9,10,10,Matt Kuchar,24,2.68,"$4,695,512","$175,200,000"
10,11,11,Bernhard Langer,1,2.6,"$234,000","$9,000,000"
11,12,12,Justin Rose,19,2.59,"$3,926,767","$151,700,000"
12,13,13,Billy Horschel,27,2.45,"$4,814,786","$196,200,000"
13,14,14,Rickie Fowler,26,2.44,"$4,806,116","$197,100,000"
14,15,15,Chris Kirk,28,2.38,"$4,854,775","$203,900,000"
15,16,16,Jordan Spieth,27,2.17,"$4,342,746","$200,200,000"
16,17,17,Victor Dubuisson,10,2.03,"$1,693,485","$83,600,000"
17,18,18,Patrick Reed,28,1.98,"$4,026,074","$203,500,000"
18,19,19,Webb Simpson,25,1.91,"$3,539,598","$185,100,000"
19,T20,T20,Zach Johnson,26,1.78,"$3,353,415","$188,900,000"
20,T20,T20,Ryan Palmer,23,1.78,"$2,924,297","$164,300,000"
21,22,22,Austin Cook,1,1.77,"$102,466","$5,800,000"
22,T23,T23,Ryan Moore,24,1.71,"$3,098,261","$181,400,000"
23,T23,T23,Brendon Todd,29,1.71,"$3,396,742","$198,100,000"
24,25,25,Kevin Na,27,1.69,"$3,153,105","$187,100,000"
25,26,26,Hunter Mahan,25,1.65,"$3,097,980","$188,100,000"
26,27,27,Hideki Matsuyama,24,1.56,"$2,837,476","$182,300,000"
27,28,28,Graeme McDowell,17,1.54,"$2,077,386","$134,800,000"
