,Total_Money_Official_and_Unofficial_RANK THIS WEEK,Total_Money_Official_and_Unofficial_RANK LAST WEEK,Total_Money_Official_and_Unofficial_PLAYER NAME,Total_Money_Official_and_Unofficial_EVENTS,Total_Money_Official_and_Unofficial_MONEY
0,1,1,Rory McIlroy,19,"$8,395,096"
1,2,2,Bubba Watson,23,"$6,549,478"
2,3,3,Jim Furyk,23,"$6,122,395"
3,4,4,Jimmy Walker,29,"$5,887,016"
4,5,5,Matt Kuchar,29,"$5,685,515"
5,6,6,Jason Day,18,"$5,188,741"
6,7,7,Adam Scott,19,"$5,188,588"
7,8,8,Billy Horschel,30,"$5,061,453"
8,9,9,Sergio Garcia,17,"$4,939,606"
9,10,10,Chris Kirk,28,"$4,854,777"
10,11,11,Rickie Fowler,27,"$4,806,117"
11,12,12,Martin Kaymer,20,"$4,532,537"
12,13,13,Jordan Spieth,29,"$4,448,248"
13,14,14,Dustin Johnson,19,"$4,424,180"
14,15,15,Zach Johnson,29,"$4,405,917"
15,16,16,Justin Rose,21,"$4,226,768"
16,17,17,Patrick Reed,29,"$4,026,076"
17,18,18,Webb Simpson,27,"$3,689,601"
18,19,19,Harris English,30,"$3,412,322"
19,20,20,Brendon Todd,29,"$3,396,747"
20,21,21,Hunter Mahan,28,"$3,268,816"
21,22,22,Kevin Na,27,"$3,153,107"
22,23,23,Ryan Moore,24,"$3,098,263"
23,24,24,Bill Haas,30,"$3,024,854"
24,25,25,Keegan Bradley,28,"$2,937,138"
25,26,26,Ryan Palmer,23,"$2,924,300"
26,27,27,John Senden,27,"$2,856,685"
27,28,28,Hideki Matsuyama,24,"$2,837,477"
28,29,29,Gary Woodland,25,"$2,734,153"
29,30,30,Graham DeLaet,25,"$2,696,518"
30,31,31,Russell Henley,30,"$2,670,493"
31,32,32,Marc Leishman,24,"$2,558,657"
32,33,33,Matt Every,26,"$2,540,370"
33,34,34,Brian Harman,32,"$2,414,334"
34,35,35,J.B. Holmes,24,"$2,365,204"
35,36,36,Graeme McDowell,20,"$2,322,387"
36,37,37,Kevin Streelman,25,"$2,305,494"
37,38,38,Kevin Stadler,26,"$2,300,307"
38,39,39,Cameron Tringale,31,"$2,169,723"
39,40,40,Phil Mickelson,22,"$2,158,019"
40,41,41,Jason Dufner,21,"$2,145,824"
41,42,42,Freddie Jacobson,28,"$2,144,289"
42,43,43,Seung-Yul Noh,27,"$2,115,234"
43,44,44,Charles Howell III,30,"$2,082,044"
44,45,45,Tim Clark,26,"$2,066,344"
45,46,46,George McNeill,24,"$2,014,357"
