,Victory_Leaders_RANK THIS WEEK,Victory_Leaders_RANK LAST WEEK,Victory_Leaders_PLAYER NAME,Victory_Leaders_EVENTS,Victory_Leaders_VICTORIES
0,T1,T1,Rory McIlroy,17,3.0
1,T1,T1,Jimmy Walker,27,3.0
2,T3,T3,Billy Horschel,27,2.0
3,T3,T3,Martin Kaymer,19,2.0
4,T3,T3,Chris Kirk,28,2.0
5,T3,T3,Patrick Reed,28,2.0
6,T3,T3,Bubba Watson,21,2.0
7,T8,T8,Steven Bowditch,30,1.0
8,T8,T8,Ángel Cabrera,23,1.0
9,T8,T8,Tim Clark,26,1.0
10,T8,T8,Ben Crane,25,1.0
11,T8,T8,Jason Day,15,1.0
12,T8,T8,Harris English,28,1.0
13,T8,T8,Matt Every,26,1.0
14,T8,T8,Chesson Hadley,29,1.0
15,T8,T8,Brian Harman,32,1.0
16,T8,T8,Russell Henley,29,1.0
17,T8,T8,J.B. Holmes,24,1.0
18,T8,T8,Zach Johnson,26,1.0
19,T8,T8,Dustin Johnson,17,1.0
20,T8,T8,Matt Jones,25,1.0
21,T8,T8,Matt Kuchar,24,1.0
22,T8,T8,Hunter Mahan,25,1.0
23,T8,T8,Hideki Matsuyama,24,1.0
24,T8,T8,Ryan Moore,24,1.0
25,T8,T8,Seung-Yul Noh,27,1.0
26,T8,T8,Geoff Ogilvy,26,1.0
27,T8,T8,Justin Rose,19,1.0
28,T8,T8,Adam Scott,17,1.0
29,T8,T8,John Senden,27,1.0
30,T8,T8,Webb Simpson,25,1.0
31,T8,T8,Kevin Stadler,26,1.0
32,T8,T8,Scott Stallings,28,1.0
33,T8,T8,Kevin Streelman,24,1.0
34,T8,T8,Brendon Todd,29,1.0
35,T8,T8,Camilo Villegas,29,1.0
36,T37,T37,Blake Adams,8,
37,T37,T37,Brian Agee,1,
38,T37,T37,Felipe Aguilar,0,
39,T37,T37,Thomas Aiken,3,
40,T37,T37,Neal Ajubita,1,
41,T37,T37,Steven Alker,1,
42,T37,T37,Robert Allenby,29,
43,T37,T37,Jason Allred,9,
44,T37,T37,Benjamín Alvarado,6,
