,Driving_Distance_RANK THIS WEEK,Driving_Distance_RANK LAST WEEK,Driving_Distance_PLAYER NAME,Driving_Distance_ROUNDS,Driving_Distance_AVG.,Driving_Distance_TOTAL DISTANCE,Driving_Distance_TOTAL DRIVES
0,1,,Rory McIlroy,51,316.7,26600,84
1,2,,Dustin Johnson,77,314.4,40241,128
2,3,,Brandon Hagy,85,312.7,48162,154
3,4,,Luke List,102,311.5,61046,196
4,5,,Andrew Loupe,55,311.3,32371,104
5,T6,,Ryan Brehm,83,310.5,45340,146
6,T6,,Brooks Koepka,88,310.5,44717,144
7,8,,Justin Thomas,86,309.3,41451,134
8,T9,,Tony Finau,106,309.2,61842,200
9,T9,,Kevin Tway,96,309.2,54421,176
10,11,,Trey Mullinax,88,308.8,48176,156
11,12,,Grayson Murray,94,308.2,55483,180
12,13,,Gary Woodland,94,306.9,47268,154
13,14,,J.B. Holmes,83,306.4,41674,136
14,T15,,Jason Day,71,306.3,39203,128
15,T15,,Patrick Rodgers,76,306.3,42884,140
16,T15,,Xander Schauffele,96,306.3,53916,176
17,18,,Adam Scott,58,306.1,29390,96
18,19,,Jon Rahm,90,305.8,49536,162
19,20,,Jason Kokrak,95,305.7,53184,174
20,21,,Bubba Watson,71,305.6,34840,114
21,22,,Hudson Swafford,94,305.1,52477,172
22,23,,Smylie Kaufman,76,304.8,40842,134
23,24,,Kevin Chappell,95,304.7,47539,156
24,25,,Jamie Lovemark,98,304.5,53596,176
25,26,,Ryan Palmer,61,303.1,30917,102
26,27,,Hideki Matsuyama,83,302.9,38776,128
27,28,,Matt Jones,64,302.6,33891,112
28,29,,Harold Varner III,101,302.4,57462,190
29,30,,Tag Ridings,67,301.6,35583,118
30,31,,Harris English,84,301.2,43379,144
31,32,,Graham DeLaet,82,301.1,45769,152
32,T33,,Sergio Garcia,65,300.9,30093,100
33,T33,,Nick Watney,75,300.9,41521,138
34,35,,Jhonattan Vegas,95,300.8,48126,160
35,T36,,Robert Garrigus,78,300.7,43307,144
36,T36,,Ollie Schniederjans,92,300.7,52321,174
37,38,,Martin Flores,88,300.6,48705,162
38,39,,Rickie Fowler,78,300.5,40863,136
39,40,,Justin Rose,66,300.4,37254,124
40,T41,,Byeong Hun An,77,299.9,37193,124
41,T41,,Brendan Steele,89,299.9,45580,152
42,43,,Billy Horschel,88,299.5,50323,168
43,44,,Keegan Bradley,104,299.4,56296,188
44,45,,Andres Gonzales,73,299.2,41289,138
45,46,,Bryson DeChambeau,91,299.1,52050,174
46,47,,Patrick Cantlay,52,298.9,28699,96
47,48,,Seung-Yul Noh,91,298.5,51943,174
48,49,,Charl Schwartzel,63,298.4,32224,108
49,50,,Charley Hoffman,112,298.3,62053,208
50,T51,,Lucas Glover,93,298.1,52463,176
51,T51,,Marc Leishman,94,298.1,48882,164
52,T51,,Seamus Power,86,298.1,47702,160
53,54,,Rick Lamb,54,298.0,29798,100
54,55,,Matt Every,76,297.7,41672,140
55,T56,,Russell Henley,99,297.6,55357,186
56,T56,,Scott Stallings,81,297.6,45832,154
57,T58,,Cody Gribble,79,297.2,45770,154
58,T58,,Sean O'Hair,84,297.2,46361,156
59,T60,,Paul Casey,94,297.0,46325,156
60,T60,,Anirban Lahiri,72,297.0,40391,136
61,62,,Charles Howell III,86,296.9,46318,156
62,T63,,Daniel Berger,91,296.5,45063,152
63,T63,,Kyle Stanley,104,296.5,59304,200
64,65,,Sung Kang,104,296.4,58094,196
65,66,,Martin Laird,83,296.1,46784,158
66,T67,,Brian Campbell,55,296.0,30188,102
67,T67,,Bud Cauley,92,296.0,50910,172
68,T67,,Sebastián Muñoz,51,296.0,29004,98
69,70,,Stewart Cink,93,295.8,52659,178
70,71,,Jimmy Walker,68,295.7,34894,118
71,72,,Patrick Reed,107,295.3,51971,176
72,73,,Louis Oosthuizen,69,295.2,31879,108
73,T74,,Shane Lowry,52,295.1,24200,82
74,T74,,Scott Piercy,70,295.1,33637,114
75,76,,Jordan Spieth,85,295.0,43660,148
76,77,,J.T. Poston,95,294.8,50117,170
77,T78,,Jason Dufner,89,294.5,47113,160
78,T78,,Hunter Mahan,73,294.5,41814,142
79,80,,Dominic Bozzelli,69,294.4,38278,130
80,T81,,Mackenzie Hughes,106,294.3,61211,208
81,T81,,Robert Streb,98,294.3,52980,180
82,83,,J.J. Henry,92,294.1,50585,172
83,T84,,Shawn Stefani,72,294.0,39985,136
84,T84,,Kevin Streelman,90,294.0,51736,176
85,T86,,James Hahn,96,293.9,54083,184
86,T86,,Morgan Hoffmann,92,293.9,51728,176
87,88,,Sam Saunders,76,293.6,41097,140
88,T89,,Julián Etulain,68,293.5,36978,126
89,T89,,Phil Mickelson,85,293.5,46956,160
90,T91,,Emiliano Grillo,90,293.0,45127,154
91,T91,,Patton Kizzire,84,293.0,44531,152
92,T93,,Aaron Baddeley,61,292.6,31014,106
93,T93,,Cameron Smith,86,292.6,47989,164
94,T95,,Jim Herman,77,292.5,41536,142
95,T95,,Cameron Percy,71,292.5,38027,130
96,97,,Bill Haas,92,292.3,45019,154
97,98,,Gonzalo Fernandez-Castaño,63,292.1,32720,112
98,T99,,Kelly Kraft,75,291.9,41453,142
99,T99,,Francesco Molinari,75,291.9,38535,132
100,101,,Retief Goosen,52,291.8,26843,92
101,102,,Ben Martin,86,291.7,46087,158
102,T103,,Rory Sabbatini,71,291.6,37911,130
103,T103,,Nick Taylor,97,291.6,55408,190
104,105,,J.J. Spaun,92,291.5,50146,172
105,T106,,Blayne Barber,77,291.2,41355,142
106,T106,,Richy Werenski,81,291.2,43102,148
107,108,,Danny Lee,93,291.1,49486,170
108,109,,Rafa Cabrera Bello,63,291.0,27934,96
109,110,,Adam Hadwin,98,290.7,52331,180
110,T111,,Branden Grace,70,290.6,29644,102
111,T111,,Pat Perez,93,290.6,48828,168
112,113,,Boo Weekley,75,289.9,42332,146
113,T114,,David Lingmerth,79,289.8,38828,134
114,T114,,Troy Merritt,82,289.8,42887,148
115,T116,,Brian Harman,104,289.6,53280,184
116,T116,,Michael Kim,94,289.6,52130,180
117,118,,Whee Kim,74,289.4,39354,136
118,119,,Scott Brown,95,289.0,52591,182
119,T120,,Jonas Blixt,74,288.8,40435,140
120,T120,,Ryo Ishikawa,56,288.8,30035,104
121,T122,,Kevin Kisner,105,288.7,49657,172
122,T122,,Brett Stegmaier,78,288.7,41573,144
123,T122,,Camilo Villegas,76,288.7,41579,144
124,125,,Si Woo Kim,80,288.4,36337,126
125,126,,Brad Fritsch,56,288.3,29988,104
126,T127,,Miguel Angel Carballo,63,288.1,32849,114
127,T127,,Johnson Wagner,71,288.1,36299,126
128,T129,,Russell Knox,75,288.0,34561,120
129,T129,,Ryan Moore,82,288.0,40894,142
130,131,,Rod Pampling,71,287.8,40864,142
131,132,,Steven Bowditch,59,287.3,31608,110
132,T133,,Jonathan Randolph,68,287.2,33887,118
133,T133,,Tyrone Van Aswegen,105,287.2,53412,186
134,T135,,John Huh,92,287.1,48229,168
135,T135,,Nicholas Lindheim,58,287.1,32151,112
136,T135,,C.T. Pan,88,287.1,48230,168
137,138,,Chris Kirk,89,287.0,47637,166
138,139,,Daniel Summerhays,100,286.9,49340,172
139,T140,,Zach Johnson,81,286.8,41872,146
140,T140,,Chris Stroud,67,286.8,33847,118
141,T142,,Derek Fathauer,81,286.5,40684,142
142,T142,,Geoff Ogilvy,80,286.5,41261,144
143,144,,Brett Drewitt,57,286.4,30356,106
144,145,,Webb Simpson,102,286.2,54381,190
145,146,,Kyle Reifers,96,286.1,48062,168
146,147,,Chad Campbell,97,285.6,53121,186
147,T148,,Fabián Gómez,61,285.1,33638,118
148,T148,,Tom Hoge,54,285.1,26226,92
149,T148,,Matt Kuchar,95,285.1,47892,168
150,151,,Ricky Barnes,100,284.9,50148,176
151,T152,,William McGirt,89,284.8,44995,158
152,T152,,Chez Reavie,98,284.8,49553,174
153,T152,,Michael Thompson,60,284.8,31903,112
154,155,,Ryan Blaum,100,284.1,54539,192
155,156,,Mark Anderson,54,283.8,29512,104
156,T157,,Ernie Els,52,283.6,24960,88
157,T157,,Kevin Na,86,283.6,39703,140
158,159,,Ian Poulter,72,283.5,36282,128
159,160,,Mark Hubbard,81,282.7,39581,140
160,161,,Vaughn Taylor,90,282.4,47446,168
161,162,,Peter Malnati,91,282.3,45737,162
162,163,,K.J. Choi,72,282.2,34993,124
163,164,,Alex Cejka,85,282.1,41184,146
164,165,,Chad Collins,66,281.4,34898,124
165,166,,David Hearn,93,281.0,45517,162
166,167,,Cameron Tringale,89,280.9,44390,158
167,168,,Brandt Snedeker,53,280.8,25829,92
168,169,,Steve Wheatcroft,51,280.5,26370,94
169,T170,,Roberto Castro,70,280.2,34749,124
170,T170,,Carl Pettersson,63,280.2,33066,118
171,172,,Wesley Bryan,95,279.6,49775,178
172,173,,Tim Wilkinson,64,279.5,32427,116
173,T174,,Spencer Levin,89,279.0,45191,162
174,T174,,Graeme McDowell,56,279.0,30128,108
175,176,,Ryan Armour,63,278.8,32898,118
176,177,,Brian Gay,82,278.7,43483,156
177,T178,,Ben Crane,86,278.5,44000,158
178,T178,,Luke Donald,50,278.5,26732,96
179,180,,D.A. Points,68,278.1,37816,136
180,181,,Greg Chalmers,75,278.0,39470,142
181,182,,Bryce Molder,74,277.0,40994,148
182,T183,,Steven Alker,69,276.9,34884,126
183,T183,,Billy Hurley III,80,276.9,42083,152
