,Distance_from_Edge_of_Fairway_RANK THIS WEEK,Distance_from_Edge_of_Fairway_RANK LAST WEEK,Distance_from_Edge_of_Fairway_PLAYER NAME,Distance_from_Edge_of_Fairway_EVENTS,Distance_from_Edge_of_Fairway_AVG,Distance_from_Edge_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Edge_of_Fairway_TOTAL STROKES
0,1,,Boo Weekley,27,"18' 1""",4124.583,228
1,2,,Chez Reavie,28,"18' 5""",5683.1669999999995,308
2,3,,Jim Herman,25,"18' 10""",5030.167,267
3,4,,Ryan Moore,24,"19' 5""",5193.5,268
4,5,,Søren Kjeldsen,17,"19' 6""",2871.667,147
5,6,,Alex Cejka,28,"19' 8""",5366.25,273
6,7,,Ken Duke,26,"19' 10""",5233.667,264
7,8,,Zac Blair,32,"20' 0""",6892.5,345
8,9,,Graeme McDowell,17,"20' 3""",4007.667,198
9,10,,Emiliano Grillo,25,"20' 9""",6105.0,294
10,11,,Kevin Kisner,28,"20' 11""",6694.5830000000005,320
11,T12,,Francesco Molinari,21,"21' 0""",4832.167,230
12,T12,,Brian Stuard,31,"21' 0""",5815.75,277
13,14,,Ryan Armour,20,"21' 1""",3839.25,182
14,T15,,Jim Furyk,18,"21' 4""",3471.417,163
15,T15,,Lucas Glover,26,"21' 4""",8051.75,377
16,17,,Vaughn Taylor,26,"21' 7""",6919.0830000000005,321
17,T18,,K.J. Choi,25,"21' 8""",5340.0,246
18,T18,,Tim Wilkinson,22,"21' 8""",4480.0,207
19,20,,Zach Johnson,23,"22' 1""",6209.4169999999995,281
20,21,,Kyle Stanley,29,"22' 2""",8494.083,383
21,22,,Webb Simpson,28,"22' 3""",8024.0830000000005,360
22,23,,Ben Crane,26,"22' 6""",6924.0,308
23,T24,,Brian Harman,30,"22' 8""",9607.417,424
24,T24,,C.T. Pan,29,"22' 8""",8046.0830000000005,355
25,T24,,Brandt Snedeker,15,"22' 8""",4077.333,180
26,T27,,Matt Kuchar,26,"22' 10""",7402.25,324
27,T27,,Spencer Levin,31,"22' 10""",6510.9169999999995,285
28,T29,,Russell Knox,24,"23' 0""",5296.1669999999995,230
29,T29,,Kevin Streelman,26,"23' 0""",7990.0,347
30,T31,,Chad Campbell,29,"23' 1""",8963.25,388
31,T31,,Roberto Castro,25,"23' 1""",5589.3330000000005,242
32,T31,,William McGirt,28,"23' 1""",6285.5,272
33,T31,,Rod Pampling,22,"23' 1""",8159.0830000000005,353
34,T31,,Kyle Reifers,32,"23' 1""",7847.75,340
35,T36,,Graham DeLaet,25,"23' 2""",7820.4169999999995,337
36,T36,,Steve Wheatcroft,17,"23' 2""",4071.917,176
37,38,,Peter Malnati,29,"23' 3""",8377.167,360
38,T39,,D.A. Points,22,"23' 4""",6200.75,266
39,T39,,Jonathan Randolph,22,"23' 4""",5508.1669999999995,236
40,41,,Scott Brown,29,"23' 5""",8816.5,376
41,42,,Russell Henley,27,"23' 9""",9371.0,394
42,43,,Ian Poulter,20,"23' 10""",6638.25,279
43,T44,,Fabián Gómez,21,"24' 1""",6338.6669999999995,263
44,T44,,David Hearn,29,"24' 1""",7978.1669999999995,331
45,T46,,Sergio Garcia,17,"24' 2""",5126.417,212
46,T46,,Jordan Spieth,23,"24' 2""",7865.3330000000005,326
47,T48,,Jason Dufner,24,"24' 3""",8160.5830000000005,336
48,T48,,Louis Oosthuizen,18,"24' 3""",5818.5,240
49,50,,Paul Casey,24,"24' 5""",7802.0830000000005,320
50,T51,,Anirban Lahiri,22,"24' 7""",7786.5830000000005,317
51,T51,,Ben Martin,27,"24' 7""",8396.25,342
52,T51,,Pat Perez,26,"24' 7""",8983.5,365
53,T51,,Brendan Steele,25,"24' 7""",7870.3330000000005,320
54,T51,,Johnson Wagner,26,"24' 7""",6671.4169999999995,271
55,T56,,Brian Gay,25,"24' 8""",7884.0,320
56,T56,,John Huh,28,"24' 8""",9182.333,372
57,T58,,Jason Bohn,28,"24' 10""",7685.0830000000005,309
58,T58,,Adam Hadwin,28,"24' 10""",9102.083,366
59,T60,,Rick Lamb,19,"24' 11""",4564.25,183
60,T60,,Rory McIlroy,14,"24' 11""",4382.917,176
61,T60,,Daniel Summerhays,29,"24' 11""",9735.833,391
62,63,,Steven Alker,23,"25' 1""",5872.5830000000005,234
63,T64,,Byeong Hun An,22,"25' 2""",7197.5,286
64,T64,,Keegan Bradley,29,"25' 2""",9737.167,387
65,T64,,Greg Chalmers,28,"25' 2""",9292.833,369
66,T64,,David Lingmerth,23,"25' 2""",7900.25,314
67,68,,Rickie Fowler,21,"25' 3""",6481.8330000000005,257
68,T69,,Daniel Berger,26,"25' 5""",8796.75,346
69,T69,,Jon Rahm,23,"25' 5""",8448.667,332
70,71,,Chris Stroud,22,"25' 7""",5781.75,226
71,72,,Richy Werenski,26,"25' 9""",7178.0,279
72,T73,,Mackenzie Hughes,31,"25' 10""",13169.583,509
73,T73,,Shane Lowry,16,"25' 10""",3849.083,149
