,Hit_Fairway_Percentage_RANK THIS WEEK,Hit_Fairway_Percentage_RANK LAST WEEK,Hit_Fairway_Percentage_PLAYER NAME,Hit_Fairway_Percentage_ROUNDS,Hit_Fairway_Percentage_%,Hit_Fairway_Percentage_FAIRWAYS HIT,Hit_Fairway_Percentage_POSSIBLE FAIRWAYS,Hit_Fairway_Percentage_RELATIVE TO PAR
0,1,,Ryan Armour,63,72.7,498,685,-0.11
1,2,,Boo Weekley,75,71.71,611,852,-0.11
2,3,,Chez Reavie,98,70.88,779,1099,-0.13
3,4,,William McGirt,89,69.95,668,955,-0.14
4,5,,Jim Furyk,54,69.86,387,554,-0.16
5,6,,Graeme McDowell,56,69.42,463,667,-0.13
6,7,,Kyle Stanley,104,69.31,908,1310,-0.18
7,8,,Brian Stuard,93,69.05,647,937,-0.09
8,T9,,Francesco Molinari,75,68.72,547,796,-0.23
9,T9,,Ryan Moore,82,68.72,624,908,-0.14
10,11,,Zac Blair,105,68.7,777,1131,-0.08
11,12,,Vaughn Taylor,90,68.2,727,1066,-0.12
12,13,,Steve Wheatcroft,51,68.11,378,555,-0.11
13,14,,Jim Herman,77,68.04,628,923,-0.12
14,15,,Ken Duke,77,67.98,569,837,-0.08
15,16,,Spencer Levin,89,67.59,632,935,-0.11
16,17,,Kevin Kisner,105,67.55,689,1020,-0.17
17,18,,Søren Kjeldsen,58,67.16,317,472,-0.12
18,19,,Russell Knox,75,67.13,488,727,-0.15
19,20,,Zach Johnson,81,67.08,599,893,-0.16
20,21,,Shane Lowry,52,67.02,317,473,-0.18
21,22,,Ben Crane,86,66.81,640,958,-0.13
22,23,,Webb Simpson,102,66.52,741,1114,-0.18
23,24,,Alex Cejka,85,66.47,573,862,-0.09
24,25,,Matt Kuchar,95,66.4,672,1012,-0.18
25,26,,Steven Alker,69,66.29,472,712,-0.12
26,27,,Chad Campbell,97,66.07,781,1182,-0.16
27,28,,Keegan Bradley,104,65.81,797,1211,-0.2
28,29,,David Hearn,93,65.69,649,988,-0.13
29,T30,,K.J. Choi,72,65.56,493,752,-0.07
