,SG_Tee-to-Green_RANK THIS WEEK,SG_Tee-to-Green_RANK LAST WEEK,SG_Tee-to-Green_PLAYER NAME,SG_Tee-to-Green_ROUNDS,SG_Tee-to-Green_AVERAGE,SG_Tee-to-Green_SG:OTT,SG_Tee-to-Green_SG:APR,SG_Tee-to-Green_SG:ARG,SG_Tee-to-Green_MEASURED ROUNDS
0,1,,Dustin Johnson,77,1.8719999999999999,1.037,0.727,0.10800000000000001,57
1,2,,Jordan Spieth,85,1.649,0.293,0.963,0.39299999999999996,64
2,3,,Jon Rahm,90,1.588,0.965,0.551,0.07200000000000001,64
3,4,,Hideki Matsuyama,83,1.469,0.488,0.6920000000000001,0.289,55
4,5,,Francesco Molinari,75,1.436,0.493,0.8220000000000001,0.121,57
5,6,,Justin Thomas,86,1.4169999999999998,0.424,0.7240000000000001,0.268,61
6,7,,Paul Casey,94,1.399,0.36700000000000005,0.875,0.157,67
7,8,,Rory McIlroy,51,1.3630000000000002,0.93,0.307,0.126,34
8,T9,,Sergio Garcia,65,1.331,0.8079999999999999,0.312,0.21100000000000002,42
9,T9,,Justin Rose,66,1.331,0.5820000000000001,0.358,0.391,51
10,11,,Tony Finau,106,1.28,0.826,0.39,0.065,91
11,12,,Kyle Stanley,104,1.2590000000000001,0.659,0.562,0.038,94
12,13,,Luke List,102,1.117,0.6,0.44299999999999995,0.07400000000000001,86
13,14,,Patrick Cantlay,52,1.111,0.623,0.467,0.021,46
14,15,,Marc Leishman,94,1.071,0.32,0.42200000000000004,0.33,69
15,16,,Rickie Fowler,78,1.062,0.406,0.374,0.282,59
16,17,,Gary Woodland,94,1.051,0.43799999999999994,0.575,0.038,64
17,18,,Adam Scott,58,1.01,0.517,0.47600000000000003,0.018000000000000002,40
18,19,,Byeong Hun An,77,1.0090000000000001,0.53,0.42100000000000004,0.057999999999999996,55
19,20,,Ryan Palmer,61,0.985,0.528,0.473,-0.015,47
20,21,,Lucas Glover,93,0.98,0.532,0.32,0.128,84
21,22,,Ian Poulter,72,0.9109999999999999,-0.162,0.573,0.501,55
22,23,,Brendan Steele,89,0.889,0.41600000000000004,0.389,0.084,67
23,24,,Webb Simpson,102,0.875,0.002,0.511,0.363,80
24,25,,Matt Kuchar,95,0.8420000000000001,0.22699999999999998,0.204,0.41100000000000003,73
25,26,,Charley Hoffman,112,0.8390000000000001,0.5820000000000001,0.282,-0.025,89
26,27,,Bud Cauley,92,0.835,0.27399999999999997,0.606,-0.045,80
27,28,,Daniel Berger,91,0.83,0.31,0.584,-0.063,67
28,29,,Kevin Chappell,95,0.82,0.41600000000000004,0.314,0.091,68
29,30,,Keegan Bradley,104,0.792,0.625,0.166,0.0,87
30,31,,Jason Day,71,0.765,0.345,0.084,0.336,53
31,32,,Bill Haas,92,0.759,-0.063,0.355,0.467,68
32,33,,Jamie Lovemark,98,0.746,0.3,0.171,0.275,76
33,34,,Louis Oosthuizen,69,0.74,0.309,0.16899999999999998,0.262,47
34,35,,Phil Mickelson,85,0.711,-0.057999999999999996,0.5529999999999999,0.21600000000000003,69
35,36,,Robert Garrigus,78,0.7090000000000001,0.42200000000000004,0.47700000000000004,-0.19,60
36,37,,Stewart Cink,93,0.706,-0.027999999999999997,0.774,-0.04,77
37,38,,Kevin Kisner,105,0.6940000000000001,0.27399999999999997,0.35700000000000004,0.063,73
38,39,,Chad Campbell,97,0.691,0.040999999999999995,0.506,0.14400000000000002,85
39,40,,Jason Dufner,89,0.682,0.263,0.556,-0.138,70
40,41,,J.B. Holmes,83,0.637,0.485,0.047,0.105,57
41,42,,Kevin Na,86,0.635,-0.359,0.675,0.319,62
42,43,,Boo Weekley,75,0.63,0.634,0.425,-0.429,61
43,44,,Emiliano Grillo,90,0.6,0.377,0.316,-0.092,64
44,45,,Martin Laird,83,0.59,0.214,0.22399999999999998,0.152,68
45,46,,Charl Schwartzel,63,0.583,-0.015,0.414,0.184,46
46,47,,Jason Kokrak,95,0.565,0.614,0.138,-0.187,79
47,48,,Jhonattan Vegas,95,0.555,0.37,0.175,0.01,69
48,49,,Shane Lowry,52,0.5429999999999999,0.61,0.214,-0.281,34
49,50,,Pat Perez,93,0.535,-0.127,0.19899999999999998,0.46299999999999997,71
50,51,,Harold Varner III,101,0.511,0.262,0.33,-0.081,86
51,52,,Russell Henley,99,0.499,0.318,0.17,0.012,82
52,53,,Jim Herman,77,0.495,0.42200000000000004,0.14300000000000002,-0.07,66
53,54,,Branden Grace,70,0.493,0.198,0.149,0.146,43
54,55,,Rory Sabbatini,71,0.48200000000000004,0.308,0.146,0.027999999999999997,53
55,56,,Graham DeLaet,82,0.47700000000000004,0.486,0.42700000000000005,-0.436,71
56,57,,Brandt Snedeker,53,0.46299999999999997,-0.264,0.375,0.353,38
57,T58,,Brooks Koepka,88,0.45,0.489,-0.055,0.015,63
58,T58,,Kevin Streelman,90,0.45,0.292,0.19699999999999998,-0.038,78
59,60,,Bryson DeChambeau,91,0.423,0.39799999999999996,0.02,0.005,71
60,61,,Cameron Smith,86,0.418,-0.13,0.149,0.39899999999999997,71
61,62,,Ollie Schniederjans,92,0.402,0.125,0.309,-0.032,81
62,63,,Xander Schauffele,96,0.382,0.5329999999999999,-0.07,-0.081,70
63,64,,Chez Reavie,98,0.371,0.163,0.32799999999999996,-0.121,79
64,65,,Seamus Power,86,0.364,-0.067,0.20199999999999999,0.22899999999999998,68
65,66,,Patrick Reed,107,0.35600000000000004,0.217,-0.045,0.184,80
66,67,,Nick Taylor,97,0.342,0.168,0.053,0.121,83
67,68,,Scott Stallings,81,0.33899999999999997,0.049,0.375,-0.084,68
68,69,,Sung Kang,104,0.325,0.255,0.251,-0.182,82
69,70,,Charles Howell III,86,0.32,0.016,0.223,0.081,68
70,T71,,Ryan Moore,82,0.319,-0.006,0.498,-0.17300000000000001,65
71,T71,,Hudson Swafford,94,0.319,0.45399999999999996,0.20199999999999999,-0.337,76
72,73,,Bubba Watson,71,0.287,0.659,-0.204,-0.168,51
73,74,,Nick Watney,75,0.284,-0.063,0.585,-0.23800000000000002,64
74,75,,Sean O'Hair,84,0.27,0.272,0.10400000000000001,-0.105,68
75,76,,Scott Piercy,70,0.267,0.19899999999999998,0.275,-0.207,47
76,77,,J.J. Henry,92,0.258,0.20800000000000002,0.05,0.0,75
77,78,,James Hahn,96,0.223,0.177,0.016,0.03,81
78,T79,,Russell Knox,75,0.20800000000000002,0.11800000000000001,0.184,-0.094,52
79,T79,,Ben Martin,86,0.20800000000000002,0.138,0.297,-0.22699999999999998,70
80,81,,Jimmy Walker,68,0.19699999999999998,-0.24600000000000002,0.522,-0.078,48
81,82,,Brandon Hagy,85,0.184,0.45899999999999996,-0.39299999999999996,0.11800000000000001,69
82,83,,J.T. Poston,95,0.17800000000000002,0.17300000000000001,0.063,-0.057999999999999996,71
83,84,,Kevin Tway,96,0.172,0.28800000000000003,-0.168,0.053,74
84,85,,Adam Hadwin,98,0.17,0.01,0.20199999999999999,-0.042,75
85,86,,Zach Johnson,81,0.16899999999999998,0.024,-0.066,0.21100000000000002,64
86,87,,Anirban Lahiri,72,0.149,0.23399999999999999,-0.14300000000000002,0.059000000000000004,59
87,88,,Grayson Murray,94,0.146,0.353,-0.032,-0.17600000000000002,85
88,89,,Chris Stroud,67,0.139,-0.094,0.17300000000000001,0.06,48
89,90,,Ryan Armour,63,0.136,0.02,0.121,-0.005,49
90,91,,Cameron Percy,71,0.12300000000000001,-0.019,0.266,-0.12300000000000001,55
91,92,,Matt Jones,64,0.10800000000000001,0.073,-0.46799999999999997,0.503,51
92,93,,Tyrone Van Aswegen,105,0.10300000000000001,-0.067,0.084,0.085,80
93,94,,Danny Lee,93,0.078,0.037000000000000005,0.304,-0.263,76
94,95,,Robert Streb,98,0.075,-0.159,-0.07200000000000001,0.305,84
95,96,,D.A. Points,68,0.071,-0.436,0.42100000000000004,0.087,58
96,97,,Retief Goosen,52,0.035,-0.001,0.009000000000000001,0.027000000000000003,41
97,98,,Michael Kim,94,0.017,-0.247,0.158,0.106,84
98,99,,Shawn Stefani,72,0.013999999999999999,0.01,-0.11900000000000001,0.122,60
99,100,,Brian Harman,104,0.013000000000000001,0.03,-0.31,0.293,82
100,101,,Andres Gonzales,73,-0.003,-0.10400000000000001,-0.08900000000000001,0.19,57
101,102,,John Huh,92,-0.026000000000000002,-0.049,-0.02,0.043,76
102,103,,Graeme McDowell,56,-0.027000000000000003,0.10800000000000001,-0.057,-0.078,48
103,104,,Billy Horschel,88,-0.027999999999999997,0.242,0.038,-0.308,78
104,105,,Ryan Brehm,83,-0.031,0.091,-0.033,-0.09,61
105,106,,Vaughn Taylor,90,-0.033,-0.001,0.135,-0.168,76
106,107,,Roberto Castro,70,-0.038,-0.222,0.105,0.079,52
107,108,,Smylie Kaufman,76,-0.04,0.091,-0.059000000000000004,-0.073,63
108,109,,David Hearn,93,-0.044000000000000004,-0.175,0.016,0.115,71
109,110,,J.J. Spaun,92,-0.045,0.316,-0.122,-0.24,72
110,T111,,William McGirt,89,-0.049,0.293,-0.17600000000000002,-0.166,68
111,T111,,Daniel Summerhays,100,-0.049,-0.008,-0.12300000000000001,0.083,78
112,113,,Seung-Yul Noh,91,-0.057999999999999996,-0.541,0.044000000000000004,0.439,75
113,T114,,C.T. Pan,88,-0.062,0.064,-0.09,-0.036000000000000004,74
114,T114,,Tim Wilkinson,64,-0.062,-0.289,-0.31,0.5379999999999999,46
115,T116,,Ben Crane,86,-0.068,-0.15,-0.024,0.105,69
116,T116,,Sam Saunders,76,-0.068,0.348,-0.136,-0.28,61
117,118,,Zac Blair,105,-0.078,-0.155,-0.141,0.218,81
118,119,,Alex Cejka,85,-0.09300000000000001,-0.02,-0.2,0.127,62
119,120,,David Lingmerth,79,-0.095,-0.044000000000000004,-0.044000000000000004,-0.006999999999999999,65
120,121,,Steven Alker,69,-0.10300000000000001,-0.289,-0.212,0.39799999999999996,51
121,122,,Jim Furyk,54,-0.11,-0.406,0.345,-0.05,40
122,123,,Troy Merritt,82,-0.11900000000000001,-0.11,-0.032,0.023,68
123,124,,Brad Fritsch,56,-0.122,-0.43200000000000005,0.235,0.075,42
124,125,,Wesley Bryan,95,-0.134,-0.816,0.46299999999999997,0.21899999999999997,75
125,T126,,Morgan Hoffmann,92,-0.138,0.165,-0.419,0.115,82
126,T126,,Trey Mullinax,88,-0.138,0.368,-0.3,-0.20600000000000002,66
127,128,,Kyle Reifers,96,-0.14300000000000002,-0.023,-0.337,0.218,74
128,129,,Chris Kirk,89,-0.155,-0.315,0.10099999999999999,0.059000000000000004,70
129,130,,Rod Pampling,71,-0.158,-0.11,-0.231,0.183,66
130,131,,Brian Gay,82,-0.168,-0.41700000000000004,-0.006,0.254,69
131,132,,Tag Ridings,67,-0.17300000000000001,0.295,-0.35600000000000004,-0.111,50
132,133,,Camilo Villegas,76,-0.182,-0.524,0.107,0.235,62
133,134,,Sebastián Muñoz,51,-0.188,0.031,-0.077,-0.14300000000000002,39
134,135,,Geoff Ogilvy,80,-0.195,-0.064,-0.327,0.196,67
135,136,,Aaron Baddeley,61,-0.21600000000000003,-0.782,0.256,0.31,46
136,137,,Richy Werenski,81,-0.223,0.203,-0.12300000000000001,-0.303,61
137,138,,Martin Flores,88,-0.257,-0.024,0.047,-0.28,67
138,139,,Billy Hurley III,80,-0.263,-0.812,0.43200000000000005,0.11699999999999999,69
139,140,,Cameron Tringale,89,-0.265,-0.75,0.08900000000000001,0.396,65
140,T141,,Ricky Barnes,100,-0.28600000000000003,-0.638,0.23800000000000002,0.114,77
141,T141,,Ryan Blaum,100,-0.28600000000000003,-0.198,-0.032,-0.057,82
