,Carry_Efficiency_RANK THIS WEEK,Carry_Efficiency_RANK LAST WEEK,Carry_Efficiency_PLAYER NAME,Carry_Efficiency_ROUNDS,Carry_Efficiency_AVG.,Carry_Efficiency_AVERAGE CARRY DIST. YARDS,Carry_Efficiency_AVERAGE CLUB HEAD SPEED,Carry_Efficiency_TOTAL ATTEMPTS,Carry_Efficiency_HIGHEST CARRY EFFICIENCY
0,1,,Jon Rahm,90,2.571,299.8,116.615,50,2.832
1,T2,,Derek Fathauer,81,2.54,281.1,110.68299999999999,47,2.733
2,T2,,Rory McIlroy,51,2.54,305.1,120.119,26,2.8110000000000004
3,4,,Shane Lowry,52,2.537,290.7,114.59700000000001,21,2.773
4,5,,Justin Thomas,86,2.536,296.8,117.02600000000001,47,2.8739999999999997
5,6,,Brett Stegmaier,78,2.535,280.7,110.719,50,2.7030000000000003
6,7,,Robert Garrigus,78,2.529,296.7,117.323,51,2.7739999999999996
7,8,,Tag Ridings,67,2.523,293.8,116.471,40,2.721
8,9,,Richy Werenski,81,2.521,279.2,110.71799999999999,52,2.718
9,10,,Nick Taylor,97,2.517,277.2,110.162,65,2.7560000000000002
10,11,,Alex Cejka,85,2.516,270.6,107.564,51,2.668
11,12,,Scott Piercy,70,2.515,283.1,112.566,42,2.786
12,13,,Keegan Bradley,104,2.513,290.8,115.714,69,2.7689999999999997
13,14,,Cameron Percy,71,2.512,278.2,110.77,45,2.7760000000000002
14,T15,,Ryan Blaum,100,2.51,274.0,109.16799999999999,65,2.702
15,T15,,Phil Mickelson,85,2.51,286.7,114.21799999999999,53,2.827
16,T17,,Sung Kang,104,2.509,289.3,115.31700000000001,60,2.7710000000000004
17,T17,,Smylie Kaufman,76,2.509,294.4,117.346,56,2.838
18,T17,,Anirban Lahiri,72,2.509,284.4,113.344,38,2.824
19,T20,,Ryan Palmer,61,2.5069999999999997,292.4,116.64299999999999,37,2.72
20,T20,,Jimmy Walker,68,2.5069999999999997,287.2,114.565,33,2.862
21,T22,,Danny Lee,93,2.506,282.6,112.765,57,2.685
22,T22,,Scott Stallings,81,2.506,288.2,115.027,50,2.748
23,24,,Trey Mullinax,88,2.505,301.2,120.236,60,2.718
24,25,,Rory Sabbatini,71,2.503,278.0,111.04299999999999,42,2.77
25,26,,Retief Goosen,52,2.501,281.7,112.67,34,2.714
26,T27,,Xander Schauffele,96,2.5,296.0,118.366,44,2.713
27,T27,,Vaughn Taylor,90,2.5,267.5,106.971,66,2.742
28,29,,Sam Saunders,76,2.499,281.3,112.57600000000001,55,2.7760000000000002
29,T30,,Morgan Hoffmann,92,2.498,280.5,112.26,70,2.7439999999999998
30,T30,,Seung-Yul Noh,91,2.498,291.3,116.583,63,2.721
31,32,,James Hahn,96,2.497,283.3,113.462,63,2.727
32,33,,C.T. Pan,88,2.495,274.3,109.91799999999999,64,2.74
33,T34,,Patrick Cantlay,52,2.494,283.9,113.859,31,2.665
34,T34,,Bud Cauley,92,2.494,281.2,112.777,63,2.7539999999999996
35,T34,,Troy Merritt,82,2.494,278.3,111.57799999999999,62,2.656
36,37,,Blayne Barber,77,2.4930000000000003,277.6,111.346,59,2.682
37,38,,Dominic Bozzelli,69,2.492,285.7,114.675,45,2.8110000000000004
38,39,,Luke List,102,2.489,300.4,120.663,65,2.7489999999999997
39,40,,Harris English,84,2.488,293.0,117.75200000000001,55,2.716
40,T41,,Michael Kim,94,2.484,276.2,111.185,69,2.7110000000000003
41,T41,,David Lingmerth,79,2.484,277.8,111.816,54,2.675
42,T41,,Sean O'Hair,84,2.484,285.5,114.941,47,2.6660000000000004
43,T44,,Rickie Fowler,78,2.483,285.7,115.098,50,2.7119999999999997
44,T44,,Kyle Stanley,104,2.483,279.9,112.74,79,2.728
