,Longest_Drives_RANK THIS WEEK,Longest_Drives_RANK LAST WEEK,Longest_Drives_PLAYER NAME,Longest_Drives_ROUNDS,Longest_Drives_DISTANCE,Longest_Drives_TOURNAMENT,Longest_Drives_ROUND,Longest_Drives_HOLE,Longest_Drives_COURSE
0,1,,Dustin Johnson,77,439,WGC-Bridgestone,1,16,36
1,2,,Adam Scott,58,435,WGC-Bridgestone,2,16,36
2,3,,Hudson Swafford,94,433,WGC-Bridgestone,1,16,36
3,4,,Scott Hend,22,424,WGC-Bridgestone,1,16,36
4,5,,Brooks Koepka,88,420,WGC-Bridgestone,4,16,36
5,6,,Ryan Brehm,83,415,Texas Open,3,11,770
6,7,,Gary Woodland,94,410,WGC-Bridgestone,4,16,36
7,T8,,J.B. Holmes,83,409,The Greenbrier,4,10,771
8,T8,,Justin Thomas,86,409,T of C,4,7,656
9,T10,,Wyndham Clark,12,408,Quicken Loans,2,2,237
10,T10,,Jimmy Walker,68,408,T of C,1,7,656
11,T12,,Tony Finau,106,406,T of C,4,12,656
12,T12,,Harold Varner III,101,406,WGC-Bridgestone,2,16,36
13,14,,Xander Schauffele,96,404,WGC-Bridgestone,1,16,36
14,T15,,Brandon Hagy,85,403,Byron Nelson,1,1,19
15,T15,,Rory McIlroy,51,403,NORTHERN TRUST,4,12,238
16,T15,,Patrick Reed,107,403,WGC-Bridgestone,2,16,36
17,T18,,Sergio Garcia,65,400,WGC-Mexico,3,10,240
18,T18,,Shaun Norris,8,400,WGC-Bridgestone,2,16,36
19,T18,,Bubba Watson,71,400,the Memorial,1,1,23
20,T21,,Rickie Fowler,78,398,WGC-Bridgestone,1,16,36
21,T21,,Cody Gribble,79,398,T of C,4,7,656
22,T21,,Charl Schwartzel,63,398,WGC-Mexico,3,9,240
23,T21,,Brendan Steele,89,398,T of C,4,7,656
24,T21,,Brian Stuard,93,398,T of C,4,17,656
25,T26,,Jason Day,71,397,T of C,4,12,656
26,T26,,Thorbjørn Olesen,20,397,WGC-Bridgestone,2,8,36
27,28,,Charley Hoffman,112,396,WGC-Bridgestone,1,16,36
28,29,,J.J. Spaun,92,395,John Deere,1,14,669
29,30,,Jon Rahm,90,393,WGC-Bridgestone,1,16,36
30,31,,Mackenzie Hughes,106,392,T of C,4,6,656
31,T32,,Thomas Pieters,37,391,WGC-Bridgestone,4,16,36
32,T32,,Patrick Rodgers,76,391,the Memorial,4,13,23
33,T32,,Brandt Snedeker,53,391,T of C,4,17,656
34,T35,,Kevin Chappell,95,390,WGC-HSBC Champ.,4,18,766
35,T35,,Kelly Kraft,75,390,Byron Nelson,1,1,19
36,T35,,Andrew Loupe,55,390,Byron Nelson,1,3,19
37,T38,,Stewart Cink,93,389,the Memorial,4,1,23
38,T38,,Luke List,102,389,Wells Fargo,1,6,235
39,T40,,Hideki Matsuyama,83,388,T of C,3,17,656
40,T40,,William McGirt,89,388,T of C,2,17,656
41,T40,,Jhonattan Vegas,95,388,Canadian Open,4,18,32
42,T43,,Anirban Lahiri,72,387,Byron Nelson,1,3,19
43,T43,,Jordan Spieth,85,387,T of C,3,17,656
44,T45,,Daniel Berger,91,386,John Deere,2,14,669
45,T45,,Roberto Castro,70,386,WGC-Mexico,1,10,240
46,T45,,Bryson DeChambeau,91,386,DEAN & DELUCA,2,11,21
47,T45,,Tyrrell Hatton,41,386,WGC-Bridgestone,1,8,36
48,T45,,Ryan Moore,82,386,T of C,3,17,656
49,T50,,Mark Anderson,54,385,Texas Open,2,8,770
50,T50,,Rod Pampling,71,385,T of C,4,17,656
51,T50,,Lee Westwood,37,385,WGC-Mexico,4,10,240
52,53,,James Hahn,96,384,the Memorial,4,13,23
53,T54,,Jason Dufner,89,383,WGC-Bridgestone,1,8,36
54,T54,,Jamie Lovemark,98,383,Byron Nelson,2,1,19
55,T54,,Renato Paratore,4,383,WGC-Bridgestone,2,16,36
56,T54,,Scott Piercy,70,383,WGC-Mexico,4,4,240
57,T58,,Ross Fisher,35,381,WGC-Bridgestone,1,8,36
58,T58,,Grayson Murray,94,381,Travelers Champ,2,7,503
59,T58,,Justin Rose,66,381,WGC-Bridgestone,2,18,36
60,T58,,Peter Uihlein,23,381,the Memorial,4,17,23
61,T62,,Aaron Baddeley,61,380,RBC Heritage,2,3,12
62,T62,,Patrick Cantlay,52,380,the Memorial,4,17,23
63,T62,,Sung Kang,104,380,Quicken Loans,2,2,237
64,T62,,Garrett Rank,2,380,Canadian Open,1,11,32
65,T62,,Jeunghun Wang,31,380,WGC-Mexico,4,12,240
66,T67,,Michael Bradley,8,379,Sanderson Farms,2,18,746
67,T67,,Phil Mickelson,85,379,WGC-Mexico,1,4,240
68,T69,,Charlie Beljan,18,378,Byron Nelson,1,3,19
69,T69,,Julián Etulain,68,378,Byron Nelson,1,1,19
70,T69,,Jason Kokrak,95,378,the Memorial,4,13,23
71,T69,,Martin Laird,83,378,Phoenix Open,4,13,510
72,T69,,Francesco Molinari,75,378,WGC-Bridgestone,1,16,36
73,T69,,Ollie Schniederjans,92,378,the Memorial,4,17,23
74,T75,,Kevin Tway,96,377,Quicken Loans,2,2,237
75,T75,,Danny Willett,29,377,WGC-Mexico,3,4,240
76,T77,,Matthew Fitzpatrick,41,376,WGC-Bridgestone,1,8,36
77,T77,,Emiliano Grillo,90,376,WGC-Mexico,2,10,240
78,T77,,Russell Henley,99,376,WGC-Bridgestone,2,8,36
79,T77,,Russell Knox,75,376,T of C,4,12,656
80,T77,,Shane Lowry,52,376,the Memorial,1,13,23
81,T77,,Trey Mullinax,88,376,Quicken Loans,2,2,237
82,T77,,Jamie Sadlowski,2,376,DEAN & DELUCA,2,1,21
83,T77,,Kevin Streelman,90,376,the Memorial,4,13,23
84,85,,Smylie Kaufman,76,375,Travelers Champ,1,12,503
85,T86,,Sam Brazel,8,374,WGC-Bridgestone,2,16,36
86,T86,,Brett Coletta,9,374,the Memorial,4,1,23
87,T86,,Tommy Fleetwood,35,374,WGC-Bridgestone,1,8,36
88,T86,,Billy Horschel,88,374,WGC-Bridgestone,1,16,36
89,T86,,Chan Kim,6,374,The Open,4,2,541
90,T86,,Sean O'Hair,84,374,WGC-Mexico,4,4,240
91,T86,,Brandon Stone,19,374,WGC-Mexico,4,10,240
92,T86,,Nick Watney,75,374,Quicken Loans,1,2,237
93,T94,,Byeong Hun An,77,373,Byron Nelson,1,3,19
94,T94,,Dominic Bozzelli,69,373,Texas Open,3,4,770
95,T94,,Martin Flores,88,373,DEAN & DELUCA,2,1,21
96,T94,,Sam Horsfield,16,373,Canadian Open,4,1,32
97,T94,,Yuta Ikeda,29,373,WGC-Mexico,4,11,240
98,T94,,C.T. Pan,88,373,Travelers Champ,3,12,503
99,T94,,J.T. Poston,95,373,Texas Open,3,4,770
100,T94,,Scott Stallings,81,373,Byron Nelson,1,1,19
101,T102,,Ricky Barnes,100,372,Texas Open,3,17,770
102,T102,,Graham DeLaet,82,372,Byron Nelson,1,3,19
103,T102,,Robert Garrigus,78,372,Byron Nelson,1,3,19
104,T102,,Max Homa,39,372,John Deere,2,14,669
105,T102,,Paul Lawrie,6,372,WGC-Bridgestone,2,16,36
106,T102,,Wesley McClain,7,372,Texas Open,3,14,770
107,T108,,Danny Lee,93,371,the Memorial,4,13,23
108,T108,,Hunter Mahan,73,371,Wyndham Champ,2,5,752
109,T108,,Sebastián Muñoz,51,371,The Greenbrier,2,17,771
110,T108,,Kyle Reifers,96,371,Byron Nelson,1,3,19
111,T108,,Casey Russell,2,371,Texas Open,2,8,770
112,T108,,Andy Sullivan,25,371,WGC-Bridgestone,2,9,36
113,T114,,Miguel Angel Carballo,63,370,John Deere,2,14,669
114,T114,,Brian Gay,82,370,Texas Open,3,17,770
115,T114,,Bill Haas,92,370,WGC-Bridgestone,4,8,36
116,T114,,Michael Putnam,21,370,Byron Nelson,4,15,19
117,T114,,Andres Romero,32,370,WGC-Bridgestone,1,9,36
118,T119,,Steven Bowditch,59,369,the Memorial,1,13,23
119,T119,,Derek Fathauer,81,369,RBC Heritage,2,3,12
120,T119,,Branden Grace,70,369,T of C,1,12,656
121,T119,,Kevin Kisner,105,369,WGC-Bridgestone,1,16,36
122,T119,,Patton Kizzire,84,369,Wyndham Champ,4,18,752
