,Left_Rough_Tendency_RTP_Score_RANK THIS WEEK,Left_Rough_Tendency_RTP_Score_RANK LAST WEEK,Left_Rough_Tendency_RTP_Score_PLAYER NAME,Left_Rough_Tendency_RTP_Score_ROUNDS,Left_Rough_Tendency_RTP_Score_RTP SCORE
0,1,,Jordan Spieth,85,-.154
1,2,,K.J. Choi,72,-.106
2,3,,Dustin Johnson,77,-.105
3,T4,,Luke List,102,-.098
4,T4,,Tag Ridings,67,-.098
5,6,,Rory McIlroy,51,-.079
6,7,,Justin Rose,66,-.078
7,8,,Brandt Snedeker,53,-.077
8,T9,,Paul Casey,94,-.069
9,T9,,Charl Schwartzel,63,-.069
10,T11,,Jamie Lovemark,98,-.061
11,T11,,Jon Rahm,90,-.061
12,13,,Kevin Na,86,-.059
13,14,,Justin Thomas,86,-.053
14,15,,Patrick Cantlay,52,-.050
15,16,,Tony Finau,106,-.048
16,17,,Daniel Berger,91,-.031
17,18,,Cody Gribble,79,-.026
18,19,,Seamus Power,86,-.024
19,T20,,Aaron Baddeley,61,-.023
20,T20,,David Lingmerth,79,-.023
21,22,,Rickie Fowler,78,-.018
22,23,,Sung Kang,104,-.017
23,24,,Martin Flores,88,-.013
24,T25,,Mark Anderson,54,-.012
25,T25,,Roberto Castro,70,-.012
26,T27,,Ryan Brehm,83,-.011
27,T27,,Stewart Cink,93,-.011
28,T27,,Sam Saunders,76,-.011
29,30,,Gonzalo Fernandez-Castaño,63,-.010
30,T31,,Jim Herman,77,-.008
31,T31,,Kevin Kisner,105,-.008
32,33,,Jason Kokrak,95,-.007
33,T34,,Ricky Barnes,100,E
34,T34,,Charley Hoffman,112,E
35,T34,,Morgan Hoffmann,92,E
36,T34,,Tom Hoge,54,E
37,T34,,Mark Hubbard,81,E
38,T34,,Matt Kuchar,95,E
39,T34,,Marc Leishman,94,E
40,T34,,Brendan Steele,89,E
41,T34,,Robert Streb,98,E
42,T43,,Brandon Hagy,85,+.006
43,T43,,Michael Kim,94,+.006
44,45,,Cameron Smith,86,+.008
45,T46,,Julián Etulain,68,+.010
46,T46,,Hideki Matsuyama,83,+.010
47,48,,Patrick Reed,107,+.011
48,49,,Hudson Swafford,94,+.012
49,50,,Bud Cauley,92,+.013
50,T51,,Smylie Kaufman,76,+.014
51,T51,,Nick Watney,75,+.014
52,T53,,Robert Garrigus,78,+.016
53,T53,,Xander Schauffele,96,+.016
54,55,,Harris English,84,+.017
55,56,,Trey Mullinax,88,+.018
56,57,,Webb Simpson,102,+.021
57,58,,James Hahn,96,+.023
58,59,,Kyle Stanley,104,+.024
59,60,,Cameron Tringale,89,+.027
60,61,,Matt Jones,64,+.030
61,T62,,Charles Howell III,86,+.031
62,T62,,Anirban Lahiri,72,+.031
63,64,,Lucas Glover,93,+.032
64,T65,,Andres Gonzales,73,+.033
65,T65,,Tyrone Van Aswegen,105,+.033
66,67,,Ernie Els,52,+.034
67,68,,Johnson Wagner,71,+.036
68,T69,,Shane Lowry,52,+.038
69,T69,,Scott Stallings,81,+.038
70,71,,Seung-Yul Noh,91,+.039
71,72,,Phil Mickelson,85,+.042
72,T73,,Whee Kim,74,+.044
73,T73,,Geoff Ogilvy,80,+.044
74,75,,Vaughn Taylor,90,+.046
75,76,,Brooks Koepka,88,+.047
76,T77,,Chad Collins,66,+.048
77,T77,,Ken Duke,77,+.048
78,79,,Chris Stroud,67,+.049
79,80,,Bubba Watson,71,+.050
80,T81,,J.B. Holmes,83,+.053
81,T81,,J.J. Spaun,92,+.053
82,T81,,Camilo Villegas,76,+.053
83,T84,,Peter Malnati,91,+.061
84,T84,,Sebastián Muñoz,51,+.061
85,T86,,John Huh,92,+.065
86,T86,,Harold Varner III,101,+.065
87,88,,Ryo Ishikawa,56,+.066
88,T89,,Kevin Chappell,95,+.067
89,T89,,Bill Haas,92,+.067
90,T91,,Jason Dufner,89,+.069
91,T91,,J.J. Henry,92,+.069
92,T91,,Kevin Streelman,90,+.069
93,T91,,Jimmy Walker,68,+.069
94,95,,Danny Lee,93,+.071
95,96,,Rod Pampling,71,+.072
96,T97,,Wesley Bryan,95,+.074
97,T97,,Bryce Molder,74,+.074
98,T97,,C.T. Pan,88,+.074
99,T100,,Steven Alker,69,+.079
100,T100,,Rick Lamb,54,+.079
101,102,,Retief Goosen,52,+.080
102,103,,Brian Campbell,55,+.082
103,T104,,Chad Campbell,97,+.083
104,T104,,Jason Day,71,+.083
105,T104,,David Hearn,93,+.083
106,T107,,Branden Grace,70,+.086
107,T107,,Martin Laird,83,+.086
108,T109,,Grayson Murray,94,+.087
109,T109,,Adam Scott,58,+.087
110,111,,Patton Kizzire,84,+.088
111,112,,Louis Oosthuizen,69,+.090
112,T113,,Graham DeLaet,82,+.091
113,T113,,Jhonattan Vegas,95,+.091
114,115,,Byeong Hun An,77,+.092
115,T116,,Zac Blair,105,+.093
116,T116,,Ryan Moore,82,+.093
117,T116,,Sean O'Hair,84,+.093
118,T116,,Patrick Rodgers,76,+.093
119,T120,,Ben Crane,86,+.094
120,T120,,Billy Hurley III,80,+.094
121,T120,,Gary Woodland,94,+.094
122,123,,Nicholas Lindheim,58,+.096
123,124,,Tim Wilkinson,64,+.100
124,125,,J.T. Poston,95,+.101
125,T126,,Scott Brown,95,+.102
126,T126,,Brian Gay,82,+.102
127,T126,,Kyle Reifers,96,+.102
128,129,,Troy Merritt,82,+.108
129,130,,Chris Kirk,89,+.109
130,T131,,Rory Sabbatini,71,+.111
131,T131,,Boo Weekley,75,+.111
132,133,,Ryan Blaum,100,+.112
133,T134,,Rafa Cabrera Bello,63,+.113
134,T134,,Emiliano Grillo,90,+.113
