,Rough_Tendency_RANK THIS WEEK,Rough_Tendency_RANK LAST WEEK,Rough_Tendency_PLAYER NAME,Rough_Tendency_ROUNDS,Rough_Tendency_%,Rough_Tendency_TOTAL ROUGH,Rough_Tendency_POSSIBLE FWYS,Rough_Tendency_RELATIVE TO PAR
0,1,,Boo Weekley,75,20.19,172,852,+0.41
1,2,,William McGirt,89,21.05,201,955,+1.99
2,3,,Chez Reavie,98,21.47,236,1099,+0.59
3,4,,Shane Lowry,52,21.99,104,473,E
4,5,,Francesco Molinari,75,22.36,178,796,+1.52
5,6,,Kyle Stanley,104,22.82,299,1310,+0.90
6,7,,Zach Johnson,81,22.84,204,893,+1.03
7,8,,Ryan Armour,63,22.92,157,685,+1.02
8,9,,Jim Herman,77,22.97,212,923,+0.47
9,10,,Steve Wheatcroft,51,23.06,128,555,+0.70
10,11,,Graeme McDowell,56,23.39,156,667,+2.31
11,12,,Ryan Moore,82,23.46,213,908,+1.22
12,13,,Brian Stuard,93,23.48,220,937,+1.18
13,14,,Ken Duke,77,23.54,197,837,+0.96
14,15,,Vaughn Taylor,90,23.55,251,1066,+0.64
15,16,,Zac Blair,105,23.61,267,1131,+0.52
16,17,,K.J. Choi,72,23.94,180,752,+0.28
17,18,,Matt Kuchar,95,24.01,243,1012,+0.53
18,19,,Webb Simpson,102,24.06,268,1114,+0.30
19,20,,Kevin Streelman,90,24.22,263,1086,+0.53
20,21,,Kyle Reifers,96,24.27,249,1026,+0.80
21,22,,Russell Knox,75,24.35,177,727,+1.69
22,23,,Jim Furyk,54,24.37,135,554,+1.33
23,24,,Spencer Levin,89,24.39,228,935,+1.45
24,25,,Lucas Glover,93,24.49,286,1168,+0.66
25,26,,Rickie Fowler,78,24.63,202,820,+0.10
26,27,,Ben Crane,86,24.95,239,958,+1.72
27,28,,Kevin Kisner,105,25.2,257,1020,+0.43
28,29,,Keegan Bradley,104,25.27,306,1211,+1.50
29,30,,David Hearn,93,25.4,251,988,+1.71
30,T31,,Søren Kjeldsen,58,25.42,120,472,+2.42
31,T31,,Martin Laird,83,25.42,240,944,+0.71
32,33,,J.J. Spaun,92,25.45,254,998,+1.14
33,34,,James Hahn,96,25.55,289,1131,+0.24
34,35,,Sam Saunders,76,25.56,217,849,+0.32
35,36,,Brian Gay,82,25.6,246,961,+1.10
36,37,,Steven Alker,69,25.7,183,712,+1.31
37,38,,Alex Cejka,85,25.87,223,862,+1.12
38,T39,,David Lingmerth,79,25.89,233,900,+0.13
39,T39,,D.A. Points,68,25.89,210,811,+1.14
40,41,,Brandt Snedeker,53,25.93,139,536,+0.29
41,42,,Emiliano Grillo,90,26.17,234,894,+1.67
42,43,,Ian Poulter,72,26.38,201,762,+1.09
43,44,,Graham DeLaet,82,26.4,260,985,+0.50
44,45,,Luke Donald,50,26.57,157,591,+1.02
45,46,,Ben Martin,86,26.6,258,970,+1.63
46,47,,Roberto Castro,70,26.62,193,725,+0.47
47,48,,Richy Werenski,81,26.71,227,850,+1.72
48,49,,Russell Henley,99,26.84,306,1140,+1.21
49,50,,Daniel Summerhays,100,26.86,292,1087,+1.27
50,51,,Michael Kim,94,26.98,314,1164,+0.22
51,52,,Johnson Wagner,71,27.02,214,792,+1.17
52,53,,Chad Campbell,97,27.07,320,1182,+1.13
53,54,,Chris Kirk,89,27.13,264,973,+0.68
54,55,,Scott Brown,95,27.14,295,1087,+0.88
55,56,,Adam Hadwin,98,27.29,283,1037,+0.74
56,57,,Fabián Gómez,61,27.31,195,714,+1.18
57,T58,,Bud Cauley,92,27.34,301,1101,+0.43
58,T58,,Jason Kokrak,95,27.34,298,1090,+0.54
59,60,,Tim Wilkinson,64,27.36,174,636,+0.75
60,61,,Brian Harman,104,27.37,312,1140,+1.19
61,62,,Danny Lee,93,27.4,288,1051,+0.83
62,63,,Sean O'Hair,84,27.47,259,943,+0.62
63,64,,Chris Stroud,67,27.54,184,668,+1.36
64,65,,Jason Bohn,75,27.61,238,862,+1.30
65,66,,Geoff Ogilvy,80,27.63,257,930,+0.86
66,67,,Rory Sabbatini,71,27.72,204,736,+0.54
67,T68,,Peter Malnati,91,27.74,281,1013,+0.75
68,T68,,Louis Oosthuizen,69,27.74,182,656,+0.49
69,70,,Hunter Mahan,73,27.75,227,818,+1.06
70,71,,Patrick Cantlay,52,27.79,177,637,-0.45
71,72,,Jason Dufner,89,27.84,272,977,+0.51
72,73,,Byeong Hun An,77,27.89,212,760,+1.46
73,74,,Jonas Blixt,74,27.92,227,813,+1.28
74,75,,Brett Stegmaier,78,27.97,224,801,+2.10
75,T76,,Paul Casey,94,27.99,262,936,+0.23
76,T76,,Brendan Steele,89,27.99,262,936,+0.42
77,78,,Nick Taylor,97,28.13,324,1152,+0.83
78,79,,Rafa Cabrera Bello,63,28.16,165,586,+0.67
79,80,,Morgan Hoffmann,92,28.19,320,1135,+0.88
80,81,,C.T. Pan,88,28.32,292,1031,+0.99
81,82,,Pat Perez,93,28.33,281,992,+0.53
82,83,,John Huh,92,28.36,300,1058,+1.20
83,84,,Michael Thompson,60,28.48,174,611,+1.32
84,85,,Bubba Watson,71,28.49,202,709,+0.74
85,86,,Robert Streb,98,28.53,331,1160,+0.24
86,T87,,Rick Lamb,54,28.54,151,529,+1.92
87,T87,,Harold Varner III,101,28.54,339,1188,+0.77
88,89,,Julián Etulain,68,28.55,203,711,+0.59
89,90,,Kevin Na,86,28.65,247,862,-0.04
90,T91,,Justin Rose,66,28.67,203,708,-0.05
91,T91,,Jordan Spieth,85,28.67,256,893,-0.66
92,93,,Blayne Barber,77,28.68,267,931,+1.50
93,94,,Mark Hubbard,81,28.74,242,842,+0.91
94,95,,Daniel Berger,91,28.77,269,935,+0.11
95,96,,Tyrone Van Aswegen,105,28.8,320,1111,+1.06
96,97,,Jon Rahm,90,28.91,257,889,-0.62
97,98,,Mackenzie Hughes,106,29.15,390,1338,+0.97
98,99,,Billy Hurley III,80,29.17,280,960,+1.00
99,100,,J.J. Henry,92,29.2,304,1041,+1.48
100,101,,Robert Garrigus,78,29.25,241,824,+0.46
101,102,,Jonathan Randolph,68,29.36,192,654,+1.20
102,103,,Anirban Lahiri,72,29.43,241,819,+1.33
103,104,,Shawn Stefani,72,29.46,246,835,+1.22
104,105,,Cameron Smith,86,29.5,290,983,+0.62
105,106,,Grayson Murray,94,29.58,349,1180,+0.60
106,107,,Greg Chalmers,75,29.6,280,946,+1.57
107,T108,,Wesley Bryan,95,29.66,307,1035,+0.91
108,T108,,Troy Merritt,82,29.66,280,944,+1.07
109,110,,Rod Pampling,71,29.67,273,920,+1.43
110,111,,Tony Finau,106,29.69,375,1263,-0.29
111,112,,Kelly Kraft,75,29.72,266,895,+1.50
112,113,,Miguel Angel Carballo,63,29.82,178,597,+1.40
113,T114,,Bill Haas,92,29.83,281,942,+0.68
114,T114,,Patrick Reed,107,29.83,332,1113,+0.45
115,116,,Billy Horschel,88,30.01,325,1083,+1.17
116,117,,Sung Kang,104,30.23,344,1138,+0.64
117,118,,Sergio Garcia,65,30.31,177,584,+1.30
118,119,,Bryce Molder,74,30.47,270,886,+0.70
119,120,,Rory McIlroy,51,30.57,144,471,-0.35
120,121,,Chad Collins,66,30.66,229,747,+1.14
121,T122,,Mark Anderson,54,30.77,180,585,+0.61
122,T122,,Ernie Els,52,30.77,140,455,+1.00
123,124,,Retief Goosen,52,30.78,173,562,+1.21
124,125,,Luke List,102,30.8,365,1185,-0.66
125,T126,,Ryan Blaum,100,30.82,351,1139,+1.37
126,T126,,Brian Campbell,55,30.82,176,571,+0.68
127,T126,,Branden Grace,70,30.82,184,597,+0.27
128,T126,,J.T. Poston,95,30.82,303,983,+0.73
129,T130,,Cameron Percy,71,30.85,236,765,+1.02
130,T130,,Gary Woodland,94,30.85,273,885,+0.62
131,132,,Matt Jones,64,30.93,219,708,+0.32
132,133,,Brooks Koepka,88,31.1,269,865,+0.93
133,T134,,Si Woo Kim,80,31.11,242,778,+2.07
134,T134,,Marc Leishman,94,31.11,298,958,+0.30
135,136,,Ryan Palmer,61,31.12,202,649,+1.24
136,137,,Dustin Johnson,77,31.27,247,790,-0.49
137,T138,,Cody Gribble,79,31.3,303,968,+0.96
138,T138,,Jamie Lovemark,98,31.3,328,1048,-0.18
139,140,,Charley Hoffman,112,31.34,388,1238,+0.23
140,141,,Kevin Chappell,95,31.35,295,941,+0.51
141,T142,,Bryson DeChambeau,91,31.38,306,975,+1.11
142,T142,,Brett Drewitt,57,31.38,187,596,+1.02
143,144,,Nick Watney,75,31.41,277,882,+0.36
144,T145,,Xander Schauffele,96,31.49,307,975,+0.07
145,T145,,Scott Stallings,81,31.49,296,940,+0.64
146,147,,Charles Howell III,86,31.52,296,939,+0.74
147,148,,Hideki Matsuyama,83,31.6,243,769,+0.41
148,149,,Hudson Swafford,94,31.62,332,1050,+0.45
149,150,,Jimmy Walker,68,31.83,211,663,+0.85
150,151,,Aaron Baddeley,61,32.03,205,640,+0.29
151,152,,Cameron Tringale,89,32.1,287,894,+0.98
152,153,,Dominic Bozzelli,69,32.19,243,755,+0.91
153,154,,Derek Fathauer,81,32.51,289,889,+1.25
154,155,,Phil Mickelson,85,32.67,311,952,+0.58
155,156,,Seung-Yul Noh,91,32.72,336,1027,+0.30
156,157,,Scott Piercy,70,32.77,214,653,+1.26
157,158,,Tom Hoge,54,33.15,178,537,+0.96
158,159,,Tag Ridings,67,33.19,231,696,-0.04
159,160,,Jhonattan Vegas,95,33.23,320,963,+0.63
160,161,,Brad Fritsch,56,33.73,196,581,+1.73
161,162,,Patton Kizzire,84,33.77,334,989,+0.96
162,163,,Stewart Cink,93,33.93,361,1064,+0.28
163,164,,Adam Scott,58,33.94,186,548,+0.54
164,165,,Jason Day,71,34.02,248,729,E
165,166,,Andres Gonzales,73,34.05,269,790,+0.30
166,167,,Sebastián Muñoz,51,34.08,182,534,+0.66
167,168,,Matt Every,76,34.15,280,820,+1.36
168,169,,Ricky Barnes,100,34.4,367,1067,+0.35
169,170,,Carl Pettersson,63,34.41,245,712,+1.55
170,171,,Nicholas Lindheim,58,34.43,209,607,+1.34
171,172,,Charl Schwartzel,63,34.44,218,633,-0.05
172,173,,Whee Kim,74,34.5,275,797,+0.36
173,174,,Smylie Kaufman,76,34.52,301,872,+0.93
174,175,,Camilo Villegas,76,34.58,295,853,+0.47
175,176,,Kevin Tway,96,34.74,353,1016,+0.68
176,177,,Justin Thomas,86,34.88,293,840,-0.82
177,178,,Patrick Rodgers,76,34.98,319,912,+1.03
178,179,,Trey Mullinax,88,36.08,328,909,+0.24
179,180,,Seamus Power,86,36.24,341,941,-0.18
180,181,,Gonzalo Fernandez-Castaño,63,36.3,220,606,+0.36
181,182,,Martin Flores,88,36.41,335,920,+0.48
182,183,,Harris English,84,36.57,339,927,+0.06
183,184,,Ollie Schniederjans,92,36.58,409,1118,+0.73
184,185,,Brandon Hagy,85,36.81,349,948,E
185,186,,Ryan Brehm,83,36.92,309,837,+0.29
186,187,,Ryo Ishikawa,56,37.03,217,586,+1.57
187,188,,Steven Bowditch,59,37.12,222,598,+1.80
188,189,,Andrew Loupe,55,37.44,237,633,+1.01
189,190,,J.B. Holmes,83,38.17,297,778,+0.57
