,Driving_Pct._300-320_Measured_RANK THIS WEEK,Driving_Pct._300-320_Measured_RANK LAST WEEK,Driving_Pct._300-320_Measured_PLAYER NAME,Driving_Pct._300-320_Measured_ROUNDS,Driving_Pct._300-320_Measured_%,Driving_Pct._300-320_Measured_TOTAL DRIVES FOR 300-320,Driving_Pct._300-320_Measured_TOTAL DRVS - OVERALL,Driving_Pct._300-320_Measured_RELATIVE TO PAR
0,1,,Byeong Hun An,77,48.21,54,112,3.89
1,2,,Hudson Swafford,94,45.24,76,168,4.01
2,3,,Ryan Brehm,83,42.47,62,146,3.94
3,4,,Kevin Chappell,95,42.36,61,144,3.61
4,5,,Matt Jones,64,41.07,46,112,3.93
5,6,,Billy Horschel,88,39.63,65,164,3.63
6,7,,Jason Kokrak,95,38.51,67,174,3.78
7,8,,Kevin Tway,96,38.07,67,176,3.9
8,9,,Nick Watney,75,37.68,52,138,3.92
9,10,,Jason Day,71,37.5,42,112,3.55
10,11,,Patrick Rodgers,76,37.14,52,140,3.63
11,12,,Charl Schwartzel,63,36.96,34,92,3.76
12,13,,Andrew Loupe,55,36.54,38,104,3.82
13,14,,Charles Howell III,86,36.18,55,152,3.84
14,15,,Gary Woodland,94,35.92,51,142,3.63
15,16,,Smylie Kaufman,76,35.82,48,134,4.04
16,T17,,Jamie Lovemark,98,35.71,60,168,3.75
17,T17,,Hideki Matsuyama,83,35.71,40,112,3.68
18,T17,,Scott Stallings,81,35.71,55,154,3.76
19,20,,Seung-Yul Noh,91,35.63,62,174,3.84
20,21,,Tag Ridings,67,35.59,42,118,3.98
21,T22,,Rory McIlroy,51,35.29,24,68,3.63
22,T22,,Ryan Palmer,61,35.29,36,102,3.92
23,24,,Shane Lowry,52,35.14,26,74,3.77
24,25,,Jon Rahm,90,34.93,51,146,3.59
25,26,,Anirban Lahiri,72,34.85,46,132,3.91
26,27,,Harris English,84,34.72,50,144,3.88
27,28,,Bryson DeChambeau,91,34.71,59,170,3.68
28,29,,Seamus Power,86,34.38,55,160,3.78
29,30,,Luke List,102,34.18,67,196,3.66
30,31,,Jordan Spieth,85,34.09,45,132,3.91
31,32,,Robert Garrigus,78,34.03,49,144,3.86
32,33,,Adam Scott,58,33.75,27,80,3.93
33,34,,Graham DeLaet,82,33.55,51,152,3.59
34,T35,,Charley Hoffman,112,33.33,64,192,3.67
35,T35,,Trey Mullinax,88,33.33,52,156,3.88
36,T37,,Keegan Bradley,104,32.98,62,188,3.53
37,T37,,Sung Kang,104,32.98,62,188,3.77
38,39,,Brandon Hagy,85,32.47,50,154,3.66
39,T40,,Russell Henley,99,32.35,55,170,3.73
40,T40,,Jimmy Walker,68,32.35,33,102,3.61
41,42,,Martin Flores,88,32.1,52,162,3.9
42,43,,Brooks Koepka,88,32.03,41,128,3.9
43,44,,Justin Thomas,86,31.97,39,122,3.82
44,45,,Lucas Glover,93,31.82,56,176,3.77
45,46,,Tony Finau,106,31.77,61,192,3.56
46,47,,Hunter Mahan,73,31.69,45,142,3.49
47,48,,Jhonattan Vegas,95,31.58,48,152,3.48
48,49,,James Hahn,96,31.55,53,168,3.7
49,T50,,Bud Cauley,92,31.4,54,172,3.78
50,T50,,J.J. Henry,92,31.4,54,172,3.46
51,52,,Louis Oosthuizen,69,31.25,30,96,3.67
52,53,,Harold Varner III,101,31.05,59,190,3.53
53,54,,Rick Lamb,54,31.0,31,100,4.16
54,55,,Brendan Steele,89,30.71,43,140,3.42
55,56,,Aaron Baddeley,61,30.61,30,98,3.83
56,57,,Grayson Murray,94,30.56,55,180,3.71
57,58,,Bubba Watson,71,30.39,31,102,3.13
58,59,,Patrick Cantlay,52,30.21,29,96,3.83
59,T60,,Matt Every,76,30.0,42,140,3.79
60,T60,,Rickie Fowler,78,30.0,36,120,3.36
61,62,,Justin Rose,66,29.63,32,108,3.72
62,63,,Morgan Hoffmann,92,29.55,52,176,3.54
63,64,,Daniel Berger,91,29.41,40,136,3.6
64,65,,Cody Gribble,79,29.22,45,154,3.78
65,66,,Dustin Johnson,77,29.17,35,120,3.69
66,67,,Ollie Schniederjans,92,28.74,50,174,3.64
67,68,,Shawn Stefani,72,28.68,39,136,3.59
68,T69,,Sergio Garcia,65,28.57,24,84,3.25
69,T69,,Martin Laird,83,28.57,44,154,3.66
70,T69,,Xander Schauffele,96,28.57,48,168,3.77
71,72,,J.J. Spaun,92,28.49,49,172,3.53
72,73,,Steven Bowditch,59,28.18,31,110,3.94
73,T74,,Blayne Barber,77,28.17,40,142,3.53
74,T74,,Emiliano Grillo,90,28.17,40,142,3.6
75,76,,Sean O'Hair,84,27.78,40,144,3.75
76,77,,Sebastián Muñoz,51,27.66,26,94,3.58
77,78,,Patton Kizzire,84,27.63,42,152,3.57
78,79,,Kyle Stanley,104,27.55,54,196,3.26
79,80,,Francesco Molinari,75,27.5,33,120,3.55
80,81,,Patrick Reed,107,27.38,46,168,3.83
81,82,,Kevin Streelman,90,27.27,48,176,3.63
82,83,,Retief Goosen,52,27.17,25,92,3.48
83,T84,,Marc Leishman,94,27.03,40,148,3.63
84,T84,,Richy Werenski,81,27.03,40,148,3.7
85,86,,Kevin Kisner,105,26.92,42,156,3.74
86,87,,Branden Grace,70,26.74,23,86,3.3
87,88,,J.B. Holmes,83,26.67,32,120,3.53
88,89,,Paul Casey,94,26.43,37,140,3.73
89,90,,Scott Piercy,70,26.36,29,110,3.55
90,91,,Julián Etulain,68,26.19,33,126,3.24
91,92,,Dominic Bozzelli,69,26.15,34,130,3.56
92,93,,Bill Haas,92,26.06,37,142,3.35
93,94,,Boo Weekley,75,26.03,38,146,3.18
94,95,,Sam Saunders,76,25.71,36,140,3.44
