,Apex_Height_RANK THIS WEEK,Apex_Height_RANK LAST WEEK,Apex_Height_PLAYER NAME,Apex_Height_ROUNDS,Apex_Height_AVG.,Apex_Height_TOTAL APEX HEIGHT,Apex_Height_TOTAL ATTEMPTS,Apex_Height_HIGHEST APEX POINT,Apex_Height_LOWEST APEX POINT
0,1,,Kevin Chappell,95,"131' 1""","7078' 2""",54,"158' 11""","97' 9"""
1,T2,,J.B. Holmes,83,"130' 9""","5231' 4""",40,"168' 9""","88' 0"""
2,T2,,Andrew Loupe,55,"130' 9""","5360' 8""",41,"181' 1""","74' 6"""
3,4,,Danny Lee,93,"129' 9""","8046' 9""",62,"162' 3""","78' 5"""
4,5,,Jason Day,71,"129' 5""","5954' 1""",46,"162' 3""","97' 5"""
5,6,,Rory McIlroy,51,"128' 0""","3584' 4""",28,"180' 8""","85' 6"""
6,7,,Jon Rahm,90,"126' 11""","6599' 3""",52,"176' 2""","38' 5"""
7,8,,Sung Kang,104,"125' 3""","7890' 3""",63,"174' 1""","39' 1"""
8,9,,Luke List,102,"124' 5""",8583',69,"168' 0""","76' 1"""
9,10,,Gary Woodland,94,"123' 8""","6306' 0""",51,"154' 0""","69' 1"""
10,11,,Keegan Bradley,104,"123' 6""","8891' 4""",72,"154' 2""","92' 8"""
11,12,,James Hahn,96,"123' 5""","8390' 2""",68,"149' 9""","96' 4"""
12,13,,Jamie Lovemark,98,"123' 2""","7019' 6""",57,"150' 2""","88' 0"""
13,14,,Brooks Koepka,88,"122' 6""","5514' 4""",45,"171' 9""","91' 3"""
14,15,,Cody Gribble,79,"122' 3""",6477',53,"153' 8""","84' 7"""
15,16,,Dustin Johnson,77,"121' 9""","5236' 8""",43,"182' 0""","79' 11"""
16,17,,Phil Mickelson,85,"121' 6""","6803' 7""",56,"164' 4""","75' 9"""
17,18,,Robert Garrigus,78,"120' 8""","6636' 3""",55,"153' 5""","68' 2"""
18,19,,J.J. Spaun,92,"120' 1""",7082',59,"150' 8""","79' 5"""
19,20,,Pat Perez,93,"119' 10""","6469' 6""",54,"163' 7""","79' 10"""
20,21,,Smylie Kaufman,76,"119' 6""","6811' 3""",57,"159' 11""","77' 4"""
21,22,,Bud Cauley,92,"119' 0""","7970' 9""",67,"157' 1""","85' 0"""
22,23,,Seung-Yul Noh,91,"118' 11""","8326' 2""",70,"149' 2""","69' 5"""
23,24,,David Hearn,93,"118' 7""","7232' 1""",61,"161' 3""","89' 2"""
24,25,,Justin Rose,66,"118' 5""","4855' 0""",41,"149' 5""","76' 1"""
25,26,,Tag Ridings,67,"118' 4""","4969' 1""",42,"150' 4""","59' 8"""
26,27,,Justin Thomas,86,"118' 3""","5794' 1""",49,"167' 8""","67' 0"""
27,28,,Bubba Watson,71,"117' 11""",4832',41,"182' 1""","52' 3"""
28,29,,Patrick Rodgers,76,"117' 5""","5517' 8""",47,"177' 10""","67' 10"""
29,30,,Tony Finau,106,"117' 3""","9030' 5""",77,"149' 4""","85' 6"""
30,31,,Jason Kokrak,95,"117' 1""",7958',68,"175' 9""","71' 3"""
31,32,,Ryan Palmer,61,"117' 0""",4797',41,"144' 8""","67' 0"""
32,33,,Xander Schauffele,96,"116' 10""",5373',46,"143' 6""","92' 4"""
33,34,,Hideki Matsuyama,83,"116' 3""","5346' 7""",46,"145' 7""","84' 9"""
34,35,,Sam Saunders,76,"115' 9""","6599' 5""",57,"140' 5""","80' 11"""
35,36,,Scott Piercy,70,"115' 3""",5069',44,"166' 9""","59' 0"""
36,37,,Sean O'Hair,84,"114' 0""","6268' 4""",55,"147' 6""","64' 10"""
37,38,,Derek Fathauer,81,"113' 10""","5806' 7""",51,"145' 7""","51' 8"""
38,39,,Morgan Hoffmann,92,"113' 9""","8645' 4""",76,"147' 4""","77' 4"""
39,T40,,Ryan Blaum,100,"113' 7""",8177',72,"139' 3""","88' 10"""
40,T40,,Patrick Cantlay,52,"113' 7""","3974' 7""",35,"137' 6""","87' 2"""
41,42,,David Lingmerth,79,"113' 6""","6698' 8""",59,"154' 2""","78' 9"""
42,43,,Jimmy Walker,68,"113' 4""","4305' 8""",38,"152' 1""","56' 10"""
43,44,,Charley Hoffman,112,"113' 1""",8367',74,"145' 3""","79' 11"""
44,45,,Retief Goosen,52,"112' 7""","3939' 5""",35,"147' 0""","63' 0"""
45,46,,Trey Mullinax,88,"112' 2""","6955' 6""",62,"158' 10""","66' 6"""
46,47,,Hunter Mahan,73,"112' 0""","6384' 1""",57,"137' 3""","85' 2"""
47,48,,Harris English,84,"111' 7""",6804',61,"135' 11""","82' 10"""
48,T49,,Bill Haas,92,"111' 6""","6243' 3""",56,"136' 8""","84' 3"""
49,T49,,Hudson Swafford,94,"111' 6""","6465' 6""",58,"140' 10""","78' 2"""
50,51,,Si Woo Kim,80,"111' 4""",5679',51,"155' 4""","55' 5"""
51,52,,Brandon Hagy,85,"111' 0""","6326' 2""",57,"160' 4""","53' 6"""
52,T53,,Kyle Stanley,104,"110' 11""","9203' 4""",83,"140' 6""","58' 0"""
53,T53,,Harold Varner III,101,"110' 11""","8319' 9""",75,"140' 11""","77' 7"""
54,T55,,Whee Kim,74,"110' 10""",5650',51,"141' 6""","71' 1"""
55,T55,,Brett Stegmaier,78,"110' 10""","5874' 6""",53,"146' 9""","67' 11"""
56,57,,Michael Kim,94,"110' 8""","8300' 9""",75,"148' 11""","75' 6"""
57,58,,Rickie Fowler,78,"110' 7""","5639' 7""",51,"140' 11""","68' 6"""
58,59,,Ryan Brehm,83,"110' 6""","3425' 0""",31,"148' 4""","71' 8"""
59,60,,Shane Lowry,52,"110' 5""","2319' 4""",21,"131' 2""","90' 1"""
60,61,,Byeong Hun An,77,"109' 10""","5273' 4""",48,"137' 11""","43' 5"""
61,62,,Alex Cejka,85,"109' 8""","5812' 7""",53,"141' 1""","79' 8"""
62,63,,Luke Donald,50,"109' 6""","3065' 7""",28,"130' 1""","70' 3"""
63,T64,,Troy Merritt,82,"109' 2""","6986' 3""",64,"131' 5""","70' 6"""
64,T64,,Charl Schwartzel,63,"109' 2""","4038' 4""",37,"140' 0""","68' 5"""
65,66,,Geoff Ogilvy,80,"109' 1""","6874' 9""",63,"130' 4""","83' 3"""
66,67,,Martin Laird,83,"108' 10""","5440' 9""",50,"138' 6""","77' 8"""
67,68,,Dominic Bozzelli,69,"108' 9""","5435' 7""",50,"147' 4""","79' 0"""
68,69,,Tom Hoge,54,"108' 7""","4343' 7""",40,"131' 0""","70' 9"""
69,70,,Jonas Blixt,74,"108' 3""","5737' 6""",53,"135' 6""","76' 8"""
70,71,,Brandt Snedeker,53,"108' 1""","3674' 1""",34,"128' 2""","86' 9"""
71,72,,Jhonattan Vegas,95,"107' 9""","5280' 3""",49,"144' 7""","68' 1"""
72,T73,,Francesco Molinari,75,"107' 6""","5051' 2""",47,"158' 0""","59' 9"""
73,T73,,Jordan Spieth,85,"107' 6""",6235',58,"140' 3""","65' 9"""
74,T75,,Matt Every,76,"107' 5""","5801' 7""",54,"138' 5""","62' 10"""
75,T75,,Grayson Murray,94,"107' 5""","6661' 7""",62,"139' 0""","72' 3"""
76,77,,Louis Oosthuizen,69,"107' 4""","3863' 3""",36,"144' 6""","65' 2"""
77,78,,Marc Leishman,94,"107' 3""","6221' 7""",58,"139' 4""","77' 0"""
78,79,,Richy Werenski,81,"106' 11""","5772' 1""",54,"141' 2""","67' 9"""
79,80,,Rory Sabbatini,71,"106' 9""","5018' 1""",47,"134' 2""","77' 8"""
80,T81,,Ryo Ishikawa,56,"106' 7""","4156' 1""",39,"138' 11""","56' 9"""
81,T81,,Cameron Percy,71,"106' 7""",5435',51,"142' 8""","73' 0"""
82,T83,,Mackenzie Hughes,106,"106' 6""","9476' 6""",89,"149' 4""","69' 6"""
83,T83,,Scott Stallings,81,"106' 6""","5964' 5""",56,"142' 8""","73' 5"""
84,85,,Billy Horschel,88,"106' 5""",6810',64,"146' 4""","65' 2"""
85,T86,,Anirban Lahiri,72,"106' 1""","4561' 1""",43,"137' 5""","72' 0"""
86,T86,,Patrick Reed,107,"106' 1""",6576',62,"156' 8""","72' 0"""
87,88,,Matt Kuchar,95,"106' 0""","6678' 3""",63,"146' 0""","76' 3"""
88,89,,Vaughn Taylor,90,"105' 10""","7620' 0""",72,"138' 10""","74' 11"""
89,90,,Adam Scott,58,"105' 8""","3169' 6""",30,"136' 7""","79' 1"""
90,91,,Sergio Garcia,65,"105' 6""","3588' 4""",34,"154' 5""","63' 8"""
91,92,,John Huh,92,"105' 5""",7692',73,"155' 6""","68' 8"""
92,T93,,J.J. Henry,92,"105' 1""","7042' 8""",67,"147' 1""","71' 11"""
93,T93,,Rick Lamb,54,"105' 1""","3679' 2""",35,"138' 4""","75' 1"""
94,95,,Blayne Barber,77,"105' 0""","6615' 8""",63,"144' 1""","69' 4"""
95,96,,Julián Etulain,68,"104' 6""","5017' 9""",48,"134' 2""","68' 11"""
96,97,,Brendan Steele,89,"104' 5""","6162' 9""",59,"139' 5""","70' 7"""
97,98,,C.T. Pan,88,"104' 2""","6667' 7""",64,"139' 6""","68' 6"""
98,99,,Sebastián Muñoz,51,"104' 1""","3643' 9""",35,"124' 6""","75' 10"""
99,T100,,Bryson DeChambeau,91,"104' 0""",6549',63,"149' 4""","71' 9"""
100,T100,,Billy Hurley III,80,"104' 0""","6968' 9""",67,"159' 4""","76' 9"""
101,T102,,Roberto Castro,70,"103' 10""",4879',47,"143' 6""","68' 3"""
102,T102,,Patton Kizzire,84,"103' 10""","7265' 9""",70,"141' 7""","72' 11"""
103,104,,Zach Johnson,81,"103' 6""","5693' 7""",55,"144' 8""","62' 5"""
104,105,,Nick Taylor,97,"103' 2""","7635' 8""",74,"147' 0""","69' 11"""
105,106,,Zac Blair,105,"102' 6""","7690' 0""",75,"134' 4""","68' 5"""
106,T107,,Daniel Berger,91,"102' 5""","5327' 7""",52,"133' 5""","50' 7"""
107,T107,,Scott Brown,95,"102' 5""","6557' 3""",64,"140' 7""","70' 9"""
108,109,,Cameron Tringale,89,"102' 0""","5915' 4""",58,"142' 7""","71' 1"""
109,T110,,Kevin Streelman,90,"101' 7""","7315' 1""",72,"136' 7""","76' 2"""
110,T110,,Chris Stroud,67,"101' 7""","3760' 1""",37,"142' 4""","60' 3"""
111,112,,Kevin Kisner,105,"101' 6""","6596' 6""",65,"127' 8""","77' 7"""
112,113,,Graham DeLaet,82,"101' 5""","6188' 0""",61,"129' 7""","40' 3"""
113,T114,,Kelly Kraft,75,"101' 2""","5764' 7""",57,"134' 9""","60' 4"""
114,T114,,Johnson Wagner,71,"101' 2""","4956' 9""",49,"127' 7""","72' 7"""
115,116,,Nick Watney,75,"101' 0""","5755' 6""",57,"124' 3""","74' 3"""
116,117,,Adam Hadwin,98,"100' 11""","7061' 4""",70,"144' 8""","63' 10"""
117,118,,Chez Reavie,98,"100' 10""","6959' 6""",69,"121' 10""","73' 7"""
118,119,,Martin Flores,88,"100' 9""",6345',63,"147' 0""","65' 3"""
119,120,,Ernie Els,52,"100' 7""","2715' 9""",27,"119' 11""","72' 7"""
120,121,,Shawn Stefani,72,"100' 6""",5425',54,"125' 10""","50' 6"""
121,122,,Cameron Smith,86,"99' 10""",6389',64,"147' 5""","54' 11"""
122,T123,,Miguel Angel Carballo,63,"99' 8""","3788' 2""",38,"132' 6""","76' 4"""
123,T123,,Mark Hubbard,81,"99' 8""","5581' 3""",56,"131' 2""","67' 11"""
