,Carry_Distance_RANK THIS WEEK,Carry_Distance_RANK LAST WEEK,Carry_Distance_PLAYER NAME,Carry_Distance_ROUNDS,Carry_Distance_AVG.,Carry_Distance_TOTAL DIST. TO IMPACT,Carry_Distance_TOTAL ATTEMPTS,Carry_Distance_LONGEST CARRY DISTANCE,Carry_Distance_SHORTEST CARRY DISTANCE
0,1,,Rory McIlroy,51,305.1,7933.0,26,342.3,259.9
1,2,,Ryan Brehm,83,304.7,8226.6,27,333.5,256.7
2,3,,Brandon Hagy,85,304.4,15831.3,52,344.9,237.1
3,4,,Andrew Loupe,55,302.8,11202.7,37,326.0,261.5
4,5,,Trey Mullinax,88,301.2,18070.7,60,330.3,272.6
5,6,,J.B. Holmes,83,300.6,10521.0,35,337.0,263.0
6,7,,Luke List,102,300.4,19522.9,65,330.1,262.4
7,8,,Gary Woodland,94,299.9,14095.3,47,336.5,271.2
8,9,,Jon Rahm,90,299.8,14991.6,50,330.5,265.5
9,10,,Brooks Koepka,88,298.0,11622.9,39,325.6,252.6
10,11,,Tony Finau,106,297.7,21138.4,71,333.1,246.1
11,12,,Justin Thomas,86,296.8,13948.6,47,336.6,255.8
12,13,,Robert Garrigus,78,296.7,15131.2,51,325.3,254.6
13,T14,,Jason Kokrak,95,296.5,18678.9,63,330.6,266.0
14,T14,,Grayson Murray,94,296.5,16601.4,56,323.9,264.3
15,16,,Dustin Johnson,77,296.3,11557.6,39,340.1,262.2
16,17,,Xander Schauffele,96,296.0,13021.9,44,328.0,247.2
17,18,,Jason Day,71,294.7,12377.0,42,327.5,260.9
18,19,,Smylie Kaufman,76,294.4,16484.3,56,332.8,251.4
19,20,,Jamie Lovemark,98,294.2,15004.3,51,326.2,256.0
20,21,,Tag Ridings,67,293.8,11753.9,40,318.6,260.1
21,22,,Patrick Rodgers,76,293.5,12915.1,44,330.3,261.1
22,23,,Jhonattan Vegas,95,293.2,13195.1,45,333.8,255.3
23,24,,Harris English,84,293.0,16112.3,55,319.4,247.3
24,25,,Sergio Garcia,65,292.8,9370.4,32,324.7,253.9
25,T26,,Kevin Chappell,95,292.6,14627.6,50,324.5,240.4
26,T26,,Hudson Swafford,94,292.6,15801.1,54,320.0,259.7
27,28,,Ryan Palmer,61,292.4,10818.0,37,318.1,250.7
28,29,,Adam Scott,58,291.7,7584.9,26,325.9,275.6
29,30,,Seung-Yul Noh,91,291.3,18349.2,63,316.0,262.5
30,31,,Kevin Tway,96,291.0,13675.2,47,320.7,233.6
31,T32,,Keegan Bradley,104,290.8,20065.0,69,320.6,253.6
