,Right_Rough_Tendency_RANK THIS WEEK,Right_Rough_Tendency_RANK LAST WEEK,Right_Rough_Tendency_PLAYER NAME,Right_Rough_Tendency_ROUNDS,Right_Rough_Tendency_%,Right_Rough_Tendency_TOTAL RIGHT ROUGH,Right_Rough_Tendency_POSSIBLE FWYS,Right_Rough_Tendency_RELATIVE TO PAR
0,1,,Brian Stuard,93,9.61,90,937,+0.09
1,2,,Boo Weekley,75,9.62,82,852,-0.04
2,3,,Jim Herman,77,9.64,89,923,+0.12
3,4,,Billy Hurley III,80,10.31,99,960,+0.11
4,5,,Steve Wheatcroft,51,10.63,59,555,+0.02
5,6,,Shane Lowry,52,10.78,51,473,-0.04
6,7,,Graeme McDowell,56,10.94,73,667,+0.16
7,T8,,Zach Johnson,81,10.97,98,893,+0.07
8,T8,,D.A. Points,68,10.97,89,811,+0.08
9,10,,Webb Simpson,102,11.04,123,1114,+0.04
10,11,,Rickie Fowler,78,11.34,93,820,+0.04
11,12,,Vaughn Taylor,90,11.35,121,1066,+0.08
12,13,,Chez Reavie,98,11.37,125,1099,-0.02
13,14,,Brandt Snedeker,53,11.38,61,536,+0.16
14,15,,Richy Werenski,81,11.41,97,850,+0.12
15,16,,Spencer Levin,89,11.44,107,935,+0.11
16,T17,,David Lingmerth,79,11.56,104,900,+0.06
17,T17,,Ryan Moore,82,11.56,105,908,+0.15
18,19,,Francesco Molinari,75,11.68,93,796,+0.14
19,20,,Chad Campbell,97,11.76,139,1182,+0.15
20,21,,William McGirt,89,11.83,113,955,+0.24
21,22,,Robert Streb,98,11.98,139,1160,+0.06
22,23,,Alex Cejka,85,12.3,106,862,+0.08
23,24,,Matt Kuchar,95,12.35,125,1012,+0.10
24,25,,C.T. Pan,88,12.51,129,1031,+0.13
25,26,,Sean O'Hair,84,12.62,119,943,+0.03
26,27,,K.J. Choi,72,12.63,95,752,+0.15
27,28,,Sergio Garcia,65,12.67,74,584,+0.15
28,29,,Ryan Armour,63,12.7,87,685,+0.09
29,30,,Phil Mickelson,85,12.71,121,952,+0.08
30,31,,Kyle Reifers,96,12.77,131,1026,+0.06
31,32,,Graham DeLaet,82,12.99,128,985,+0.01
32,33,,Michael Thompson,60,13.09,80,611,+0.11
33,34,,Johnson Wagner,71,13.13,104,792,+0.20
34,35,,Kevin Kisner,105,13.14,134,1020,+0.09
35,36,,Russell Knox,75,13.2,96,727,+0.19
36,37,,Tim Wilkinson,64,13.21,84,636,+0.05
37,38,,Keegan Bradley,104,13.29,161,1211,+0.18
38,39,,Søren Kjeldsen,58,13.35,63,472,+0.30
39,40,,Adam Hadwin,98,13.4,139,1037,+0.01
40,41,,Kyle Stanley,104,13.44,176,1310,+0.14
41,42,,Blayne Barber,77,13.53,126,931,+0.14
42,43,,Kevin Streelman,90,13.54,147,1086,+0.04
43,44,,Michael Kim,94,13.57,158,1164,+0.04
