,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
0,1,,Keegan Bradley,29,70,44,26
1,2,,Kyle Stanley,29,76,63,13
2,3,,Graham DeLaet,25,82,32,50
3,4,,Lucas Glover,26,88,51,37
4,T5,,Rickie Fowler,21,98,39,59
5,T5,,Rick Lamb,19,98,54,44
6,T7,,Jim Herman,25,106,95,11
7,T7,,Francesco Molinari,21,106,99,7
8,9,,Martin Laird,25,109,66,43
9,10,,Brendan Steele,25,112,41,71
10,11,,Kevin Streelman,26,113,84,29
11,T12,,Sergio Garcia,17,114,33,81
12,T12,,Hudson Swafford,28,114,22,92
13,T14,,Paul Casey,24,115,60,55
14,T14,,Boo Weekley,27,115,113,2
15,16,,Shane Lowry,16,116,74,42
16,17,,Russell Henley,27,120,56,64
17,18,,Patrick Cantlay,13,126,47,79
18,T19,,Emiliano Grillo,25,129,91,38
19,T19,,Gary Woodland,26,129,13,116
20,21,,Bubba Watson,22,130,21,109
21,22,,Sam Saunders,24,133,88,45
22,T23,,Jason Kokrak,28,134,20,114
23,T23,,Hunter Mahan,26,134,78,56
24,T25,,Jason Dufner,24,136,78,58
25,T25,,Jon Rahm,23,136,19,117
26,T25,,Richy Werenski,26,136,106,30
27,28,,Harold Varner III,31,137,29,108
28,T29,,Tony Finau,29,143,9,134
29,T29,,Xander Schauffele,28,143,15,128
30,31,,Rory Sabbatini,23,144,103,41
31,T32,,Billy Horschel,28,145,43,102
32,T32,,Kevin Kisner,28,145,122,23
33,T32,,J.J. Spaun,29,145,105,40
34,T35,,Julián Etulain,22,146,89,57
35,T35,,Robert Garrigus,26,146,36,110
36,T35,,Dustin Johnson,20,146,2,144
37,T35,,Ryan Moore,24,146,129,17
38,39,,James Hahn,28,147,86,61
39,T40,,Russell Knox,24,151,129,22
40,T40,,Tag Ridings,20,151,30,121
41,42,,J.J. Henry,29,152,83,69
42,T43,,Kevin Chappell,27,154,24,130
43,T43,,Ben Martin,27,154,102,52
44,T45,,Hideki Matsuyama,22,157,27,130
45,T45,,Sean O'Hair,25,157,58,99
46,T45,,Chez Reavie,28,157,152,5
47,T48,,William McGirt,28,158,152,6
48,T48,,Justin Rose,18,158,40,118
49,T50,,Daniel Berger,26,159,63,96
50,T50,,Luke List,31,159,4,155
51,T50,,Rory McIlroy,14,159,1,158
52,53,,Grayson Murray,30,160,12,148
53,54,,Anirban Lahiri,22,161,60,101
54,T55,,Matt Jones,20,164,28,136
55,T55,,Ryan Palmer,20,164,26,138
56,57,,Zach Johnson,23,165,140,25
57,58,,Jamie Lovemark,28,166,25,141
58,T59,,Chad Campbell,29,167,147,20
59,T59,,Bud Cauley,28,167,67,100
60,T59,,Adam Scott,16,167,18,149
61,T62,,Scott Brown,29,168,119,49
62,T62,,Brett Stegmaier,27,168,122,46
63,T64,,Bryson DeChambeau,31,170,46,124
64,T64,,Louis Oosthuizen,18,170,73,97
65,T64,,Jhonattan Vegas,29,170,35,135
66,T67,,Sung Kang,32,171,65,106
67,T67,,Shawn Stefani,26,171,84,87
68,69,,Chris Stroud,22,172,140,32
69,T70,,Adam Hadwin,28,173,110,63
70,T70,,Danny Lee,32,173,108,65
71,72,,Brooks Koepka,24,174,6,168
72,73,,Vaughn Taylor,26,175,161,14
73,74,,Morgan Hoffmann,29,176,86,90
74,T75,,Ryan Armour,20,177,176,1
75,T75,,Charley Hoffman,31,177,50,127
76,T75,,Justin Thomas,25,177,8,169
77,78,,Webb Simpson,28,179,145,34
78,T79,,Byeong Hun An,22,180,41,139
79,T79,,Marc Leishman,25,180,51,129
80,T79,,Nick Taylor,29,180,103,77
81,82,,Miguel Angel Carballo,22,181,127,54
82,T83,,John Huh,28,182,135,47
83,T83,,Smylie Kaufman,26,182,23,159
84,85,,Brandon Hagy,26,183,3,180
85,T86,,Blayne Barber,25,184,106,78
86,T86,,Matt Kuchar,26,184,148,36
87,T86,,Graeme McDowell,17,184,174,10
88,T86,,Trey Mullinax,28,184,11,173
89,T86,,Steve Wheatcroft,17,184,169,15
90,T91,,Alex Cejka,28,185,164,21
91,T91,,Jason Day,20,185,15,170
92,T91,,C.T. Pan,29,185,135,50
93,T91,,Kyle Reifers,32,185,146,39
94,T95,,Brian Campbell,20,186,67,119
95,T95,,Chris Kirk,28,186,138,48
96,T95,,David Lingmerth,23,186,114,72
97,T95,,Scott Piercy,22,186,74,112
98,T99,,Jordan Spieth,23,187,76,111
99,T99,,Johnson Wagner,26,187,127,60
100,T99,,Nick Watney,23,187,33,154
101,T102,,Mackenzie Hughes,31,188,81,107
102,T102,,Cameron Percy,23,188,95,93
103,T102,,Kevin Tway,27,188,9,179
104,T105,,K.J. Choi,25,189,163,26
105,T105,,Brian Harman,30,189,116,73
106,107,,David Hearn,29,190,166,24
107,T108,,Ryan Brehm,25,191,6,185
108,T108,,Pat Perez,26,191,111,80
109,T108,,Patrick Rodgers,27,191,15,176
110,T111,,Spencer Levin,31,192,174,18
111,T111,,J.T. Poston,28,192,77,115
