,Distance_from_Center_of_Fairway_RANK THIS WEEK,Distance_from_Center_of_Fairway_RANK LAST WEEK,Distance_from_Center_of_Fairway_PLAYER NAME,Distance_from_Center_of_Fairway_EVENTS,Distance_from_Center_of_Fairway_AVG,Distance_from_Center_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Center_of_Fairway_TOTAL STROKES
0,1,,Scott Piercy,22,"21' 6""",7843.8330000000005,365
1,2,,Matt Kuchar,26,"21' 9""",14360.917,661
2,T3,,Rafa Cabrera Bello,19,"22' 1""",7632.4169999999995,346
3,T3,,J.T. Poston,28,"22' 1""",12129.583,550
4,T5,,Ryan Blaum,29,"22' 2""",14990.583,675
5,T5,,Patrick Cantlay,13,"22' 2""",8529.417,385
6,T5,,Paul Casey,24,"22' 2""",12820.75,579
7,8,,Søren Kjeldsen,17,"22' 3""",7017.8330000000005,315
8,9,,Brian Harman,30,"22' 4""",15239.25,683
9,T10,,Ernie Els,20,"22' 5""",5699.1669999999995,254
10,T10,,Brian Gay,25,"22' 5""",13881.917,620
11,T10,,Kevin Kisner,28,"22' 5""",15234.5,680
12,T10,,Shane Lowry,16,"22' 5""",6961.25,311
13,T10,,Ryan Palmer,20,"22' 5""",7967.5,355
14,T15,,Kevin Chappell,27,"22' 6""",11898.167,529
15,T15,,Johnson Wagner,26,"22' 6""",11170.917,497
16,T15,,Boo Weekley,27,"22' 6""",13541.167,602
17,T18,,Graham DeLaet,25,"22' 7""",13940.917,617
18,T18,,Ken Duke,26,"22' 7""",12754.417,564
19,T18,,David Hearn,29,"22' 7""",14421.333,639
20,T18,,J.J. Henry,29,"22' 7""",14137.417,627
21,T18,,Daniel Summerhays,29,"22' 7""",14853.75,658
22,T23,,David Lingmerth,23,"22' 8""",12504.167,552
23,T23,,Francesco Molinari,21,"22' 8""",12183.583,538
24,T23,,Geoff Ogilvy,25,"22' 8""",12978.167,572
25,T26,,Russell Henley,27,"22' 9""",16187.5,711
26,T26,,Chris Kirk,28,"22' 9""",13361.583,588
27,T26,,D.A. Points,22,"22' 9""",11912.75,523
28,T26,,Kyle Stanley,29,"22' 9""",20209.5,888
29,T30,,Ryan Brehm,25,"22' 10""",9465.667,414
30,T30,,Alex Cejka,28,"22' 10""",12933.083,566
31,T30,,Chez Reavie,28,"22' 10""",17444.25,764
32,T33,,Scott Brown,29,"22' 11""",15470.5,675
33,T33,,Chad Campbell,29,"22' 11""",17629.583,770
34,T33,,Bud Cauley,28,"22' 11""",15072.667,657
35,T33,,Zach Johnson,23,"22' 11""",13425.833,585
36,T33,,Jon Rahm,23,"22' 11""",11813.75,516
37,T33,,Hudson Swafford,28,"22' 11""",14307.667,625
38,T39,,Jason Dufner,24,"23' 0""",14117.583,614
39,T39,,Rickie Fowler,21,"23' 0""",12037.0,524
40,T39,,Martin Laird,25,"23' 0""",13620.0,592
41,T39,,Cameron Smith,26,"23' 0""",12634.333,549
42,T39,,J.J. Spaun,29,"23' 0""",14572.5,633
43,T39,,Michael Thompson,21,"23' 0""",8233.333,358
44,T39,,Tim Wilkinson,22,"23' 0""",9482.167,412
45,T46,,Steven Alker,23,"23' 1""",10801.75,468
46,T46,,Lucas Glover,26,"23' 1""",17304.5,751
47,T46,,Emiliano Grillo,25,"23' 1""",13135.917,570
48,T46,,Ben Martin,27,"23' 1""",13977.667,605
49,T46,,C.T. Pan,29,"23' 1""",14955.917,647
50,T46,,Scott Stallings,27,"23' 1""",12085.167,523
51,T52,,Keegan Bradley,29,"23' 2""",18017.417,779
52,T52,,Graeme McDowell,17,"23' 2""",10579.0,456
53,T52,,Louis Oosthuizen,18,"23' 2""",9072.667,392
54,T52,,Ian Poulter,20,"23' 2""",10896.333,470
