,Driving_Distance_-_All_Drives_RANK THIS WEEK,Driving_Distance_-_All_Drives_RANK LAST WEEK,Driving_Distance_-_All_Drives_PLAYER NAME,Driving_Distance_-_All_Drives_ROUNDS,Driving_Distance_-_All_Drives_ALL DRIVES,Driving_Distance_-_All_Drives_TOTAL DISTANCE,Driving_Distance_-_All_Drives_# OF DRIVES
0,1,,Rory McIlroy,51,309.5,147327,476
1,2,,Dustin Johnson,77,305.8,245259,802
2,3,,Brooks Koepka,88,303.3,267533,882
3,4,,J.B. Holmes,83,302.6,241446,798
4,5,,Jon Rahm,90,301.7,270293,896
5,6,,Bubba Watson,71,300.2,214967,716
6,7,,Justin Thomas,86,299.3,256167,856
7,8,,Kevin Chappell,95,298.7,284371,952
8,9,,Tony Finau,106,298.3,380019,1274
9,10,,Grayson Murray,94,297.3,353190,1188
10,11,,Kevin Tway,96,297.0,307668,1036
11,12,,Luke List,102,296.8,356197,1200
12,13,,Trey Mullinax,88,296.6,273447,922
13,14,,Jason Day,71,296.5,221201,746
14,15,,Brandon Hagy,85,296.4,286367,966
15,16,,Ryan Brehm,83,296.2,252932,854
16,17,,Hideki Matsuyama,83,295.9,229037,774
17,T18,,Sergio Garcia,65,295.4,173701,588
18,T18,,Adam Scott,58,295.4,165447,560
19,T20,,Andrew Loupe,55,295.3,193690,656
20,T20,,Gary Woodland,94,295.3,263408,892
21,22,,Xander Schauffele,96,294.3,288368,980
22,23,,Smylie Kaufman,76,294.0,258741,880
23,T24,,Jason Kokrak,95,293.9,323903,1102
24,T24,,Jamie Lovemark,98,293.9,311536,1060
25,26,,Ryan Palmer,61,293.7,193281,658
26,27,,Jhonattan Vegas,95,293.6,284789,970
27,T28,,Charley Hoffman,112,293.4,366184,1248
28,T28,,Jordan Spieth,85,293.4,264104,900
29,30,,Byeong Hun An,77,293.3,224695,766
30,31,,Justin Rose,66,293.2,209373,714
31,T32,,Martin Flores,88,291.9,273264,936
32,T32,,Patrick Rodgers,76,291.9,269127,922
33,T32,,Charl Schwartzel,63,291.9,186847,640
34,T35,,Sean O'Hair,84,291.7,277081,950
35,T35,,Brendan Steele,89,291.7,274760,942
36,37,,Matt Jones,64,291.4,208025,714
37,38,,Tag Ridings,67,291.3,203913,700
38,39,,Patrick Reed,107,291.0,325938,1120
39,40,,Louis Oosthuizen,69,290.9,191384,658
40,41,,Patrick Cantlay,52,290.6,186012,640
41,T42,,Robert Garrigus,78,290.5,242840,836
42,T42,,Hudson Swafford,94,290.5,307925,1060
43,T44,,Bryson DeChambeau,91,290.3,287431,990
44,T44,,Ollie Schniederjans,92,290.3,328592,1132
45,T46,,Rickie Fowler,78,290.2,239686,826
46,T46,,Harold Varner III,101,290.2,348839,1202
47,48,,Shane Lowry,52,290.1,138087,476
48,49,,Rick Lamb,54,290.0,154291,532
49,T50,,Daniel Berger,91,289.7,272277,940
50,T50,,Marc Leishman,94,289.7,279821,966
51,T50,,Sebastián Muñoz,51,289.7,158157,546
52,53,,Billy Horschel,88,289.4,315461,1090
53,T54,,Charles Howell III,86,289.3,274241,948
54,T54,,Anirban Lahiri,72,289.3,238979,826
55,T56,,Phil Mickelson,85,289.2,279407,966
56,T56,,Scott Stallings,81,289.2,274118,948
57,58,,Branden Grace,70,288.8,175003,606
58,59,,Graham DeLaet,82,288.6,285751,990
59,60,,Sung Kang,104,288.4,330495,1146
60,61,,Matt Every,76,288.2,245578,852
61,T62,,Stewart Cink,93,288.1,309394,1074
62,T62,,Lucas Glover,93,288.1,337653,1172
63,T64,,Andres Gonzales,73,288.0,229860,798
64,T64,,Jimmy Walker,68,288.0,194657,676
65,T66,,Si Woo Kim,80,287.9,226585,787
66,T66,,Hunter Mahan,73,287.9,236639,822
67,T66,,Nick Watney,75,287.9,256824,892
68,T69,,Brian Campbell,55,287.8,165175,574
69,T69,,Scott Piercy,70,287.8,188807,656
70,71,,Jason Dufner,89,287.4,281679,980
71,T72,,Keegan Bradley,104,287.3,348803,1214
72,T72,,Cody Gribble,79,287.3,282173,982
73,74,,Cameron Percy,71,286.9,220931,770
74,T75,,Morgan Hoffmann,92,286.8,328128,1144
75,T75,,Mackenzie Hughes,106,286.8,386575,1348
76,T75,,Seung-Yul Noh,91,286.8,300519,1048
77,T75,,Seamus Power,86,286.8,271891,948
78,79,,Harris English,84,286.7,271811,948
79,80,,J.T. Poston,95,286.4,283513,990
80,81,,Dominic Bozzelli,69,286.3,219309,766
81,82,,Russell Henley,99,286.1,327293,1144
82,83,,Bud Cauley,92,285.8,318940,1116
83,84,,Kyle Stanley,104,285.5,374615,1312
84,85,,Paul Casey,94,285.4,267742,938
85,T86,,Francesco Molinari,75,285.3,227662,798
86,T86,,Robert Streb,98,285.3,334933,1174
87,T88,,Miguel Angel Carballo,63,285.1,171602,602
88,T88,,Julián Etulain,68,285.1,203543,714
89,T88,,Cameron Smith,86,285.1,282277,990
90,91,,Retief Goosen,52,285.0,162999,572
91,T92,,Gonzalo Fernandez-Castaño,63,284.9,175471,616
92,T92,,Martin Laird,83,284.9,270685,950
93,T92,,Rory Sabbatini,71,284.9,211410,742
94,T95,,Shawn Stefani,72,284.7,238584,838
95,T95,,Kevin Streelman,90,284.7,309760,1088
96,T95,,Nick Taylor,97,284.7,329654,1158
97,T98,,Jim Herman,77,284.6,262949,924
98,T98,,Russell Knox,75,284.6,207741,730
99,T100,,James Hahn,96,284.4,322542,1134
100,T100,,Brian Harman,104,284.4,325879,1146
101,T100,,J.J. Henry,92,284.4,297431,1046
102,103,,Emiliano Grillo,90,284.2,254655,896
103,104,,David Lingmerth,79,284.1,257431,906
104,105,,J.J. Spaun,92,284.0,285738,1006
105,106,,Matt Kuchar,95,283.9,288972,1018
106,107,,Tom Hoge,54,283.8,154947,546
107,108,,Ryo Ishikawa,56,283.7,169669,598
108,109,,Ben Martin,86,283.4,276605,976
109,T110,,Pat Perez,93,283.3,282739,998
110,T110,,Boo Weekley,75,283.3,241377,852
111,112,,Rafa Cabrera Bello,63,283.2,166541,588
112,113,,Adam Hadwin,98,283.1,296141,1046
113,114,,Danny Lee,93,282.9,299856,1060
114,115,,Brett Stegmaier,78,282.8,229103,810
115,116,,Sam Saunders,76,282.6,240812,852
116,117,,Richy Werenski,81,282.5,240724,852
117,118,,Kelly Kraft,75,282.4,255892,906
118,119,,Scott Brown,95,282.3,307677,1090
119,T120,,Bill Haas,92,282.2,267484,948
120,T120,,Troy Merritt,82,282.2,268074,950
121,T122,,Rod Pampling,71,282.1,260666,924
122,T122,,Daniel Summerhays,100,282.1,307487,1090
123,T124,,Jonas Blixt,74,282.0,231796,822
124,T124,,Kevin Kisner,105,282.0,288198,1022
125,126,,Michael Kim,94,281.9,330382,1172
126,127,,Blayne Barber,77,281.8,263155,934
127,128,,William McGirt,89,281.7,269341,956
128,T129,,Zach Johnson,81,281.5,252226,896
129,T129,,Patton Kizzire,84,281.5,283215,1006
130,T131,,Brett Drewitt,57,281.4,169375,602
131,T131,,Fabián Gómez,61,281.4,202024,718
132,133,,Jonathan Randolph,68,281.2,185044,658
133,134,,Whee Kim,74,281.1,227984,811
134,T135,,Mark Anderson,54,280.9,165158,588
135,T135,,C.T. Pan,88,280.9,290484,1034
136,137,,Ernie Els,52,280.6,129085,460
137,T138,,Derek Fathauer,81,280.2,250542,894
138,T138,,Brandt Snedeker,53,280.2,150204,536
139,140,,Brad Fritsch,56,280.1,164681,588
140,141,,Tyrone Van Aswegen,105,280.0,312446,1116
141,T142,,Chris Kirk,89,279.9,273704,978
142,T142,,Geoff Ogilvy,80,279.9,261947,936
143,T142,,Chris Stroud,67,279.9,188119,672
144,145,,Aaron Baddeley,61,279.6,180597,646
145,146,,Camilo Villegas,76,279.5,242608,868
146,147,,Webb Simpson,102,279.1,311458,1116
147,148,,Vaughn Taylor,90,278.9,297812,1068
148,149,,Kyle Reifers,96,278.8,287764,1032
149,150,,Alex Cejka,85,278.6,240693,864
150,151,,Ryan Moore,82,278.4,253388,910
151,T152,,Ryan Blaum,100,278.3,318350,1144
152,T152,,Johnson Wagner,71,278.3,221504,796
153,154,,Steven Bowditch,59,278.2,174739,628
154,155,,Chad Campbell,97,277.9,329596,1186
155,156,,Chez Reavie,98,277.8,306124,1102
156,157,,Peter Malnati,91,277.6,283105,1020
157,158,,Steve Wheatcroft,51,277.5,154821,558
158,159,,Mark Hubbard,81,277.3,236276,852
159,160,,Ian Poulter,72,277.2,212325,766
160,T161,,Roberto Castro,70,277.1,201738,728
161,T161,,K.J. Choi,72,277.1,208905,754
162,T161,,Nicholas Lindheim,58,277.1,170670,616
163,164,,Ricky Barnes,100,276.9,297921,1076
164,T165,,Kevin Na,86,276.6,239510,866
165,T165,,Michael Thompson,60,276.6,169827,614
166,T167,,Brian Gay,82,275.9,265935,964
167,T167,,John Huh,92,275.9,292484,1060
168,T167,,Carl Pettersson,63,275.9,200275,726
169,170,,Cameron Tringale,89,275.1,249765,908
170,171,,Greg Chalmers,75,275.0,262392,954
171,172,,Chad Collins,66,274.9,207287,754
172,173,,Billy Hurley III,80,274.2,265431,968
173,174,,David Hearn,93,274.1,271360,990
