,Left_Tendency_RANK THIS WEEK,Left_Tendency_RANK LAST WEEK,Left_Tendency_PLAYER NAME,Left_Tendency_EVENTS,Left_Tendency_%,Left_Tendency_NUMBER OF TIMES,Left_Tendency_ATTEMPTS,Left_Tendency_AVG RTP SCORE
0,1,,Ken Duke,26,32.7,87,266,1.38
1,2,,Brad Fritsch,18,33.9,87,257,2.53
2,3,,Rod Pampling,22,35.1,124,353,1.77
3,4,,Nicholas Lindheim,21,35.4,95,268,1.68
4,5,,Marc Leishman,25,35.7,138,387,1.38
5,6,,Adam Scott,16,35.9,84,234,2.62
6,7,,Bryce Molder,26,36.0,138,383,1.59
7,8,,Daniel Berger,26,37.5,130,347,0.46
8,9,,Zac Blair,32,38.1,133,349,1.43
9,10,,David Hearn,29,38.5,129,335,1.32
10,11,,Charley Hoffman,31,38.8,193,497,0.67
11,12,,Dominic Bozzelli,24,39.1,125,320,2.24
12,13,,Fabián Gómez,21,39.5,104,263,2.02
13,14,,Branden Grace,20,39.6,89,225,1.12
14,15,,Rory Sabbatini,23,39.8,102,256,2.06
15,16,,Sam Saunders,24,40.5,119,294,0.84
16,T17,,Scott Piercy,22,40.7,109,268,2.11
17,T17,,Jimmy Walker,21,40.7,110,270,2.27
18,19,,Ernie Els,20,40.8,80,196,1.63
19,20,,Mark Hubbard,27,40.9,132,323,1.14
20,21,,Ben Crane,26,41.0,127,310,1.97
21,22,,Ryan Palmer,20,41.1,111,270,2.07
22,23,,Ryo Ishikawa,20,41.3,119,288,1.51
23,24,,Kelly Kraft,27,41.4,145,350,3.17
24,T25,,Morgan Hoffmann,29,41.8,183,438,1.2
25,T25,,Charles Howell III,23,41.8,174,416,1.09
26,T25,,Si Woo Kim,30,41.8,136,325,3.24
27,T25,,Anirban Lahiri,22,41.8,135,323,2.0
28,29,,Peter Malnati,29,42.2,154,365,2.08
29,30,,Miguel Angel Carballo,22,42.3,96,227,3.85
30,31,,Mackenzie Hughes,31,42.4,217,512,2.26
31,32,,Pat Perez,26,42.5,156,367,1.92
32,33,,Ryan Armour,20,42.6,78,183,1.67
33,34,,Brett Drewitt,19,42.7,103,241,1.84
34,35,,Ian Poulter,20,42.9,121,282,0.99
35,T36,,Jason Bohn,28,43.2,137,317,2.77
36,T36,,Xander Schauffele,28,43.2,164,380,1.28
37,T38,,Russell Knox,24,43.3,100,231,1.4
38,T38,,J.T. Poston,28,43.3,178,411,1.57
39,40,,Emiliano Grillo,25,43.4,131,302,1.98
40,41,,Steven Alker,23,43.5,103,237,1.84
41,T42,,Jim Furyk,18,43.6,71,163,1.83
42,T42,,Kyle Stanley,29,43.6,167,383,1.08
43,T44,,Chris Kirk,28,43.7,159,364,1.95
44,T44,,Cameron Smith,26,43.7,178,407,1.4
45,46,,Lucas Glover,26,43.9,169,385,1.36
46,T47,,Chad Collins,26,44.0,128,291,1.09
47,T47,,Martin Laird,25,44.0,142,323,1.69
48,T49,,Roberto Castro,25,44.1,109,247,0.83
49,T49,,Matt Jones,20,44.1,132,299,1.59
50,T51,,Rory McIlroy,14,44.4,80,180,0.5
51,T51,,Troy Merritt,28,44.4,161,363,2.36
52,T53,,Brian Harman,30,44.5,190,427,1.58
53,T53,,Andrew Loupe,21,44.5,141,317,2.34
54,55,,Andres Gonzales,24,44.6,154,345,1.62
55,56,,Brian Gay,25,44.7,148,331,2.16
56,57,,Rafa Cabrera Bello,19,45.0,100,222,2.2
57,58,,K.J. Choi,25,45.1,114,253,0.61
58,59,,Patrick Cantlay,13,45.3,105,232,-0.19
59,60,,J.J. Spaun,29,45.6,157,344,1.66
60,T61,,Gonzalo Fernandez-Castaño,22,45.8,127,277,0.47
61,T61,,Hideki Matsuyama,22,45.8,140,306,1.14
62,63,,Brendan Steele,25,45.9,150,327,1.27
63,64,,Geoff Ogilvy,25,46.0,156,339,1.47
64,65,,Daniel Summerhays,29,46.2,183,396,1.97
65,66,,Billy Horschel,28,46.3,193,417,2.23
66,T67,,Byeong Hun An,22,46.4,135,291,1.48
67,T67,,Keegan Bradley,29,46.4,182,392,2.53
68,T69,,William McGirt,28,46.5,127,273,1.34
69,T69,,Jordan Spieth,23,46.5,153,329,-0.26
70,T71,,Tony Finau,29,46.6,224,481,0.71
71,T71,,Jamie Lovemark,28,46.6,201,431,1.04
72,T71,,Bubba Watson,22,46.6,118,253,1.27
73,T74,,Jonas Blixt,25,46.7,148,317,2.3
74,T74,,Russell Henley,27,46.7,188,403,1.7
75,T76,,Bryson DeChambeau,31,46.9,176,375,2.1
76,T76,,James Hahn,28,46.9,188,401,1.17
77,T76,,Luke List,31,46.9,231,493,0.22
78,T76,,Harold Varner III,31,46.9,221,471,1.4
79,80,,Søren Kjeldsen,17,47.0,70,149,2.29
80,T81,,Hunter Mahan,26,47.1,139,295,2.3
81,T81,,Nick Taylor,29,47.1,201,427,1.84
82,83,,Aaron Baddeley,20,47.5,135,284,1.41
83,84,,Smylie Kaufman,26,47.6,182,382,0.93
84,85,,Martin Flores,27,47.7,203,426,0.84
85,86,,Kevin Streelman,26,47.8,170,356,1.88
86,T87,,Shane Lowry,16,48.0,72,150,1.25
87,T87,,Grayson Murray,30,48.0,234,488,2.65
88,T87,,Kyle Reifers,32,48.0,168,350,2.14
89,T90,,Kevin Chappell,27,48.1,179,372,1.96
90,T90,,Matt Kuchar,26,48.1,156,324,1.22
91,T90,,Kevin Na,26,48.1,150,312,0.27
92,93,,Derek Fathauer,27,48.2,189,392,1.9
93,T94,,Michael Kim,28,48.3,217,449,1.01
94,T94,,Brett Stegmaier,27,48.3,145,300,2.41
95,96,,Jason Day,20,48.4,148,306,2.16
96,T97,,Greg Chalmers,28,48.5,182,375,1.98
97,T97,,Jon Rahm,23,48.5,163,336,0.18
98,T99,,Jason Dufner,24,48.7,167,343,1.92
99,T99,,Tom Hoge,17,48.7,111,228,0.9
100,T101,,Bud Cauley,28,48.9,198,405,0.96
101,T101,,Chris Stroud,22,48.9,112,229,1.34
102,T103,,Brian Campbell,20,49.1,109,222,1.56
103,T103,,Shawn Stefani,26,49.1,158,322,2.47
104,T103,,Tim Wilkinson,22,49.1,104,212,1.54
105,106,,Rick Lamb,19,49.2,90,183,1.89
106,T107,,Bill Haas,25,49.3,180,365,0.39
107,T107,,Ben Martin,27,49.3,169,343,1.83
108,109,,Louis Oosthuizen,18,49.4,120,243,1.17
109,T110,,Robert Garrigus,26,49.5,154,311,1.23
