,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
0,1,,Rory McIlroy,51,67.53,147218.9,217992
1,2,,Dustin Johnson,77,66.43,245144.3,369044
2,3,,Brooks Koepka,88,65.94,267457.4,405614
3,4,,Jon Rahm,90,65.51,270220.0,412459
4,T5,,Ryan Brehm,83,65.38,252867.1,386747
5,T5,,J.B. Holmes,83,65.38,241362.1,369165
6,T7,,Trey Mullinax,88,65.3,273392.5,418642
7,T7,,Kevin Tway,96,65.3,307474.3,470837
8,9,,Justin Thomas,86,65.29,256085.8,392217
9,10,,Tony Finau,106,65.24,379938.6,582387
10,11,,Bubba Watson,71,65.22,214956.0,329594
11,12,,Brandon Hagy,85,65.13,286331.8,439639
12,13,,Grayson Murray,94,65.07,353039.7,542595
13,14,,Ryan Palmer,61,65.03,193216.2,297118
14,15,,Luke List,102,64.89,356099.9,548749
15,16,,Sergio Garcia,65,64.81,173662.6,267960
16,17,,Xander Schauffele,96,64.75,288285.9,445258
17,18,,Andrew Loupe,55,64.73,193660.7,299192
18,T19,,Kevin Chappell,95,64.71,284294.1,439324
19,T19,,Jason Day,71,64.71,221083.7,341678
20,21,,Smylie Kaufman,76,64.53,258712.3,400908
21,22,,Jason Kokrak,95,64.34,323822.3,503283
22,23,,Jamie Lovemark,98,64.3,311446.2,484352
23,24,,Jordan Spieth,85,64.24,264089.4,411122
24,25,,Gary Woodland,94,64.22,263363.4,410091
25,26,,Tag Ridings,67,64.2,203885.6,317567
26,27,,Martin Flores,88,64.19,273179.9,425603
