,Launch_Angle_RANK THIS WEEK,Launch_Angle_RANK LAST WEEK,Launch_Angle_PLAYER NAME,Launch_Angle_ROUNDS,Launch_Angle_AVG.,Launch_Angle_TOTAL VERT. LAUNCH ANGLE,Launch_Angle_TOTAL ATTEMPTS,Launch_Angle_LOWEST LAUNCH ANGLE,Launch_Angle_STEEPEST LAUNCH ANGLE
0,1,,David Hearn,93,14.05,857.01,61,10.14,17.14
1,2,,Sung Kang,104,13.92,877.18,63,4.05,18.36
2,3,,James Hahn,96,13.86,956.54,69,11.18,17.32
3,4,,Danny Lee,93,13.78,854.25,62,6.44,17.32
4,5,,Bud Cauley,92,13.73,933.62,68,9.57,19.26
5,6,,Morgan Hoffmann,92,13.7,1041.47,76,9.49,18.38
6,7,,Cody Gribble,79,13.65,723.38,53,10.99,17.29
7,8,,Alex Cejka,85,13.56,718.85,53,9.37,17.81
8,9,,Vaughn Taylor,90,13.51,986.04,73,9.97,16.96
9,10,,John Huh,92,13.5,985.7,73,9.85,18.04
10,11,,Brett Stegmaier,78,13.4,710.43,53,11.07,16.92
11,12,,Ernie Els,52,13.23,357.22,27,8.39,15.44
12,13,,Jason Day,71,13.22,608.02,46,10.29,17.23
13,14,,Sam Saunders,76,13.2,752.34,57,8.62,15.87
14,15,,Zach Johnson,81,13.15,736.38,56,9.55,18.11
15,T16,,Zac Blair,105,13.1,995.51,76,9.38,15.62
16,T16,,Michael Kim,94,13.1,982.84,75,9.35,17.2
17,18,,Cameron Percy,71,12.93,659.67,51,10.33,16.74
18,19,,Ryan Blaum,100,12.9,928.57,72,10.1,16.13
19,20,,Whee Kim,74,12.88,656.71,51,7.94,17.25
20,21,,Justin Rose,66,12.87,527.69,41,8.08,16.23
21,22,,K.J. Choi,72,12.84,680.67,53,9.6,16.68
22,23,,Phil Mickelson,85,12.76,727.18,57,7.13,16.09
23,24,,Scott Piercy,70,12.74,560.44,44,5.74,16.82
24,25,,Keegan Bradley,104,12.73,916.26,72,9.36,16.43
25,26,,Jonas Blixt,74,12.7,672.92,53,10.24,15.75
26,27,,Derek Fathauer,81,12.68,646.46,51,7.46,15.22
27,28,,Rickie Fowler,78,12.67,671.27,53,7.48,15.67
28,T29,,Jon Rahm,90,12.64,670.18,53,5.32,17.65
29,T29,,J.J. Spaun,92,12.64,758.34,60,7.33,16.2
30,31,,Chez Reavie,98,12.56,892.09,71,9.68,14.91
31,32,,Rory McIlroy,51,12.53,350.89,28,8.44,15.42
32,33,,Kevin Chappell,95,12.52,688.76,55,9.73,16.82
33,T34,,Steven Alker,69,12.49,537.21,43,9.56,15.81
34,T34,,Justin Thomas,86,12.49,624.44,50,6.8,17.69
35,36,,Pat Perez,93,12.36,692.08,56,7.9,17.54
36,T37,,Retief Goosen,52,12.35,432.38,35,7.25,15.13
37,T37,,Jimmy Walker,68,12.35,481.68,39,5.93,16.33
38,39,,Anirban Lahiri,72,12.34,555.43,45,5.91,16.57
39,40,,Brian Harman,104,12.26,809.48,66,7.84,15.85
40,41,,Francesco Molinari,75,12.2,573.26,47,8.12,17.0
41,42,,Brian Gay,82,12.16,802.86,66,9.72,15.85
42,T43,,Matt Kuchar,95,12.14,776.97,64,7.93,17.48
43,T43,,Troy Merritt,82,12.14,801.38,66,9.37,15.07
44,45,,Ryan Palmer,61,12.12,521.08,43,6.79,16.67
45,46,,Sean O'Hair,84,12.08,664.47,55,6.88,16.75
46,47,,J.B. Holmes,83,12.07,494.82,41,8.76,15.95
47,48,,Billy Hurley III,80,12.03,806.33,67,6.53,14.7
48,49,,Seung-Yul Noh,91,12.0,851.79,71,8.72,14.38
49,50,,Hunter Mahan,73,11.99,683.57,57,7.86,15.65
50,51,,C.T. Pan,88,11.98,778.49,65,7.21,15.7
51,52,,Geoff Ogilvy,80,11.95,764.49,64,8.94,14.91
52,T53,,Si Woo Kim,80,11.94,609.02,51,6.28,18.66
53,T53,,Nicholas Lindheim,58,11.94,465.83,39,8.84,15.3
54,T53,,Kyle Reifers,96,11.94,812.13,68,8.3,14.97
55,T53,,Rory Sabbatini,71,11.94,560.97,47,6.5,15.15
56,T57,,Robert Garrigus,78,11.92,655.57,55,8.72,14.87
57,T57,,Kyle Stanley,104,11.92,989.05,83,6.75,17.39
58,T57,,Nick Taylor,97,11.92,882.08,74,6.69,16.08
59,60,,Jamie Lovemark,98,11.9,678.2,57,7.61,15.96
60,61,,Jordan Spieth,85,11.88,688.94,58,8.35,16.1
61,62,,Ryan Moore,82,11.8,708.06,60,6.46,17.2
62,63,,Tim Wilkinson,64,11.78,506.66,43,8.63,14.3
63,T64,,Smylie Kaufman,76,11.77,682.66,58,6.38,15.63
64,T64,,Hideki Matsuyama,83,11.77,553.27,47,7.76,15.18
65,66,,Blayne Barber,77,11.75,752.12,64,9.12,15.13
66,67,,Byeong Hun An,77,11.69,560.96,48,6.57,15.12
67,68,,Patrick Cantlay,52,11.67,420.21,36,9.21,14.86
68,T69,,Julián Etulain,68,11.64,570.22,49,8.56,15.79
69,T69,,Shane Lowry,52,11.64,244.35,21,8.34,15.37
70,71,,Billy Horschel,88,11.63,744.1,64,8.31,15.82
71,T72,,Luke Donald,50,11.61,336.67,29,8.63,14.44
72,T72,,Jason Kokrak,95,11.61,801.26,69,6.75,18.41
73,T72,,Peter Malnati,91,11.61,847.33,73,7.65,15.89
74,T75,,Tom Hoge,54,11.57,462.98,40,7.36,14.35
75,T75,,Richy Werenski,81,11.57,624.77,54,6.08,15.65
76,77,,Xander Schauffele,96,11.56,543.5,47,8.99,14.44
77,T78,,D.A. Points,68,11.51,598.75,52,7.27,15.0
78,T78,,Johnson Wagner,71,11.51,563.81,49,7.87,15.29
79,80,,Kevin Kisner,105,11.49,758.54,66,8.35,14.34
80,81,,Kelly Kraft,75,11.46,653.43,57,7.39,15.58
81,82,,Dustin Johnson,77,11.39,501.19,44,6.49,15.51
82,T83,,Webb Simpson,102,11.36,794.85,70,8.28,14.56
83,T83,,Cameron Tringale,89,11.36,670.41,59,7.58,16.23
84,85,,Scott Brown,95,11.32,724.24,64,6.56,14.97
85,86,,Chad Campbell,97,11.31,814.36,72,7.86,16.41
86,87,,Scott Stallings,81,11.26,630.28,56,6.5,14.79
87,88,,J.J. Henry,92,11.23,775.06,69,5.9,14.19
88,T89,,Charley Hoffman,112,11.21,829.49,74,7.37,14.66
89,T89,,Louis Oosthuizen,69,11.21,403.43,36,9.22,16.14
90,T89,,Tag Ridings,67,11.21,470.78,42,6.35,13.81
91,92,,Brandt Snedeker,53,11.18,380.01,34,6.62,14.59
