,Driving_Pct.__240_All_Drives_RANK THIS WEEK,Driving_Pct.__240_All_Drives_RANK LAST WEEK,Driving_Pct.__240_All_Drives_PLAYER NAME,Driving_Pct.__240_All_Drives_ROUNDS,Driving_Pct.__240_All_Drives_%,Driving_Pct.__240_All_Drives_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct.__240_All_Drives_RELATIVE TO PAR
0,1,,Steven Bowditch,59,11.78,74,628,+0.432
1,2,,Jim Furyk,54,11.15,62,556,-0.048
2,3,,Wesley Bryan,95,10.23,107,1046,+0.168
3,4,,Nicholas Lindheim,58,10.06,62,616,+0.194
4,T5,,Luke Donald,50,10.0,60,600,+0.083
5,T5,,Ryan Moore,82,10.0,91,910,+0.077
6,7,,Søren Kjeldsen,58,9.53,45,472,+0.244
7,8,,Bryce Molder,74,9.51,85,894,+0.294
8,9,,Michael Thompson,60,8.79,54,614,+0.204
9,10,,Brian Stuard,93,8.53,80,938,+0.063
10,11,,Cameron Tringale,89,8.48,77,908,+0.273
11,T12,,Aaron Baddeley,61,8.36,54,646,+0.204
12,T12,,Ian Poulter,72,8.36,64,766,+0.078
13,14,,John Huh,92,8.3,88,1060,+0.182
14,15,,Bill Haas,92,8.12,77,948,-0.039
15,16,,Carl Pettersson,63,7.85,57,726,+0.351
16,17,,Brad Fritsch,56,7.82,46,588,+0.174
17,18,,Rod Pampling,71,7.79,72,924,+0.111
18,T19,,Derek Fathauer,81,7.72,69,894,+0.188
19,T19,,Pat Perez,93,7.72,77,998,-0.039
20,21,,Ricky Barnes,100,7.62,82,1076,+0.244
21,22,,Patton Kizzire,84,7.55,76,1006,+0.132
22,23,,James Hahn,96,7.41,84,1134,+0.048
23,24,,Ryan Armour,63,7.29,50,686,+0.080
24,25,,Brandt Snedeker,53,7.28,39,536,+0.179
25,26,,David Hearn,93,7.27,72,990,E
26,27,,Graeme McDowell,56,7.19,48,668,+0.146
27,T28,,Ben Crane,86,7.17,69,962,+0.275
28,T28,,Seamus Power,86,7.17,68,948,+0.191
29,30,,D.A. Points,68,7.14,58,812,+0.086
30,31,,Jimmy Walker,68,7.1,48,676,+0.021
31,32,,Kevin Kisner,105,7.05,72,1022,+0.014
32,33,,Steven Alker,69,7.0,50,714,+0.280
33,T34,,Dominic Bozzelli,69,6.92,53,766,+0.208
34,T34,,Ken Duke,77,6.92,58,838,+0.121
35,T34,,Billy Hurley III,80,6.92,67,968,+0.149
36,37,,Tyrone Van Aswegen,105,6.9,77,1116,+0.013
37,38,,Chris Stroud,67,6.85,46,672,+0.283
38,T39,,Jason Bohn,75,6.81,59,866,+0.288
39,T39,,Greg Chalmers,75,6.81,65,954,+0.231
40,41,,Seung-Yul Noh,91,6.77,71,1048,+0.310
41,42,,Richy Werenski,81,6.69,57,852,+0.035
42,43,,Kyle Reifers,96,6.59,68,1032,+0.206
43,44,,Sam Saunders,76,6.57,56,852,+0.107
44,45,,Chad Collins,66,6.5,49,754,+0.367
45,46,,Mark Anderson,54,6.46,38,588,E
46,47,,Chad Campbell,97,6.41,76,1186,+0.092
47,48,,Andres Gonzales,73,6.39,51,798,+0.137
48,49,,Mackenzie Hughes,106,6.38,86,1348,+0.105
49,T50,,Emiliano Grillo,90,6.36,57,896,+0.018
50,T50,,Ollie Schniederjans,92,6.36,72,1132,+0.264
51,52,,Kevin Na,86,6.35,55,866,+0.236
52,53,,Harris English,84,6.33,60,948,+0.283
53,54,,Troy Merritt,82,6.32,60,950,+0.200
54,55,,Russell Henley,99,6.29,72,1144,-0.056
55,T56,,Zac Blair,105,6.27,71,1132,+0.056
56,T56,,Webb Simpson,102,6.27,70,1116,-0.114
57,T58,,Robert Garrigus,78,6.22,52,836,-0.019
58,T58,,Scott Stallings,81,6.22,59,948,+0.051
59,T60,,Cody Gribble,79,6.21,61,982,+0.197
60,T60,,Sean O'Hair,84,6.21,59,950,+0.034
61,T60,,Shawn Stefani,72,6.21,52,838,+0.115
62,63,,Geoff Ogilvy,80,6.2,58,936,+0.207
63,64,,Roberto Castro,70,6.18,45,728,+0.178
64,65,,Nick Watney,75,6.17,55,892,+0.255
65,66,,Scott Brown,95,6.15,67,1090,+0.164
66,67,,Alex Cejka,85,6.13,53,864,+0.094
67,68,,Rafa Cabrera Bello,63,6.12,36,588,+0.056
68,69,,Martin Laird,83,6.11,58,950,+0.034
69,T70,,Blayne Barber,77,6.1,57,934,+0.018
70,T70,,Scott Piercy,70,6.1,40,656,+0.025
71,T72,,Patrick Cantlay,52,6.09,39,640,-0.026
72,T72,,Ernie Els,52,6.09,28,460,+0.357
73,74,,Graham DeLaet,82,6.06,60,990,-0.033
74,75,,Jamie Lovemark,98,6.04,64,1060,+0.031
75,76,,Matt Every,76,5.99,51,852,+0.588
76,77,,Patrick Rodgers,76,5.97,55,922,+0.236
77,78,,Kelly Kraft,75,5.96,54,906,+0.037
78,T79,,Rickie Fowler,78,5.93,49,826,-0.204
79,T79,,Adam Hadwin,98,5.93,62,1046,-0.016
80,81,,Whee Kim,74,5.92,48,811,+0.271
81,82,,Steve Wheatcroft,51,5.91,33,558,+0.091
82,T83,,Jonas Blixt,74,5.84,48,822,+0.271
83,T83,,Ben Martin,86,5.84,57,976,+0.123
84,T83,,Brendan Steele,89,5.84,55,942,+0.018
85,86,,Daniel Berger,91,5.74,54,940,+0.222
86,87,,Chris Kirk,89,5.73,56,978,+0.321
87,88,,Chez Reavie,98,5.72,63,1102,+0.016
88,T89,,Jason Dufner,89,5.71,56,980,-0.089
89,T89,,Fabián Gómez,61,5.71,41,718,+0.195
90,T89,,C.T. Pan,88,5.71,59,1034,+0.034
91,92,,Gonzalo Fernandez-Castaño,63,5.68,35,616,+0.143
92,93,,Spencer Levin,89,5.66,53,936,+0.189
93,94,,William McGirt,89,5.65,54,956,+0.167
94,95,,Francesco Molinari,75,5.64,45,798,-0.178
95,96,,Lucas Glover,93,5.63,66,1172,+0.030
96,T97,,Russell Knox,75,5.62,41,730,+0.415
97,T97,,Robert Streb,98,5.62,66,1174,+0.273
98,99,,K.J. Choi,72,5.57,42,754,+0.190
99,100,,Camilo Villegas,76,5.53,48,868,+0.208
100,101,,Gary Woodland,94,5.49,49,892,+0.020
101,102,,J.J. Henry,92,5.45,57,1046,+0.175
102,T103,,Stewart Cink,93,5.4,58,1074,-0.172
103,T103,,Boo Weekley,75,5.4,46,852,+0.152
104,105,,Hudson Swafford,94,5.38,57,1060,+0.035
105,T106,,Ryo Ishikawa,56,5.35,32,598,+0.094
106,T106,,Hunter Mahan,73,5.35,44,822,+0.250
107,T106,,J.T. Poston,95,5.35,53,990,+0.340
108,T109,,Louis Oosthuizen,69,5.32,35,658,E
109,T109,,Daniel Summerhays,100,5.32,58,1090,-0.034
110,T111,,Charl Schwartzel,63,5.31,34,640,+0.147
111,T111,,Brett Stegmaier,78,5.31,43,810,+0.093
112,113,,Michael Kim,94,5.29,62,1172,+0.048
113,T114,,Mark Hubbard,81,5.28,45,852,+0.156
114,T114,,Johnson Wagner,71,5.28,42,796,+0.190
115,116,,Rick Lamb,54,5.26,28,532,+0.143
116,117,,David Lingmerth,79,5.19,47,906,E
117,118,,Harold Varner III,101,5.16,62,1202,+0.145
118,119,,Brett Drewitt,57,5.15,31,602,+0.258
119,120,,Billy Horschel,88,5.14,56,1090,+0.089
120,121,,Paul Casey,94,5.12,48,938,+0.021
121,122,,Kyle Stanley,104,5.11,67,1312,E
122,T123,,Peter Malnati,91,5.1,52,1020,+0.077
123,T123,,Xander Schauffele,96,5.1,50,980,+0.120
124,125,,Trey Mullinax,88,4.99,46,922,+0.065
125,126,,Brian Gay,82,4.98,48,964,+0.146
126,127,,Brandon Hagy,85,4.97,48,966,-0.042
127,128,,Kevin Streelman,90,4.96,54,1088,+0.074
128,T129,,Branden Grace,70,4.95,30,606,+0.133
129,T129,,Tom Hoge,54,4.95,27,546,+0.259
130,T129,,Cameron Smith,86,4.95,49,990,+0.204
131,132,,Julián Etulain,68,4.9,35,714,+0.057
132,133,,Andrew Loupe,55,4.88,32,656,+0.125
133,T134,,Jim Herman,77,4.87,45,924,+0.067
134,T134,,J.J. Spaun,92,4.87,49,1006,+0.204
135,136,,Tag Ridings,67,4.86,34,700,E
136,T137,,Retief Goosen,52,4.72,27,572,E
137,T137,,Rory Sabbatini,71,4.72,35,742,+0.029
138,139,,Bryson DeChambeau,91,4.65,46,990,-0.043
139,140,,Danny Lee,93,4.62,49,1060,+0.122
140,141,,Martin Flores,88,4.59,43,936,+0.326
141,T142,,Ryan Brehm,83,4.57,39,854,+0.205
142,T142,,Si Woo Kim,80,4.57,36,787,+0.194
143,T144,,Jonathan Randolph,68,4.56,30,658,+0.133
144,T144,,Justin Thomas,86,4.56,39,856,+0.103
145,T146,,Smylie Kaufman,76,4.55,40,880,+0.350
146,T146,,Marc Leishman,94,4.55,44,966,+0.045
147,148,,Vaughn Taylor,90,4.49,48,1068,+0.042
148,T149,,Brian Harman,104,4.45,51,1146,+0.059
149,T149,,Jason Kokrak,95,4.45,49,1102,E
150,151,,Sergio Garcia,65,4.42,26,588,+0.115
151,152,,Tim Wilkinson,64,4.38,28,640,+0.179
152,153,,Ryan Blaum,100,4.37,50,1144,+0.120
153,154,,Matt Kuchar,95,4.32,44,1018,+0.045
