,Left_Rough_Tendency_RANK THIS WEEK,Left_Rough_Tendency_RANK LAST WEEK,Left_Rough_Tendency_PLAYER NAME,Left_Rough_Tendency_ROUNDS,Left_Rough_Tendency_%,Left_Rough_Tendency_TOTAL LEFT ROUGH,Left_Rough_Tendency_POSSIBLE FWYS,Left_Rough_Tendency_RELATIVE TO PAR
0,1,,Ken Duke,77,7.53,63,837,+0.05
1,2,,William McGirt,89,9.21,88,955,+0.15
2,3,,Fabián Gómez,61,9.24,66,714,+0.15
3,4,,Kyle Stanley,104,9.39,123,1310,+0.02
4,5,,Zac Blair,105,9.46,107,1131,+0.09
5,6,,Marc Leishman,94,9.71,93,958,E
6,7,,David Hearn,93,9.72,96,988,+0.08
7,8,,Ben Crane,86,10.02,96,958,+0.09
8,9,,Chez Reavie,98,10.1,111,1099,+0.14
9,10,,Ryan Armour,63,10.22,70,685,+0.11
10,T11,,Daniel Berger,91,10.37,97,935,-0.03
11,T11,,Ian Poulter,72,10.37,79,762,+0.11
12,T11,,Sam Saunders,76,10.37,88,849,-0.01
13,14,,Rod Pampling,71,10.54,97,920,+0.07
14,15,,Boo Weekley,75,10.56,90,852,+0.11
15,16,,Lucas Glover,93,10.62,124,1168,+0.03
16,17,,Jim Furyk,54,10.65,59,554,+0.14
17,T18,,Steven Alker,69,10.67,76,712,+0.08
18,T18,,Brad Fritsch,56,10.67,62,581,+0.18
19,T20,,Francesco Molinari,75,10.68,85,796,+0.16
20,T20,,Kevin Streelman,90,10.68,116,1086,+0.07
21,22,,Bryce Molder,74,10.72,95,886,+0.07
22,23,,Emiliano Grillo,90,10.85,97,894,+0.11
23,T24,,Morgan Hoffmann,92,11.01,125,1135,E
24,T24,,Rory Sabbatini,71,11.01,81,736,+0.11
25,26,,Martin Laird,83,11.12,105,944,+0.09
26,27,,Russell Knox,75,11.14,81,727,+0.15
27,28,,Shane Lowry,52,11.21,53,473,+0.04
28,29,,Brian Gay,82,11.24,108,961,+0.10
29,30,,Peter Malnati,91,11.25,114,1013,+0.06
30,31,,K.J. Choi,72,11.3,85,752,-0.11
31,32,,Chris Kirk,89,11.31,110,973,+0.11
32,T33,,James Hahn,96,11.32,128,1131,+0.02
33,T33,,J.J. Spaun,92,11.32,113,998,+0.05
34,35,,Pat Perez,93,11.39,113,992,+0.14
35,36,,Kyle Reifers,96,11.5,118,1026,+0.10
36,37,,Matt Kuchar,95,11.66,118,1012,E
37,38,,Jason Bohn,75,11.72,101,862,+0.16
38,39,,Brian Harman,104,11.75,134,1140,+0.16
39,T40,,Mark Hubbard,81,11.76,99,842,E
40,T40,,Troy Merritt,82,11.76,111,944,+0.11
41,T42,,Kelly Kraft,75,11.84,106,895,+0.14
42,T42,,Anirban Lahiri,72,11.84,97,819,+0.03
43,44,,Roberto Castro,70,11.86,86,725,-0.01
44,T45,,Zach Johnson,81,11.87,106,893,+0.13
45,T45,,Daniel Summerhays,100,11.87,129,1087,+0.15
46,47,,Ryan Moore,82,11.89,108,908,+0.09
47,48,,Keegan Bradley,104,11.97,145,1211,+0.12
48,49,,Nicholas Lindheim,58,12.03,73,607,+0.10
49,T50,,Miguel Angel Carballo,63,12.06,72,597,+0.21
50,T50,,Kevin Kisner,105,12.06,123,1020,-0.01
51,52,,Søren Kjeldsen,58,12.08,57,472,+0.18
52,53,,Rafa Cabrera Bello,63,12.12,71,586,+0.11
53,54,,Ben Martin,86,12.16,118,970,+0.19
54,55,,Russell Henley,99,12.19,139,1140,+0.16
55,56,,Vaughn Taylor,90,12.2,130,1066,+0.05
56,57,,Geoff Ogilvy,80,12.26,114,930,+0.04
57,58,,Chris Stroud,67,12.28,82,668,+0.05
58,59,,Luke Donald,50,12.35,73,591,+0.14
59,60,,Charley Hoffman,112,12.36,153,1238,E
60,61,,Mackenzie Hughes,106,12.41,166,1338,+0.13
61,62,,Steve Wheatcroft,51,12.43,69,555,+0.12
62,63,,Graeme McDowell,56,12.44,83,667,+0.29
63,64,,Dominic Bozzelli,69,12.45,94,755,+0.18
64,65,,Hunter Mahan,73,12.47,102,818,+0.12
65,66,,Patrick Cantlay,52,12.56,80,637,-0.05
66,67,,Adam Scott,58,12.59,69,548,+0.09
67,68,,Ryan Palmer,61,12.63,82,649,+0.20
68,69,,Nick Taylor,97,12.67,146,1152,+0.13
69,70,,Scott Piercy,70,12.71,83,653,+0.14
70,T71,,Cameron Smith,86,12.82,126,983,+0.01
71,T71,,Brendan Steele,89,12.82,120,936,E
72,73,,Byeong Hun An,77,12.89,98,760,+0.09
73,74,,Brett Drewitt,57,12.92,77,596,+0.12
74,T75,,Spencer Levin,89,12.94,121,935,+0.17
75,T75,,Jon Rahm,90,12.94,115,889,-0.06
76,77,,Ernie Els,52,12.97,59,455,+0.03
77,78,,Webb Simpson,102,13.02,145,1114,+0.02
78,79,,Xander Schauffele,96,13.03,127,975,+0.02
79,80,,Harold Varner III,101,13.05,155,1188,+0.06
80,81,,Tony Finau,106,13.06,165,1263,-0.05
81,82,,Jordan Spieth,85,13.1,117,893,-0.15
82,83,,Billy Horschel,88,13.11,142,1083,+0.17
83,T84,,J.T. Poston,95,13.12,129,983,+0.10
84,T84,,Jimmy Walker,68,13.12,87,663,+0.07
85,86,,Hideki Matsuyama,83,13.13,101,769,+0.01
86,87,,Rickie Fowler,78,13.29,109,820,-0.02
87,88,,Jim Herman,77,13.33,123,923,-0.01
88,89,,Rory McIlroy,51,13.38,63,471,-0.08
89,T90,,Graham DeLaet,82,13.4,132,985,+0.09
90,T90,,Michael Kim,94,13.4,156,1164,+0.01
