,Club_Head_Speed_RANK THIS WEEK,Club_Head_Speed_RANK LAST WEEK,Club_Head_Speed_PLAYER NAME,Club_Head_Speed_ROUNDS,Club_Head_Speed_AVG.,Club_Head_Speed_TOTAL CLUB HEAD SPEED,Club_Head_Speed_TOTAL ATTEMPTS,Club_Head_Speed_FASTEST SPEED,Club_Head_Speed_SLOWEST SPEED
0,1,,Ryan Brehm,83,128.18,3973.54,31,133.24,122.65
1,2,,Brandon Hagy,85,126.49,7209.99,57,131.59,122.39
2,3,,Andrew Loupe,55,124.63,5234.6,42,128.37,120.04
3,4,,Brooks Koepka,88,124.28,5841.19,47,128.55,118.05
4,5,,Ollie Schniederjans,92,123.34,7277.13,59,129.43,119.73
5,6,,Jhonattan Vegas,95,123.16,6035.08,49,134.33,119.24
6,7,,Tony Finau,106,123.11,9602.93,78,129.05,119.24
7,T8,,Hudson Swafford,94,122.67,7360.05,60,127.0,115.87
8,T8,,Gary Woodland,94,122.67,6256.39,51,127.47,118.42
9,10,,Kevin Tway,96,122.57,6495.95,53,128.05,118.5
10,11,,J.B. Holmes,83,121.68,4989.06,41,127.44,118.61
11,12,,Patrick Rodgers,76,121.55,5712.91,47,128.11,115.58
12,13,,Bubba Watson,71,121.46,5101.23,42,125.69,118.16
13,14,,Dustin Johnson,77,121.17,5331.41,44,128.36,117.62
14,15,,Luke List,102,120.71,8329.32,69,126.16,117.15
15,16,,Grayson Murray,94,120.48,7710.76,64,125.5,116.5
16,17,,Trey Mullinax,88,120.29,7457.69,62,124.83,116.05
17,18,,Rory McIlroy,51,120.03,3360.75,28,125.26,115.57
18,19,,Kevin Chappell,95,119.95,6597.2,55,124.96,114.08
19,20,,Sergio Garcia,65,119.76,4071.92,34,125.45,116.17
20,21,,Jason Kokrak,95,119.54,8248.07,69,124.06,116.24
21,22,,Jason Day,71,119.47,5495.64,46,125.43,113.33
22,23,,Nick Watney,75,119.36,6803.41,57,124.13,115.11
23,24,,Charl Schwartzel,63,119.35,4416.06,37,126.42,113.87
24,25,,Harold Varner III,101,118.82,9030.14,76,123.42,114.19
25,26,,Daniel Berger,91,118.78,6176.52,52,123.29,115.39
26,27,,Adam Scott,58,118.55,3556.6,30,122.8,111.46
27,28,,Jamie Lovemark,98,118.54,6756.53,57,123.31,111.98
28,29,,Marc Leishman,94,118.53,6993.42,59,123.35,115.65
29,30,,Xander Schauffele,96,118.34,5561.77,47,124.56,114.95
30,31,,Matt Jones,64,118.29,5441.5,46,122.98,114.59
31,32,,Hideki Matsuyama,83,118.13,5552.14,47,121.3,115.68
32,33,,Sebastián Muñoz,51,118.11,4133.88,35,121.75,114.32
33,34,,Seamus Power,86,117.93,5660.54,48,121.89,114.58
34,35,,Martin Flores,88,117.85,7542.48,64,122.76,113.2
35,36,,Harris English,84,117.82,7187.31,61,121.56,113.85
36,37,,Bryson DeChambeau,91,117.74,7417.83,63,123.11,111.82
37,38,,Brendan Steele,89,117.37,6925.09,59,123.81,112.82
38,39,,Brian Campbell,55,117.31,4457.63,38,122.3,113.72
39,40,,Smylie Kaufman,76,117.28,6802.09,58,122.77,113.8
40,41,,Robert Garrigus,78,117.24,6448.0,55,120.05,114.06
41,42,,Charley Hoffman,112,117.23,8674.74,74,121.47,113.04
42,43,,Matt Every,76,117.14,6325.78,54,123.22,113.16
43,44,,Justin Thomas,86,117.07,5853.71,50,120.77,113.1
44,45,,Patrick Reed,107,116.86,7712.98,66,122.4,112.8
45,46,,Justin Rose,66,116.84,4907.47,42,121.7,112.11
46,47,,Ryo Ishikawa,56,116.7,4668.19,40,121.73,110.89
47,48,,Graham DeLaet,82,116.69,7118.32,61,121.41,110.05
48,49,,Jon Rahm,90,116.68,6300.57,54,120.76,112.37
49,50,,Seung-Yul Noh,91,116.62,8279.71,71,121.79,112.79
50,51,,Ryan Palmer,61,116.59,5013.53,43,121.22,112.85
51,52,,Steven Bowditch,59,116.55,5011.86,43,120.4,113.17
52,53,,Tag Ridings,67,116.43,4890.08,42,120.75,113.18
53,54,,Cody Gribble,79,116.39,6168.9,53,119.32,112.52
54,55,,Lucas Glover,93,116.35,7562.67,65,122.78,113.09
55,56,,Andres Gonzales,73,116.3,5814.89,50,120.04,112.88
56,57,,Paul Casey,94,116.27,5929.84,51,122.8,106.23
57,58,,Billy Horschel,88,116.12,7431.49,64,142.67,112.1
58,59,,Jim Herman,77,116.11,6386.18,55,122.17,112.31
59,60,,Charles Howell III,86,116.05,6847.15,59,120.5,112.73
60,61,,Robert Streb,98,116.04,8238.98,71,119.82,112.62
61,62,,Brad Fritsch,56,116.03,4525.25,39,129.18,111.75
62,63,,Ricky Barnes,100,115.95,5797.7,50,123.42,112.4
